metric,mean_28,std_28,min_28,max_28,n
mean_proj,97.06722619047619,6.030038216923692,79.5082,106.68366666666667,28
std_proj,6.700731731599427,2.763758766135428,3.3086131133423193,18.78709581658316,28
mean_salary,49394.857142857145,677.065803517479,46968.666666666664,49784,28
mean_own_sum,138.74866666666668,43.245600607596714,80.68573333333333,266.7423333333333,28
std_own_sum,38.501727514439835,8.662242431678596,19.42956062212113,53.170524580710314,28
mean_geo_own_hit,7.803048355780773,4.066091298229682,2.8181969924977883,22.968020777512553,28
pct_5plus_stack,0.6011904761904762,0.12080734683772591,0.35333333333333333,1.0,28
pct_4_stack,0.3988095238095238,0.1208073468377259,0.0,0.6466666666666666,28
pct_3_3_stack,0.0,0.0,0.0,0.0,28
pct_naked_other,0.0,0.0,0.0,0.0,28
bb_rate_ge1,0.25833333333333336,0.0993580216233463,0.11333333333333333,0.5,28
bb_rate_eq1,0.15095238095238095,0.04150320670695954,0.08666666666666667,0.24666666666666667,28
bb_rate_ge2,0.10738095238095238,0.07722212706019792,0.013333333333333334,0.38666666666666666,28
mean_pairwise_jaccard,0.12215073315084743,0.045311530647864376,0.07252658008138299,0.16692158861086906,4
max_pairwise_jaccard,0.45604395604395603,0.054945054945054944,0.42857142857142855,0.5384615384615384,4
unique_players,110.5,47.892240150849766,61,154,4
band_HP_HO,0.4066666666666667,0.022296173249322093,0.36666666666666664,0.4666666666666667,28
band_HP_LO,0.09333333333333334,0.022296173249322093,0.03333333333333333,0.13333333333333333,28
band_LP_HO,0.09333333333333334,0.022296173249322093,0.03333333333333333,0.13333333333333333,28
band_LP_LO,0.4066666666666667,0.022296173249322093,0.36666666666666664,0.4666666666666667,28
outcome_top1_lift,0.8352704015969322,0.804793774475229,0.0,2.0,28
outcome_top01_lift,1.1936936936936937,2.607213709900832,0.0,6.756756756756757,28
outcome_inverse_bell_ratio,2.0402711884624183,0.611829462406349,1.0,3.5,28
outcome_roi,0.037639298566632895,1.9751862015026334,-0.9447433097141255,9.31713727057141,28
