entity,n_qualifying_groups,mean_top1,mean_entropy,n_lineups,top1pct_count,top1pct_rate,top01pct_count,top01pct_rate
V1,124,0.1752254130278324,1.8355287888205345,3600,46,0.012777777777777779,1,0.0002777777777777778
b_heals152,29,0.18373140269691993,1.835080581359066,3300,57,0.017272727272727273,2,0.0006060606060606061
bgreseth,66,0.16286600604782422,1.891433415696315,2400,28,0.011666666666666667,0,0.0
zroth2,99,0.16895300926049592,1.904133558803008,3450,29,0.008405797101449276,1,0.0002898550724637681
shaidyadvice,130,0.1602663463277274,1.8984778322526854,3300,32,0.009696969696969697,2,0.0006060606060606061
youdacao,101,0.240382943433322,1.6769739667623305,2400,7,0.002916666666666667,0,0.0
nerdytenor,31,0.1896825396825397,1.7008923417367394,3300,27,0.008181818181818182,1,0.00030303030303030303
shipmymoney,109,0.2085137755103955,1.775726248654615,3200,29,0.0090625,1,0.0003125
needlunchmoney,38,0.16912071846282373,1.7957526069406258,2850,34,0.011929824561403509,1,0.0003508771929824561
