entity,n_qualifying_groups,mean_unique_one_offs,ci_unique_low,ci_unique_high,mean_top1_share,ci_top1_low,ci_top1_high,mean_top3_share,ci_top3_low,ci_top3_high,mean_entropy,ci_entropy_low,ci_entropy_high
V1,124,6.693548387096774,6.274193548387097,7.145161290322581,0.1752254130278324,0.1589409694248404,0.19639505879425234,0.49314935736306703,0.4695259377719055,0.516855724920241,1.8355287888205345,1.7712944469425742,1.8969081133662054
b_heals152,29,6.689655172413793,5.862068965517241,7.655172413793103,0.18373140269691993,0.15743394536497984,0.21766557197591682,0.504560382146589,0.45414987311539035,0.5565681444991789,1.835080581359066,1.7214518967517067,1.9548725905207878
bgreseth,66,6.9393939393939394,6.4393939393939394,7.46969696969697,0.16286600604782422,0.150948840721568,0.17605744423926242,0.4715946511401057,0.44343102184011274,0.4998425816607635,1.891433415696315,1.82596753446523,1.9590600838934702
needlunchmoney,38,6.157894736842105,5.7368421052631575,6.657894736842105,0.16912071846282373,0.15934628237259818,0.17857142857142858,0.5073621553884712,0.4780388471177945,0.5357142857142857,1.7957526069406258,1.7350657934592086,1.8621834367662429
nerdytenor,31,5.580645161290323,5.225806451612903,6.0,0.1896825396825397,0.17506400409626216,0.20801331285202254,0.5561443932411675,0.5232334869431644,0.5880184331797235,1.7008923417367394,1.641090955937159,1.7669113003434735
shaidyadvice,130,7.184615384615385,6.638461538461539,7.8,0.1602663463277274,0.15238717803935195,0.16801420801420802,0.4752434834276266,0.4526407621931919,0.49709847626088033,1.8984778322526854,1.840675308146603,1.9597609554131572
shipmymoney,109,6.504587155963303,5.89908256880734,7.247706422018348,0.2085137755103955,0.1888257418315361,0.22985101839519995,0.5379921784315796,0.5086068325686868,0.5676873062556307,1.775726248654615,1.7072676346541464,1.8483450192188005
youdacao,101,5.98019801980198,5.524752475247524,6.475247524752476,0.240382943433322,0.21255656189406916,0.2713044930866713,0.5919817102912618,0.5535322334754483,0.6308555031327309,1.6769739667623305,1.5946274039420016,1.7584899625167816
zroth2,99,7.181818181818182,6.656565656565657,7.737373737373737,0.16895300926049592,0.15644477658737907,0.18271400151970563,0.4754150904551974,0.44775410270062677,0.504508672155731,1.904133558803008,1.837481693655102,1.9698685049792783
