Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5108440979,skijmb (114/150),0,138.1,1B Sal Stewart 2B Nico Hoerner 3B Eugenio Suarez C Moises Ballesteros OF Pete Crow-Armstrong OF Byron Buxton OF Riley Greene P Luis Severino P Colin Rea SS Elly De La Cruz,,Eury Perez,P,57.01%,17.85
2,5108818178,conradical907 (107/150),0,137.55,1B Sal Stewart 2B Luke Keaschall 3B Royce Lewis C Ryan Jeffers OF Byron Buxton OF Riley Greene OF Austin Martin P Will Warren P Luis Severino SS Elly De La Cruz,,Will Warren,P,46.08%,11.7
3,5108440870,skijmb (5/150),0,137,1B Connor Norby 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Byron Buxton OF Griffin Conine OF Owen Caissie P Eury Perez P Bailey Ober SS Elly De La Cruz,,Aaron Judge,OF,41.55%,7
4,5108440894,skijmb (29/150),0,135.1,1B Connor Norby 2B Nico Hoerner 3B Alex Bregman C Agustin Ramirez OF Aaron Judge OF Jakob Marsee OF Griffin Conine P Eury Perez P Colin Rea SS Elly De La Cruz,,Framber Valdez,P,40.98%,-8.55
5,5108441014,skijmb (149/150),0,133.55,1B Connor Norby 2B Nico Hoerner 3B Alex Bregman C Liam Hicks OF Jakob Marsee OF Kerry Carpenter OF Griffin Conine P Will Warren P Eury Perez SS Elly De La Cruz,,Kevin McGonigle,SS,30.14%,5
6,5108818139,conradical907 (68/150),0,131.55,1B Connor Norby 2B Nico Hoerner 3B Yandy Diaz C Carson Kelly OF Byron Buxton OF Riley Greene OF Jakob Marsee P Will Warren P Luis Severino SS Elly De La Cruz,,Jazz Chisholm Jr.,2B,27.94%,4
7,5108438483,skijmb (1/150),0,131.1,1B Connor Norby 2B Luke Keaschall 3B Graham Pauley C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Griffin Conine P Eury Perez P Colin Rea SS Elly De La Cruz,,Ben Rice,1B,26.33%,0
8,5108429047,lozingitall (71/75),0,129.85,1B Sal Stewart 2B Nico Hoerner 3B Eugenio Suarez C Agustin Ramirez OF Pete Crow-Armstrong OF Byron Buxton OF TJ Friedl P Will Warren P Bailey Ober SS Dansby Swanson,,Joe Boyle,P,26.09%,1.55
8,5108787711,ItsDrakeo (102/150),0,129.85,1B Sal Stewart 2B Nico Hoerner 3B Eugenio Suarez C Liam Hicks OF Byron Buxton OF Will Benson OF Noelvi Marte P Will Warren P Bailey Ober SS Elly De La Cruz,,Elly De La Cruz,SS,23.62%,9
10,5108440904,skijmb (39/150),0,129.7,1B Connor Norby 2B Xavier Edwards 3B Alex Bregman C Shea Langeliers OF Byron Buxton OF Jakob Marsee OF Griffin Conine P Eury Perez P Luis Severino SS Kevin McGonigle,,Cody Bellinger,OF,22.62%,5
11,5108915848,Big_Bank_Hank_780 (8/10),0,129.55,1B Liam Hicks 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Griffin Conine P Will Warren P Luis Severino SS Elly De La Cruz,,Trent Grisham,OF,22.22%,9
12,5108441002,skijmb (137/150),0,129,1B Connor Norby 2B Xavier Edwards 3B Royce Lewis C Liam Hicks OF Aaron Judge OF Byron Buxton OF Austin Martin P Eury Perez P Bailey Ober SS Elly De La Cruz,,Riley Greene,OF,20.94%,9
13,5108440871,skijmb (6/150),0,128.7,1B Nick Kurtz 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Matt Wallner P Eury Perez P Luis Severino SS Elly De La Cruz,,Agustin Ramirez,C,20.80%,9
14,5108440912,skijmb (47/150),0,128.55,1B Connor Norby 2B Nico Hoerner 3B Matt Shaw C Agustin Ramirez OF Aaron Judge OF Byron Buxton OF Jakob Marsee P Will Warren P Eury Perez SS Dansby Swanson,,Kerry Carpenter,OF,19.33%,7
15,5108440874,skijmb (9/150),0,128.1,1B Connor Norby 2B Nico Hoerner 3B Matt Shaw C Agustin Ramirez OF Jakob Marsee OF Griffin Conine OF Owen Caissie P Eury Perez P Colin Rea SS Dansby Swanson,,Pete Crow-Armstrong,OF,18.92%,0
16,5108787648,ItsDrakeo (39/150),0,127.85,1B Sal Stewart 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Byron Buxton OF TJ Friedl OF Will Benson P Will Warren P Bailey Ober SS Elly De La Cruz,,Byron Buxton,OF,18.38%,19
17,5108818153,conradical907 (82/150),0,127.7,1B Nick Kurtz 2B Nico Hoerner 3B Royce Lewis C Ryan Jeffers OF Brent Rooker OF Riley Greene OF Jakob Marsee P Eury Perez P Luis Severino SS Dansby Swanson,,Giancarlo Stanton,OF,17.44%,0
18,5108440968,skijmb (103/150),0,127.55,1B Josh Bell 2B Nico Hoerner 3B Royce Lewis C Moises Ballesteros OF Byron Buxton OF Austin Martin OF Matt Wallner P Will Warren P Eury Perez SS Dansby Swanson,,Jakob Marsee,OF,17.13%,12
18,5108818142,conradical907 (71/150),0,127.55,1B Connor Norby 2B Nico Hoerner 3B Royce Lewis C Agustin Ramirez OF Aaron Judge OF Riley Greene OF Chandler Simpson P Will Warren P Eury Perez SS Kevin McGonigle,,Xavier Edwards,2B,15.67%,12
20,5108440867,skijmb (2/150),0,126.7,1B Connor Norby 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Austin Martin P Eury Perez P Luis Severino SS Brooks Lee,,Colt Keith,3B,15.64%,7
21,5108440983,skijmb (118/150),0,126.55,1B Connor Norby 2B Xavier Edwards 3B Colt Keith C Liam Hicks OF Aaron Judge OF Byron Buxton OF Griffin Conine P Will Warren P Eury Perez SS Dansby Swanson,,Junior Caminero,3B,15.51%,0
21,5108736659,misterpost (1/4),0,126.55,1B Connor Norby 2B Luke Keaschall 3B Alex Bregman C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Griffin Conine P Will Warren P Eury Perez SS Kevin McGonigle,,Jonathan Aranda,1B,14.73%,10
21,5108845088,bafoon13 (120/150),0,126.55,1B Jonathan Aranda 2B Nico Hoerner 3B Colt Keith C Agustin Ramirez OF Byron Buxton OF Giancarlo Stanton OF Griffin Conine P Will Warren P Eury Perez SS Kevin McGonigle,,Nick Kurtz,1B,14.49%,8
21,5108945657,jwhite89 (53/150),0,126.55,1B Liam Hicks 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Jakob Marsee OF Griffin Conine OF Austin Martin P Will Warren P Eury Perez SS Elly De La Cruz,,Alex Bregman,3B,14.41%,2
25,5108440868,skijmb (3/150),0,126,1B Nick Kurtz 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Griffin Conine P Eury Perez P Bailey Ober SS Dansby Swanson,,Dansby Swanson,SS,14.12%,4
25,5108440957,skijmb (92/150),0,126,1B Jonathan Aranda 2B Luke Keaschall 3B Royce Lewis C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Austin Martin P Eury Perez P Bailey Ober SS Elly De La Cruz,,Nico Hoerner,2B,13.96%,26
27,5108605103,bionicknee (2/5),0,125.85,1B Sal Stewart 2B Luke Keaschall 3B Royce Lewis C Ryan Jeffers OF Pete Crow-Armstrong OF Byron Buxton OF Austin Martin P Will Warren P Bailey Ober SS Elly De La Cruz,,Gleyber Torres,2B,13.82%,16
28,5108440998,skijmb (133/150),0,125.55,1B Connor Norby 2B Luke Keaschall 3B Royce Lewis C Agustin Ramirez OF Byron Buxton OF Cody Bellinger OF Jakob Marsee P Will Warren P Eury Perez SS Kevin McGonigle,,Dillon Dingler,C,13.63%,13
28,5108818090,conradical907 (19/150),0,125.55,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Kerry Carpenter P Will Warren P Luis Severino SS Elly De La Cruz,,Chandler Simpson,OF,13.37%,8
28,5108891551,ShipMyMoney (105/150),0,125.55,1B Sal Stewart 2B Luke Keaschall 3B Kevin McGonigle C Ryan Jeffers OF Byron Buxton OF TJ Friedl OF Austin Martin P Will Warren P Luis Severino SS Elly De La Cruz,,Michael Busch,1B,13.28%,0
28,5108891554,ShipMyMoney (108/150),0,125.55,1B Ben Rice 2B Nico Hoerner 3B Royce Lewis C Dillon Dingler OF Byron Buxton OF Jakob Marsee OF Trent Grisham P Will Warren P Eury Perez SS Brooks Lee,,Jake Fraley,OF,11.91%,7
32,5108897283,TheShow08,0,124.95,1B Sal Stewart 2B Matt McLain 3B Royce Lewis C Shea Langeliers OF Byron Buxton OF Jakob Marsee OF Owen Caissie P Will Warren P Colin Rea SS Elly De La Cruz,,Brady Singer,P,11.16%,-4
33,5108839859,hishboo (116/150),0,124.85,1B Sal Stewart 2B Luke Keaschall 3B Eugenio Suarez C Tyler Stephenson OF Byron Buxton OF Chandler Simpson OF TJ Friedl P Will Warren P Bailey Ober SS Elly De La Cruz,,J.C. Escarra,C,10.65%,4
34,5108906427,jaybrown365 (1/10),0,124.55,1B Connor Norby 2B Xavier Edwards 3B Junior Caminero C Agustin Ramirez OF Byron Buxton OF Jakob Marsee OF Griffin Conine P Will Warren P Eury Perez SS Kevin McGonigle,,Luke Keaschall,2B,10.52%,12
34,5108945656,jwhite89 (52/150),0,124.55,1B Liam Hicks 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Jakob Marsee OF Trent Grisham OF Griffin Conine P Will Warren P Eury Perez SS Kevin McGonigle,,Bailey Ober,P,9.98%,13.15
36,5108818141,conradical907 (70/150),0,124.25,1B Sal Stewart 2B Xavier Edwards 3B Royce Lewis C Agustin Ramirez OF Aaron Judge OF Byron Buxton OF TJ Friedl P Will Warren P Joe Boyle SS Javier Baez,,Ryan Jeffers,C,9.91%,9
37,5108954719,mrgoodseats (136/150),0,124,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Ryan Jeffers OF Brent Rooker OF Byron Buxton OF Austin Martin P Bailey Ober P Luis Severino SS Elly De La Cruz,,Liam Hicks,C,9.56%,10
38,5108516505,mrclean913 (1/10),0,123.85,1B Sal Stewart 2B Xavier Edwards 3B Eugenio Suarez C Tyler Stephenson OF Byron Buxton OF Trent Grisham OF Austin Martin P Will Warren P Bailey Ober SS Elly De La Cruz,,Shea Langeliers,C,9.50%,8
38,5108818186,conradical907 (115/150),0,123.85,1B Sal Stewart 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF TJ Friedl OF Noelvi Marte P Will Warren P Bailey Ober SS Elly De La Cruz,,Sal Stewart,1B,9.15%,28
40,5108845059,bafoon13 (91/150),0,123.55,1B Sal Stewart 2B Luke Keaschall 3B Eugenio Suarez C Ryan Jeffers OF Byron Buxton OF TJ Friedl OF Will Benson P Will Warren P Luis Severino SS Elly De La Cruz,,Matt McLain,2B,9.07%,4
41,5108481038,bgreseth (78/150),0,123.4,1B Sal Stewart 2B Gleyber Torres 3B Kevin McGonigle C Dillon Dingler OF Byron Buxton OF Riley Greene OF Kerry Carpenter P Joe Boyle P Luis Severino SS Elly De La Cruz,,Javier Baez,SS,8.99%,10
42,5108835974,zokin (150/150),0,123.25,1B Sal Stewart 2B Luke Keaschall 3B Royce Lewis C Ryan Jeffers OF Byron Buxton OF Riley Greene OF Austin Martin P Will Warren P Joe Boyle SS Elly De La Cruz,,TJ Friedl,OF,8.88%,9
42,5108840485,Captainwacky (18/22),0,123.25,1B Sal Stewart 2B Luke Keaschall 3B Royce Lewis C Victor Caratini OF Byron Buxton OF TJ Friedl OF Matt Wallner P Will Warren P Joe Boyle SS Elly De La Cruz,,Yandy Diaz,3B,8.29%,2
44,5108844987,bafoon13 (19/150),0,122.95,1B Sal Stewart 2B Jazz Chisholm Jr. 3B Eugenio Suarez C Ryan Jeffers OF Byron Buxton OF Riley Greene OF Trent Grisham P Will Warren P Colin Rea SS Elly De La Cruz,,Owen Caissie,OF,7.92%,2
45,5108327085,ocdobv (40/100),0,122.85,1B Sal Stewart 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF Jakob Marsee OF Trent Grisham OF TJ Friedl P Will Warren P Bailey Ober SS Elly De La Cruz,,Eugenio Suarez,3B,7.62%,10
46,5108440885,skijmb (20/150),0,122.7,1B Jonathan Aranda 2B Xavier Edwards 3B Yandy Diaz C Agustin Ramirez OF Byron Buxton OF Griffin Conine OF Jake Fraley P Eury Perez P Luis Severino SS Elly De La Cruz,,Ryan McMahon,3B,7.38%,2
47,5108954693,mrgoodseats (110/150),0,122.55,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Dillon Dingler OF Byron Buxton OF Jakob Marsee OF Will Benson P Will Warren P Luis Severino SS Elly De La Cruz,,Carson Kelly,C,7.16%,10
