P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
43023502,43023505,43023588,43023537,43023619,43023695,43023530,43023642,43023563,43023743,,113.04,92.43070221,111.1056976,131.5182037,141.513205,161.6156975,195.9087007,162.89,50000,1,81.05,91.56692282,88.19632646,90.02261501,86.65201865,174.091577,87.63236498,84.26176861,86.08805717,82.71746081,13.01106445,52.07879543
43023502,43023517,43023544,43023675,43023701,43023593,43023539,43023587,43023525,43023561,,106.03,85.39615631,104.3461533,124.3711491,135.74366,157.3061493,189.5716518,113.58,49500,1,124.25,89.686737,87.83093034,89.03941323,87.18360656,170.5060053,86.70861212,84.85280545,86.06128834,84.20548167,8.254907826,52.17767954
43023502,43023504,43023753,43023532,43023670,43023732,43023602,43023553,43023577,43023549,,109.34,89.98604965,107.7360497,129.2360573,139.8110504,160.57855,192.2390594,140.28,49600,1,95.8,90.26099718,87.5663298,89.12004095,86.42537357,172.0920275,86.74081994,84.04615256,85.59986372,82.90519633,10.88709672,64.10546303
43023502,43023921,43023634,43023584,43023531,43023600,43023742,43023643,43023521,43023728,,100.54,82.18160057,100.531601,120.5440998,133.5465996,156.3616035,191.114104,108.65,49400,1,65.2,88.48285912,87.28356867,88.43914699,87.23985654,166.8360235,85.05983628,83.86054583,85.01612415,83.8168337,6.689246174,13.39964569
43023502,43023504,43023528,43023532,43023701,43023667,43023602,43023658,43023587,43023616,,110.7,88.98455429,107.3720512,129.8095551,143.1345459,165.0995461,192.504055,151.21,49800,1,118.8,90.19006794,87.08212643,88.79077847,85.68283696,172.7174965,86.4634013,83.35545979,85.06411183,81.95617032,12.38340752,59.74228382
43023502,43023506,43023780,43023532,43023630,43023610,43023539,43023553,43023658,43023587,,108.27,87.66760254,107.0425987,128.955101,139.5626068,161.385099,190.0206085,133.95,49800,1,123.05,89.60172243,87.07985856,88.53654226,86.0146784,171.5501814,86.29685151,83.77498765,85.23167134,82.70980748,9.669645875,26.6785413
43023505,43023506,43023544,43023601,43023701,43023610,43023539,43023587,43023616,43023561,,103.79,83.74759865,102.2100983,124.8976002,136.2100983,155.2250984,188.2160983,108.23,49900,1,126.8,88.70578511,87.07560539,88.23296435,86.60278462,169.0676755,85.70652898,84.07634925,85.23370822,83.60352849,8.808439952,15.16816616
43023502,43023504,43023544,43023601,43023659,43023732,43023603,43023560,43023660,43023561,,108.54,89.87205124,107.022049,125.1220551,135.6395515,155.6770576,185.2260458,113.03,49300,1,87.8,89.30609824,87.05625589,88.24295564,85.99311329,172.275844,86.80914159,84.55929924,85.74599899,83.49615664,7.574394163,63.05549741
43023502,43023505,43023544,43023584,43023659,43023600,43023650,43023728,43023521,43023674,,109.66,90.29319763,108.6057014,127.8056965,139.5357063,160.5706947,189.7062038,139.15,49700,1,47.05,89.80242415,87.05451441,88.55644781,85.80853807,172.4156655,86.5426003,83.79469056,85.29662396,82.54871422,9.623328635,54.16135192
43023504,43023505,43023544,43023601,43023701,43023593,43023650,43023616,43023587,43023525,,103.59,82.75054932,102.5255508,120.638052,132.1080536,152.0255493,187.4715463,105.07,49800,1,102.55,88.53449964,86.94626912,88.07224793,86.48401742,168.9928842,85.61881492,84.0305844,85.15656321,83.5683327,8.78080428,22.77143598
