P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429593,42429591,42429807,42429625,42429710,42429644,42429652,42429617,42429621,42429660,111.11,49700,22.72,199.80,5.4912,0.0000
42429593,42429594,42429695,42429625,42429710,42429644,42429652,42429685,42429607,42429660,103.09,49500,16.85,190.40,4.2093,0.0000
42429596,42429595,42429728,42429625,42429732,42429795,42429616,42429606,42429621,42429660,102.83,49800,17.22,189.96,4.0069,0.0000
42429595,42429593,42429665,42429625,42429670,42429731,42429652,42429628,42429694,42429615,102.42,49200,10.91,185.56,3.9717,0.0000
42429594,42429593,42429675,42429623,42429686,42429739,42429613,42429669,42429660,42429621,99.99,49500,15.74,185.40,3.9277,0.0000
42429591,42429593,42429724,42429608,42429754,42429706,42429613,42429617,42429761,42429648,101.61,49400,13.57,185.80,3.8808,0.0000
42429591,42429593,42429724,42429619,42429732,42429739,42429652,42429685,42429620,42429617,100.58,48900,10.12,185.80,3.8485,0.0000
42429594,42429599,42429728,42429625,42429726,42429644,42429613,42429660,42429621,42429723,101.95,48200,19.24,189.46,3.8397,0.0000
42429595,42429591,42429665,42429840,42429670,42429757,42429729,42429628,42429606,42429617,101.34,48300,10.22,181.56,3.8397,0.0000
42429596,42429594,42429627,42429625,42429706,42429644,42429673,42429621,42429660,42429723,100.37,48800,17.69,188.80,3.8309,0.0000
42429596,42429591,42429641,42429625,42429664,42429644,42429673,42429660,42429628,42429645,102.35,49900,17.84,190.20,3.8016,0.0000
42429593,42429595,42429665,42429625,42429670,42429772,42429729,42429628,42429638,42429663,102.29,47500,10.75,184.56,3.7840,0.0000
42429593,42429595,42429807,42429840,42429670,42429731,42429652,42429615,42429606,42429621,101.70,48300,10.27,183.56,3.7693,0.0000
42429591,42429592,42429705,42429710,42429754,42429649,42429639,42429617,42429648,42429621,100.40,49000,14.90,187.30,3.7635,0.0000
42429592,42429593,42429724,42429619,42429678,42429739,42429652,42429660,42429620,42429621,101.60,49600,16.54,188.30,3.7547,0.0000
42429591,42429594,42429668,42429608,42429710,42429649,42429822,42429617,42429812,42429660,99.39,47500,14.56,183.55,3.7195,0.0000
42429595,42429593,42429665,42429623,42429670,42429731,42429729,42429638,42429628,42429651,100.62,48000,9.91,183.56,3.7165,0.0000
42429594,42429591,42429668,42429608,42429710,42429649,42429673,42429617,42429643,42429827,99.62,48800,15.22,184.40,3.7077,0.0000
42429594,42429593,42429675,42429625,42429838,42429654,42429652,42429607,42429669,42429660,99.63,48700,19.32,183.40,3.6989,0.0000
42429591,42429595,42429668,42429608,42429706,42429731,42429618,42429617,42429703,42429827,101.25,48400,11.68,184.56,3.6901,0.0000
42429595,42429593,42429724,42429659,42429664,42429739,42429639,42429620,42429607,42429638,100.43,50000,12.46,184.56,3.6872,0.0000
42429593,42429591,42429665,42429710,42429739,42429795,42429652,42429620,42429628,42429611,101.01,48800,14.30,182.80,3.6813,0.0000
42429594,42429593,42429675,42429625,42429710,42429757,42429613,42429812,42429669,42429607,98.73,48600,10.41,182.40,3.6784,0.0000
42429591,42429599,42429668,42429608,42429706,42429747,42429616,42429617,42429754,42429628,99.98,49800,14.24,183.86,3.6755,0.0000
42429601,42429593,42429728,42429625,42429653,42429644,42429673,42429643,42429621,42429663,100.08,48300,13.62,186.30,3.6725,0.0000
42429595,42429596,42429807,42429625,42429670,42429795,42429618,42429621,42429660,42429642,101.23,47800,13.98,183.96,3.6637,0.0000
42429591,42429594,42429668,42429608,42429710,42429706,42429613,42429776,42429617,42429662,99.82,49900,12.93,182.40,3.6579,0.0000
42429599,42429591,42429705,42429619,42429732,42429744,42429616,42429621,42429617,42429643,100.26,50000,10.44,185.86,3.6579,0.0000
42429596,42429592,42429656,42429625,42429773,42429644,42429616,42429795,42429621,42429660,100.40,48800,14.38,186.70,3.6344,0.0000
42429591,42429594,42429668,42429659,42429706,42429649,42429612,42429617,42429723,42429648,98.67,49500,12.42,184.40,3.6344,0.0000
42429591,42429593,42429668,42429678,42429726,42429629,42429652,42429628,42429759,42429606,100.96,49600,17.35,183.80,3.6344,0.0000
42429595,42429591,42429665,42429840,42429670,42429731,42429618,42429631,42429628,42429607,99.88,49900,9.00,181.56,3.6315,0.0000
42429591,42429599,42429668,42429625,42429754,42429649,42429616,42429827,42429617,42429610,100.29,49900,14.68,184.86,3.6315,0.0000
