PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42763645,Cade Cunningham,10000,55.73,42763761,Bones Hyland,4200,21.42,42763698,Ayo Dosunmu,5800,37.03,42763654,Paolo Banchero,8500,42.65,42763684,Rudy Gobert,6500,31.98,42763711,Ajay Mitchell,5200,28.74,42763692,Dillon Brooks,6100,31.71,42763787,Mike Conley,3700,17.04,266.30,50000,31.2,3.1205e+1
42763711,Ajay Mitchell,5200,28.74,42763761,Bones Hyland,4200,21.42,42763734,Cameron Johnson,4500,22.14,42763689,Tobias Harris,6200,32.67,42763640,Nikola Jokic,12500,67.35,42763787,Mike Conley,3700,17.04,42763664,Julius Randle,7700,40.91,42763698,Ayo Dosunmu,5800,37.03,267.30,49800,32.7,3.2729e+1
42763645,Cade Cunningham,10000,55.73,42763790,Isaiah Joe,3500,13.30,42763772,Tim Hardaway Jr.,3900,19.71,42763734,Cameron Johnson,4500,22.14,42763640,Nikola Jokic,12500,67.35,42763798,Bruce Brown,3500,16.74,42763698,Ayo Dosunmu,5800,37.03,42763686,Jaden McDaniels,6300,33.35,265.35,50000,31.1,3.1125e+1
42763645,Cade Cunningham,10000,55.73,42763790,Isaiah Joe,3500,13.30,42763698,Ayo Dosunmu,5800,37.03,42763689,Tobias Harris,6200,32.67,42763684,Rudy Gobert,6500,31.98,42763711,Ajay Mitchell,5200,28.74,42763664,Julius Randle,7700,40.91,42763714,Naz Reid,5100,26.24,266.60,50000,31.1,3.1066e+1
42763645,Cade Cunningham,10000,55.73,42763772,Tim Hardaway Jr.,3900,19.71,42763698,Ayo Dosunmu,5800,37.03,42763689,Tobias Harris,6200,32.67,42763705,Aaron Gordon,5500,23.76,42763798,Bruce Brown,3500,16.74,42763692,Dillon Brooks,6100,31.71,42763648,Jamal Murray,9000,47.94,265.29,50000,31.3,3.1270e+1
42763645,Cade Cunningham,10000,55.73,42763761,Bones Hyland,4200,21.42,42763698,Ayo Dosunmu,5800,37.03,42763689,Tobias Harris,6200,32.67,42763684,Rudy Gobert,6500,31.98,42763675,Jalen Suggs,7000,33.46,42763714,Naz Reid,5100,26.24,42763711,Ajay Mitchell,5200,28.74,267.27,50000,32.6,3.2552e+1
42763645,Cade Cunningham,10000,55.73,42763718,Christian Braun,5000,22.18,42763686,Jaden McDaniels,6300,33.35,42763714,Naz Reid,5100,26.24,42763721,Oso Ighodaro,4900,23.02,42763711,Ajay Mitchell,5200,28.74,42763664,Julius Randle,7700,40.91,42763698,Ayo Dosunmu,5800,37.03,267.20,50000,32.4,3.2351e+1
42763645,Cade Cunningham,10000,55.73,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763689,Tobias Harris,6200,32.67,42763721,Oso Ighodaro,4900,23.02,42763711,Ajay Mitchell,5200,28.74,42763692,Dillon Brooks,6100,31.71,42763743,Collin Gillespie,4400,18.42,263.86,49900,28.7,2.8683e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763667,Jalen Duren,7500,34.95,42763711,Ajay Mitchell,5200,28.74,42763751,Royce O'Neale,4300,17.09,42763714,Naz Reid,5100,26.24,261.55,50000,28.7,2.8747e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763703,Wendell Carter Jr.,5700,26.41,42763711,Ajay Mitchell,5200,28.74,42763681,Franz Wagner,6700,32.31,42763698,Ayo Dosunmu,5800,37.03,261.88,49700,29.3,2.9320e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763703,Wendell Carter Jr.,5700,26.41,42763675,Jalen Suggs,7000,33.46,42763698,Ayo Dosunmu,5800,37.03,42763714,Naz Reid,5100,26.24,260.53,49900,28.4,2.8371e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763667,Jalen Duren,7500,34.95,42763798,Bruce Brown,3500,16.74,42763692,Dillon Brooks,6100,31.71,42763734,Cameron Johnson,4500,22.14,260.07,49500,29.5,2.9539e+1
42763711,Ajay Mitchell,5200,28.74,42763678,Desmond Bane,6900,32.46,42763681,Franz Wagner,6700,32.31,42763654,Paolo Banchero,8500,42.65,42763703,Wendell Carter Jr.,5700,26.41,42763798,Bruce Brown,3500,16.74,42763664,Julius Randle,7700,40.91,42763698,Ayo Dosunmu,5800,37.03,257.25,50000,27.4,2.7386e+1
42763657,Devin Booker,8300,40.15,42763672,Jalen Green,7300,36.54,42763686,Jaden McDaniels,6300,33.35,42763689,Tobias Harris,6200,32.67,42763721,Oso Ighodaro,4900,23.02,42763698,Ayo Dosunmu,5800,37.03,42763692,Dillon Brooks,6100,31.71,42763714,Naz Reid,5100,26.24,260.71,50000,29.5,2.9467e+1
42763675,Jalen Suggs,7000,33.46,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763714,Naz Reid,5100,26.24,42763667,Jalen Duren,7500,34.95,42763645,Cade Cunningham,10000,55.73,42763734,Cameron Johnson,4500,22.14,42763698,Ayo Dosunmu,5800,37.03,258.54,50000,27.4,2.7442e+1
42763743,Collin Gillespie,4400,18.42,42763657,Devin Booker,8300,40.15,42763686,Jaden McDaniels,6300,33.35,42763692,Dillon Brooks,6100,31.71,42763721,Oso Ighodaro,4900,23.02,42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763648,Jamal Murray,9000,47.94,260.36,50000,28.3,2.8273e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763667,Jalen Duren,7500,34.95,42763772,Tim Hardaway Jr.,3900,19.71,42763692,Dillon Brooks,6100,31.71,42763698,Ayo Dosunmu,5800,37.03,260.79,49600,29.7,2.9674e+1
42763645,Cade Cunningham,10000,55.73,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763824,Spencer Jones,3300,13.12,42763705,Aaron Gordon,5500,23.76,42763711,Ajay Mitchell,5200,28.74,42763772,Tim Hardaway Jr.,3900,19.71,42763648,Jamal Murray,9000,47.94,262.57,50000,28.8,2.8801e+1
42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763734,Cameron Johnson,4500,22.14,42763692,Dillon Brooks,6100,31.71,42763684,Rudy Gobert,6500,31.98,42763772,Tim Hardaway Jr.,3900,19.71,42763705,Aaron Gordon,5500,23.76,42763640,Nikola Jokic,12500,67.35,262.42,50000,29.2,2.9182e+1
42763711,Ajay Mitchell,5200,28.74,42763672,Jalen Green,7300,36.54,42763772,Tim Hardaway Jr.,3900,19.71,42763661,Chet Holmgren,7800,35.31,42763709,Isaiah Hartenstein,5400,24.14,42763642,Shai Gilgeous-Alexander,10200,51.95,42763698,Ayo Dosunmu,5800,37.03,42763761,Bones Hyland,4200,21.42,254.84,49800,26.8,2.6829e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763772,Tim Hardaway Jr.,3900,19.71,42763689,Tobias Harris,6200,32.67,42763640,Nikola Jokic,12500,67.35,42763711,Ajay Mitchell,5200,28.74,42763734,Cameron Johnson,4500,22.14,42763798,Bruce Brown,3500,16.74,262.97,50000,29.5,2.9457e+1
42763711,Ajay Mitchell,5200,28.74,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763654,Paolo Banchero,8500,42.65,42763721,Oso Ighodaro,4900,23.02,42763657,Devin Booker,8300,40.15,42763692,Dillon Brooks,6100,31.71,42763772,Tim Hardaway Jr.,3900,19.71,259.55,50000,28.5,2.8509e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763734,Cameron Johnson,4500,22.14,42763824,Spencer Jones,3300,13.12,42763640,Nikola Jokic,12500,67.35,42763798,Bruce Brown,3500,16.74,42763772,Tim Hardaway Jr.,3900,19.71,42763684,Rudy Gobert,6500,31.98,263.80,50000,29.4,2.9439e+1
42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763695,Ausar Thompson,5900,29.10,42763765,Alex Caruso,4100,17.20,42763640,Nikola Jokic,12500,67.35,42763787,Mike Conley,3700,17.04,42763714,Naz Reid,5100,26.24,42763664,Julius Randle,7700,40.91,263.61,50000,29.2,2.9180e+1
42763798,Bruce Brown,3500,16.74,42763718,Christian Braun,5000,22.18,42763695,Ausar Thompson,5900,29.10,42763734,Cameron Johnson,4500,22.14,42763640,Nikola Jokic,12500,67.35,42763698,Ayo Dosunmu,5800,37.03,42763664,Julius Randle,7700,40.91,42763714,Naz Reid,5100,26.24,261.69,50000,29.3,2.9297e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763765,Alex Caruso,4100,17.20,42763734,Cameron Johnson,4500,22.14,42763703,Wendell Carter Jr.,5700,26.41,42763798,Bruce Brown,3500,16.74,42763772,Tim Hardaway Jr.,3900,19.71,42763640,Nikola Jokic,12500,67.35,262.31,50000,28.8,2.8796e+1
42763787,Mike Conley,3700,17.04,42763657,Devin Booker,8300,40.15,42763698,Ayo Dosunmu,5800,37.03,42763689,Tobias Harris,6200,32.67,42763721,Oso Ighodaro,4900,23.02,42763672,Jalen Green,7300,36.54,42763692,Dillon Brooks,6100,31.71,42763664,Julius Randle,7700,40.91,259.07,50000,26.8,2.6822e+1
42763645,Cade Cunningham,10000,55.73,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763841,Tristan da Silva,3100,10.78,42763684,Rudy Gobert,6500,31.98,42763711,Ajay Mitchell,5200,28.74,42763664,Julius Randle,7700,40.91,42763761,Bones Hyland,4200,21.42,263.13,49800,29.7,2.9701e+1
42763743,Collin Gillespie,4400,18.42,42763758,Duncan Robinson,4200,19.89,42763734,Cameron Johnson,4500,22.14,42763692,Dillon Brooks,6100,31.71,42763640,Nikola Jokic,12500,67.35,42763798,Bruce Brown,3500,16.74,42763698,Ayo Dosunmu,5800,37.03,42763648,Jamal Murray,9000,47.94,261.22,50000,27.5,2.7539e+1
42763711,Ajay Mitchell,5200,28.74,42763672,Jalen Green,7300,36.54,42763765,Alex Caruso,4100,17.20,42763714,Naz Reid,5100,26.24,42763640,Nikola Jokic,12500,67.35,42763787,Mike Conley,3700,17.04,42763686,Jaden McDaniels,6300,33.35,42763698,Ayo Dosunmu,5800,37.03,263.49,50000,29.4,2.9371e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763686,Jaden McDaniels,6300,33.35,42763664,Julius Randle,7700,40.91,42763721,Oso Ighodaro,4900,23.02,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763787,Mike Conley,3700,17.04,263.51,49900,29.4,2.9409e+1
42763657,Devin Booker,8300,40.15,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763692,Dillon Brooks,6100,31.71,42763721,Oso Ighodaro,4900,23.02,42763798,Bruce Brown,3500,16.74,42763686,Jaden McDaniels,6300,33.35,42763664,Julius Randle,7700,40.91,259.45,49900,28.5,2.8544e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763686,Jaden McDaniels,6300,33.35,42763692,Dillon Brooks,6100,31.71,42763684,Rudy Gobert,6500,31.98,42763672,Jalen Green,7300,36.54,42763698,Ayo Dosunmu,5800,37.03,42763787,Mike Conley,3700,17.04,263.27,49900,28.8,2.8810e+1
42763787,Mike Conley,3700,17.04,42763718,Christian Braun,5000,22.18,42763698,Ayo Dosunmu,5800,37.03,42763714,Naz Reid,5100,26.24,42763721,Oso Ighodaro,4900,23.02,42763648,Jamal Murray,9000,47.94,42763772,Tim Hardaway Jr.,3900,19.71,42763640,Nikola Jokic,12500,67.35,260.51,49900,28.6,2.8621e+1
42763787,Mike Conley,3700,17.04,42763798,Bruce Brown,3500,16.74,42763698,Ayo Dosunmu,5800,37.03,42763779,Isaiah Stewart,3800,13.74,42763640,Nikola Jokic,12500,67.35,42763648,Jamal Murray,9000,47.94,42763664,Julius Randle,7700,40.91,42763772,Tim Hardaway Jr.,3900,19.71,260.46,49900,28.8,2.8757e+1
