CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42963516,42963429,42963436,42963440,42963495,42963454,,53.84,44.44375,55.125,64.7,70.02875,80.27625,92.029,145.285,47500,2,0,72.37408505,65.26156215,67.9078209,60.795298,269.8108045,68.90157298,61.78905008,64.43530882,57.32278592,23.80533181,56.29993677
42963516,42963430,42963440,42963442,42963447,42963495,,53.72,42.7375,53.9875,66.66875,73.7075,85.85125,102.18025,143.32,46900,2,0,77.4598298,71.28340205,73.88946499,67.71303725,269.7237883,73.21200579,67.03557805,69.64164099,63.46521325,23.45408531,28.83001268
42963516,42963429,42963438,42963440,42963447,42963449,,53.58,43.41875,54.425,66.2,72.66125,84.05,97.0525,139.255,48100,2,0,75.15938645,68.7493284,71.27357569,64.86351764,269.6921105,71.47245532,65.06239727,67.58664457,61.17658652,22.60597441,29.81106043
42963529,42963427,42963430,42963431,42963435,42963454,,53.49,41.9375,54.15,66.95,74.55,87.9725,104.701,142.435,49400,2,0,79.00997921,73.31436798,75.80372235,70.10811112,269.6363405,74.74817293,69.0525617,71.54191608,65.84630485,20.08750601,33.4341079
42963516,42963430,42963440,42963442,42963495,42963450,,53.43,41.21875,53.925,68.08125,75.90375,90.7775,105.18175,144.435,46300,2,0,78.64868363,72.72474561,75.35326186,69.42932384,269.2743129,74.05855663,68.13461861,70.76313486,64.83919684,23.67125723,26.17512941
42963516,42963430,42963437,42963442,42963495,42963450,,53.42,40.725,54.65,70.4375,79.25375,93.32875,110.3055,145.575,46900,2,0,81.07880519,75.53246686,78.18372833,72.63739,269.2148718,76.02009763,70.4737593,73.12502077,67.57868244,23.85622173,33.98065567
42963531,42963427,42963430,42963433,42963440,42963448,,52.64,41.3,52.4,66.9125,74.7575,89.6525,107.055,139.525,47500,2,0,79.81033098,74.56979932,77.00208016,71.7615485,268.5716577,75.32173928,70.08120762,72.51348846,67.2729568,18.50238256,11.6655834
42963516,42963429,42963437,42963438,42963441,42963454,,52.82,42.28125,55.5,70.0625,77.82875,92.82625,111.002,147.135,49500,2,0,80.87606786,75.42769856,78.11092844,72.66255914,268.313896,75.59151767,70.14314838,72.82637825,67.37800895,24.13636364,3.033923544
42963516,42963429,42963433,42963438,42963499,42963454,,52.44,43.61875,54.4375,65.225,70.50375,80.73,91.90225,137.49,49300,2,0,71.93093375,65.35009061,67.84736608,61.26652294,268.1556801,68.52267501,61.94183187,64.43910734,57.8582642,21.92252207,9.393650293
42963516,42963429,42963431,42963441,42963448,42963450,,52.51,41.41875,56.45,72.125,80.68625,97.40125,117.556,147.93,49900,2,0,83.82595886,78.93678852,81.63692901,76.74775866,267.8476046,77.91456724,73.02539689,75.72553738,70.83636703,24.26682296,32.62085617
