P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429593,42429599,42429724,42429659,42429739,42429644,42429652,42429638,42429723,42429607,98.91,47300,12.42,184.86,0.0411,0.0000
42429599,42429593,42429697,42429678,42429726,42429644,42429770,42429621,42429660,42429606,100.36,47800,17.17,184.86,0.0528,0.0000
42429595,42429593,42429728,42429655,42429670,42429772,42429729,42429606,42429628,42429694,99.05,47200,8.56,178.56,0.0469,0.0000
42429593,42429595,42429705,42429659,42429739,42429609,42429652,42429606,42429669,42429685,99.42,49500,10.44,183.56,0.0557,0.0000
42429595,42429591,42429665,42429634,42429706,42429649,42429719,42429648,42429660,42429617,101.03,48400,12.99,185.71,0.0645,0.0000
42429599,42429593,42429641,42429625,42429678,42429770,42429618,42429606,42429761,42429759,98.68,48100,9.53,183.86,0.0792,0.0000
42429599,42429591,42429641,42429625,42429664,42429795,42429639,42429723,42429621,42429606,103.35,50000,14.74,191.86,0.0440,0.0000
42429595,42429591,42429665,42429608,42429670,42429698,42429729,42429694,42429814,42429606,100.44,48200,9.72,182.56,0.0645,0.0000
42429592,42429593,42429695,42429818,42429715,42429644,42429673,42429621,42429643,42429617,101.33,47900,16.65,186.30,0.0440,0.0000
42429593,42429591,42429668,42429608,42429754,42429706,42429673,42429643,42429617,42429814,102.31,47900,16.17,186.80,0.0792,0.0000
42429596,42429591,42429661,42429619,42429732,42429644,42429616,42429776,42429617,42429643,99.12,50000,9.84,185.20,0.0645,0.0000
42429596,42429593,42429807,42429625,42429670,42429731,42429729,42429628,42429660,42429617,101.28,47300,11.92,184.20,0.0440,0.0000
42429591,42429593,42429627,42429608,42429706,42429698,42429822,42429617,42429648,42429660,102.32,49700,14.72,187.95,0.0821,0.0000
42429595,42429592,42429661,42429619,42429715,42429744,42429616,42429643,42429621,42429716,98.06,49200,9.18,180.06,0.0792,0.0000
42429593,42429591,42429724,42429625,42429739,42429702,42429652,42429617,42429638,42429716,101.57,47800,13.35,184.80,0.0499,0.0000
42429594,42429593,42429695,42429625,42429664,42429772,42429673,42429651,42429606,42429660,101.65,49000,15.88,186.40,0.0675,0.0000
42429593,42429591,42429724,42429659,42429739,42429852,42429652,42429615,42429620,42429621,100.30,48300,16.66,182.80,0.0440,0.0000
42429591,42429595,42429665,42429608,42429754,42429649,42429652,42429617,42429827,42429645,102.14,48800,17.00,187.56,0.0675,0.0000
42429596,42429593,42429641,42429625,42429670,42429644,42429673,42429621,42429660,42429735,102.45,48600,14.56,190.20,0.0587,0.0000
