PG,SG,SF,PF,C,G,F,UTIL
42971732,42971779,42971800,42971738,42971820,42971735,42971772,42971747
42971732,42971767,42971779,42971750,42971761,42971747,42971800,42971772
42971735,42971763,42971767,42971772,42971723,42971813,42971800,42971744
42971735,42971779,42971767,42971772,42971723,42971787,42971800,42971761
42971732,42971822,42971776,42971800,42971723,42971767,42971738,42971772
42971735,42971779,42971757,42971750,42971772,42971744,42971800,42971761
42971747,42971779,42971784,42971772,42971820,42971744,42971738,42971723
42971735,42971779,42971784,42971757,42971772,42971747,42971776,42971738
42971735,42971779,42971767,42971757,42971772,42971744,42971813,42971738
42971732,42971767,42971784,42971772,42971723,42971747,42971776,42971813
42971735,42971822,42971779,42971750,42971723,42971747,42971776,42971772
42971735,42971767,42971779,42971757,42971723,42971813,42971776,42971761
42971822,42971744,42971779,42971772,42971723,42971747,42971767,42971761
42971787,42971767,42971757,42971772,42971820,42971747,42971738,42971723
42971822,42971744,42971757,42971772,42971723,42971735,42971784,42971776
42971747,42971779,42971784,42971728,42971723,42971767,42971800,42971772
42971735,42971767,42971784,42971800,42971723,42971779,42971776,42971738
42971822,42971767,42971757,42971800,42971723,42971735,42971772,42971747
42971732,42971779,42971767,42971750,42971772,42971735,42971776,42971787
42971735,42971763,42971784,42971800,42971723,42971747,42971776,42971772
42971732,42971767,42971813,42971757,42971820,42971744,42971772,42971723
42971732,42971767,42971776,42971772,42971820,42971763,42971738,42971747
42971735,42971763,42971757,42971800,42971772,42971767,42971776,42971738
42971732,42971744,42971757,42971800,42971820,42971735,42971776,42971761
42971732,42971744,42971779,42971757,42971820,42971747,42971750,42971772
42971735,42971779,42971757,42971800,42971820,42971767,42971772,42971721
42971732,42971744,42971767,42971757,42971772,42971747,42971784,42971787
42971735,42971787,42971757,42971772,42971820,42971744,42971779,42971723
42971763,42971767,42971776,42971757,42971761,42971744,42971750,42971772
42971732,42971767,42971784,42971738,42971772,42971744,42971779,42971776
42971747,42971779,42971776,42971750,42971820,42971767,42971738,42971723
42971735,42971787,42971767,42971757,42971772,42971747,42971776,42971761
42971735,42971763,42971776,42971757,42971820,42971744,42971772,42971747
42971732,42971767,42971757,42971800,42971728,42971779,42971772,42971776
42971735,42971744,42971779,42971800,42971820,42971747,42971767,42971723
42971735,42971779,42971800,42971750,42971761,42971732,42971772,42971776
42971735,42971779,42971784,42971772,42971723,42971744,42971800,42971761
42971732,42971767,42971776,42971757,42971772,42971822,42971738,42971747
42971763,42971779,42971767,42971738,42971772,42971735,42971800,42971744
42971822,42971767,42971800,42971772,42971723,42971744,42971738,42971747
42971747,42971767,42971813,42971772,42971820,42971744,42971738,42971723
42971732,42971767,42971800,42971750,42971772,42971779,42971738,42971776
42971735,42971822,42971779,42971800,42971723,42971747,42971772,42971744
42971732,42971779,42971767,42971772,42971761,42971735,42971776,42971813
42971735,42971744,42971779,42971757,42971772,42971732,42971784,42971800
42971735,42971779,42971757,42971738,42971772,42971787,42971767,42971776
42971735,42971822,42971779,42971738,42971723,42971767,42971772,42971776
42971735,42971779,42971784,42971757,42971723,42971747,42971800,42971772
42971822,42971767,42971784,42971772,42971723,42971732,42971776,42971744
42971732,42971767,42971757,42971800,42971772,42971735,42971813,42971747
42971822,42971796,42971767,42971757,42971721,42971732,42971800,42971772
42971735,42971828,42971779,42971772,42971723,42971806,42971800,42971721
42971735,42971813,42971757,42971728,42971723,42971806,42971800,42971772
42971822,42971725,42971813,42971757,42971820,42971744,42971738,42971723
42971796,42971767,42971784,42971757,42971721,42971779,42971772,42971747
42971735,42971763,42971776,42971847,42971820,42971747,42971738,42971723
42971735,42971763,42971828,42971772,42971761,42971732,42971800,42971747
42971735,42971809,42971800,42971750,42971723,42971787,42971738,42971772
42971747,42971779,42971800,42971750,42971820,42971725,42971772,42971723
42971732,42971787,42971784,42971772,42971723,42971735,42971776,42971806
42971735,42971828,42971813,42971757,42971723,42971744,42971772,42971761
42971822,42971767,42971757,42971800,42971723,42971725,42971776,42971761
42971763,42971767,42971784,42971772,42971723,42971725,42971776,42971787
42971732,42971744,42971767,42971757,42971820,42971747,42971741,42971806
42971822,42971763,42971813,42971772,42971820,42971732,42971738,42971721
42971735,42971787,42971779,42971750,42971723,42971744,42971847,42971761
42971763,42971767,42971757,42971750,42971721,42971806,42971813,42971772
42971735,42971744,42971757,42971847,42971761,42971732,42971767,42971813
42971732,42971779,42971813,42971728,42971820,42971806,42971772,42971721
42971809,42971725,42971757,42971800,42971761,42971735,42971784,42971747
42971732,42971787,42971828,42971728,42971723,42971744,42971772,42971847
42971763,42971813,42971784,42971750,42971723,42971747,42971772,42971761
42971763,42971787,42971784,42971800,42971772,42971735,42971738,42971732
42971763,42971796,42971776,42971757,42971728,42971735,42971772,42971787
42971747,42971822,42971784,42971800,42971723,42971725,42971779,42971738
42971763,42971796,42971784,42971750,42971723,42971744,42971776,42971761
42971732,42971822,42971767,42971800,42971721,42971806,42971779,42971738
42971806,42971822,42971757,42971750,42971723,42971744,42971776,42971738
42971822,42971725,42971779,42971728,42971772,42971747,42971757,42971776
42971735,42971796,42971767,42971757,42971723,42971747,42971776,42971818
42971763,42971767,42971784,42971738,42971723,42971806,42971776,42971747
42971732,42971763,42971784,42971772,42971820,42971725,42971776,42971744
42971763,42971744,42971784,42971847,42971723,42971747,42971767,42971761
42971735,42971779,42971757,42971728,42971772,42971787,42971800,42971741
42971806,42971767,42971757,42971750,42971723,42971747,42971772,42971776
42971732,42971779,42971800,42971728,42971772,42971806,42971750,42971744
42971732,42971828,42971784,42971757,42971761,42971747,42971776,42971738
42971732,42971744,42971757,42971750,42971820,42971806,42971800,42971723
42971806,42971767,42971757,42971728,42971723,42971744,42971776,42971847
42971732,42971767,42971757,42971750,42971772,42971787,42971738,42971813
42971732,42971822,42971776,42971750,42971723,42971787,42971772,42971761
42971732,42971763,42971767,42971728,42971761,42971787,42971813,42971772
42971822,42971744,42971741,42971757,42971772,42971732,42971750,42971800
42971735,42971828,42971757,42971800,42971723,42971747,42971776,42971761
42971735,42971763,42971779,42971750,42971761,42971787,42971772,42971747
42971735,42971822,42971779,42971757,42971761,42971806,42971776,42971721
42971735,42971787,42971767,42971757,42971723,42971747,42971784,42971806
42971763,42971767,42971800,42971728,42971723,42971806,42971776,42971761
42971763,42971822,42971757,42971772,42971761,42971787,42971767,42971721
42971732,42971763,42971800,42971750,42971820,42971744,42971738,42971772
42971735,42971763,42971767,42971847,42971723,42971732,42971800,42971787
42971822,42971779,42971757,42971738,42971820,42971747,42971772,42971721
42971809,42971767,42971828,42971772,42971721,42971732,42971776,42971761
42971732,42971809,42971767,42971772,42971723,42971735,42971776,42971818
42971732,42971809,42971784,42971728,42971761,42971747,42971772,42971776
42971732,42971809,42971767,42971738,42971820,42971806,42971776,42971721
42971806,42971763,42971757,42971750,42971728,42971747,42971800,42971772
42971806,42971767,42971779,42971738,42971728,42971787,42971776,42971723
42971787,42971779,42971784,42971757,42971761,42971747,42971750,42971725
42971732,42971787,42971813,42971750,42971820,42971735,42971772,42971723
42971763,42971813,42971741,42971757,42971772,42971735,42971750,42971776
42971822,42971763,42971767,42971738,42971723,42971744,42971813,42971761
42971735,42971763,42971784,42971757,42971761,42971787,42971738,42971776
42971822,42971763,42971779,42971772,42971761,42971735,42971813,42971721
42971806,42971779,42971757,42971728,42971820,42971747,42971738,42971744
42971809,42971744,42971776,42971738,42971820,42971735,42971772,42971723
42971763,42971779,42971767,42971847,42971820,42971747,42971738,42971721
42971735,42971822,42971800,42971750,42971723,42971732,42971772,42971806
42971844,42971763,42971767,42971772,42971723,42971732,42971776,42971761
42971809,42971744,42971784,42971728,42971772,42971732,42971738,42971813
42971732,42971828,42971776,42971800,42971820,42971735,42971738,42971723
42971732,42971779,42971741,42971750,42971820,42971747,42971776,42971761
42971806,42971779,42971757,42971750,42971728,42971747,42971776,42971761
42971735,42971767,42971757,42971800,42971847,42971744,42971738,42971747
42971809,42971767,42971813,42971750,42971723,42971735,42971772,42971747
42971735,42971767,42971784,42971757,42971723,42971796,42971813,42971744
42971732,42971725,42971757,42971800,42971820,42971747,42971767,42971776
42971763,42971787,42971784,42971728,42971772,42971744,42971757,42971761
42971809,42971767,42971784,42971738,42971723,42971744,42971776,42971761
42971735,42971744,42971779,42971757,42971728,42971806,42971772,42971776
42971844,42971779,42971784,42971772,42971721,42971732,42971776,42971761
42971735,42971767,42971776,42971851,42971723,42971725,42971800,42971772
42971735,42971744,42971757,42971728,42971820,42971813,42971847,42971723
42971844,42971767,42971757,42971772,42971721,42971747,42971800,42971761
42971732,42971744,42971757,42971800,42971723,42971844,42971784,42971761
42971732,42971787,42971828,42971738,42971772,42971735,42971776,42971747
42971763,42971813,42971757,42971728,42971772,42971725,42971784,42971776
42971732,42971767,42971784,42971757,42971818,42971735,42971800,42971738
42971735,42971763,42971757,42971750,42971723,42971787,42971851,42971772
42971732,42971796,42971767,42971757,42971820,42971787,42971776,42971721
42971809,42971725,42971757,42971772,42971820,42971735,42971800,42971723
42971844,42971787,42971757,42971750,42971723,42971747,42971738,42971776
42971735,42971787,42971757,42971728,42971820,42971806,42971776,42971723
42971747,42971809,42971757,42971750,42971723,42971767,42971800,42971761
42971732,42971744,42971767,42971847,42971820,42971747,42971776,42971723
42971822,42971813,42971757,42971750,42971723,42971735,42971800,42971738
42971732,42971796,42971757,42971728,42971820,42971787,42971800,42971723
42971822,42971779,42971757,42971772,42971761,42971744,42971784,42971721
42971735,42971767,42971791,42971757,42971723,42971787,42971750,42971800
42971806,42971779,42971784,42971750,42971723,42971747,42971757,42971744
42971735,42971796,42971784,42971847,42971723,42971787,42971779,42971721
42971732,42971787,42971784,42971800,42971723,42971735,42971813,42971761
42971787,42971744,42971828,42971757,42971723,42971725,42971776,42971772
42971735,42971779,42971813,42971728,42971723,42971747,42971772,42971851
42971822,42971767,42971757,42971772,42971723,42971813,42971784,42971721
42971763,42971809,42971767,42971728,42971772,42971747,42971738,42971800
42971763,42971809,42971767,42971728,42971772,42971744,42971813,42971725
42971763,42971779,42971767,42971750,42971761,42971744,42971738,42971787
42971735,42971763,42971813,42971750,42971818,42971732,42971772,42971744
42971747,42971767,42971779,42971757,42971772,42971744,42971800,42971725
42971809,42971779,42971767,42971728,42971761,42971747,42971776,42971738
42971763,42971787,42971800,42971750,42971723,42971744,42971772,42971761
42971732,42971767,42971784,42971750,42971723,42971744,42971813,42971806
42971844,42971763,42971757,42971738,42971761,42971822,42971776,42971721
42971822,42971725,42971757,42971772,42971820,42971732,42971776,42971735
42971735,42971767,42971757,42971738,42971723,42971787,42971813,42971818
42971763,42971822,42971776,42971750,42971772,42971809,42971738,42971721
42971735,42971763,42971776,42971728,42971820,42971732,42971772,42971806
42971732,42971787,42971784,42971800,42971820,42971747,42971738,42971723
42971822,42971744,42971779,42971728,42971772,42971732,42971776,42971761
42971809,42971744,42971767,42971750,42971723,42971735,42971776,42971806
42971732,42971763,42971757,42971738,42971820,42971735,42971776,42971813
42971809,42971744,42971767,42971757,42971723,42971725,42971776,42971820
42971809,42971763,42971784,42971738,42971772,42971787,42971767,42971721
42971809,42971779,42971800,42971728,42971761,42971744,42971750,42971738
42971822,42971725,42971784,42971772,42971723,42971747,42971776,42971761
42971735,42971744,42971779,42971738,42971820,42971732,42971767,42971806
42971732,42971822,42971767,42971800,42971761,42971763,42971741,42971744
42971822,42971787,42971813,42971738,42971723,42971732,42971772,42971747
42971732,42971779,42971784,42971800,42971721,42971806,42971772,42971747
42971763,42971767,42971784,42971757,42971761,42971732,42971800,42971747
42971732,42971787,42971767,42971750,42971723,42971747,42971784,42971847
42971763,42971725,42971779,42971772,42971820,42971735,42971813,42971723
42971809,42971744,42971784,42971750,42971723,42971732,42971800,42971772
42971844,42971763,42971776,42971757,42971820,42971732,42971772,42971721
42971735,42971744,42971779,42971728,42971847,42971747,42971757,42971787
42971747,42971767,42971784,42971800,42971723,42971725,42971813,42971761
42971806,42971744,42971776,42971750,42971820,42971725,42971772,42971723
42971732,42971767,42971784,42971728,42971723,42971787,42971851,42971772
