PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-145323,128363-179762,128363-68090,128363-203761,128363-157850,128363-188405,128363-84695,128363-188444,128363-58462,303.80,59300,9.71,381.03,1.9461,0.0147
128363-145323,128363-145331,128363-84667,128363-188464,128363-171795,128363-157833,128363-145339,128363-194829,128363-80817,310.20,60000,21.98,414.88,20.6473,0.1003
128363-158373,128363-49675,128363-171769,128363-158854,128363-188464,128363-110312,128363-67026,128363-12341,128363-80817,288.80,59400,6.06,371.88,5.0043,0.0250
128363-171784,128363-84667,128363-228124,128363-9714,128363-188452,128363-157833,128363-203761,128363-145314,128363-159097,294.00,59900,8.31,373.19,4.8341,0.0143
128363-228133,128363-188410,128363-68090,128363-12341,128363-145323,128363-49675,128363-49116,128363-80808,128363-203771,286.50,59700,7.24,364.35,3.2074,0.0130
128363-145323,128363-145331,128363-171672,128363-188464,128363-157833,128363-145341,128363-60021,128363-58462,128363-157825,316.60,59600,17.39,407.85,16.6379,0.0820
128363-145331,128363-158373,128363-179762,128363-171784,128363-203761,128363-171795,128363-70823,128363-58462,128363-60021,319.10,59600,18.68,409.97,8.0851,0.0577
128363-158373,128363-145331,128363-80817,128363-194829,128363-213216,128363-67026,128363-84695,128363-9646,128363-203771,299.90,58600,8.37,373.92,6.9700,0.0400
128363-145331,128363-84667,128363-188464,128363-179762,128363-171795,128363-203761,128363-60021,128363-49116,128363-80817,319.20,60000,23.17,425.64,24.5227,0.1300
128363-145323,128363-145331,128363-188464,128363-179762,128363-12341,128363-171795,128363-80817,128363-60021,128363-188451,314.70,59100,24.18,425.00,30.1790,0.1433
128363-171784,128363-145323,128363-171795,128363-158855,128363-157850,128363-110356,128363-9646,128363-9714,128363-145548,284.80,58400,10.85,369.27,1.8413,0.0090
128363-145331,128363-179762,128363-145323,128363-188464,128363-110357,128363-203761,128363-194829,128363-60021,128363-58462,320.50,59400,27.16,421.02,18.8563,0.1143
128363-158373,128363-145331,128363-145323,128363-188464,128363-84695,128363-145334,128363-171795,128363-157822,128363-60021,320.40,60000,15.29,401.48,9.7693,0.0490
128363-145323,128363-19067,128363-158855,128363-188444,128363-157826,128363-145335,128363-157822,128363-110357,128363-157825,279.00,57800,5.64,345.68,0.9387,0.0010
128363-84667,128363-145335,128363-203761,128363-80817,128363-188464,128363-110312,128363-157833,128363-188418,128363-157825,307.50,60000,14.12,392.12,6.5045,0.0303
128363-203713,128363-19067,128363-188418,128363-80808,128363-84667,128363-110312,128363-171770,128363-84695,128363-157825,293.20,59600,8.88,366.80,2.3056,0.0087
128363-84667,128363-145323,128363-60021,128363-157908,128363-171672,128363-179762,128363-12341,128363-188449,128363-80817,296.70,58600,15.44,399.40,4.7985,0.0373
128363-203713,128363-145331,128363-9646,128363-171770,128363-145334,128363-188464,128363-84695,128363-203767,128363-55059,275.80,59900,3.57,357.14,6.0586,0.0240
128363-110312,128363-188405,128363-171795,128363-145314,128363-203713,128363-171784,128363-145341,128363-12341,128363-188451,285.30,59000,8.12,368.41,0.7635,0.0113
128363-179762,128363-228133,128363-145304,128363-58153,128363-84667,128363-67026,128363-157904,128363-171770,128363-145548,275.90,58900,7.29,364.02,0.9236,0.0080
128363-49675,128363-158373,128363-158855,128363-203761,128363-67026,128363-84670,128363-9646,128363-110357,128363-203787,287.30,59600,7.55,360.98,0.4174,0.0043
128363-203777,128363-145331,128363-60021,128363-40562,128363-84670,128363-188464,128363-228124,128363-80808,128363-157825,293.40,59800,8.30,382.93,3.9189,0.0203
128363-203718,128363-157850,128363-80817,128363-68090,128363-145323,128363-67026,128363-188456,128363-145334,128363-159097,290.30,59100,9.03,373.63,1.7231,0.0103
128363-145323,128363-228161,128363-188444,128363-58462,128363-203718,128363-67026,128363-84695,128363-203761,128363-80817,307.40,59300,9.34,380.90,0.9806,0.0143
128363-157850,128363-228161,128363-80817,128363-58462,128363-188464,128363-171672,128363-9646,128363-80808,128363-55059,285.70,59500,6.96,374.34,5.1333,0.0290
128363-203713,128363-188405,128363-80817,128363-68090,128363-228133,128363-179762,128363-12341,128363-84670,128363-203787,279.60,60000,7.07,367.62,1.8564,0.0090
128363-203713,128363-158373,128363-9646,128363-203761,128363-84667,128363-171784,128363-110357,128363-12341,128363-110359,288.70,59800,5.95,360.83,2.0156,0.0033
128363-203798,128363-188405,128363-49116,128363-80808,128363-228133,128363-188464,128363-171770,128363-158855,128363-157825,287.40,60000,8.47,367.30,3.6034,0.0207
128363-203777,128363-49675,128363-70823,128363-188449,128363-19067,128363-9714,128363-157822,128363-157826,128363-60021,281.00,58700,6.22,354.91,0.1848,0.0027
128363-179762,128363-158373,128363-145323,128363-84667,128363-157822,128363-67026,128363-171770,128363-171795,128363-157825,310.20,59700,16.91,394.04,4.2060,0.0247
128363-158373,128363-203718,128363-58462,128363-12341,128363-203713,128363-67026,128363-49116,128363-68090,128363-70823,291.40,58800,9.38,370.54,2.0357,0.0097
128363-203721,128363-145331,128363-188464,128363-179762,128363-203761,128363-12341,128363-171770,128363-60021,128363-188451,312.30,60000,16.77,411.23,24.1426,0.0980
128363-171784,128363-49675,128363-60021,128363-188422,128363-188405,128363-213216,128363-12341,128363-203802,128363-157811,292.70,59500,9.39,369.71,1.9209,0.0107
128363-110356,128363-49675,128363-194829,128363-157833,128363-157850,128363-203713,128363-228124,128363-84670,128363-157825,282.10,59400,8.10,366.94,3.4601,0.0157
128363-203718,128363-145331,128363-110312,128363-145323,128363-145334,128363-49116,128363-80817,128363-158855,128363-159097,302.60,59700,13.67,389.38,5.0977,0.0280
128363-179762,128363-19067,128363-145323,128363-188464,128363-157833,128363-145334,128363-203761,128363-171770,128363-188451,311.20,59900,17.30,393.06,9.1160,0.0327
128363-188405,128363-203777,128363-188452,128363-9646,128363-188464,128363-145323,128363-67026,128363-157826,128363-157825,285.50,59000,7.09,360.76,2.6534,0.0100
128363-80816,128363-157850,128363-158855,128363-80817,128363-203777,128363-145323,128363-157822,128363-188422,128363-203771,281.60,58300,5.37,358.88,0.4584,0.0043
128363-157850,128363-49675,128363-110357,128363-84670,128363-157822,128363-84695,128363-60021,128363-188452,128363-158137,292.80,59900,8.24,376.18,1.6883,0.0083
128363-145331,128363-228161,128363-188464,128363-157850,128363-67026,128363-171795,128363-60021,128363-203761,128363-157825,316.60,59900,18.90,407.90,11.0105,0.0653
128363-145331,128363-145323,128363-179762,128363-188464,128363-84670,128363-188449,128363-60021,128363-58462,128363-80817,314.20,59600,23.25,421.60,13.5344,0.0927
128363-49675,128363-179762,128363-60021,128363-203761,128363-203718,128363-67026,128363-84695,128363-80808,128363-70823,310.40,59200,17.46,394.34,6.8598,0.0343
128363-19067,128363-145331,128363-194829,128363-188422,128363-228133,128363-80816,128363-203802,128363-171770,128363-188451,281.00,59100,6.86,361.69,2.5067,0.0147
128363-145323,128363-145331,128363-67026,128363-188464,128363-171795,128363-84695,128363-60021,128363-203761,128363-159097,323.90,60000,19.65,413.66,19.2255,0.0910
128363-203713,128363-157850,128363-80808,128363-188452,128363-110357,128363-110356,128363-84695,128363-171795,128363-157825,283.10,58000,10.21,366.18,4.3040,0.0180
128363-84667,128363-145331,128363-179762,128363-188464,128363-203761,128363-12341,128363-145339,128363-60021,128363-58462,318.60,59900,25.45,424.98,31.2102,0.1393
128363-84667,128363-179762,128363-188464,128363-110312,128363-203761,128363-171795,128363-60021,128363-80817,128363-58462,321.50,60000,26.46,427.10,23.0669,0.1260
128363-145323,128363-80816,128363-80808,128363-188424,128363-67026,128363-228124,128363-145341,128363-12341,128363-157825,276.90,59000,4.45,362.03,1.4093,0.0050
128363-145335,128363-203718,128363-171770,128363-60021,128363-9714,128363-157850,128363-158854,128363-188418,128363-80817,286.30,59900,6.58,372.88,1.2354,0.0127
128363-145323,128363-158373,128363-145334,128363-19067,128363-157833,128363-84695,128363-60021,128363-145548,128363-58462,311.30,60000,10.64,385.18,6.3079,0.0283
128363-188405,128363-179762,128363-80817,128363-158855,128363-145334,128363-203727,128363-157822,128363-171795,128363-228122,295.10,59500,8.64,373.06,2.4653,0.0140
128363-203718,128363-145331,128363-84667,128363-228161,128363-145341,128363-157833,128363-145314,128363-203761,128363-60021,315.30,60000,13.09,394.97,8.7174,0.0467
128363-145331,128363-84667,128363-110356,128363-188464,128363-145341,128363-203761,128363-60021,128363-70823,128363-58462,319.00,59900,18.83,409.69,11.9688,0.0730
128363-84667,128363-171784,128363-203718,128363-145323,128363-157833,128363-188418,128363-80817,128363-60021,128363-159097,311.70,59600,15.97,399.55,9.9151,0.0537
128363-84667,128363-145331,128363-228118,128363-203718,128363-188444,128363-157833,128363-80817,128363-194829,128363-157811,294.50,59500,10.46,386.16,3.3406,0.0200
128363-145323,128363-145331,128363-80808,128363-49116,128363-179762,128363-171784,128363-145334,128363-84695,128363-70823,305.60,60000,14.24,387.81,3.4504,0.0177
128363-110312,128363-145331,128363-157851,128363-171795,128363-171784,128363-228133,128363-188452,128363-188444,128363-157825,285.10,59900,7.03,368.15,1.5790,0.0117
