P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429595,42429591,42429728,42429623,42429754,42429654,42429613,42429660,42429812,42429607,101.23,49200,16.03,184.56,3.3616,0.0000
42429595,42429591,42429665,42429608,42429710,42429840,42429629,42429610,42429814,42429628,99.09,49000,8.55,181.56,3.3587,0.0000
42429594,42429591,42429668,42429623,42429754,42429744,42429673,42429617,42429621,42429648,99.78,49100,17.43,184.40,3.3557,0.0000
42429591,42429595,42429697,42429608,42429706,42429649,42429757,42429663,42429621,42429648,99.78,49000,11.92,183.56,3.3557,0.0000
42429595,42429594,42429665,42429625,42429670,42429654,42429618,42429646,42429628,42429814,98.96,48900,9.76,179.16,3.3088,0.0000
42429599,42429592,42429728,42429625,42429706,42429609,42429742,42429660,42429621,42429617,100.09,50000,15.55,185.36,3.3029,0.0000
42429595,42429593,42429627,42429659,42429706,42429739,42429652,42429753,42429611,42429621,99.58,48700,17.78,181.56,3.3029,0.0000
42429591,42429596,42429661,42429625,42429664,42429609,42429727,42429735,42429660,42429621,99.82,49800,18.01,186.20,3.2883,0.0000
42429592,42429593,42429665,42429608,42429664,42429649,42429822,42429617,42429628,42429754,100.50,49600,17.08,184.45,3.2853,0.0000
42429592,42429593,42429641,42429623,42429739,42429654,42429729,42429812,42429607,42429621,99.26,49500,10.75,184.30,3.2824,0.0000
42429596,42429591,42429807,42429625,42429686,42429654,42429613,42429812,42429607,42429660,99.46,49000,13.18,183.20,3.2795,0.0000
42429595,42429594,42429807,42429608,42429710,42429649,42429616,42429617,42429827,42429615,99.72,50000,11.81,183.16,3.2765,0.0000
42429596,42429593,42429675,42429625,42429686,42429644,42429613,42429716,42429669,42429621,99.90,49600,15.29,185.20,3.2736,0.0000
42429599,42429592,42429728,42429625,42429710,42429744,42429613,42429621,42429660,42429645,99.87,48300,16.56,185.36,3.2648,0.0000
42429593,42429595,42429724,42429614,42429739,42429649,42429652,42429620,42429823,42429617,98.21,48600,14.42,179.56,3.2619,0.0000
42429596,42429595,42429675,42429623,42429653,42429644,42429673,42429795,42429628,42429621,98.11,48600,13.88,181.96,3.2589,0.0000
42429593,42429604,42429668,42429608,42429678,42429649,42429729,42429615,42429617,42429642,98.64,49800,12.81,184.80,3.2384,0.0000
42429595,42429596,42429695,42429625,42429664,42429795,42429613,42429660,42429607,42429754,99.34,48800,19.58,182.96,3.2179,0.0000
42429593,42429604,42429668,42429634,42429706,42429649,42429652,42429617,42429620,42429622,97.44,49600,12.29,183.80,3.2179,0.0000
42429593,42429595,42429724,42429625,42429739,42429644,42429822,42429611,42429620,42429640,100.57,48800,12.62,180.71,3.2149,0.0000
42429592,42429591,42429661,42429655,42429664,42429644,42429616,42429645,42429643,42429776,99.77,49100,11.95,184.30,3.2120,0.0000
42429595,42429593,42429724,42429646,42429739,42429702,42429652,42429607,42429645,42429617,99.16,49200,11.44,180.56,3.2091,0.0000
