P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42684324,42684332,42684477,42684373,42684482,42684344,42684346,42684425,42684530,42684446,,96.44,75.25,93,113.4999981,124.7074974,144.4374939,175.0014999,110.91,49800,1,95.8,93.19419444,89.8699527,92.19629786,6.925919441,88.76187212,87.76397554,175.3561691,91.08821728,90.86784928,90.0903207,35.86095572
42684324,42684332,42684412,42684373,42684372,42684440,42684346,42684488,42684532,42684376,,97.8,77.47500038,95.25,115.4624958,126.4075008,143.6699944,176.1504939,140.27,50000,1,70.8,92.85112571,88.47693641,91.39999944,10.17402059,87.01887331,85.56774704,175.9972795,89.94193634,89.92806268,88.49081007,23.66648018
42684325,42684332,42684441,42684414,42684350,42684370,42684348,42684569,42684511,42684451,,95.49,75.98770142,94.4876976,114.2877045,126.4526981,144.2076988,172.9476984,125.68,48800,1,59.55,92.04112877,88.53662109,90.92359424,7.928611649,87.36845187,86.25091734,174.7916595,89.75542502,89.65415562,88.63789049,49.1656214
42684324,42684331,42684423,42684357,42684401,42684384,42684381,42684599,42684361,42684503,,85.54,73.90000153,92,113.0625019,123.6575008,144.4474945,177.0014999,111.62,49600,1,41.65,91.7002972,87.88130865,91.02623348,10.04876682,86.60831247,85.93424874,172.0129574,89.75323729,88.55537238,89.07917357,9.897061437
42684332,42684329,42684441,42684352,42684437,42684358,42684348,42684488,42684380,42684489,,95.96,76.6692009,94.03170013,112.9692001,123.2542038,147.3566956,176.1837016,130.35,49600,1,94.2,92.20100211,87.8579857,90.9378409,11.20000162,86.41031357,85.14715236,174.6123558,89.49016877,89.12114691,88.22700756,19.24307793
42684333,42684335,42684521,42684351,42684457,42684344,42684504,42684341,42684383,42684425,,88.61,70.42854881,86.59105301,105.9660492,118.0735546,136.6385582,170.2700522,70.53,49600,1,145.4,90.27114788,88.20021556,90.17670098,5.402955517,87.50990479,87.41545788,170.1851447,89.4863902,88.29466247,89.39194329,10.35312787
42684327,42684331,42684423,42684464,42684401,42684384,42684381,42684445,42684481,42684361,,82.45,69.59999847,88.77500153,108.7749977,121.8300026,143.902494,174.507,97.91,48500,1,23.49666667,90.68877581,87.67782821,90.45681974,8.290702887,86.67417901,86.44222294,170.0512727,89.45317054,87.90978428,89.22121447,-1.195904147
42684324,42684332,42684477,42684373,42684482,42684370,42684346,42684513,42684522,42684360,,95.97,77.55000305,94.25,114.0500031,125.6725018,148.622506,174.4704939,116.34,49000,1,69.8,91.96610058,87.94709354,90.73765938,8.846341111,86.60742453,85.37898333,174.6465898,89.39799037,89.17553474,88.16954917,22.32825458
42684332,42684335,42684483,42684373,42684482,42684344,42684346,42684495,42684446,42684360,,94.82,75.30000305,94.02500153,113.1749992,124,145.6574944,174.573503,110.49,48900,1,117.6,91.75153871,87.87736882,90.68772711,10.02873001,86.58597885,85.52216725,173.8585228,89.39633715,88.94118042,88.33252555,37.47455776
42684324,42684327,42684438,42684373,42684350,42684604,42684346,42684530,42684451,42684446,,93.53,73.78750229,90.625,109.0125008,120.3225021,140.6125061,171.8205031,110.17,49400,1,65.24666667,91.26872273,88.09930013,90.40976549,6.828306385,87.04282594,86.18386869,173.3346658,89.35329129,88.95825738,88.49433404,11.55800894
