P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42716634,42717157,42716743,42716721,42716652,42716668,42716880,42716711,42716670,42716664,,109.5,87.15450096,106.8420029,127.9669952,138.4319931,163.0319984,188.4765103,141.66,49900,1,43.25,85.12639244,81.68767927,83.476496,80.03778283,169.5808767,81.40983871,77.97112555,79.75994227,76.32122911,8.537705027,45.11227906
42717212,42716628,42716686,42716761,42716652,42716668,42716788,42716755,42716664,42716670,,118.4,96.43749619,116.0499992,137.7124977,148.3075035,170.3200027,198.4524969,215.61,49900,1,98.1,87.26348717,81.68072138,84.41561804,78.83285225,173.6349336,81.90666632,76.32390054,79.05879719,73.47603141,17.30981847,106.8379521
42717212,42716631,42716812,42716767,42716652,42716808,42716654,42716649,42716664,42716670,,103.9,84.97555161,102.0880508,123.5630474,133.8255554,153.3405434,191.7410524,142.05,49900,1,96.65,84.35571673,81.61310439,83.368111,80.62549866,165.9070571,80.07830263,77.33569029,79.0906969,76.34808456,6.608141889,0.310127041
42717157,42717212,42716686,42716696,42716652,42716668,42716693,42716670,42716711,42716664,,113.77,92.53750229,113.2250023,134.8000031,146.3000031,165.6150055,195.2810001,182.63,49500,1,82.55,86.23459613,81.60983324,83.98095525,79.35619235,171.2691139,81.37487099,76.75010809,79.1212301,74.4964672,14.01740707,50.49965382
42717212,42716631,42716686,42716716,42716652,42716668,42716693,42716664,42716755,42716711,,115.79,93.07555008,114.4130478,134.7005501,147.4605484,166.8880463,195.7555524,194.27,49600,1,84.65,86.57123819,81.56195,84.05267268,79.04338449,172.3795034,81.61763567,76.60834748,79.09907016,74.08978197,17.8280693,73.12875986
42716634,42717157,42716743,42716721,42716652,42716668,42716809,42716756,42716670,42716664,,105.32,85.55450058,104.9669991,125.1794987,135.5544983,156.7195099,189.3190013,133.49,49900,1,46.25,84.36913918,81.51607179,83.20735964,80.35429225,166.9832168,80.45705515,77.60398776,79.29527562,76.44220823,7.249069123,21.03737146
42717212,42716628,42716743,42716826,42716652,42716668,42716693,42716739,42716670,42716664,,113.91,94.10000038,112.9499969,133.5374985,146.6675056,165.5525032,196.0064999,191.83,49800,1,77.1,86.2203361,81.4818957,83.92187834,79.18343794,171.2249287,81.19884597,76.46040557,78.9003882,74.16194781,10.02084077,87.47470975
42717212,42716631,42716686,42716680,42716775,42716712,42716693,42716664,42716652,42716670,,113.84,93.37554932,111.6130486,130.100544,142.3530441,163.3730438,190.6895493,170.11,49900,1,130.65,85.80706348,81.40331583,83.54792732,79.14417968,171.768903,81.63236516,77.22861752,79.37322901,74.96948136,13.45643506,65.16831517
42716634,42717157,42716686,42716701,42716731,42716668,42716693,42716723,42716755,42716664,,112.85,89.74199867,110.6169968,132.0794983,143.8395004,165.8195015,195.9209923,186.25,49700,1,86.25,85.9655044,81.37364723,83.78249491,79.19063773,170.5789975,80.92197087,76.33011369,78.73896137,74.14710419,16.83874865,63.50736618
42717157,42716634,42716743,42716805,42716652,42716668,42716758,42716755,42716664,42716670,,109.18,86.97949982,107.1920013,127.2794971,139.3970039,165.5294983,191.4764952,156.12,49500,1,51.25,85.04640208,81.35232864,83.35607249,79.66199904,168.9372258,80.72550012,77.03142668,79.03517053,75.34109708,9.735536279,58.16733837
42716636,42716631,42716697,42716805,42716652,42716668,42716693,42716889,42716664,42716755,,111.06,90.23339653,108.7958984,128.5083961,141.1034019,165.7483955,196.1963924,185.88,50000,1,66.55,85.66357705,81.34209727,83.69728419,79.37580441,169.4903945,80.56430918,76.24282941,78.59801632,74.27653654,14.14262083,46.71300352
42717212,42716636,42716676,42716761,42716652,42716668,42716693,42716664,42716711,42716670,,116.54,95.4028492,115.1528511,136.1278534,146.5578468,166.9853447,195.5928503,200.27,49600,1,75.1,86.52064032,81.3141744,83.868161,78.66169508,172.7540612,81.51115982,76.3046939,78.85868051,73.65221458,16.68329631,98.49455953
