P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42748886,42748879,42748978,42748932,42749038,42748891,42748990,42748912,42748951,42748897,,88.16,66.8008461,86.2758522,106.9633522,117.5383533,136.9258484,168.7018513,109.11,48400,1,54.1,88.56897596,86.75061924,87.91415765,86.09580092,169.8095704,85.73317905,83.91482233,85.07836074,83.26000401,6.486380729,19.94006336
42748889,42748879,42748923,42748932,42748930,42748891,42748990,42748929,42748951,42748897,,92.56,72.89890099,90.98639679,110.6989002,122.7639027,140.7613983,168.9633954,127.1,49600,1,46.15,89.48843514,86.75016429,88.15602594,85.41775509,172.9252103,86.60325937,83.86498852,85.27085017,82.53257932,0,30.13377786
42748879,42748883,42748923,42749008,42748930,42748891,42748924,42748929,42749016,42748937,,92.99,73.62389946,89.78639984,108.5238991,119.3614044,141.8464012,164.8659044,111,49000,1,80.75,89.24442049,86.71493212,87.87872911,85.34924075,173.7611858,87.11872088,84.58923252,85.75302951,83.22354115,0,39.57868218
42748889,42748879,42749017,42748900,42748903,42748891,42748910,42748937,42748988,42748963,,93.38,74.49889755,91.81140137,109.8239021,120.1439018,140.9139069,171.0173984,143.27,49500,1,58.15,89.78410453,86.71009764,88.29988211,85.22587522,173.2283271,86.49897354,83.42496665,85.01475112,81.94074424,10.73001707,55.69314957
42748889,42748883,42749017,42748900,42748928,42748891,42748910,42748963,42748956,42748897,,93.4,74.59999847,91.02499771,108.2124977,121.5575024,142.2049973,172.158994,149.47,48900,1,55.8,89.75703806,86.53444001,88.22972752,85.00712947,173.033686,86.19848606,82.97588801,84.67117552,81.44857747,12.60063818,30.40915728
42748889,42748879,42748916,42748907,42748928,42748891,42748924,42748922,42748989,42749036,,89.99,70.78639984,89.03639984,106.5614014,117.0839016,136.6439041,162.0824014,87.11,48700,1,87.15,88.29279846,86.52236952,87.38147243,85.61104349,171.9158333,86.62681577,84.85638684,85.71548974,83.9450608,5.998539127,37.91773915
42748889,42748879,42748923,42748932,42749038,42748891,42748990,42748912,42748929,42748897,,91.41,68.79890442,87.66139984,107.898901,118.7688988,137.7513954,165.0684013,104.37,49000,1,44.15,88.79094475,86.49666171,87.62937495,85.33509191,172.5305232,86.55437484,84.2600918,85.39280504,83.098522,0,65.7361567
42748881,42748883,42748978,42749037,42748909,42748891,42748918,42748915,42748905,42749014,,91.73,70.73749924,88.72499847,108.5625019,121.3649982,139.7625,172.0680031,148.73,49700,1,66.05,89.37908005,86.49020578,88.10146701,85.21259274,171.8352662,85.82290941,82.93403514,84.54529637,81.65642209,10.79555518,37.4874413
42748879,42748883,42748978,42749008,42748974,42748891,42748981,42748912,42748929,42748897,,93.63,71.5489006,90.56139755,110.473896,120.5764011,140.8814041,165.2193953,118.06,49600,1,69.75,89.23922646,86.47084189,87.73133709,84.96295252,174.0914674,86.96563021,84.19724564,85.45774084,82.68935627,0,76.17078424
42748879,42748883,42748978,42748896,42749038,42748891,42748981,42748912,42749015,42748929,,90.38,69.71140099,87.11139679,106.2738991,116.1189037,136.0188988,163.7168953,98.81,48800,1,71.75,88.436403,86.43352335,87.43505294,85.43217328,171.9500962,86.4331643,84.43028464,85.43181423,83.42893458,0,51.61824226
42748886,42748879,42748978,42748907,42749019,42748891,42748924,42748937,42748912,42749016,,88.11,65.87584877,86.07585144,105.4758511,117.0158466,134.5033539,162.8173424,85.24,48300,1,80.1,87.87313561,86.38674199,87.22072058,85.73432696,170.4277777,86.02361487,84.53722125,85.37119984,83.88480622,5.467342377,38.0510807
42748881,42748886,42748978,42748907,42748928,42748891,42748990,42748912,42748929,42748989,,86.62,66.36445045,82.46445084,104.7269516,115.7969509,136.589447,163.308959,80.5,48600,1,38.4,87.58683572,86.35896905,87.15376305,85.92589638,169.286959,85.63552639,84.40765972,85.20245372,83.97458705,0,-3.609865904
42748879,42748883,42748978,42748896,42749038,42748891,42748924,42748937,42749016,42748960,,91.82,71.18639755,88.76139832,107.0113983,117.9188992,136.3788895,163.6274043,106.23,48600,1,90.75,88.6607139,86.33824264,87.42339925,85.10092798,172.9611177,86.64255874,84.32008748,85.40524408,83.08277282,6.043282421,46.50205076
42748881,42748879,42748992,42748900,42748955,42748936,42748910,42748960,42748988,42748963,,95.19,78.69890213,95.93639755,113.1238976,123.1988998,141.9214073,176.6223892,189.11,48100,1,71.4,90.32812927,86.33777467,88.45141257,84.46105797,173.6616472,85.8639323,81.8735777,83.98721559,79.99686099,15.76213194,21.02448344
42748879,42748888,42748923,42748925,42748930,42748895,42749010,42748908,42748897,42748951,,92.21,74.68640327,92.36140442,112.473896,123.1139011,143.8713898,176.6664075,172.72,50000,1,78.8,89.69645115,86.29967739,88.2701661,84.87339234,171.5095698,85.21127006,81.81449631,83.78498502,80.38821126,14.12674103,24.6346429
42748879,42748883,42749039,42748896,42748974,42748891,42748924,42748912,42749048,42749016,,90.82,71.87340164,89.22340393,107.0484047,118.6884018,139.4909035,165.6839009,115.15,48200,1,93.75,88.57296093,86.28121437,87.4602094,85.16846284,171.9551939,86.14872734,83.85698078,85.03597581,82.74422925,7.563933028,37.91773915
42748889,42748879,42748978,42748904,42748903,42748891,42748924,42748912,42749016,42748937,,90.76,68.64890099,87.41139984,107.6989002,116.9689022,135.481395,159.8369014,81.21,50000,1,61.15,88.09888947,86.24882293,87.04497009,85.19490354,172.6717949,86.76436738,84.91430083,85.71044799,83.86038145,5.079796961,119.2688584
42748886,42748879,42748978,42748907,42749038,42748891,42748924,42748912,42748937,42748958,,88,66.68835068,84.95085144,104.6633492,116.2008514,136.2758545,161.9608514,81.77,48800,1,61.1,87.69125032,86.24439078,87.04004677,85.59318723,170.4144158,85.95548591,84.50862637,85.30428236,83.85742282,5.178725584,48.61906767
