P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42441364,42441371,42441569,42441401,42441418,42441390,42441649,42441565,42441396,42441718,98.62,49000,5.95,182.10,0.0381,0.0000
42441366,42441364,42441720,42441406,42441454,42441434,42441491,42441398,42441433,42441579,103.91,49600,20.42,190.70,0.0616,0.0000
42441365,42441364,42441719,42441406,42441425,42441429,42441432,42441396,42441612,42441582,101.57,49800,14.10,187.65,0.0499,0.0000
42441364,42441372,42441486,42441444,42441563,42441458,42441421,42441625,42441387,42441452,97.73,49200,7.31,183.25,0.0733,0.0000
42441364,42441375,42441486,42441406,42441572,42441458,42441563,42441482,42441443,42441396,99.27,48700,6.85,186.61,0.0645,0.0000
42441372,42441364,42441456,42441444,42441442,42441796,42441511,42441411,42441565,42441388,100.19,48700,13.15,182.25,0.0469,0.0000
42441370,42441365,42441507,42441401,42441567,42441603,42441397,42441438,42441398,42441595,98.53,48900,8.78,187.35,0.0675,0.0000
42441364,42441370,42441507,42441405,42441567,42441458,42441399,42441453,42441522,42441658,98.97,47800,6.68,184.90,0.0645,0.0000
42441366,42441364,42441501,42441406,42441454,42441419,42441437,42441453,42441647,42441625,103.28,48500,15.28,191.70,0.0616,0.0000
42441365,42441364,42441507,42441455,42441442,42441466,42441432,42441483,42441640,42441396,100.41,49700,14.74,186.65,0.0352,0.0000
42441372,42441364,42441495,42441406,42441471,42441429,42441394,42441692,42441533,42441464,97.03,48800,8.40,182.25,0.0411,0.0000
42441369,42441364,42441698,42441444,42441498,42441574,42441437,42441400,42441453,42441534,98.09,47000,11.12,181.95,0.0587,0.0000
42441364,42441365,42441639,42441393,42441567,42441572,42441614,42441553,42441395,42441417,97.04,48100,6.27,178.65,0.0469,0.0000
42441364,42441366,42441486,42441426,42441558,42441414,42441511,42441470,42441534,42441438,99.84,48300,7.80,183.70,0.0675,0.0000
42441365,42441364,42441477,42441467,42441572,42441496,42441432,42441396,42441640,42441464,99.40,48400,12.76,184.80,0.0264,0.0000
42441364,42441369,42441659,42441406,42441548,42441508,42441437,42441533,42441400,42441427,98.47,48800,10.35,181.95,0.0675,0.0000
42441376,42441364,42441501,42441444,42441454,42441434,42441407,42441625,42441596,42441453,98.65,47100,20.12,187.15,0.0499,0.0000
42441369,42441364,42441557,42441444,42441475,42441536,42441437,42441596,42441400,42441427,97.24,48500,10.95,181.95,0.0557,0.0000
42441370,42441364,42441507,42441401,42441572,42441603,42441397,42441522,42441595,42441391,100.85,48900,8.02,189.90,0.0763,0.0000
42441370,42441365,42441507,42441401,42441688,42441572,42441397,42441398,42441453,42441647,99.62,47600,8.82,189.35,0.0440,0.0000
42441370,42441364,42441507,42441401,42441572,42441538,42441397,42441438,42441482,42441522,100.00,48600,7.52,189.90,0.0645,0.0000
42441366,42441369,42441507,42441401,42441574,42441496,42441397,42441522,42441438,42441398,98.83,49900,11.69,187.60,0.0411,0.0000
42441364,42441372,42441441,42441405,42441563,42441796,42441399,42441387,42441553,42441482,97.61,49400,8.04,183.25,0.0675,0.0000
42441366,42441364,42441507,42441406,42441494,42441434,42441491,42441398,42441625,42441517,103.21,49100,20.69,190.70,0.0557,0.0000
42441366,42441364,42441639,42441406,42441688,42441445,42441491,42441625,42441398,42441396,103.35,48900,13.19,191.70,0.0557,0.0000
42441366,42441375,42441501,42441406,42441454,42441434,42441397,42441534,42441413,42441453,102.33,50000,22.46,192.11,0.0616,0.0000
42441370,42441365,42441507,42441401,42441558,42441429,42441397,42441522,42441438,42441534,98.04,48900,7.18,190.35,0.0704,0.0000
42441367,42441365,42441436,42441444,42441558,42441574,42441437,42441392,42441470,42441522,97.46,48400,8.39,184.21,0.0557,0.0000
42441364,42441372,42441456,42441406,42441465,42441496,42441394,42441468,42441595,42441565,100.68,48700,13.25,182.40,0.0499,0.0000
42441366,42441367,42441409,42441406,42441558,42441434,42441491,42441453,42441647,42441395,102.53,49600,12.96,193.26,0.0616,0.0000
42441364,42441365,42441507,42441609,42441558,42441537,42441399,42441579,42441391,42441453,97.96,48400,13.79,184.65,0.0616,0.0000
42441365,42441364,42441648,42441705,42441425,42441496,42441432,42441404,42441396,42441640,100.31,48300,17.17,185.80,0.0499,0.0000
42441372,42441365,42441409,42441467,42441442,42441466,42441432,42441438,42441640,42441396,97.70,49800,9.08,184.70,0.0440,0.0000
42441364,42441365,42441456,42441509,42441425,42441434,42441491,42441625,42441640,42441453,102.16,47000,18.98,187.65,0.0469,0.0000
42441372,42441364,42441456,42441426,42441465,42441796,42441511,42441387,42441595,42441400,100.04,49000,12.81,181.25,0.0675,0.0000
42441364,42441370,42441569,42441401,42441548,42441652,42441397,42441522,42441468,42441404,98.73,48700,7.84,185.90,0.0469,0.0000
42441372,42441364,42441456,42441555,42441465,42441617,42441511,42441411,42441388,42441433,98.62,49300,8.47,179.25,0.0528,0.0000
42441370,42441364,42441507,42441406,42441548,42441603,42441397,42441692,42441438,42441427,101.25,48100,11.77,189.90,0.0675,0.0000
42441372,42441365,42441456,42441509,42441475,42441434,42441407,42441565,42441411,42441595,97.26,47400,10.63,179.85,0.0469,0.0000
42441366,42441365,42441456,42441406,42441425,42441466,42441432,42441396,42441640,42441595,102.84,49800,16.63,190.15,0.0587,0.0000
42441364,42441365,42441448,42441705,42441475,42441551,42441407,42441452,42441534,42441386,98.31,49600,9.42,183.95,0.0528,0.0000
42441370,42441364,42441507,42441444,42441471,42441450,42441397,42441417,42441522,42441647,99.94,48700,7.25,187.90,0.0528,0.0000
42441365,42441366,42441436,42441665,42441425,42441496,42441432,42441582,42441453,42441396,99.45,48600,16.42,185.30,0.0469,0.0000
42441364,42441363,42441486,42441455,42441688,42441632,42441437,42441387,42441534,42441482,96.91,48700,8.22,182.60,0.0587,0.0000
42441367,42441365,42441501,42441406,42441558,42441434,42441421,42441396,42441596,42441453,104.43,49800,16.27,197.21,0.0528,0.0000
42441372,42441364,42441456,42441389,42441454,42441617,42441385,42441565,42441595,42441593,98.31,48600,12.55,179.25,0.0499,0.0000
42441365,42441366,42441507,42441389,42441572,42441445,42441491,42441553,42441395,42441433,97.87,49900,10.30,185.15,0.0499,0.0000
42441372,42441375,42441456,42441389,42441425,42441796,42441511,42441595,42441411,42441396,98.27,47800,16.23,182.66,0.0557,0.0000
42441372,42441364,42441456,42441406,42441465,42441496,42441511,42441595,42441386,42441617,102.35,48600,12.33,184.40,0.0733,0.0000
42441372,42441364,42441456,42441509,42441558,42441434,42441511,42441388,42441617,42441411,100.83,48700,11.87,183.25,0.0440,0.0000
42441366,42441364,42441501,42441406,42441494,42441434,42441491,42441504,42441453,42441464,103.04,49100,19.22,190.70,0.0792,0.0000
42441370,42441364,42441507,42441406,42441494,42441603,42441397,42441450,42441438,42441522,102.16,49200,9.09,191.90,0.0675,0.0000
42441370,42441364,42441507,42441401,42441634,42441603,42441421,42441396,42441647,42441438,98.84,48200,6.87,186.90,0.0440,0.0000
42441364,42441370,42441420,42441401,42441593,42441603,42441397,42441534,42441522,42441438,99.36,49000,10.32,186.90,0.0763,0.0000
42441366,42441365,42441569,42441389,42441548,42441445,42441491,42441398,42441553,42441433,98.79,49600,9.20,187.15,0.0587,0.0000
42441364,42441366,42441501,42441406,42441591,42441434,42441550,42441522,42441398,42441470,104.41,49200,25.74,191.70,0.0587,0.0000
42441370,42441366,42441507,42441455,42441425,42441652,42441397,42441398,42441438,42441522,98.80,48900,10.22,187.40,0.0469,0.0000
42441366,42441370,42441439,42441406,42441558,42441434,42441421,42441398,42441453,42441625,104.36,49600,18.09,196.40,0.0645,0.0000
42441366,42441375,42441609,42441406,42441454,42441434,42441399,42441522,42441398,42441453,103.53,49900,15.79,193.11,0.0733,0.0000
42441363,42441371,42441507,42441406,42441454,42441434,42441432,42441553,42441625,42441453,100.83,48300,19.13,189.50,0.0528,0.0000
42441366,42441367,42441719,42441406,42441558,42441434,42441491,42441396,42441453,42441398,104.82,49600,20.00,195.26,0.0792,0.0000
42441366,42441375,42441439,42441406,42441454,42441434,42441437,42441392,42441625,42441453,102.12,50000,19.36,190.11,0.0587,0.0000
42441364,42441374,42441644,42441389,42441548,42441434,42441614,42441450,42441433,42441553,97.46,47000,9.40,181.95,0.0792,0.0000
42441370,42441364,42441507,42441628,42441688,42441429,42441397,42441396,42441582,42441438,99.13,48100,6.42,186.90,0.0557,0.0000
42441364,42441375,42441486,42441401,42441563,42441632,42441399,42441396,42441482,42441470,97.68,49400,9.31,183.61,0.0704,0.0000
42441370,42441372,42441507,42441401,42441418,42441403,42441397,42441553,42441438,42441522,98.47,50000,8.41,186.95,0.0587,0.0000
42441370,42441364,42441507,42441401,42441548,42441498,42441397,42441674,42441522,42441438,98.72,47800,9.89,186.90,0.0587,0.0000
42441370,42441364,42441477,42441401,42441425,42441603,42441397,42441674,42441522,42441438,98.47,48900,14.76,186.90,0.0587,0.0000
42441365,42441364,42441569,42441467,42441425,42441496,42441432,42441396,42441522,42441640,102.17,48700,11.10,189.80,0.0469,0.0000
42441365,42441364,42441660,42441455,42441558,42441496,42441432,42441396,42441593,42441438,99.77,48100,18.64,185.80,0.0499,0.0000
42441364,42441375,42441486,42441405,42441563,42441496,42441399,42441387,42441453,42441625,99.55,50000,9.03,186.76,0.0733,0.0000
42441365,42441364,42441486,42441632,42441558,42441458,42441563,42441453,42441387,42441452,97.20,48400,9.59,182.65,0.0645,0.0000
42441370,42441364,42441507,42441652,42441505,42441572,42441397,42441438,42441453,42441396,101.33,48600,10.46,188.90,0.0587,0.0000
42441369,42441370,42441507,42441401,42441454,42441572,42441397,42441398,42441438,42441522,99.48,49800,12.16,189.65,0.0499,0.0000
42441370,42441364,42441507,42441401,42441418,42441498,42441397,42441596,42441522,42441647,99.26,48100,7.06,186.90,0.0528,0.0000
42441370,42441364,42441507,42441628,42441567,42441574,42441397,42441392,42441387,42441522,99.00,49600,7.40,184.90,0.0616,0.0000
