P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score,MLB $4K Hot Corner [5 Entry Max] ROI,MLB $4K Hot Corner [5 Entry Max] Sim Dupes,MLB $4K Hot Corner [5 Entry Max] Win Rate,MLB $4K Hot Corner [5 Entry Max] Cash Rate,MLB $4K Hot Corner [5 Entry Max] ROI StDev,MLB $12K Chin Music [Single Entry] ROI,MLB $12K Chin Music [Single Entry] Sim Dupes,MLB $12K Chin Music [Single Entry] Win Rate,MLB $12K Chin Music [Single Entry] Cash Rate,MLB $12K Chin Music [Single Entry] ROI StDev,MLB $200K Sinker de Mayo [$50K to 1st] ROI,MLB $200K Sinker de Mayo [$50K to 1st] Sim Dupes,MLB $200K Sinker de Mayo [$50K to 1st] Win Rate,MLB $200K Sinker de Mayo [$50K to 1st] Cash Rate,MLB $200K Sinker de Mayo [$50K to 1st] ROI StDev,MLB $15K Base Hit [Single Entry] ROI,MLB $15K Base Hit [Single Entry] Sim Dupes,MLB $15K Base Hit [Single Entry] Win Rate,MLB $15K Base Hit [Single Entry] Cash Rate,MLB $15K Base Hit [Single Entry] ROI StDev,MLB $7.5K Solo Shot ROI,MLB $7.5K Solo Shot Sim Dupes,MLB $7.5K Solo Shot Win Rate,MLB $7.5K Solo Shot Cash Rate,MLB $7.5K Solo Shot ROI StDev,MLB $30K Four-Seamer [20 Entry Max] ROI,MLB $30K Four-Seamer [20 Entry Max] Sim Dupes,MLB $30K Four-Seamer [20 Entry Max] Win Rate,MLB $30K Four-Seamer [20 Entry Max] Cash Rate,MLB $30K Four-Seamer [20 Entry Max] ROI StDev
42974868,42974870,42974981,42974913,42975126,42974966,42974912,42975008,42975150,42974932,,92.46,77.66249847,97.14999771,117.4374962,126.7725002,146.3000031,174.0505031,139.71,49000,1,96.6,87.31002333,84.54921769,86.18266146,83.42185582,169.3789581,83.53705388,80.77624824,82.40969201,79.64888637,12.23982242,42.54340231,0.206476197,0,0.001428571,0.301142857,6.727468164,0.22742857,0,0.001285714,0.279714286,7.787838476,2.39896816,0,0.000714286,0.314285714,77.00708331,0.247142851,0,0.002,0.251428571,7.026119903,0.569499999,0,0.000857143,0.318,22.61140553,0.884249985,0,0.001142857,0.312428571,26.22077818
42974876,42974869,42975082,42974908,42975126,42974894,42974912,42975008,42975150,42974888,,97.54,76.95000076,94.19999695,114.6124992,127.4150013,148.2625,175.406494,129.29,50000,1,97.65,90.38813027,87.52024142,88.99511139,86.12722254,173.687463,87.35653926,84.48865041,85.96352037,83.09563152,10.61399065,55.43066263,0.32571429,0,0.002285714,0.305142857,7.534168035,0.290999994,0,0.001714286,0.264857143,8.879116469,2.41341275,0,0.000714286,0.303,74.51988877,0.308452398,0,0.003142857,0.242285714,7.700514438,0.592214301,0,0.000571429,0.308571429,19.66692456,0.511428565,0,0.000571429,0.292857143,18.91606851
42974876,42974867,42975082,42974952,42975126,42974943,42974893,42974888,42975129,42975118,,94.69,73.61250114,90.82500076,109.0375004,118.8499985,139.2525002,159.965497,104.26,49300,1,115.9,85.46371068,82.6743291,83.82464831,81.03526673,172.0973187,83.6518154,80.86243382,82.01275303,79.22337145,5.449280703,19.29462254,0.173809528,0,0.002571429,0.252857143,7.487770755,0.11457143,0,0.001428571,0.220285714,8.173227542,2.607817411,0,0.000714286,0.245857143,76.99000482,0.190119043,0,0.002285714,0.206285714,7.531997589,0.692499995,0,0.001,0.248285714,24.14126064,0.638678581,0,0.001,0.238428571,24.55695327
42974868,42974869,42975089,42975223,42974944,42974987,42975120,42974896,42974890,42975036,,94.4,73.92499733,93.30000305,111.2625008,121.9649979,141.1824944,160.198494,107.4,49700,1,43.95,85.32329426,82.52348213,83.69967425,80.89986211,171.8177199,83.41833792,80.61852578,81.7947179,78.99490576,8.56052181,9.634572268,0.187619045,0,0.001142857,0.266571429,6.511028913,0.136000004,0,0.001142857,0.238,7.594804961,2.492936492,0,0.000857143,0.268857143,78.64895445,0.255238086,0,0.002285714,0.213714286,7.609398712,0.829071432,0,0.001142857,0.272285714,25.8312986,0.433357134,0,0.000571429,0.265,19.25149032
42974882,42974870,42975119,42975025,42975020,42974899,42974891,42974974,42974888,42975009,,88.97,66.40000153,83.20000076,103.6500015,114.7224972,140.0800003,161.2094969,76.63,50000,1,65.1,84.92669868,83.41709752,84.24267452,82.73307336,168.2525977,83.13399185,81.62439069,82.44996769,80.94036653,5.585541464,18.70940924,0.035523809,0,0.001428571,0.229428571,6.366806902,0.163428575,0,0.001428571,0.206571429,8.471358093,2.434563458,0,0.000714286,0.226857143,78.38415823,0.166785717,0,0.002571429,0.191428571,7.434520377,0.699428558,0,0.001,0.232,24.90112441,0.716107145,0,0.000714286,0.225714286,22.82723211
42974869,42974867,42975066,42974972,42974918,42974957,42974965,42975016,42975057,42975033,,91.45,74.25,90.52500153,108.1999969,117.825,134.1999969,155.8130031,83.89,49400,1,100.25,83.91168749,81.75836413,82.63539753,80.48207417,170.0982216,82.55687725,80.40355389,81.28058729,79.12726394,4.215785501,14.57426995,0.114857145,0,0.002,0.227714286,7.538520016,-0.028571427,0,0.001285714,0.195,7.701967498,2.648333311,0,0.000857143,0.227285714,83.13727296,-0.000595238,0,0.002285714,0.176285714,7.077753379,0.718500018,0,0.001142857,0.227857143,26.21186215,0.612285703,0,0.001,0.223142857,24.72285497
42974868,42974869,42975089,42975025,42975020,42974899,42975120,42975036,42974890,42974936,,90.4,72.08749962,89.85000229,107.5375004,121.6500015,139.0800026,158.359006,96.31,50000,1,51.95,83.72699314,81.51022115,82.54065818,80.32388619,168.966429,81.82201702,79.60524504,80.63568206,78.41891008,7.293405648,21.39874995,0.289904743,0,0.002,0.253714286,7.945294284,0.228428572,0,0.001285714,0.225285714,8.192758405,1.322420659,0,0.000428571,0.254142857,46.53581033,0.317738086,0,0.003714286,0.205428571,8.648815455,0.930714279,0,0.001,0.254285714,25.54854705,0.928321421,0,0.001142857,0.249857143,26.24114265
42974868,42974867,42974981,42974913,42975105,42975120,42974958,42974910,42975036,42975003,,94.2,77.18749809,95.72499847,115.0625019,126.7149979,147.8975029,180.406994,139.23,49800,1,55.2,90.25272381,87.75035985,89.34419766,86.8418337,170.8252884,86.37973651,83.87737255,85.47121036,82.9688464,11.47340755,27.98230946,0.23247619,0,0.001428571,0.32,6.234809036,0.264714278,0,0.001142857,0.274285714,7.63960642,1.643373072,0,0.000285714,0.307571429,56.10327492,0.261428565,0,0.001714286,0.261142857,6.61430841,0.758000016,0,0.000714286,0.308571429,21.59333375,0.801285714,0,0.000857143,0.303571429,23.51600428
42974868,42974872,42975089,42974942,42974903,42975120,42974958,42975036,42975003,42974896,,85.88,70.93749809,88.95000076,109.4000015,122.5999985,146.5625031,173.467997,95.55,49400,1,81.95,86.91522369,85.95990322,86.99768123,86.04236076,165.4003819,83.71943211,82.76411164,83.80188965,82.84656918,8.229674555,17.08292067,0.146476194,0,0.001428571,0.261142857,6.539157168,0.178285711,0,0.001285714,0.23,8.03796441,1.994206369,0,0.000571429,0.254857143,70.72169214,0.209761903,0,0.002285714,0.210571429,7.357796584,0.651571423,0,0.000714286,0.257,21.99891879,0.69646427,0,0.000714286,0.254571429,22.6083263
42974869,42974870,42975082,42975098,42975126,42974894,42974912,42975150,42975008,42974888,,95.87,75.47500038,93.17499924,113.5750027,124.7074974,148.8225029,174.909494,129.54,49000,1,84.65,89.55555538,86.81817403,88.29611017,85.55872882,172.3692112,86.38119215,83.6438108,85.12174694,82.38436559,11.03220013,34.63030159,0.180761918,0,0.001714286,0.292285714,6.657972287,0.217714276,0,0.001714286,0.255571429,8.614909351,2.410238087,0,0.000714286,0.295,76.86669431,0.090476193,0,0.001142857,0.230285714,5.980942666,0.428571448,0,0.000428571,0.298,17.74374325,0.530821413,0,0.000714286,0.285857143,21.32613029
