P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42441363,42441364,42441834,42441705,42441475,42441536,42441423,42441596,42441470,42441386,96.86,47600,11.25,179.60,0.0499,0.0000
42441370,42441372,42441507,42441401,42441471,42441574,42441397,42441388,42441438,42441553,97.63,49500,8.60,183.95,0.0616,0.0000
42441370,42441366,42441507,42441455,42441454,42441403,42441397,42441438,42441453,42441647,98.25,49000,9.53,186.40,0.0616,0.0000
42441364,42441372,42441456,42441401,42441465,42441796,42441421,42441534,42441595,42441411,100.26,47800,12.58,183.25,0.0616,0.0000
42441364,42441369,42441569,42441444,42441574,42441429,42441399,42441596,42441400,42441427,98.49,50000,7.23,185.95,0.1085,0.0000
42441365,42441372,42441456,42441705,42441425,42441450,42441496,42441396,42441398,42441640,100.56,47900,21.05,186.85,0.0587,0.0000
42441366,42441365,42441456,42441406,42441465,42441509,42441511,42441595,42441464,42441387,99.16,49500,10.46,183.15,0.0645,0.0000
42441369,42441364,42441448,42441444,42441465,42441574,42441437,42441647,42441400,42441427,97.64,49200,8.56,180.95,0.0968,0.0000
42441369,42441364,42441659,42441444,42441574,42441508,42441437,42441400,42441404,42441417,97.00,49800,11.08,180.95,0.0939,0.0000
42441364,42441370,42441501,42441401,42441572,42441445,42441399,42441438,42441522,42441603,99.51,48800,8.49,187.90,0.0675,0.0000
42441375,42441365,42441436,42441555,42441425,42441466,42441432,42441582,42441396,42441398,99.09,49900,10.60,187.06,0.0763,0.0000
42441372,42441366,42441507,42441455,42441425,42441496,42441421,42441396,42441453,42441433,100.91,49900,13.56,188.90,0.0645,0.0000
42441370,42441364,42441507,42441401,42441567,42441688,42441397,42441522,42441438,42441544,98.66,47300,5.92,185.90,0.0909,0.0000
42441365,42441372,42441495,42441406,42441425,42441466,42441432,42441640,42441453,42441398,102.15,49600,23.81,191.70,0.0763,0.0000
42441366,42441364,42441420,42441430,42441558,42441434,42441491,42441398,42441596,42441625,102.67,48600,12.45,190.70,0.0616,0.0000
42441364,42441366,42441486,42441406,42441688,42441632,42441399,42441482,42441387,42441544,98.53,49400,7.56,184.70,0.0968,0.0000
42441374,42441364,42441639,42441444,42441418,42441450,42441649,42441395,42441388,42441553,97.77,49400,7.79,179.95,0.0704,0.0000
42441374,42441364,42441668,42441389,42441425,42441572,42441614,42441395,42441450,42441553,97.61,47900,12.70,180.95,0.0997,0.0000
42441372,42441365,42441439,42441444,42441425,42441403,42441496,42441396,42441640,42441453,100.73,50000,14.58,188.85,0.0616,0.0000
42441374,42441364,42441639,42441389,42441548,42441498,42441614,42441395,42441396,42441596,97.46,48300,7.35,181.95,0.0851,0.0000
42441364,42441370,42441420,42441401,42441425,42441603,42441397,42441647,42441596,42441522,99.94,48500,7.02,187.90,0.0939,0.0000
42441372,42441364,42441456,42441444,42441465,42441796,42441511,42441427,42441438,42441411,99.94,48200,15.77,183.25,0.0557,0.0000
42441366,42441378,42441569,42441406,42441418,42441450,42441649,42441457,42441398,42441433,96.96,48500,8.16,181.40,0.0587,0.0000
42441366,42441364,42441609,42441558,42441442,42441429,42441399,42441512,42441579,42441453,98.12,47800,7.93,184.70,0.0557,0.0000
42441370,42441366,42441501,42441406,42441572,42441434,42441432,42441398,42441504,42441453,103.57,49200,27.22,192.40,0.0587,0.0000
42441372,42441364,42441456,42441509,42441475,42441617,42441437,42441387,42441595,42441565,99.33,47000,9.60,181.25,0.0821,0.0000
42441370,42441372,42441507,42441401,42441688,42441509,42441397,42441438,42441522,42441398,98.93,48000,9.15,187.95,0.0821,0.0000
42441366,42441371,42441420,42441406,42441454,42441434,42441437,42441398,42441718,42441453,103.70,49900,17.12,191.60,0.1115,0.0000
42441366,42441369,42441420,42441406,42441572,42441434,42441437,42441398,42441625,42441453,103.56,49700,19.07,192.45,0.0880,0.0000
42441374,42441364,42441639,42441444,42441498,42441450,42441399,42441433,42441692,42441395,97.14,48500,10.25,180.95,0.0733,0.0000
42441365,42441366,42441569,42441406,42441454,42441434,42441432,42441457,42441625,42441398,102.89,50000,17.16,191.15,0.0733,0.0000
42441370,42441364,42441507,42441406,42441425,42441572,42441491,42441522,42441398,42441453,106.97,49400,18.16,198.90,0.0968,0.0000
42441364,42441370,42441495,42441406,42441558,42441429,42441394,42441468,42441692,42441457,97.35,48900,14.28,183.90,0.0528,0.0000
42441374,42441370,42441639,42441444,42441574,42441450,42441397,42441433,42441395,42441398,97.02,49600,10.24,183.65,0.0557,0.0000
42441364,42441372,42441486,42441406,42441475,42441423,42441399,42441482,42441453,42441658,101.02,49400,8.30,188.25,0.0792,0.0000
42441374,42441367,42441486,42441389,42441558,42441450,42441614,42441398,42441553,42441395,97.12,48900,9.40,184.51,0.0851,0.0000
42441365,42441364,42441531,42441455,42441425,42441403,42441432,42441640,42441396,42441692,101.43,49700,15.90,186.65,0.0733,0.0000
42441365,42441375,42441486,42441426,42441425,42441434,42441496,42441582,42441396,42441453,99.34,48900,12.89,186.21,0.0528,0.0000
42441366,42441364,42441834,42441406,42441442,42441434,42441491,42441625,42441453,42441457,103.32,47700,19.71,189.70,0.0821,0.0000
42441365,42441364,42441486,42441652,42441498,42441450,42441614,42441398,42441433,42441553,98.31,47200,8.27,181.65,0.0616,0.0000
42441364,42441371,42441720,42441406,42441563,42441458,42441399,42441482,42441387,42441640,97.68,48800,6.76,182.10,0.0733,0.0000
42441364,42441372,42441486,42441406,42441563,42441632,42441437,42441658,42441386,42441400,98.64,49500,10.76,182.25,0.0733,0.0000
42441370,42441365,42441409,42441444,42441425,42441445,42441432,42441396,42441625,42441640,98.81,49300,13.47,188.35,0.0528,0.0000
42441370,42441369,42441501,42441406,42441454,42441445,42441432,42441395,42441553,42441450,99.26,49500,15.89,186.65,0.0675,0.0000
42441369,42441364,42441486,42441467,42441574,42441403,42441437,42441427,42441453,42441596,98.64,48600,7.92,184.95,0.0704,0.0000
42441372,42441364,42441456,42441509,42441465,42441403,42441511,42441595,42441474,42441395,99.56,48800,8.46,179.25,0.0645,0.0000
42441364,42441370,42441486,42441632,42441563,42441796,42441399,42441387,42441470,42441398,98.38,49000,14.06,182.90,0.0675,0.0000
42441365,42441366,42441456,42441406,42441548,42441496,42441432,42441396,42441582,42441640,100.68,48100,13.11,185.30,0.0645,0.0000
42441365,42441364,42441719,42441406,42441425,42441496,42441591,42441640,42441396,42441492,99.95,47600,20.37,183.80,0.0528,0.0000
42441372,42441366,42441456,42441444,42441574,42441496,42441437,42441596,42441427,42441398,99.97,47600,14.15,185.90,0.0763,0.0000
42441365,42441364,42441719,42441410,42441425,42441496,42441432,42441512,42441396,42441590,100.30,49100,10.07,185.80,0.0733,0.0000
42441370,42441364,42441507,42441444,42441442,42441603,42441397,42441596,42441438,42441522,100.08,47700,7.95,189.90,0.1144,0.0000
42441365,42441364,42441569,42441455,42441425,42441466,42441496,42441453,42441427,42441590,100.55,48400,10.84,186.80,0.0821,0.0000
42441370,42441364,42441486,42441405,42441563,42441508,42441709,42441387,42441398,42441482,97.51,49600,9.17,183.90,0.0880,0.0000
42441366,42441364,42441569,42441406,42441558,42441434,42441437,42441595,42441453,42441398,109.97,49900,18.31,201.70,0.0997,0.0000
42441365,42441370,42441569,42441558,42441425,42441496,42441432,42441640,42441396,42441402,98.58,48100,10.51,186.50,0.0675,0.0000
42441364,42441366,42441486,42441405,42441475,42441458,42441399,42441482,42441512,42441625,97.72,49100,6.55,184.70,0.0528,0.0000
42441369,42441364,42441436,42441444,42441574,42441472,42441437,42441596,42441427,42441433,97.86,48700,7.70,183.95,0.0763,0.0000
42441365,42441372,42441719,42441430,42441425,42441496,42441432,42441398,42441464,42441396,99.26,49900,12.32,185.85,0.0675,0.0000
42441365,42441364,42441569,42441406,42441558,42441434,42441491,42441453,42441398,42441522,108.84,49900,17.41,202.65,0.0851,0.0000
42441369,42441364,42441557,42441406,42441574,42441508,42441437,42441427,42441400,42441583,98.14,48900,15.25,180.95,0.1173,0.0000
42441365,42441364,42441557,42441406,42441425,42441466,42441614,42441582,42441396,42441522,102.09,49100,15.19,188.65,0.0792,0.0000
42441372,42441364,42441456,42441406,42441465,42441683,42441511,42441402,42441547,42441565,98.09,47000,8.84,179.25,0.0528,0.0000
42441370,42441364,42441507,42441455,42441563,42441603,42441397,42441522,42441438,42441386,99.26,49700,7.59,187.90,0.0880,0.0000
42441364,42441370,42441486,42441405,42441563,42441632,42441437,42441387,42441547,42441453,97.50,49000,9.80,183.90,0.0704,0.0000
42441365,42441364,42441486,42441455,42441418,42441466,42441496,42441396,42441612,42441470,100.09,49900,12.54,184.80,0.0733,0.0000
42441365,42441364,42441569,42441406,42441558,42441434,42441491,42441453,42441396,42441522,108.66,50000,16.71,202.65,0.0645,0.0000
42441364,42441366,42441456,42441406,42441454,42441496,42441725,42441398,42441453,42441625,104.57,48500,23.19,190.85,0.0968,0.0000
42441375,42441364,42441456,42441444,42441475,42441434,42441432,42441625,42441453,42441398,105.61,49500,20.13,195.61,0.0587,0.0000
42441364,42441370,42441507,42441405,42441563,42441458,42441399,42441387,42441565,42441595,98.49,50000,6.49,182.90,0.0733,0.0000
42441364,42441365,42441486,42441405,42441558,42441458,42441563,42441482,42441522,42441396,99.08,49300,6.61,187.65,0.0792,0.0000
42441366,42441367,42441501,42441406,42441558,42441434,42441511,42441453,42441398,42441579,102.53,48200,23.91,192.26,0.0645,0.0000
42441371,42441364,42441569,42441414,42441572,42441390,42441437,42441534,42441505,42441470,98.13,48300,6.88,181.10,0.0909,0.0000
42441366,42441372,42441501,42441406,42441442,42441434,42441491,42441411,42441438,42441453,101.72,49800,17.03,189.75,0.0733,0.0000
42441370,42441364,42441436,42441628,42441554,42441496,42441397,42441417,42441438,42441522,99.28,48400,6.33,186.05,0.0675,0.0000
42441374,42441364,42441639,42441406,42441725,42441450,42441399,42441505,42441553,42441395,97.12,47800,9.10,179.95,0.0851,0.0000
42441370,42441364,42441507,42441401,42441425,42441603,42441437,42441682,42441438,42441522,99.51,47500,11.05,187.90,0.0997,0.0000
