P,P,C,1B,2B,3B,SS,OF,OF,OF
42643652,42643658,42643682,42643693,42643714,42643750,42643881,42643665,42643729,42643699
42643658,42643649,42643853,42643693,42643668,42643725,42643869,42643670,42643721,42643699
42643652,42643654,42643832,42643669,42643736,42643725,42643876,42643664,42643713,42643699
42643657,42643648,42643682,42643813,42643736,42643709,42643825,42643703,42643672,42643749
42643656,42643649,42643807,42643722,42643830,42643770,42643678,42643670,42643821,42643665
42643658,42643651,42643832,42643733,42643736,42643720,42643697,42643712,42643664,42643745
42643656,42643649,42643710,42643759,42643736,42643750,42643740,42643664,42643703,42643844
42643661,42643658,42643689,42643676,42643757,42643714,42643700,42643730,42643729,42643665
42643652,42643658,42643667,42643722,42643765,42643735,42643748,42643664,42643821,42643721
42643652,42643656,42643717,42643684,42643736,42643709,42643825,42643745,42643713,42643666
42643648,42643651,42643807,42643676,42643815,42643864,42643678,42643716,42643692,42643756
42643661,42643658,42643695,42643669,42643688,42643836,42643678,42643670,42643749,42643702
42643648,42643653,42643832,42643669,42643791,42643681,42643825,42643712,42643745,42643702
42643661,42643658,42643667,42643704,42643688,42643750,42643705,42643794,42643672,42643692
42643652,42643658,42643667,42643676,42643803,42643766,42643854,42643672,42643842,42643665
42643661,42643660,42643689,42643669,42643742,42643750,42643825,42643712,42643664,42643672
42643654,42643658,42643787,42643706,42643668,42643750,42643683,42643692,42643719,42643726
42643661,42643649,42643787,42643669,42643797,42643817,42643700,42643703,42643672,42643687
42643652,42643654,42643710,42643669,42643830,42643685,42643825,42643745,42643716,42643672
42643654,42643658,42643695,42643893,42643688,42643700,42643825,42643672,42643702,42643665
42643658,42643660,42643807,42643671,42643830,42643681,42643678,42643664,42643716,42643721
42643657,42643661,42643832,42643669,42643714,42643691,42643723,42643745,42643664,42643703
42643653,42643649,42643832,42643676,42643736,42643735,42643748,42643712,42643756,42643692
42643654,42643658,42643832,42643669,42643668,42643766,42643727,42643716,42643800,42643665
42643661,42643656,42643682,42643669,42643736,42643770,42643678,42643712,42643703,42643716
42643658,42643656,42643737,42643722,42643714,42643681,42643705,42643672,42643702,42643721
42643648,42643649,42643695,42643813,42643688,42643691,42643854,42643749,42643805,42643698
42643652,42643648,42643851,42643671,42643803,42643691,42643723,42643767,42643711,42643698
42643648,42643658,42643724,42643733,42643797,42643817,42643683,42643687,42643719,42643680
42643655,42643648,42643682,42643813,42643688,42643836,42643825,42643664,42643805,42643702
42643661,42643648,42643695,42643893,42643688,42643830,42643705,42643702,42643665,42643733
42643648,42643658,42643667,42643733,42643786,42643685,42643697,42643670,42643796,42643957
42643652,42643648,42643682,42643739,42643714,42643700,42643876,42643870,42643699,42643680
42643652,42643649,42643768,42643739,42643798,42643725,42643723,42643699,42643713,42643698
42643652,42643648,42643710,42643810,42643791,42643707,42643740,42643672,42643844,42643692
42643648,42643661,42643667,42643676,42643798,42643725,42643876,42643698,42643713,42643711
42643661,42643648,42643717,42643747,42643791,42643691,42643723,42643698,42643801,42643666
42643652,42643648,42643807,42643722,42643786,42643681,42643869,42643664,42643721,42643796
