F,F,F,F,F,F,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,MMA Default,MMA Sim Diversity 10,geomean1,Saber Score
42728122,42704862,42704875,42704857,42704859,42728127,,431.88,373.775,446.14,515.395,554.257,622.568,706.4206,174.675,49800,1,0,104.3978404,171.1360956,28.61482717,41.03316963
42728124,42704868,42704862,42704859,42704873,42704865,,438.09,382.2175,449.335,514.865,554.2945,614.1445,685.4736,165.21,50000,0,0,104.3189428,72.72508128,26.98814165,45.33611536
42728122,42704866,42704862,42704859,42704873,42704865,,439.74,393.23,456.12,522.2225,555.9405,616.9015,677.748,158.81,49900,0,0,104.2992959,73.22360057,25.90713011,49.92732406
42728124,42704866,42704857,42704859,42704873,42728127,,429.74,374.3675,442.525,510.625,544.539,612.368,695.4098,166.135,49600,0,0,104.1914574,71.15111318,27.28766863,17.60369986
42728122,42704868,42704857,42704859,42728127,42704871,,425.93,374.9625,443.675,513.3825,550.902,614.2305,697.1979,164.81,49700,0,0,104.1546353,70.53651065,26.90101552,47.46601582
42728122,42704868,42704875,42704859,42704873,42704861,,439.24,392.105,457.82,528.975,564.473,624.9835,686.7474,168.025,50000,1,0,104.090027,172.766867,27.40303356,73.35679531
42704868,42704864,42704875,42704857,42704859,42728127,,432.67,369.2775,442.345,513.425,552.4555,615.657,702.9098,176.335,50000,1,0,104.0878936,171.2679912,28.92371683,73.38256836
42704866,42704860,42704862,42704857,42704859,42728127,,428.26,365.825,437.425,498.7325,539.5165,609.7195,697.8893,167.86,49900,1,0,104.0819069,170.8179118,27.52580491,15.71472138
42704868,42704866,42704875,42704857,42704859,42704865,,441.6,382.845,453.475,520.505,560.8405,627.5435,691.9147,175.625,49700,5,0,104.0685532,572.9123494,28.68450495,65.96867442
42728124,42704860,42704875,42704857,42704859,42704873,,432.24,367.43,435.15,510.91,544.5445,612.6415,700.2122,172.725,50000,2,0,104.043925,271.2872204,28.3213255,56.9927156
42728122,42704860,42704870,42704857,42704859,42704865,,438.08,385.1275,450.88,519.9375,552.4165,616.2365,685.9251,165.645,50000,1,0,104.0275832,172.6106829,26.8023694,85.76641083
42728124,42704868,42704857,42704859,42704873,42704861,,432.66,377.6725,447.425,515.1875,556.492,626.769,692.4976,168.445,49600,0,0,104.027394,71.61222027,27.56822405,51.24397874
42728124,42704866,42704870,42704859,42728127,42704861,,428.3,370.985,440.415,509.57,543.8745,603.0595,692.3472,163.575,50000,0,0,104.021036,70.99799612,26.64213184,41.32143557
42728122,42704864,42704862,42704859,42704873,42704861,,428.49,378.545,444.825,512.1975,549.8525,610.9675,685.6,157.3,50000,0,0,103.9949301,71.25324798,25.68145864,24.34637994
42728122,42704866,42704870,42704857,42704859,42704869,,438.14,394.83,460.13,518.4225,553.596,608.1715,679.2173,160.1,50000,1,0,103.9919795,172.8429762,24.81063493,56.38173819
42728122,42704868,42704870,42704859,42704861,42704865,,438.19,388.6025,457.77,525.1075,556.102,614.6625,680.0825,162.815,49900,0,0,103.9471277,72.80470866,26.28834295,40.86536765
42728122,42728124,42704875,42704859,42704873,42704865,,435.48,384.255,449.19,516.9,549.9795,610.4395,682.2349,160.695,49900,0,0,103.9351319,72.34134583,26.11624142,60.2199316
42728124,42704866,42704875,42704857,42704859,42704865,,437.76,377.07,448.745,514.3225,549.2765,613.2135,688.8438,169.495,49800,1,0,103.9196319,172.4268435,27.61229808,79.1441977
42728122,42704868,42704862,42704859,42704871,42704865,,429.04,380.93,445.355,508.925,546.755,611.271,685.0992,159.355,49900,0,0,103.9188893,71.32337727,25.88966942,59.81540084
42704866,42704870,42704862,42704857,42704859,42704873,,441.26,385.1375,451.785,522.5875,559.9865,636.11,699.1725,182.315,49900,4,0,103.9084768,472.5558574,30.1072177,75.23288131
42728122,42704866,42704875,42704859,42704873,42728127,,436.32,387.255,450.015,521.38,556.6845,614.6715,686.1187,165.715,50000,0,0,103.8808832,72.30575992,27.12415925,56.93249106
42728122,42704866,42704857,42704859,42728127,42704861,,426.07,379.2825,444.805,512.345,547.0075,614.1415,688.6848,159.065,49400,0,0,103.8658867,70.75917615,25.92823388,22.4100545
42704868,42704866,42704858,42704857,42704873,42704861,,434.43,376.0425,443.44,515.5925,555.567,612.6825,689.9247,169.705,49900,1,0,103.8632015,171.8985203,27.82513055,76.40750408
42728122,42704868,42704857,42704859,42704873,42704871,,434.17,386.3325,452.435,523.245,560.0415,626.3785,689.0901,167.79,49800,2,0,103.8543471,271.8880741,27.45685907,68.26637983
42728122,42728124,42704857,42704859,42728127,42704861,,427.47,375.825,443.96,512.3075,549.811,612.7355,685.4653,157.465,49700,1,0,103.8366092,171.0607718,25.64937859,22.0873341
42728122,42728124,42704857,42704859,42704873,42704871,,430.33,381.945,445.11,515.4425,553.832,617.3015,687.1978,161.66,49900,0,0,103.829649,71.4025682,26.43054075,17.22075045
42728122,42704870,42704875,42704857,42704859,42704873,,443.89,391.7025,457.355,529.135,570.2405,640.639,697.3346,182.33,50000,6,0,103.8076148,672.9592234,29.94036117,107.414484
42728124,42704868,42704857,42704859,42728127,42704861,,424.42,367.3675,437.465,507.0025,547.255,608.562,695.6178,165.465,49500,0,0,103.8019944,70.26065686,27.010126,31.14928901
42728122,42704866,42704857,42704859,42704873,42704865,,434.39,391.195,452.515,515.455,553.853,609.806,681.3255,160.845,49300,0,0,103.790459,72.17072425,26.20064321,36.77757084
42728122,42728124,42704875,42704859,42728127,42704861,,427.16,372.6175,438.845,508.4975,544.156,611.888,687.3101,158.915,50000,1,0,103.7698178,170.9297977,25.84470962,19.27753538
42728122,42704860,42704875,42704857,42704859,42728127,,430.89,370.4875,441.005,508.9625,547.237,612.5095,693.9853,167.875,50000,0,0,103.7632802,71.22127778,27.37325477,42.4918592
42704868,42704862,42704875,42704857,42704859,42704873,,437.07,374.2075,449.1,521.99,558.819,630.7615,705.5667,185.655,49700,1,0,103.7574279,171.6875441,30.75551963,42.80169606
42704868,42704862,42704875,42704857,42704859,42728127,,428.83,363.1025,438.21,511.97,550.186,615.5985,710.5623,182.675,49600,0,0,103.7296935,70.33598065,30.13289717,36.88514531
42704868,42704866,42704858,42704875,42704873,42704865,,434.2,370.495,437.355,506.135,545.066,612.9565,689.5327,169.955,50000,4,0,103.7066231,471.827531,27.75804387,50.89548826
42704868,42704866,42704862,42704859,42704873,42704871,,431.23,377.2925,440.145,515.5325,549.851,611.2075,690.9807,169.225,50000,1,0,103.6995322,171.353734,27.82013619,71.50647044
42728122,42704864,42704875,42704857,42704859,42704861,,433.4,382.4325,446.565,516.9925,558.6795,618.1835,688.6002,166.115,50000,0,0,103.6919277,71.74211167,27.00212712,56.71734214
42728122,42728124,42704857,42704859,42704873,42704865,,435.79,390.86,452.27,514.9625,554.569,615.3695,677.4368,159.245,49600,1,0,103.6906485,172.4723199,25.91885818,30.20269573
