P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42976830,42976887,42976937,42977065,42977129,42977039,42977170,42976943,42976889,42976809,,93.16,74.11215019,92.199646,112.4121513,124.9446499,147.0046486,173.813652,163.46,48700,1,0,88.49647274,85.18123079,86.91578201,83.60054007,172.1401093,84.87350982,81.55826787,83.29281909,79.97757715,13.57693697,11.63980961
42976953,42976887,42976937,42976912,42977129,42976963,42976862,42976943,42976889,42976809,,95.97,76.81640053,96.66640091,115.1664028,126.2414017,147.0438972,178.7044061,198.12,49400,1,0,89.63716202,85.49650488,87.63635791,83.49570077,173.6101184,85.21840704,81.0777499,83.21760293,79.07694579,15.96801277,66.5107429
42976830,42976887,42977139,42976841,42976896,42977039,42977170,42976889,42976908,42976809,,92.43,73.28715134,91.699646,111.0996494,123.7221462,145.7271461,173.2141461,166.75,49900,1,0,87.96614424,84.67417306,86.41755395,83.12558277,171.5299776,84.28459187,80.99262068,82.73600157,79.44403039,14.79090115,33.4212184
42977080,42977093,42977139,42976881,42976956,42977039,42977170,42976908,42976809,42976943,,86.5,67.32499886,84.85000229,105.9250011,116.0800026,134.5600029,169.4619969,127.37,49300,1,0,86.10798726,84.10643688,85.40173619,83.40018582,167.6133174,82.92834037,80.92679,82.22208931,80.22053894,12.32443051,7.100147754
42976953,42976817,42976937,42977065,42976956,42976814,42976856,42976850,42977103,42976815,,88.76,69.84224892,87.86724854,107.6922512,119.0822464,135.3797485,170.4182515,140.29,48300,1,0,86.70124639,84.20280351,85.65833124,83.15988836,169.12709,83.37757835,80.87913547,82.3346632,79.83622032,9.066737307,19.16127652
42977080,42977093,42977139,42976841,42976896,42976914,42977170,42976943,42977050,42976809,,86.49,65.62500191,84.15000153,103.9000015,114.8799992,136.2049973,167.952997,124.44,49400,1,0,85.79344745,83.80444658,85.05228442,83.06328355,167.7001242,82.79109694,80.80209606,82.04993391,80.06093303,12.09266627,-6.802615523
42976830,42976887,42977139,42977065,42976896,42977039,42977170,42976908,42976943,42976809,,93.61,73.47464943,91.97465134,110.6496506,123.3496487,143.6621582,169.214646,160.51,49500,1,0,87.38079229,83.87903745,85.55694724,82.0551924,172.6186148,84.17090797,80.66915313,82.34706292,78.84530807,13.50717889,34.92724597
42976830,42976887,42976937,42976912,42976896,42977039,42977170,42976908,42976809,42976889,,93.4,74.63714981,92.27465057,113.4871502,124.4071499,144.799646,173.7686491,175.8,48500,1,0,88.03487242,84.42075954,86.2913287,82.67721581,172.0628588,84.16670867,80.55259579,82.42316495,78.80905207,15.60175818,37.35409677
42976830,42976953,42976923,42976894,42976956,42977039,42976822,42976943,42976889,42976809,,88.17,72.0082531,88.35824966,105.2457504,117.3407543,140.6132462,172.0832581,148.51,48100,1,0,86.67730291,84.16243825,85.7021093,83.18724464,168.4799558,83.03348335,80.51861869,82.05828974,79.54342508,12.24905478,25.25851429
42976830,42977093,42977139,42976841,42976896,42976914,42976845,42976943,42976809,42977103,,86.55,64.34574699,84.05825043,103.2582474,115.0807507,134.4482491,163.816758,113.18,48800,1,0,84.95294205,82.98256778,84.10376369,82.13338942,168.0021045,82.43853267,80.46815841,81.58935432,79.61898005,10.14901758,12.06141934
42976830,42976887,42976937,42976841,42976896,42976963,42977170,42976908,42976809,42976889,,92.43,73.28715134,92.29964828,112.1121483,121.4871471,142.5596519,171.3166521,165.09,48500,1,0,87.37862567,84.00260777,85.73558388,82.35956597,171.5507872,83.82273914,80.44672123,82.17969734,78.80367944,14.31847698,28.52017879
42977080,42976887,42977139,42976841,42976896,42976914,42976963,42976943,42977050,42976809,,91.27,71.32889938,91.1414032,109.5789013,120.7913971,142.8964027,171.0638971,160.05,49200,1,0,87.09970298,83.965207,85.62927991,82.49478393,170.7471306,83.57790732,80.44341134,82.10748425,78.97298827,13.723261,14.18711841
42976953,42976887,42977087,42977065,42977144,42977031,42977097,42976873,42976943,42976962,,96.11,75.80840302,94.50840378,114.5084057,123.9209,142.2383987,180.4608954,210.04,49500,1,0,89.63594796,85.25794588,87.55790198,83.1798999,173.4035371,84.81412565,80.43612357,82.73607967,78.35807759,16.60201109,18.21468472
42977067,42976849,42977139,42976841,42976896,42976914,42977170,42976889,42977050,42976809,,85.3,65.3409996,83.70350266,103.6785011,115.7034988,137.9734917,172.1155003,139.09,49100,1,0,86.0533101,84.09637651,85.50355471,83.54662112,166.4156324,82.3815309,80.42459731,81.83177551,79.87484192,13.07242619,-3.609865159
42977093,42976887,42976937,42976912,42977129,42976963,42977170,42976809,42977010,42976943,,92.53,72.47890091,92.19140244,111.4538994,121.9914017,143.0363945,172.9494061,169.52,48200,1,0,87.64583765,84.19253722,86.00419538,82.55089495,171.4745837,83.85250545,80.39920503,82.21086318,78.75756276,14.53791156,45.400545
42977080,42977093,42977139,42976894,42976896,42977039,42977170,42976889,42976908,42976943,,85.05,66.25,84.34999847,104.7249985,115.1725018,138.152494,170.3545061,130.13,49800,1,0,85.69791553,83.8339992,85.15869349,83.29477717,166.3776988,82.26305471,80.39913839,81.72383267,79.85991635,12.54999799,12.7068609
42976830,42977067,42977139,42976841,42976896,42976932,42976845,42976943,42976889,42977050,,85.18,65.69924736,84.48675156,106.6367531,117.4792503,136.5217491,170.8257523,132,48900,1,0,85.79446584,83.88717638,85.23998356,83.3326941,166.4269818,82.29052657,80.38323711,81.73604429,79.82875483,9.927452262,3.765366971
42976953,42976887,42977087,42976881,42977144,42977031,42977097,42988357,42976943,42976978,,97.26,77.666399,97.19140244,115.3914032,124.3713997,144.9714058,178.1919061,208.06,48300,1,0,89.45094109,84.88120101,87.1559993,82.58625922,174.3871996,84.921488,80.35174792,82.62654621,78.05680613,16.18259154,42.99526811
42976830,42977093,42977139,42976841,42976896,42976914,42976869,42976889,42976809,42976943,,85.3,65.09574699,83.48324966,105.7457504,116.3082504,134.6432465,167.829758,123.75,49600,1,0,85.28305632,83.41465951,84.6591534,82.79075659,166.7410011,82.17347757,80.30508076,81.54957465,79.68117784,11.85258643,13.24472874
42976830,42976953,42976937,42976881,42977129,42977039,42977170,42976889,42976943,42976972,,90.56,72.00175285,89.46425247,108.7267532,119.5892487,140.8542488,171.6412515,158.33,49800,1,0,86.98030038,83.93838352,85.60813431,82.56621745,170.1595347,83.34321411,80.30129725,81.97104803,78.92913118,13.47627757,4.290349036
42977093,42976887,42977126,42977159,42976896,42977039,42977170,42976943,42976908,42976889,,89.57,70.8914032,89.54140091,108.2914009,120.5638973,139.8088974,169.783894,148.15,48300,1,0,86.46827963,83.67693775,85.2203,82.42895812,169.6088218,83.08617249,80.29483061,81.83819286,79.04685098,11.00710527,36.24390364
42976953,42977093,42976937,42976881,42976956,42976814,42976822,42988357,42977103,42976850,,87.69,69.33749962,85.72499847,106.1500015,116.1299992,136.6300056,168.8030031,137.07,48900,1,0,85.91781987,83.53183917,84.94078232,82.55480162,168.3518408,82.66802796,80.28204726,81.69099041,79.30500971,10.89383693,15.39619863
