Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5123843143,moklovin (143/150),0,195.4,1B Spencer Torkelson 2B Gleyber Torres 3B Isaac Paredes C Jake Rogers OF Yordan Alvarez OF Riley Greene OF Kerry Carpenter P Chris Sale P Kyle Harrison SS Carlos Correa,,Nolan McLean,P,65.37%,19.05
2,5123800211,drafter24 (2/4),0,193.4,1B Vladimir Guerrero Jr. 2B Gleyber Torres 3B Josh Jung C Samuel Basallo OF Ronald Acuna Jr. OF Steven Kwan OF Nathan Church P Chris Sale P Kyle Harrison SS Mauricio Dubon,,Chris Sale,P,51.23%,33.1
3,5123915694,SICKHEMI (60/100),0,190.4,1B Spencer Torkelson 2B Gleyber Torres 3B Leo Rivas C Cal Raleigh OF Ronald Acuna Jr. OF Riley Greene OF Kerry Carpenter P Chris Sale P Kyle Harrison SS Kevin McGonigle,,Kyle Bradish,P,24.15%,6.45
4,5123883076,mau5pad (92/150),0,185.4,1B Christian Walker 2B Gleyber Torres 3B Isaac Paredes C Jake Rogers OF Yordan Alvarez OF Riley Greene OF Matt Vierling P Chris Sale P Kyle Harrison SS Kevin McGonigle,,Cal Raleigh,C,20.11%,14
5,5123910610,bgreseth (122/150),0,182.4,1B Spencer Torkelson 2B Gleyber Torres 3B Isaac Paredes C Jake Rogers OF Yordan Alvarez OF Riley Greene OF Mickey Moniak P Chris Sale P Kyle Harrison SS Kevin McGonigle,,Jazz Chisholm Jr.,2B,18.20%,13
6,5124164694,zokin (53/150),0,180.85,1B Spencer Torkelson 2B Gleyber Torres 3B Isaac Paredes C Christian Vazquez OF Yordan Alvarez OF Riley Greene OF Kerry Carpenter P Chris Sale P Foster Griffin SS Carlos Correa,,Michael Harris II,OF,17.59%,2
7,5123915717,SICKHEMI (83/100),0,179.85,1B Christian Walker 2B Gleyber Torres 3B Isaac Paredes C Shea Langeliers OF Riley Greene OF Kerry Carpenter OF Wenceel Perez P Chris Sale P Foster Griffin SS Kevin McGonigle,,Kyle Harrison,P,17.44%,40.3
8,5123910585,bgreseth (97/150),0,179.4,1B Christian Walker 2B Gleyber Torres 3B Isaac Paredes C Jake Rogers OF Yordan Alvarez OF Riley Greene OF Wenceel Perez P Chris Sale P Kyle Harrison SS Kevin McGonigle,,Aaron Judge,OF,15.48%,14
9,5123681893,bkreider (97/150),0,178.4,1B Spencer Torkelson 2B Gleyber Torres 3B Colt Keith C Cal Raleigh OF Yordan Alvarez OF Riley Greene OF Kerry Carpenter P Chris Sale P Kyle Harrison SS Leo Rivas,,Junior Caminero,3B,15.39%,0
10,5124024187,RoyalPain21 (42/150),0,178.05,1B Spencer Torkelson 2B Gleyber Torres 3B Kevin McGonigle C Adley Rutschman OF Taylor Ward OF Riley Greene OF Kerry Carpenter P Kyle Harrison P Spencer Arrighetti SS Gunnar Henderson,,Riley Greene,OF,15.09%,5
11,5123757146,dfs_ads (42/150),0,176.85,1B Spencer Torkelson 2B Gleyber Torres 3B Kevin McGonigle C Drake Baldwin OF Ronald Acuna Jr. OF Riley Greene OF Kerry Carpenter P Chris Sale P Foster Griffin SS Jorge Mateo,,Drake Baldwin,C,12.65%,12
12,5123910599,bgreseth (111/150),0,174.4,1B Rhys Hoskins 2B Gleyber Torres 3B Isaac Paredes C Jake Rogers OF Yordan Alvarez OF Riley Greene OF Kerry Carpenter P Chris Sale P Kyle Harrison SS Kevin McGonigle,,Trent Grisham,OF,12.64%,0
13,5124045300,bootcampfan (16/20),0,174.35,1B Spencer Torkelson 2B Gleyber Torres 3B Kazuma Okamoto C Cal Raleigh OF Riley Greene OF Kerry Carpenter OF Jesus Sanchez P Kyle Harrison P Nolan McLean SS Kevin McGonigle,,Elly De La Cruz,SS,12.52%,3
