PG,SG,SF,PF,C,G,F,UTIL
42675451,42675454,42675465,42675313,42675366,42675298,42675289,42675392
42675402,42675410,42675375,42675459,42675368,42675307,42675313,42675317
42675451,42675301,42675394,42675319,42675366,42675398,42675313,42675392
42675451,42675292,42675340,42675368,42675392,42675301,42675437,42675351
42675451,42675357,42675361,42675286,42675463,42675437,42675289,42675351
42675402,42675292,42675375,42675459,42675463,42675298,42675368,42675327
42675307,42675410,42675348,42675313,42675463,42675333,42675345,42675437
42675451,42675301,42675437,42675394,42675366,42675298,42675330,42675368
42675402,42675437,42675375,42675459,42675463,42675307,42675345,42675281
42675451,42675337,42675437,42675330,42675433,42675301,42675368,42675317
42675298,42675333,42675437,42675330,42675459,42675398,42675313,42675392
42675417,42675410,42675394,42675304,42675392,42675437,42675375,42675281
42675402,42675292,42675375,42675459,42675463,42675398,42675313,42675289
42675402,42675292,42675340,42675459,42675463,42675327,42675437,42675289
42675357,42675410,42675394,42675459,42675368,42675327,42675313,42675317
42675451,42675410,42675375,42675368,42675313,42675298,42675437,42675310
42675402,42675301,42675394,42675368,42675281,42675506,42675375,42675433
42675451,42675417,42675340,42675368,42675392,42675327,42675465,42675281
42675402,42675410,42675375,42675459,42675281,42675398,42675304,42675394
42675402,42675301,42675394,42675459,42675463,42675298,42675345,42675313
