Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5125831973,needlunchmoney (24/150),0,183.1,1B Josh Naylor 2B Brice Turang 3B David Hamilton C William Contreras OF Julio Rodriguez OF Garrett Mitchell OF Sal Frelick P Cam Schlittler P Trey Yesavage SS Zach Neto,,Jose Soriano,P,42.72%,11.85
2,5125896951,dfs_ads (62/150),0,182.2,1B Josh Naylor 2B Brice Turang 3B David Hamilton C William Contreras OF Julio Rodriguez OF Randy Arozarena OF Garrett Mitchell P Shohei Ohtani P Clay Holmes SS Joey Ortiz,,Jacob deGrom,P,29.26%,19.7
3,5126112193,mcdonacr (144/150),0,180.35,1B Josh Naylor 2B Brice Turang 3B David Hamilton C William Contreras OF Juan Soto OF Randy Arozarena OF Sal Frelick P Cam Schlittler P Jose Soriano SS Joey Ortiz,,Shohei Ohtani,P,27.51%,24.1
4,5126218284,Bsgolfer7 (86/147),0,179.35,1B Josh Naylor 2B Cole Young 3B Bo Bichette C Salvador Perez OF Julio Rodriguez OF Randy Arozarena OF Dominic Canzone P Cam Schlittler P Jose Soriano SS Bobby Witt Jr.,,Bobby Witt Jr.,SS,26.14%,23
5,5125685223,footballguru29 (9/85),0,172.95,1B Josh Naylor 2B Cole Young 3B Maikel Garcia C Salvador Perez OF Julio Rodriguez OF Randy Arozarena OF Luke Raley P Kris Bubic P Clay Holmes SS Bobby Witt Jr.,,Cam Schlittler,P,20.87%,30.5
6,5125776903,CJCashing (144/150),0,172.55,1B Josh Naylor 2B Brice Turang 3B David Hamilton C William Contreras OF Aaron Judge OF Julio Rodriguez OF Garrett Mitchell P Logan Gilbert P Clay Holmes SS Joey Ortiz,,Juan Soto,OF,19.20%,16
7,5126154277,invertedcheese (79/150),0,171.2,1B Josh Naylor 2B Cole Young 3B David Hamilton C Cal Raleigh OF Julio Rodriguez OF Garrett Mitchell OF Sal Frelick P Shohei Ohtani P Clay Holmes SS J.P. Crawford,,Logan Gilbert,P,16.27%,12.45
8,5125776851,CJCashing (92/150),0,170.8,1B Josh Naylor 2B Zack Gelof 3B Maikel Garcia C Salvador Perez OF Julio Rodriguez OF Isaac Collins OF Lane Thomas P Shohei Ohtani P Jacob deGrom SS Bobby Witt Jr.,,Salvador Perez,C,15.03%,17
8,5126112008,Ryanlb123 (2/12),0,170.8,1B Josh Naylor 2B Josh Smith 3B Josh Jung C Will Smith OF Juan Soto OF Julio Rodriguez OF Josh Lowe P Cam Schlittler P Joe Ryan SS Bobby Witt Jr.,,Joe Ryan,P,14.57%,17.3
10,5126268901,Emrakul (110/150),0,170.6,1B Tyler Black 2B Brice Turang 3B David Hamilton C Austin Wells OF Aaron Judge OF Trent Grisham OF Sal Frelick P Shohei Ohtani P Cam Schlittler SS Joey Ortiz,,Jac Caglianone,OF,13.43%,0
11,5125704082,SICKHEMI (15/100),0,170.15,1B Tyler Black 2B Brice Turang 3B Bo Bichette C William Contreras OF Juan Soto OF Pete Crow-Armstrong OF Sal Frelick P Jacob deGrom P Logan Gilbert SS Joey Ortiz,,Brice Turang,2B,12.71%,14
12,5125638716,hixx (111/150),0,168.6,1B Tyler Black 2B Brice Turang 3B Bo Bichette C William Contreras OF Juan Soto OF Garrett Mitchell OF Carson Benge P Shohei Ohtani P Cam Schlittler SS Joey Ortiz,,Maikel Garcia,3B,12.43%,11
13,5126154247,invertedcheese (49/150),0,168.55,1B Josh Naylor 2B Brice Turang 3B David Hamilton C William Contreras OF Julio Rodriguez OF Garrett Mitchell OF Sal Frelick P Jacob deGrom P Jose Soriano SS J.P. Crawford,,Vinnie Pasquantino,1B,12.20%,7
14,5126208672,snowsnlabs,0,168.45,1B Tyler Black 2B Brice Turang 3B Bo Bichette C Salvador Perez OF Juan Soto OF Garrett Mitchell OF Sal Frelick P Jose Soriano P Trey Yesavage SS Bobby Witt Jr.,,Bo Bichette,3B,12.10%,18
14,5126235227,AwesemoJames (7/50),0,168.45,1B Josh Naylor 2B Marcus Semien 3B Bo Bichette C Cal Raleigh OF Juan Soto OF Julio Rodriguez OF Randy Arozarena P Cam Schlittler P Edward Cabrera SS J.P. Crawford,,Max Muncy,3B,12.08%,0
16,5126179023,dannyoms (39/150),0,168.2,1B Tyler Black 2B Brice Turang 3B Maikel Garcia C Salvador Perez OF Garrett Mitchell OF Sal Frelick OF Brandon Lockridge P Cam Schlittler P Jacob deGrom SS Bobby Witt Jr.,,Gleyber Torres,2B,11.16%,4
