P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429595,42429591,42429665,42429840,42429670,42429770,42429618,42429628,42429607,42429694,99.06,48300,8.58,178.56,0.0440,0.0000
42429596,42429592,42429728,42429625,42429706,42429644,42429673,42429607,42429723,42429621,100.10,49500,18.29,187.70,0.0616,0.0000
42429596,42429593,42429668,42429625,42429664,42429644,42429693,42429660,42429606,42429795,101.41,48800,25.54,187.20,0.0675,0.0000
42429592,42429593,42429705,42429619,42429678,42429744,42429616,42429735,42429617,42429660,99.29,49000,11.83,184.30,0.0939,0.0000
42429594,42429591,42429695,42429732,42429664,42429609,42429673,42429812,42429606,42429660,98.20,48800,13.07,182.40,0.0411,0.0000
42429599,42429593,42429668,42429625,42429678,42429734,42429618,42429606,42429645,42429759,99.38,49200,22.04,183.86,0.0528,0.0000
42429591,42429599,42429668,42429608,42429754,42429609,42429618,42429648,42429703,42429696,98.22,50000,10.44,185.86,0.0381,0.0000
42429595,42429594,42429641,42429625,42429670,42429731,42429729,42429620,42429628,42429694,97.83,48400,8.08,180.16,0.0587,0.0000
42429599,42429591,42429752,42429678,42429670,42429629,42429618,42429759,42429660,42429606,98.90,48800,15.17,179.86,0.0645,0.0000
42429591,42429604,42429668,42429608,42429739,42429649,42429652,42429617,42429660,42429662,100.39,48500,15.67,186.80,0.0293,0.0000
42429596,42429593,42429695,42429625,42429732,42429795,42429639,42429621,42429638,42429660,100.54,47600,13.49,188.20,0.0616,0.0000
42429592,42429593,42429661,42429625,42429732,42429629,42429616,42429643,42429735,42429814,98.77,47900,8.60,184.30,0.0645,0.0000
42429591,42429592,42429661,42429619,42429670,42429635,42429673,42429643,42429776,42429621,99.08,49600,9.72,184.30,0.0587,0.0000
42429596,42429595,42429627,42429625,42429664,42429795,42429639,42429621,42429660,42429703,101.30,48500,14.25,188.96,0.0587,0.0000
42429594,42429591,42429675,42429625,42429686,42429654,42429652,42429812,42429723,42429607,98.47,48200,12.51,183.40,0.0675,0.0000
42429596,42429592,42429728,42429625,42429664,42429731,42429652,42429621,42429617,42429660,100.79,49400,18.48,187.70,0.0469,0.0000
42429596,42429593,42429665,42429625,42429664,42429644,42429757,42429660,42429621,42429631,103.01,49400,16.07,189.20,0.0616,0.0000
42429595,42429591,42429668,42429608,42429653,42429649,42429616,42429754,42429703,42429648,100.72,49600,12.18,186.56,0.0557,0.0000
42429596,42429593,42429728,42429732,42429664,42429644,42429639,42429621,42429622,42429660,100.28,48500,13.54,188.20,0.0763,0.0000
42429591,42429595,42429668,42429608,42429754,42429649,42429616,42429617,42429741,42429696,101.40,49900,18.07,186.56,0.0733,0.0000
42429599,42429593,42429661,42429678,42429726,42429698,42429727,42429606,42429621,42429610,97.79,49600,16.57,182.86,0.0411,0.0000
42429593,42429591,42429846,42429625,42429739,42429671,42429652,42429620,42429638,42429660,102.00,47800,17.16,185.80,0.0704,0.0000
42429596,42429593,42429695,42429625,42429726,42429644,42429629,42429660,42429723,42429621,101.38,48400,18.33,187.20,0.0557,0.0000
42429591,42429592,42429665,42429608,42429706,42429644,42429822,42429669,42429617,42429648,100.84,49400,15.42,186.45,0.0381,0.0000
42429595,42429593,42429665,42429625,42429678,42429795,42429618,42429621,42429651,42429660,107.70,49200,21.31,195.56,0.0587,0.0000
42429595,42429594,42429665,42429619,42429670,42429840,42429616,42429607,42429628,42429814,98.11,49500,8.58,180.16,0.0587,0.0000
42429593,42429595,42429705,42429659,42429739,42429795,42429652,42429606,42429638,42429611,100.33,49100,14.24,182.56,0.0557,0.0000
42429591,42429595,42429668,42429625,42429732,42429644,42429673,42429621,42429617,42429660,109.91,50000,24.14,199.56,0.0821,0.0000
42429593,42429595,42429724,42429659,42429773,42429739,42429652,42429610,42429620,42429621,100.09,48800,9.97,184.56,0.0587,0.0000
42429594,42429591,42429705,42429625,42429686,42429654,42429652,42429607,42429669,42429812,98.14,48500,12.66,182.40,0.0733,0.0000
42429591,42429595,42429668,42429608,42429754,42429609,42429673,42429617,42429645,42429827,101.44,50000,17.10,185.56,0.0557,0.0000
42429596,42429591,42429675,42429625,42429710,42429644,42429673,42429776,42429607,42429660,101.00,48400,15.02,187.20,0.0616,0.0000
42429599,42429595,42429668,42429625,42429678,42429698,42429618,42429812,42429759,42429606,97.97,47600,15.02,181.62,0.0440,0.0000
42429593,42429591,42429665,42429659,42429664,42429739,42429652,42429638,42429620,42429795,101.16,47400,15.20,184.80,0.0704,0.0000
42429591,42429595,42429668,42429818,42429754,42429649,42429613,42429617,42429648,42429615,100.57,49600,17.62,185.56,0.0587,0.0000
42429595,42429592,42429728,42429625,42429732,42429635,42429618,42429703,42429660,42429621,103.08,49200,11.55,193.06,0.0645,0.0000
42429593,42429591,42429724,42429659,42429732,42429702,42429652,42429617,42429660,42429620,102.75,48300,12.29,187.80,0.0792,0.0000
42429593,42429599,42429661,42429625,42429664,42429698,42429673,42429795,42429628,42429621,101.44,47700,18.21,185.86,0.0528,0.0000
42429591,42429593,42429665,42429608,42429706,42429649,42429822,42429645,42429617,42429685,101.25,49100,13.74,185.95,0.0469,0.0000
42429591,42429593,42429668,42429625,42429706,42429649,42429719,42429643,42429617,42429797,101.21,47800,18.40,184.95,0.0528,0.0000
42429591,42429593,42429668,42429655,42429706,42429649,42429639,42429645,42429617,42429754,101.26,48400,14.43,186.80,0.0557,0.0000
42429599,42429596,42429668,42429625,42429664,42429644,42429618,42429628,42429827,42429621,99.39,49200,18.32,183.26,0.0528,0.0000
42429591,42429595,42429668,42429608,42429754,42429706,42429673,42429662,42429660,42429617,103.57,48800,20.14,187.56,0.0440,0.0000
42429592,42429593,42429661,42429619,42429715,42429772,42429616,42429617,42429744,42429643,98.40,49300,8.28,180.30,0.0675,0.0000
42429595,42429591,42429665,42429625,42429686,42429840,42429729,42429628,42429694,42429607,100.84,48100,10.59,183.56,0.0616,0.0000
42429592,42429593,42429705,42429785,42429678,42429744,42429616,42429621,42429645,42429660,98.65,47400,12.71,181.30,0.0557,0.0000
42429591,42429599,42429807,42429634,42429678,42429649,42429618,42429747,42429606,42429645,98.32,48900,11.08,183.86,0.0528,0.0000
42429591,42429595,42429665,42429625,42429670,42429840,42429729,42429628,42429615,42429648,101.89,48300,11.15,184.56,0.0381,0.0000
42429596,42429591,42429728,42429625,42429678,42429795,42429618,42429660,42429621,42429648,101.97,48700,20.92,189.20,0.0645,0.0000
42429593,42429595,42429728,42429625,42429732,42429635,42429652,42429621,42429660,42429617,107.34,49900,15.67,197.56,0.0704,0.0000
42429599,42429591,42429697,42429625,42429678,42429795,42429618,42429606,42429754,42429645,99.22,48700,19.27,183.86,0.0557,0.0000
42429592,42429595,42429661,42429619,42429678,42429644,42429616,42429643,42429776,42429638,99.36,49700,12.52,185.06,0.0909,0.0000
42429596,42429595,42429728,42429625,42429664,42429747,42429639,42429621,42429660,42429606,102.17,50000,15.91,188.96,0.0645,0.0000
42429591,42429593,42429668,42429608,42429732,42429706,42429618,42429648,42429645,42429754,101.65,48900,15.95,187.80,0.0411,0.0000
42429595,42429599,42429661,42429678,42429726,42429644,42429618,42429606,42429789,42429645,97.84,48200,18.54,182.62,0.0411,0.0000
42429596,42429591,42429665,42429608,42429754,42429644,42429673,42429620,42429795,42429621,101.01,49500,19.58,187.20,0.0411,0.0000
42429596,42429591,42429807,42429625,42429754,42429644,42429673,42429617,42429628,42429621,103.96,49500,19.78,190.20,0.0528,0.0000
42429596,42429593,42429728,42429625,42429678,42429644,42429729,42429660,42429621,42429674,101.54,47500,22.80,187.20,0.0587,0.0000
42429595,42429591,42429807,42429634,42429670,42429731,42429729,42429628,42429696,42429606,100.33,47600,7.89,182.56,0.0528,0.0000
42429593,42429596,42429695,42429625,42429710,42429644,42429673,42429660,42429620,42429648,100.70,48500,17.47,187.20,0.0792,0.0000
42429591,42429593,42429724,42429625,42429739,42429787,42429652,42429645,42429638,42429617,100.91,48100,14.47,184.80,0.0675,0.0000
42429592,42429591,42429705,42429619,42429710,42429744,42429616,42429621,42429615,42429776,98.45,49800,9.52,181.30,0.0733,0.0000
42429593,42429591,42429724,42429659,42429726,42429635,42429652,42429628,42429638,42429620,99.66,49600,9.93,184.80,0.0733,0.0000
42429591,42429595,42429668,42429608,42429706,42429649,42429729,42429617,42429645,42429662,102.19,49800,16.08,186.56,0.0499,0.0000
42429591,42429593,42429641,42429659,42429754,42429702,42429652,42429620,42429606,42429747,100.29,49200,9.95,184.80,0.0587,0.0000
42429593,42429591,42429728,42429659,42429678,42429795,42429652,42429620,42429640,42429638,100.02,47700,13.70,183.80,0.0675,0.0000
42429591,42429596,42429661,42429625,42429670,42429795,42429639,42429621,42429660,42429723,102.00,47700,14.24,188.20,0.0440,0.0000
42429596,42429604,42429728,42429625,42429710,42429644,42429639,42429660,42429621,42429607,100.09,48900,16.04,189.20,0.0704,0.0000
42429592,42429593,42429641,42429625,42429739,42429644,42429639,42429621,42429660,42429696,105.23,49500,13.20,196.30,0.0821,0.0000
42429596,42429593,42429728,42429625,42429664,42429795,42429639,42429723,42429617,42429660,101.21,47100,16.83,187.20,0.0499,0.0000
42429592,42429593,42429705,42429608,42429715,42429744,42429616,42429643,42429660,42429776,99.09,47900,9.34,181.30,0.0645,0.0000
42429599,42429593,42429665,42429625,42429678,42429644,42429639,42429651,42429660,42429621,106.50,49300,18.51,196.86,0.0411,0.0000
42429593,42429595,42429724,42429659,42429824,42429644,42429652,42429620,42429660,42429638,101.69,47100,18.90,186.56,0.0880,0.0000
42429591,42429593,42429661,42429678,42429754,42429698,42429629,42429606,42429645,42429643,99.61,49700,16.35,183.80,0.0411,0.0000
42429591,42429595,42429668,42429625,42429754,42429706,42429613,42429617,42429797,42429648,102.45,48500,24.45,186.56,0.0499,0.0000
42429593,42429591,42429665,42429659,42429678,42429702,42429652,42429638,42429620,42429700,99.67,48100,16.50,183.80,0.0704,0.0000
42429594,42429593,42429695,42429625,42429739,42429795,42429822,42429621,42429648,42429617,99.92,47100,16.12,183.55,0.0411,0.0000
42429595,42429599,42429665,42429619,42429678,42429629,42429618,42429827,42429606,42429703,97.94,49500,11.69,181.62,0.0675,0.0000
42429594,42429593,42429675,42429625,42429715,42429654,42429613,42429812,42429735,42429607,98.15,49000,9.61,181.40,0.0821,0.0000
42429593,42429591,42429724,42429625,42429670,42429739,42429652,42429638,42429611,42429814,101.27,47700,11.92,182.80,0.0645,0.0000
42429596,42429593,42429665,42429625,42429664,42429795,42429729,42429621,42429651,42429607,102.23,49500,16.11,188.20,0.0587,0.0000
42429595,42429591,42429665,42429625,42429670,42429731,42429652,42429621,42429628,42429694,104.42,49100,12.88,188.56,0.0499,0.0000
42429595,42429591,42429665,42429699,42429670,42429644,42429729,42429694,42429620,42429628,100.34,47900,15.22,181.56,0.0733,0.0000
42429595,42429591,42429665,42429710,42429664,42429649,42429729,42429628,42429607,42429814,101.01,47700,12.29,184.56,0.0499,0.0000
42429591,42429593,42429656,42429608,42429754,42429649,42429618,42429617,42429814,42429827,101.68,48700,12.27,184.80,0.0616,0.0000
42429595,42429593,42429665,42429625,42429670,42429731,42429629,42429814,42429628,42429622,100.73,48500,9.84,183.56,0.0440,0.0000
42429596,42429599,42429807,42429625,42429636,42429644,42429673,42429606,42429621,42429660,100.37,49900,15.61,188.26,0.0528,0.0000
42429592,42429593,42429661,42429619,42429710,42429744,42429616,42429660,42429669,42429643,99.02,48800,10.99,183.30,0.0733,0.0000
42429599,42429593,42429724,42429608,42429686,42429702,42429652,42429620,42429617,42429660,100.21,49700,15.53,184.86,0.0440,0.0000
42429593,42429591,42429665,42429678,42429715,42429644,42429652,42429620,42429685,42429611,102.32,49700,13.32,185.80,0.0499,0.0000
42429593,42429595,42429705,42429659,42429739,42429644,42429652,42429638,42429685,42429631,99.41,47100,10.64,183.56,0.0675,0.0000
42429592,42429591,42429705,42429608,42429732,42429744,42429616,42429660,42429776,42429643,98.97,47900,9.17,183.30,0.0675,0.0000
42429596,42429595,42429695,42429625,42429732,42429795,42429612,42429617,42429621,42429660,101.36,49400,14.30,187.96,0.0704,0.0000
42429595,42429591,42429668,42429608,42429706,42429649,42429612,42429754,42429621,42429789,100.87,49400,18.36,185.56,0.0528,0.0000
42429595,42429593,42429665,42429659,42429670,42429731,42429673,42429628,42429606,42429694,100.82,48600,10.80,182.56,0.0469,0.0000
42429591,42429595,42429668,42429608,42429754,42429747,42429729,42429648,42429645,42429617,101.21,48400,14.77,186.56,0.0528,0.0000
42429593,42429592,42429728,42429659,42429732,42429702,42429652,42429638,42429621,42429611,99.23,48900,12.33,183.30,0.0704,0.0000
42429592,42429591,42429661,42429608,42429742,42429744,42429616,42429621,42429735,42429643,98.39,50000,9.20,182.30,0.0733,0.0000
42429594,42429591,42429675,42429625,42429754,42429654,42429686,42429812,42429607,42429621,99.21,49100,15.80,183.40,0.0645,0.0000
42429592,42429593,42429661,42429619,42429664,42429744,42429652,42429643,42429776,42429606,98.41,49500,11.35,181.30,0.0763,0.0000
42429593,42429595,42429665,42429659,42429664,42429739,42429652,42429696,42429685,42429607,100.43,47700,10.91,185.56,0.0792,0.0000
