DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
128363-188449,Jalen Slawson,SF/PF,IND,CHI,P,3900,0,19.5,,19.5,5,7.52,7.583562896,0,100,122.1753,246.1968,22.6753,17.7,22.55,28.05,31.1,36.5,42.3025,23.095,17.92,23.06,28.86,32,37.68,44.3204,23.095,17.92,23.06,28.86,32,37.68,44.3204,23.329,18.22,23.32,28.92,31.98,37.503,43.7612,7.69573,8.1569,8.1569,7.93634,7.182,22.8378,1.6151,0.93235,6.829,1.58175,5.24725,2.34625,1.25615,0.85065,1.7143
128363-228120,Walter Clayton,PG/SG,MEM,NY,,5100,0,19.4,,19.4,3.803921569,0.34,0.358005021,0,100,109.0715,227.0075,20.0417,14,18.75,23.75,26.75,32.5,39,20.3196,14.2,19.1,24.3,27.6,33.5,40.801,20.3196,14.2,19.1,24.3,27.6,33.5,40.801,20.2767,14.4,19.1,24.1,27.115,32.8,39.4,7.39817,7.82187,7.82187,7.46565,7.3165,18.9298,1.728,0.90525,3.13525,0.72125,2.414,3.482,1.4145,0.1355,1.3175
128363-145308,Patrick Williams,PF/SF,CHI,IND,,3700,0,18.3,,18.3,4.945945946,1.33,1.373190217,0,100,124.0215,246.1968,18.4581,13.15,17.4,22.15,24.75,29.905,36.3525,18.3366,12.88,17.28,22.24,24.92,30.122,36.941,18.3366,12.88,17.28,22.24,24.92,30.122,36.941,18.5594,13.24,17.56,22.34,24.98,30.06,36.6416,6.76478,6.96328,6.96328,6.77254,9.39885,22.7146,1.92695,1.31225,3.4987,0.7453,2.7534,1.0583,0.65385,0.61335,1.13925
128363-161552,Micah Potter,PF/C,IND,CHI,,4100,0,18.2,,18.2,4.43902439,0.55,0.621380077,0,100,122.1753,246.1968,19.8205,14.75,19.25,23.9,26.65,31.7,38.5015,19.7894,14.555,19.14,24.02,26.82,31.962,38.5004,19.7894,14.555,19.14,24.02,26.82,31.962,38.5004,19.9654,14.82,19.34,24.08,26.82,31.94,38.0418,6.88387,7.11031,7.11031,6.96026,7.43775,18.1643,1.60545,1.02555,5.49675,1.2772,4.21955,1.9081,0.54385,0.65495,0.90435
128363-233146,Alex Antetokounmpo,SF,MIL,HOU,,3500,0,18.1,,18.1,5.171428571,3.46,3.62581701,0,100,100.117,217.5195,20.2642,15.5,20,24.75,27.25,31.75,38,19.429,14.6,19.1,24.1,26.4,30.8,37,19.429,14.6,19.1,24.1,26.4,30.8,37,20.0405,15.2,19.7,24.5,26.9,31.105,37.4,6.76842,6.78803,6.78803,6.6465,14.4738,25.5821,4.8435,0.80675,1.46675,0.39775,1.069,2.359,0.18275,0.15925,1.37675
128363-188410,Ben Sheppard,SG/PG,IND,CHI,,3700,0,18.1,,18.1,4.891891892,0.82,0.868253357,0,100,122.1753,246.1968,17.5026,12.8,16.95,21.45,24.2,29.2,34.851,17.3055,12.62,16.74,21.38,24.209,28.9,35.2006,17.3055,12.62,16.74,21.38,24.209,28.9,35.2006,17.2446,12.68,16.64,21.22,23.94,28.52,34.66,6.543,6.62419,6.62419,6.40264,7.47185,22.0209,1.0525,1.4985,3.8377,0.90745,2.93025,1.6925,0.83025,0.2995,0.68465
128363-157832,Sharife Cooper,PG,WAS,PHI,,4100,0,18,,18,4.390243902,0.03,0.032085373,0,100,112.9143,239.3848,14.1867,11.1,14.9,18.8,21.35,25.7,30.6015,13.6794,10.6,14.28,18.26,20.74,25.12,30.401,13.6794,10.6,14.28,18.26,20.74,25.12,30.401,14.0789,11,14.74,18.66,21.16,25.36,30.7,5.82298,5.86473,5.86473,5.783,7.66965,18.3612,1.83315,0.88245,2.82325,0.71595,2.1073,2.04965,0.11755,0.40815,0.9807
128363-171925,Dominick Barlow,PF/C,PHI,WAS,Confirmed,4300,0,17.9,,17.9,4.162790698,0.75,0.887913552,0,100,126.4705,239.3848,20.6068,15.35,19.65,24.1,26.6,31.15,36.8,21.0895,15.52,20.04,24.92,27.46,32.36,38.0812,21.0895,15.52,20.04,24.92,27.46,32.36,38.0812,21.1577,15.745,20.2,24.86,27.309,32.142,37.7806,6.44143,6.87692,6.87692,6.70234,9.15058,24.4934,3.29275,0.40065,5.1208,1.04815,4.07265,1.25375,0.65775,0.69075,0.76445
128363-233073,Tyler Burton,PF/C,MEM,NY,,4700,0,17.9,,17.9,3.808510638,0.16,0.162777704,0,100,109.0715,227.0075,18.1343,12.25,16.5,21,23.75,28.25,33.75,17.6314,11.7,16.2,20.7,23.2,27.8,33.002,17.6314,11.7,16.2,20.7,23.2,27.8,33.002,17.9877,12,16.4,21,23.4,28,33.101,6.5518,6.54888,6.54888,6.47077,12.2743,20.9585,4.277,0.70975,1.4505,0.3495,1.101,1.3775,0.232,0.18175,0.9435
128363-179512,Daeqwon Plowden,SF/PF,SAC,TOR,,4800,0,17.6,,17.6,3.666666667,0.17,0.201546132,0,100,108.3737,226.3999,19.1745,15.8,20.6,25.9,28.6725,33.95,40.7025,18.504,15.34,20.16,25.32,28.32,33.143,39.9816,18.504,15.34,20.16,25.32,28.32,33.143,39.9816,18.7922,15.64,20.28,25.32,28.12,32.92,39.7404,7.38878,7.39126,7.39126,7.17474,14.294,25.3431,2.8047,2.07663,1.50077,0.391533,1.10923,1.4645,0.792967,0.351067,1.17847
