Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,5129830116,RoyalPain21 (105/150),0,165,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Dillon Dingler OF Michael Harris II OF Luke Raley OF Wenceel Perez P Chris Sale P Reid Detmers SS Jorge Mateo,,Nolan Gorman,3B,11.31%,0
25,5129632185,conradical907 (42/150),0,164,1B Josh Naylor 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Evan Carter OF Wenceel Perez P Emerson Hancock P Reid Detmers SS Jorge Mateo,,Chase Dollander,P,11.01%,-0.6
26,5129573528,B_Heals152 (89/150),0,163.85,1B Matt Olson 2B Gleyber Torres 3B Austin Riley C Drake Baldwin OF Riley Greene OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Roki Sasaki SS Jorge Mateo,,Juan Soto,OF,11.00%,10
27,5130106063,Freddy11 (6/20),0,163.65,1B Matt Olson 2B Michael Massey 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Jac Caglianone P Chris Sale P Sean Burke SS Ronny Mauricio,,Mike Yastrzemski,OF,10.78%,0
27,5130121157,jerrysworld65 (5/7),0,163.65,1B Munetaka Murakami 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Andrew Benintendi OF Sam Antonacci P Chris Sale P Sean Burke SS Jorge Mateo,,Bo Bichette,3B,10.71%,5
29,5129634409,jmoore3903 (25/150),0,163.3,1B Spencer Torkelson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Randy Arozarena OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Emerson Hancock SS Mauricio Dubon,,Julio Rodriguez,OF,10.70%,10
29,5129996826,cardinals19191 (60/150),0,163.3,1B Josh Naylor 2B Andy Ibanez 3B Austin Riley C Drake Baldwin OF Julio Rodriguez OF Michael Harris II OF Mike Yastrzemski P Chris Sale P Emerson Hancock SS Jorge Mateo,,Brenton Doyle,OF,10.60%,0
31,5129617911,LeVerticalDFS (36/150),0,162.65,1B Matt Olson 2B Ozzie Albies 3B Jace Jung C Drake Baldwin OF Ronald Acuna Jr. OF Kerry Carpenter OF Wenceel Perez P Chris Sale P Sean Burke SS Jorge Mateo,,Jordan Walker,OF,10.39%,19
32,5129695673,craftylefty (19/70),0,162,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Miguel Andujar OF Kyle Isbel OF Isaac Collins P Chris Sale P Reid Detmers SS Jorge Mateo,,Emerson Hancock,P,10.36%,38.15
32,5129931399,lethuima (80/100),0,162,1B Matt Olson 2B Ozzie Albies 3B Kyle Karros C Drake Baldwin OF Ronald Acuna Jr. OF Jordan Beck OF Wenceel Perez P Emerson Hancock P Reid Detmers SS Jorge Mateo,,Jordan Beck,OF,10.27%,7
