P,P,C,1B,2B,3B,SS,OF,OF,OF
42672737,42672740,42672850,42672842,42672763,42672846,42672761,42672876,42672789,42672752
42672737,42672740,42672850,42672842,42672763,42672826,42672863,42672751,42672752,42672789
42672737,42672740,42672800,42672902,42672811,42672762,42672863,42672748,42672869,42672752
42672737,42672740,42672770,42672760,42672763,42672872,42672761,42672904,42672923,42672751
42672737,42672740,42672881,42672902,42672756,42672846,42672797,42672758,42672748,42672788
42672737,42672740,42672881,42672902,42672756,42672822,42672761,42672776,42672752,42672789
42672737,42672740,42672850,42672902,42672756,42672778,42672769,42672776,42672789,42672788
42672737,42672740,42672850,42672842,42672756,42672778,42672797,42672752,42672789,42672869
42672737,42672740,42672808,42672781,42672777,42672822,42672797,42672869,42672752,42672788
42672737,42672740,42672800,42672842,42672872,42672762,42672863,42672748,42672746,42672923
42672735,42672740,42672800,42672753,42672811,42672762,42672797,42672923,42672758,42672869
42672737,42672740,42672800,42672746,42672914,42672861,42672797,42672748,42672869,42672788
42672737,42672740,42672800,42672753,42672811,42672872,42672863,42672746,42672923,42672758
42672737,42672740,42672808,42672753,42672756,42672861,42672797,42672923,42672746,42672869
42672737,42672740,42672770,42672830,42672872,42672846,42672792,42672874,42672751,42672748
42672740,42672743,42672832,42672771,42672763,42672846,42672792,42672749,42672923,42672751
42672737,42672740,42672881,42672902,42672763,42672778,42672797,42672749,42672751,42672869
42672738,42672743,42672800,42672854,42672811,42672762,42672759,42672754,42672923,42672748
42672735,42672752,42672761,42672789,42672878,42672881,42672746,42672753,42672934,42672850
42672736,42672743,42672808,42672771,42672763,42672846,42672792,42672782,42672874,42672751
42672737,42672773,42672807,42672818,42672784,42672827,42672746,42672748,42672789,42672878
42672741,42672743,42672832,42672810,42672763,42672826,42672792,42672751,42672789,42672752
42672737,42672752,42672761,42672789,42672878,42672881,42672746,42672748,42672934,42672850
42672734,42672749,42672766,42672771,42672786,42672891,42672753,42672789,42672878,42672823
42672737,42672740,42672770,42672810,42672811,42672809,42672827,42672758,42672923,42672748
42672740,42672741,42672881,42672753,42672763,42672846,42672792,42672934,42672748,42672789
42672738,42672736,42672881,42672902,42672763,42672778,42672797,42672874,42672758,42672754
42672736,42672740,42672881,42672902,42672756,42672778,42672761,42672869,42672752,42672789
42672738,42672737,42672773,42672902,42672805,42672778,42672797,42672748,42672869,42672788
42672738,42672743,42672832,42672813,42672763,42672846,42672761,42672751,42672855,42672752
42672737,42672751,42672763,42672934,42672792,42672923,42672746,42672753,42672800,42672878
42672734,42672756,42672788,42672778,42672776,42672826,42672748,42672934,42672878,42672823
42672740,42672743,42672832,42672771,42672763,42672846,42672792,42672749,42672751,42672894
42672736,42672740,42672808,42672902,42672777,42672822,42672759,42672782,42672914,42672748
42672738,42672740,42672770,42672902,42672756,42672846,42672797,42672776,42672752,42672788
42672737,42672740,42672850,42672842,42672763,42672846,42672769,42672876,42672789,42672752
42672738,42672736,42672832,42672902,42672763,42672762,42672792,42672749,42672934,42672869
42672736,42672740,42672800,42672830,42672801,42672846,42672792,42672874,42672754,42672751
42672735,42672760,42672823,42672872,42672835,42672874,42672746,42672748,42672758,42672878
42672740,42672743,42672808,42672781,42672777,42672852,42672759,42672891,42672754,42672748
42672740,42672743,42672808,42672781,42672777,42672822,42672774,42672891,42672754,42672748
42672741,42672760,42672823,42672872,42672835,42672846,42672746,42672748,42672753,42672762
42672737,42672740,42672770,42672810,42672766,42672793,42672835,42672749,42672923,42672823
42672737,42672760,42672823,42672872,42672835,42672846,42672746,42672748,42672753,42672808
42672739,42672751,42672763,42672934,42672792,42672793,42672746,42672789,42672800,42672808
42672736,42672756,42672788,42672778,42672776,42672826,42672746,42672789,42672934,42672878
42672744,42672749,42672766,42672771,42672786,42672822,42672746,42672758,42672934,42672878
42672740,42672743,42672850,42672771,42672766,42672774,42672761,42672876,42672752,42672789
42672736,42672741,42672850,42672842,42672878,42672852,42672759,42672751,42672752,42672789
42672738,42672737,42672770,42672760,42672763,42672872,42672863,42672923,42672823,42672751
42672734,42672773,42672807,42672818,42672784,42672811,42672746,42672753,42672934,42672878
42672736,42672740,42672881,42672760,42672763,42672861,42672797,42672752,42672789,42672869
42672738,42672740,42672850,42672842,42672763,42672762,42672761,42672876,42672789,42672752
42672737,42672740,42672832,42672902,42672766,42672778,42672797,42672780,42672751,42672869
42672735,42672752,42672761,42672789,42672878,42672869,42672746,42672758,42672934,42672823
42672734,42672773,42672807,42672818,42672784,42672800,42672746,42672758,42672934,42672878
42672734,42672752,42672761,42672789,42672878,42672881,42672746,42672758,42672850,42672811
42672738,42672736,42672832,42672902,42672763,42672872,42672792,42672751,42672934,42672752
42672738,42672740,42672832,42672830,42672756,42672778,42672797,42672751,42672788,42672869
42672736,42672740,42672808,42672753,42672777,42672822,42672769,42672891,42672914,42672748
42672738,42672740,42672850,42672842,42672766,42672872,42672792,42672751,42672789,42672752
42672741,42672740,42672850,42672902,42672763,42672778,42672761,42672788,42672776,42672752
42672738,42672737,42672881,42672902,42672805,42672778,42672797,42672807,42672748,42672788
42672736,42672740,42672881,42672902,42672756,42672778,42672761,42672876,42672788,42672752
42672736,42672741,42672850,42672902,42672763,42672826,42672761,42672807,42672789,42672752
42672736,42672740,42672850,42672842,42672801,42672872,42672769,42672755,42672789,42672752
42672740,42672773,42672807,42672818,42672784,42672811,42672746,42672748,42672761,42672878
42672735,42672773,42672807,42672818,42672784,42672827,42672746,42672753,42672789,42672878
42672738,42672737,42672881,42672842,42672763,42672778,42672797,42672789,42672752,42672869
42672736,42672737,42672808,42672813,42672763,42672822,42672792,42672876,42672874,42672751
42672735,42672752,42672761,42672789,42672878,42672902,42672746,42672753,42672800,42672850
42672735,42672756,42672788,42672778,42672776,42672842,42672746,42672800,42672878,42672823
42672734,42672756,42672788,42672778,42672776,42672878,42672746,42672800,42672934,42672850
42672736,42672741,42672808,42672781,42672914,42672822,42672759,42672891,42672758,42672748
42672736,42672740,42672850,42672842,42672763,42672826,42672792,42672874,42672789,42672752
42672737,42672756,42672788,42672778,42672776,42672842,42672746,42672789,42672800,42672934
42672738,42672740,42672881,42672902,42672756,42672878,42672761,42672748,42672752,42672869
42672738,42672736,42672850,42672902,42672756,42672778,42672797,42672758,42672869,42672789
42672737,42672741,42672832,42672753,42672811,42672846,42672792,42672874,42672748,42672788
42672736,42672740,42672881,42672760,42672763,42672872,42672835,42672748,42672758,42672923
42672737,42672736,42672881,42672902,42672777,42672861,42672797,42672749,42672751,42672869
42672737,42672756,42672788,42672778,42672776,42672870,42672746,42672762,42672878,42672823
42672737,42672756,42672788,42672778,42672776,42672826,42672746,42672789,42672808,42672878
42672734,42672760,42672823,42672872,42672835,42672846,42672746,42672748,42672789,42672808
42672741,42672760,42672823,42672872,42672835,42672832,42672746,42672748,42672753,42672789
42672735,42672756,42672788,42672778,42672776,42672855,42672746,42672800,42672934,42672878
42672742,42672752,42672761,42672789,42672878,42672902,42672746,42672748,42672753,42672850
