P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42770431,Kris Bubic,8400,15.96,42770357,Shohei Ohtani,10500,20.64,42770303,Salvador Perez,3700,8.98,42770370,Gavin Sheets,3600,6.59,42770417,Fernando Tatis Jr.,5100,9.70,42770502,Nick Loftin,2700,6.39,42770324,Xander Bogaerts,4300,7.92,42770368,Ramon Laureano,4400,8.22,42770429,Kyle Isbel,2700,5.75,42770326,Teoscar Hernandez,4500,7.83,97.98,49900,23.1,2.3124e+1
42770344,Walker Buehler,6500,10.52,42770357,Shohei Ohtani,10500,20.64,42770374,Will Smith,4000,8.79,42770453,Vinnie Pasquantino,4500,8.66,42770417,Fernando Tatis Jr.,5100,9.70,42770427,Maikel Garcia,4600,8.67,42770424,Hyeseong Kim,2900,5.46,42770366,Lane Thomas,2300,8.05,42770460,Andy Pages,5000,7.48,42770326,Teoscar Hernandez,4500,7.83,95.80,49900,23.2,2.3165e+1
42770431,Kris Bubic,8400,15.96,42770357,Shohei Ohtani,10500,20.64,42770374,Will Smith,4000,8.79,42770302,Freddie Freeman,5200,8.85,42770372,Jake Cronenworth,2800,6.14,42770573,Matt Shaw,2700,6.27,42770351,Dansby Swanson,3600,7.64,42770454,Isaac Collins,2400,6.91,42770380,Kyle Tucker,5800,8.64,42770326,Teoscar Hernandez,4500,7.83,97.67,49900,22.3,2.2297e+1
42770431,Kris Bubic,8400,15.96,42770357,Shohei Ohtani,10500,20.64,42770559,Dalton Rushing,3800,8.15,42770302,Freddie Freeman,5200,8.85,42770372,Jake Cronenworth,2800,6.14,42770311,Max Muncy,4900,8.07,42770424,Hyeseong Kim,2900,5.46,42770510,Pete Crow-Armstrong,4700,8.40,42770362,Ian Happ,4200,8.11,42770454,Isaac Collins,2400,6.91,96.69,49800,22.4,2.2391e+1
42770431,Kris Bubic,8400,15.96,42770357,Shohei Ohtani,10500,20.64,42770374,Will Smith,4000,8.79,42770370,Gavin Sheets,3600,6.59,42770372,Jake Cronenworth,2800,6.14,42770427,Maikel Garcia,4600,8.67,42770324,Xander Bogaerts,4300,7.92,42770454,Isaac Collins,2400,6.91,42770368,Ramon Laureano,4400,8.22,42770326,Teoscar Hernandez,4500,7.83,97.67,49500,22.2,2.2192e+1
42770431,Kris Bubic,8400,15.96,42770357,Shohei Ohtani,10500,20.64,42770343,Carson Kelly,3300,6.93,42770389,Ty France,2400,6.11,42770372,Jake Cronenworth,2800,6.14,42770427,Maikel Garcia,4600,8.67,42770351,Dansby Swanson,3600,7.64,42770417,Fernando Tatis Jr.,5100,9.70,42770534,Jackson Merrill,4800,8.70,42770326,Teoscar Hernandez,4500,7.83,98.32,50000,22.8,2.2801e+1
42770431,Kris Bubic,8400,15.96,42770357,Shohei Ohtani,10500,20.64,42770303,Salvador Perez,3700,8.98,42770370,Gavin Sheets,3600,6.59,42770417,Fernando Tatis Jr.,5100,9.70,42770573,Matt Shaw,2700,6.27,42770351,Dansby Swanson,3600,7.64,42770368,Ramon Laureano,4400,8.22,42770510,Pete Crow-Armstrong,4700,8.40,42770435,Bryce Johnson,2500,5.69,98.09,49200,22.6,2.2574e+1
42770344,Walker Buehler,6500,10.52,42770357,Shohei Ohtani,10500,20.64,42770303,Salvador Perez,3700,8.98,42770302,Freddie Freeman,5200,8.85,42770417,Fernando Tatis Jr.,5100,9.70,42770311,Max Muncy,4900,8.07,42770424,Hyeseong Kim,2900,5.46,42770454,Isaac Collins,2400,6.91,42770366,Lane Thomas,2300,8.05,42770460,Andy Pages,5000,7.48,94.66,48500,22.8,2.2762e+1
42770431,Kris Bubic,8400,15.96,42770420,Edward Cabrera,7500,12.73,42770523,Agustin Ramirez,3900,6.26,42770455,Kyle Stowers,4700,6.97,42770466,Xavier Edwards,4500,6.25,42770427,Maikel Garcia,4600,8.67,42770488,Bobby Witt Jr.,6200,11.35,42770429,Kyle Isbel,2700,5.75,42770530,Jac Caglianone,3300,7.69,42770566,Jakob Marsee,4200,7.04,88.67,50000,20.6,2.0589e+1
42770420,Edward Cabrera,7500,12.73,42770431,Kris Bubic,8400,15.96,42770374,Will Smith,4000,8.79,42770302,Freddie Freeman,5200,8.85,42770430,Nico Hoerner,5000,8.28,42770502,Nick Loftin,2700,6.39,42770351,Dansby Swanson,3600,7.64,42770366,Lane Thomas,2300,8.05,42770460,Andy Pages,5000,7.48,42770380,Kyle Tucker,5800,8.64,92.81,49500,23.1,2.3060e+1
