P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42441364,42441370,42441569,42441405,42441563,42441458,42441399,42441464,42441433,42441482,97.23,49600,5.32,183.90,0.0645,0.0000
42441365,42441372,42441456,42441410,42441567,42441509,42441511,42441395,42441595,42441404,97.07,48200,8.60,180.70,0.1027,0.0000
42441375,42441364,42441834,42441410,42441494,42441419,42441432,42441483,42441388,42441452,97.24,49900,11.42,182.61,0.0675,0.0000
42441371,42441364,42441420,42441414,42441418,42441572,42441649,42441624,42441398,42441474,97.08,48300,5.71,176.10,0.0645,0.0000
42441365,42441367,42441719,42441406,42441425,42441414,42441432,42441396,42441512,42441640,99.52,49000,12.33,185.21,0.1115,0.0000
42441366,42441364,42441486,42441406,42441554,42441434,42441491,42441601,42441398,42441534,103.53,48900,14.92,191.70,0.0821,0.0000
42441364,42441372,42441507,42441628,42441498,42441403,42441397,42441522,42441438,42441596,98.99,47500,6.83,186.25,0.0909,0.0000
42441374,42441364,42441639,42441389,42441498,42441450,42441491,42441453,42441433,42441408,96.84,49700,8.29,180.95,0.0792,0.0000
42441366,42441374,42441507,42441406,42441558,42441434,42441491,42441398,42441400,42441453,102.51,49900,17.75,193.45,0.1232,0.0000
42441372,42441364,42441456,42441406,42441465,42441796,42441511,42441595,42441392,42441400,102.00,49100,16.73,183.25,0.0821,0.0000
42441366,42441364,42441501,42441406,42441471,42441574,42441491,42441398,42441453,42441482,104.22,49600,15.70,192.70,0.1056,0.0000
42441364,42441375,42441697,42441406,42441563,42441458,42441399,42441504,42441482,42441387,97.33,49500,9.82,181.61,0.0675,0.0000
42441364,42441370,42441507,42441628,42441572,42441480,42441397,42441522,42441404,42441470,99.05,47400,6.54,185.90,0.0821,0.0000
42441364,42441365,42441569,42441430,42441548,42441466,42441496,42441396,42441433,42441640,100.33,48500,8.81,186.80,0.0909,0.0000
42441366,42441364,42441569,42441406,42441558,42441434,42441437,42441595,42441453,42441398,109.97,49900,18.31,201.70,0.1349,0.0000
42441374,42441364,42441639,42441389,42441498,42441450,42441614,42441583,42441398,42441386,97.26,50000,10.03,180.95,0.0968,0.0000
42441364,42441365,42441486,42441632,42441554,42441445,42441399,42441640,42441387,42441438,97.15,49700,8.98,182.65,0.0939,0.0000
42441369,42441364,42441648,42441444,42441574,42441419,42441437,42441392,42441596,42441404,96.85,49600,8.82,181.95,0.0968,0.0000
42441371,42441364,42441569,42441509,42441418,42441572,42441407,42441624,42441457,42441386,97.27,48900,6.26,178.25,0.0792,0.0000
42441374,42441364,42441436,42441509,42441418,42441445,42441614,42441450,42441395,42441553,96.88,48700,7.97,179.95,0.1085,0.0000
42441363,42441364,42441486,42441475,42441554,42441423,42441407,42441452,42441522,42441512,97.41,49700,6.04,182.75,0.1027,0.0000
42441372,42441364,42441456,42441509,42441494,42441796,42441423,42441595,42441395,42441391,99.05,48500,11.15,180.25,0.0763,0.0000
42441364,42441372,42441486,42441406,42441563,42441458,42441447,42441522,42441387,42441674,97.61,48600,8.00,183.25,0.0675,0.0000
42441364,42441366,42441501,42441406,42441425,42441419,42441491,42441450,42441625,42441453,103.85,49800,17.95,192.70,0.0909,0.0000
42441365,42441366,42441501,42441389,42441574,42441450,42441496,42441553,42441395,42441433,97.82,49800,12.44,182.30,0.0939,0.0000
42441370,42441364,42441507,42441401,42441471,42441508,42441437,42441438,42441522,42441624,99.05,47700,7.35,184.90,0.1203,0.0000
42441369,42441366,42441448,42441406,42441425,42441508,42441437,42441427,42441596,42441504,97.12,48500,13.38,182.45,0.0616,0.0000
42441374,42441364,42441456,42441558,42441425,42441429,42441614,42441395,42441433,42441450,99.08,49600,8.56,184.95,0.0704,0.0000
42441364,42441366,42441501,42441406,42441425,42441434,42441432,42441625,42441504,42441453,105.45,49700,29.49,193.70,0.1320,0.0000
42441365,42441364,42441439,42441455,42441425,42441466,42441437,42441396,42441674,42441601,100.58,49800,18.36,188.65,0.1056,0.0000
42441364,42441375,42441569,42441406,42441475,42441434,42441437,42441398,42441453,42441522,108.40,50000,17.51,201.61,0.0851,0.0000
42441372,42441364,42441456,42441405,42441465,42441466,42441399,42441658,42441595,42441617,97.46,47200,7.27,178.25,0.0821,0.0000
42441364,42441371,42441456,42441558,42441465,42441414,42441399,42441453,42441595,42441411,101.37,49800,10.28,186.10,0.0792,0.0000
42441364,42441366,42441660,42441444,42441558,42441630,42441437,42441400,42441427,42441596,97.76,47000,17.07,182.70,0.0939,0.0000
42441370,42441364,42441501,42441406,42441558,42441434,42441437,42441453,42441553,42441396,109.21,50000,22.29,201.90,0.0939,0.0000
42441372,42441364,42441456,42441406,42441471,42441509,42441550,42441433,42441411,42441565,100.45,48700,12.57,182.25,0.0763,0.0000
42441365,42441364,42441720,42441558,42441425,42441496,42441432,42441640,42441396,42441402,101.14,48800,10.66,186.80,0.1027,0.0000
42441364,42441372,42441486,42441558,42441563,42441630,42441399,42441387,42441482,42441453,98.02,48300,10.19,185.25,0.1027,0.0000
42441374,42441364,42441486,42441389,42441574,42441450,42441496,42441433,42441398,42441614,98.69,49400,9.80,183.10,0.0675,0.0000
42441369,42441375,42441439,42441406,42441574,42441434,42441437,42441596,42441427,42441400,98.31,48900,12.39,185.36,0.1056,0.0000
42441365,42441372,42441448,42441455,42441425,42441434,42441407,42441396,42441474,42441640,99.49,50000,9.87,184.85,0.0675,0.0000
42441374,42441365,42441409,42441444,42441574,42441434,42441437,42441395,42441427,42441596,97.98,49600,10.69,186.40,0.1027,0.0000
42441364,42441365,42441456,42441455,42441425,42441496,42441432,42441396,42441464,42441723,102.12,50000,13.30,187.80,0.1261,0.0000
42441366,42441364,42441501,42441705,42441442,42441434,42441491,42441453,42441398,42441433,104.02,49300,20.93,191.70,0.0968,0.0000
42441364,42441372,42441486,42441405,42441425,42441536,42441399,42441482,42441512,42441541,97.43,48800,7.75,184.25,0.0675,0.0000
42441365,42441369,42441420,42441406,42441558,42441605,42441437,42441392,42441596,42441427,97.05,49400,11.51,182.40,0.0851,0.0000
42441369,42441364,42441644,42441444,42441574,42441508,42441437,42441400,42441404,42441522,97.65,48500,10.16,183.95,0.1291,0.0000
42441370,42441364,42441486,42441558,42441572,42441434,42441491,42441396,42441398,42441453,106.52,49600,17.00,197.90,0.1027,0.0000
42441371,42441364,42441420,42441389,42441572,42441466,42441649,42441392,42441522,42441457,97.00,49900,6.90,179.10,0.0704,0.0000
42441365,42441378,42441420,42441455,42441425,42441466,42441432,42441396,42441534,42441453,98.85,49700,12.06,187.35,0.0968,0.0000
42441364,42441370,42441834,42441475,42441548,42441419,42441423,42441452,42441386,42441450,97.88,49700,9.20,182.90,0.0763,0.0000
42441365,42441364,42441639,42441455,42441425,42441688,42441397,42441640,42441396,42441413,100.55,49600,11.56,186.65,0.0851,0.0000
42441375,42441366,42441456,42441406,42441425,42441434,42441432,42441453,42441398,42441640,105.15,50000,22.90,194.11,0.1085,0.0000
42441364,42441375,42441486,42441405,42441548,42441458,42441399,42441452,42441718,42441387,97.81,50000,4.70,182.61,0.0997,0.0000
42441364,42441375,42441646,42441405,42441563,42441466,42441399,42441387,42441522,42441482,96.88,49600,8.59,185.61,0.0968,0.0000
42441364,42441366,42441648,42441406,42441454,42441434,42441496,42441625,42441411,42441453,103.69,48900,21.93,189.85,0.0851,0.0000
42441372,42441364,42441456,42441509,42441465,42441574,42441511,42441395,42441411,42441413,99.31,49700,14.60,180.25,0.0704,0.0000
42441372,42441364,42441456,42441444,42441465,42441509,42441491,42441565,42441395,42441411,100.52,49400,12.37,183.25,0.0909,0.0000
42441366,42441364,42441531,42441406,42441725,42441434,42441491,42441470,42441453,42441395,103.83,49400,18.66,189.70,0.1027,0.0000
42441370,42441364,42441495,42441401,42441425,42441603,42441397,42441483,42441438,42441534,98.54,49900,15.16,186.90,0.0909,0.0000
42441370,42441364,42441420,42441444,42441475,42441508,42441437,42441596,42441400,42441553,100.64,48600,10.07,186.90,0.1056,0.0000
42441373,42441364,42441609,42441406,42441558,42441434,42441491,42441391,42441579,42441512,97.83,47600,10.43,186.20,0.1027,0.0000
42441371,42441364,42441569,42441405,42441418,42441572,42441399,42441400,42441457,42441718,97.58,49500,5.88,180.10,0.0792,0.0000
42441364,42441369,42441456,42441444,42441574,42441551,42441437,42441596,42441400,42441433,98.07,48500,10.28,182.10,0.0997,0.0000
42441372,42441366,42441456,42441406,42441465,42441796,42441437,42441452,42441565,42441411,98.57,47200,15.54,181.75,0.0880,0.0000
42441369,42441364,42441477,42441444,42441425,42441574,42441437,42441596,42441682,42441392,96.85,47800,15.58,180.95,0.0792,0.0000
42441364,42441365,42441569,42441705,42441475,42441423,42441511,42441427,42441386,42441452,99.07,49600,10.66,184.65,0.0704,0.0000
42441365,42441364,42441719,42441406,42441425,42441509,42441496,42441547,42441396,42441582,100.66,48100,11.91,183.80,0.0997,0.0000
42441374,42441369,42441501,42441406,42441425,42441450,42441437,42441395,42441553,42441433,98.47,49700,13.84,185.70,0.0645,0.0000
42441365,42441364,42441409,42441652,42441425,42441466,42441496,42441438,42441640,42441396,100.65,49700,11.87,186.80,0.1232,0.0000
42441365,42441371,42441420,42441401,42441425,42441496,42441432,42441640,42441396,42441522,99.00,50000,11.95,185.70,0.0939,0.0000
42441370,42441372,42441507,42441401,42441572,42441496,42441397,42441438,42441647,42441398,98.89,48100,10.04,187.10,0.1173,0.0000
42441364,42441372,42441719,42441406,42441425,42441429,42441550,42441450,42441582,42441396,100.88,48800,13.65,185.25,0.0733,0.0000
42441364,42441369,42441569,42441389,42441498,42441450,42441416,42441593,42441553,42441395,97.34,49900,14.92,181.95,0.0704,0.0000
42441369,42441364,42441557,42441444,42441574,42441508,42441437,42441640,42441395,42441427,97.38,47800,13.67,179.95,0.0939,0.0000
42441370,42441364,42441507,42441401,42441554,42441603,42441397,42441533,42441522,42441450,98.98,47800,6.46,185.90,0.1261,0.0000
42441379,42441370,42441456,42441406,42441454,42441509,42441491,42441396,42441453,42441391,99.34,49700,14.88,188.35,0.0792,0.0000
42441371,42441364,42441507,42441705,42441454,42441434,42441416,42441402,42441474,42441553,97.06,47700,12.55,182.10,0.0763,0.0000
42441369,42441364,42441622,42441444,42441435,42441574,42441437,42441400,42441596,42441391,96.84,49600,8.03,180.95,0.1056,0.0000
42441365,42441364,42441719,42441444,42441425,42441466,42441432,42441396,42441603,42441534,100.88,48700,11.85,187.65,0.1232,0.0000
42441366,42441372,42441409,42441406,42441563,42441434,42441491,42441553,42441453,42441398,103.13,49300,16.99,192.75,0.0968,0.0000
42441370,42441364,42441436,42441401,42441465,42441796,42441397,42441522,42441603,42441438,99.40,48600,9.86,186.90,0.1115,0.0000
42441364,42441367,42441720,42441426,42441505,42441403,42441496,42441453,42441534,42441470,98.20,47400,7.64,179.91,0.0704,0.0000
42441374,42441364,42441456,42441406,42441498,42441450,42441614,42441433,42441395,42441492,99.07,49600,11.56,182.95,0.0733,0.0000
42441375,42441365,42441456,42441401,42441425,42441466,42441421,42441396,42441640,42441534,99.18,49500,12.03,187.06,0.1173,0.0000
42441366,42441367,42441501,42441406,42441454,42441508,42441437,42441398,42441453,42441595,103.30,49100,18.95,191.26,0.1320,0.0000
42441370,42441367,42441507,42441401,42441558,42441603,42441397,42441438,42441396,42441464,98.60,49700,8.60,190.46,0.1525,0.0000
42441375,42441364,42441439,42441410,42441425,42441572,42441432,42441483,42441388,42441625,99.48,50000,13.83,185.61,0.0792,0.0000
42441370,42441371,42441569,42441405,42441454,42441603,42441397,42441438,42441398,42441522,97.68,48800,9.09,187.80,0.1027,0.0000
42441364,42441366,42441486,42441405,42441591,42441445,42441399,42441625,42441387,42441723,97.13,49600,9.94,182.70,0.0851,0.0000
42441366,42441364,42441409,42441406,42441567,42441688,42441491,42441453,42441398,42441625,104.59,48600,13.16,193.70,0.0939,0.0000
42441366,42441365,42441507,42441406,42441558,42441496,42441432,42441396,42441395,42441640,103.11,50000,16.08,192.30,0.1203,0.0000
42441364,42441370,42441507,42441652,42441431,42441603,42441397,42441386,42441453,42441522,99.45,49200,7.44,187.90,0.1379,0.0000
42441370,42441364,42441507,42441401,42441454,42441603,42441629,42441438,42441522,42441398,100.82,48400,9.97,189.90,0.1261,0.0000
42441364,42441366,42441557,42441455,42441425,42441466,42441407,42441396,42441582,42441595,100.63,49500,13.20,183.85,0.0997,0.0000
42441370,42441366,42441439,42441410,42441435,42441419,42441432,42441522,42441464,42441453,97.11,50000,7.84,186.40,0.0880,0.0000
42441372,42441367,42441639,42441430,42441558,42441450,42441511,42441433,42441395,42441398,97.60,48500,9.36,182.81,0.0851,0.0000
42441378,42441366,42441507,42441406,42441454,42441434,42441397,42441453,42441398,42441640,102.83,49500,20.30,193.40,0.1115,0.0000
42441366,42441367,42441456,42441406,42441548,42441434,42441491,42441505,42441398,42441453,103.02,49600,15.60,191.26,0.0909,0.0000
42441369,42441364,42441441,42441444,42441574,42441508,42441437,42441624,42441386,42441427,97.37,49800,7.51,180.95,0.0909,0.0000
42441364,42441374,42441639,42441389,42441475,42441450,42441407,42441658,42441553,42441395,96.91,49000,7.59,180.10,0.0997,0.0000
