P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42960497,42960422,42960556,42960540,42960480,42960482,42960532,42960490,42960553,42960503,,89.76,71.71694756,89.11694336,109.8919525,119.2144547,138.944455,170.7524435,272.002551,49400,1,90.95,83.2845118,78.34065321,81.06130535,76.11744677,167.5046526,77.34576181,72.40190323,75.12255537,70.17869679,24.9682343,101.0244846
42960497,42960550,42960403,42960502,42960506,42960451,42960532,42960553,42960510,42960505,,96.59,79.07645035,95.31394958,114.8389511,126.4539494,144.4889496,169.3034406,296.4285714,49100,1,70.65,84.39229652,78.08405659,81.09918827,74.79094834,172.4662828,78.64000973,72.33176981,75.34690149,69.03866156,25.80283742,108.0254555
42960497,42960550,42960403,42960454,42960506,42960451,42960532,42960503,42960553,42960460,,95.45,78.76394844,94.8139534,114.5014515,125.0964504,146.4414497,169.5484406,292.8443878,47400,1,67.65,84.19698069,78.11090892,81.07975823,74.99368646,171.6323948,78.40765521,72.32158344,75.29043275,69.20436098,25.40223913,78.92904282
42960550,42960497,42960556,42960502,42960565,42960451,42960532,42960553,42960484,42960510,,96.93,78.03895569,97.36394882,115.3264484,125.0889511,144.3414581,170.4409496,302.1428571,49000,1,67.65,84.64531303,78.23185041,81.31435266,74.90089005,172.6078521,78.72876664,72.31530402,75.39780627,68.98434366,26.68819528,77.99534202
42960497,42960422,42960403,42960575,42960506,42960482,42960532,42960490,42960433,42960484,,88.43,69.38895035,87.23895264,107.2014503,118.5539478,136.6914497,170.0614404,264.7193878,49000,1,90.95,82.83669757,78.1520807,80.79120938,76.10659251,166.5868381,76.96479973,72.28018286,74.91931154,70.23469467,23.71338356,97.21207023
42960550,42960497,42960556,42960502,42960506,42960451,42960439,42960503,42960553,42960460,,93.49,75.2764492,91.43894958,111.0014534,121.4689491,142.3914467,165.7514526,272.8443878,45200,1,62.65,83.1251529,77.52812976,80.24509669,74.64807355,170.5433112,77.85430831,72.25728517,74.9742521,69.37722896,23.62885396,73.88597131
42960550,42960497,42960403,42960502,42960506,42960451,42960439,42960503,42960510,42960553,,94.13,76.2764492,93.91394806,110.35145,121.3539509,142.1539467,167.5544557,281.2882653,45000,1,73.65,83.55121522,77.76911326,80.59687932,74.81477736,170.8418267,78.02225295,72.240151,75.06791705,69.2858151,24.39319838,57.388556
42960497,42960550,42960403,42960502,42960506,42960451,42960532,42960505,42960460,42960503,,95.17,78.17644882,94.23895264,113.3139477,125.2039494,143.0139526,168.1544466,288.0612245,48000,1,57.65,83.86118056,77.84954162,80.75614595,74.74450701,171.529335,78.24640221,72.23476327,75.14136759,69.12972865,24.97061365,69.92732286
42960550,42960497,42960403,42960454,42960506,42960451,42960532,42960503,42960468,42960553,,94.52,78.51395416,94.01395035,113.0514526,123.44645,145.0239525,167.2909406,282.1938776,46700,1,68.65,83.57830486,77.7205726,80.55892504,74.70119278,171.1375982,78.08262736,72.2248951,75.06324754,69.20551528,24.12906593,75.70183873
42960497,42960550,42960556,42960454,42960565,42960482,42960532,42960468,42960503,42960553,,98.02,81.73895264,97.98894882,117.1889477,128.4889526,146.4414497,169.8469586,306.25,49800,1,60.65,84.71804612,78.07566759,81.20053923,74.5581607,173.408932,78.86093808,72.21855955,75.34343119,68.70105266,27.598512,117.0143008
42960550,42960497,42960403,42960454,42960565,42960482,42960532,42960503,42960468,42960553,,97.64,80.95145226,97.83895111,118.0014534,128.0039536,146.3089409,170.8404587,308.5459184,49400,1,63.65,84.78495534,78.17994281,81.33340635,74.72839381,173.0429307,78.77611372,72.17110118,75.32456472,68.71955219,27.90283802,106.183815
