P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42991275,42991286,42991345,42991320,42991400,42991497,42991309,42991451,42991338,42991296,,98.29,80.35950279,99.04699707,118.1969986,129.2545074,148.2019913,180.8024973,110.43,49500,1,137.6,90.50062959,86.84953455,89.51714142,9.124016504,85.63250287,84.64901471,172.7399328,88.30010974,87.83302271,87.31662158,10.63719168
42991285,42991286,42991485,42991331,42991329,42991519,42991344,42991292,42991390,42991291,,100.8,81.2913475,101.3163452,121.2788486,136.046357,156.283857,182.4188513,123.47,48100,1,76.85,91.06582841,86.73132537,89.70066956,11.20934949,85.28649103,83.92133218,174.2040216,88.25583521,88.09648422,86.89067636,34.92724597
42991276,42991286,42991530,42991385,42991341,42991425,42991332,42991296,42991338,42991310,,96.69,75.59949875,94.23700333,113.8494987,124.9695049,145.9120026,176.9670056,86.79,48900,1,131.55,89.87781916,87.13783138,89.14670285,6.6463114,86.22450212,85.49338581,172.1236283,88.23337359,87.86894769,87.50225728,-14.87063318
42991275,42991276,42991529,42991349,42991479,42991339,42991309,42991442,42991426,42991292,,99.84,83.72750092,102.5400009,120.1900024,131.5550072,149.7424911,177.6004964,103.35,49500,1,74.95,90.50955039,87.18807876,89.31720125,7.915615975,86.08092156,84.88857242,174.1451502,88.21004404,88.3804279,87.01769491,26.24824643
42991284,42991276,42991529,42991349,42991329,42991497,42991415,42991343,42991296,42991292,,99.67,81.64830399,98.62329865,119.0732994,130.6558006,152.7033035,178.5488092,103,49300,1,74.95,90.51543283,87.01983033,89.33180354,8.330817293,85.85462949,84.67100021,173.8990438,88.16660271,88.20345961,86.98297342,18.71809363
42991275,42991276,42991458,42991385,42991400,42991425,42991344,42991296,42991338,42991495,,100.71,82.31499672,100.8149986,123.2524986,133.4400024,151.0550079,180.1404994,119.29,48600,1,119.95,90.81446368,86.86334498,89.46434932,9.92526033,85.54630541,84.19619104,174.3907775,88.14730975,88.21345934,86.79719538,27.18195021
42991285,42991275,42991430,42991331,42991497,42991469,42991473,42991305,42991297,42991292,,100.34,81.25635338,98.88134766,118.9938545,130.7038498,151.2788536,186.2363538,141.98,49500,1,72.25,91.1741028,86.13772447,89.82229863,13.33449743,84.45893169,83.10712753,173.3842883,88.14350586,87.48952864,86.79170169,9.488338977
42991728,42991703,42991430,42991331,42991329,42991519,42991344,42991305,42991451,42991292,,95.32,76.61894989,94.70645142,115.2064476,129.7014488,149.8589455,182.0729575,103.15,49700,1,82.3,89.91533998,86.3725792,89.31957204,9.785874126,85.19165895,84.59589101,170.5406451,88.13865178,86.96834714,87.54288385,3.812710568
42991278,42991275,42991529,42991349,42991433,42991298,42991415,42991330,42991343,42991362,,97.92,78.89974785,97.28725433,119.8997517,130.0197533,149.117244,175.4137468,85.3,48900,1,59.25,89.91423351,87.22108265,88.99840566,5.29420107,86.3233657,85.40753785,173.0955795,88.10068871,88.13691051,87.18486085,18.83855313
42991276,42991277,42991485,42991312,42991329,42991519,42991383,42991368,42991363,42991292,,97.88,81.25519943,99.39269638,119.3802032,131.0476997,152.0527,178.1287062,96.63,49800,1,78.79666667,90.07457852,86.86241354,89.13418008,6.828842644,85.79169189,84.85129345,172.7189773,88.06345842,87.80281198,87.12305999,40.00898004
42991276,42991286,42991462,42991447,42991502,42991365,42991315,42991296,42991292,42991328,,100.4,80.27749634,99.13999939,118.8649979,131.8474968,155.5450081,175.8250085,95.9,49600,1,110.55,90.37784652,87.22254955,89.09278178,6.961801305,86.17078389,84.88571915,174.6842316,88.04101612,88.50761428,86.75595139,71.472013
42991285,42991276,42991458,42991447,42991353,42991357,42991315,42991296,42991495,42991291,,103.03,85.65335083,104.8033485,125.5908527,136.5533447,158.7083534,183.2113539,137.43,49800,1,138.2,91.40426203,86.49405093,89.67621936,12.31029861,84.8573139,83.12927123,175.5257611,88.03948232,88.2220936,86.31143965,74.78102446
42991276,42991286,42991485,42991424,42991329,42991519,42991396,42991296,42991338,42991292,,99.31,78.99299622,97.16800308,118.8805008,133.0429993,152.4954964,178.2724962,104.59,48300,1,93.55,90.31553642,86.83949119,89.15812547,7.785328746,85.68080945,84.5233985,173.6367474,87.99944373,87.99690214,86.84203278,30.52961826
42991279,42991274,42991509,42991349,42991308,42991382,42991415,42991426,42991442,42991293,,92.2,72.05419731,92.01669693,112.8292007,125.3766964,143.7067024,175.3706992,64.05,49200,1,117.4,88.73976228,86.81661139,88.62515331,4.87359802,86.1755611,86.06095213,169.2341518,87.98410301,86.93122036,87.86949405,-2.58147344
42991290,42991276,42991485,42991312,42991329,42991519,42991383,42991363,42991292,42991291,,99.46,80.83279991,99.32029724,122.5202942,132.1353012,152.3903,178.8773003,102.82,49600,1,70.95,90.372781,86.75168347,89.18489332,6.298722319,85.54465096,84.35676328,173.6547686,87.97786081,87.93957115,86.78997313,53.89886498
42991276,42991286,42991462,42991385,42991400,42991425,42991303,42991305,42991296,42991328,,99.66,79.66500473,98.33999634,118.7900047,128.4274994,150.3275085,175.0505084,93.23,49900,1,143.55,90.06034896,87.06480486,88.85802778,7.082929238,86.06629015,84.86396897,174.2247679,87.85951308,88.26712604,86.6571919,28.068313
42991275,42991276,42991529,42991349,42991479,42991480,42991309,42991330,42991426,42991292,,101.15,84.07749748,101.8900032,119.8024998,131.0475067,149.9425018,175.9259995,104.84,49300,1,65.95,90.38844848,87.00179144,88.9599412,8.067499431,85.87290575,84.44439847,175.1036053,87.83105551,88.43029872,86.40254823,46.40316665
42991278,42991276,42991430,42991331,42991317,42991339,42991344,42991551,42991451,42991323,,96.24,79.41475487,96.92724991,116.977253,125.3822487,146.5097404,180.558746,107.59,48000,1,82.2,89.76891049,86.21540466,89.00095356,8.69947897,85.03090271,84.26294578,171.2371147,87.81645161,86.98336159,87.04849468,-6.432551891
42991703,42991274,42991529,42991349,42991308,42991306,42991361,42991330,42991442,42991426,,92.4,73.65644836,91.90644836,113.3689518,123.9139488,144.1564484,176.7589543,75.5,49800,1,111.45,88.72937734,86.40832729,88.5369591,6.082921922,85.63464393,85.44222569,169.1218494,87.76327575,86.60074553,87.57085751,-4.840518907
42991275,42991277,42991458,42991349,42991479,42991541,42991415,42991330,42991296,42991297,,99.36,81.71220016,100.9747009,119.9621983,131.574707,153.1346954,179.6831979,113.73,49200,1,81.84666667,90.26690891,86.40192341,89.05021093,9.736148124,85.11359492,83.89689694,173.4156948,87.76188243,87.61862139,86.54518446,38.81278336
42991284,42991285,42991430,42991331,42991329,42991466,42991295,42991305,42991451,42991296,,96.87,76.4246521,95.52465057,116.0371437,127.374649,149.7246399,177.157149,90.3,49200,1,93.25,89.57948997,86.51855483,88.73431062,8.050085394,85.49824311,84.65306377,172.0473307,87.71399891,87.36373418,86.86881956,-12.79227883
42991276,42991286,42991485,42991440,42991308,42991519,42991361,42991292,42991326,42991293,,97.79,77.33050156,95.94299316,118.6679974,130.4005035,149.6480049,174.2429964,84.19,49900,1,93.55,89.5134608,86.83763097,88.55347588,5.912642153,85.94568769,84.98570277,173.0077004,87.6615326,87.79761588,86.70154769,29.29896414
