P,P,C,1B,2B,3B,SS,OF,OF,OF
42643652,42643648,42643851,42643671,42643803,42643691,42643723,42643767,42643711,42643698
42643648,42643661,42643737,42643693,42643714,42643750,42643700,42643672,42643796,42643733
42643652,42643649,42643682,42643867,42643773,42643725,42643723,42643713,42643698,42643699
42643652,42643648,42643807,42643693,42643830,42643720,42643678,42643670,42643793,42643796
42643648,42643656,42643682,42643810,42643791,42643725,42643876,42643665,42643699,42643713
42643648,42643661,42643667,42643676,42643798,42643725,42643876,42643698,42643713,42643711
42643661,42643648,42643717,42643747,42643791,42643691,42643723,42643698,42643801,42643666
42643655,42643648,42643787,42643685,42643797,42643681,42643683,42643821,42643721,42643726
42643648,42643658,42643795,42643684,42643847,42643709,42643697,42643713,42643699,42643694
42643656,42643649,42643667,42643739,42643798,42643685,42643784,42643721,42643762,42643699
42643652,42643648,42643682,42643739,42643786,42643766,42643683,42643699,42643762,42643780
42643648,42643658,42643832,42643671,42643786,42643707,42643799,42643664,42643730,42643767
42643654,42643649,42643851,42643747,42643797,42643691,42643683,42643726,42643698,42643687
42643648,42643661,42643695,42643893,42643688,42643836,42643700,42643749,42643665,42643687
42643654,42643649,42643710,42643759,42643791,42643685,42643705,42643772,42643665,42643844
42643661,42643648,42643724,42643669,42643765,42643735,42643697,42643703,42643756,42643733
42643652,42643648,42643717,42643685,42643809,42643681,42643869,42643854,42643800,42643666
42643657,42643649,42643717,42643708,42643668,42643750,42643784,42643794,42643776,42643672
42643652,42643649,42643889,42643671,42643803,42643727,42643683,42643767,42643843,42643665
42643652,42643648,42643710,42643810,42643791,42643714,42643799,42643664,42643772,42643759
42643648,42643656,42643695,42643708,42643786,42643766,42643854,42643664,42643672,42643842
42643661,42643648,42643667,42643755,42643830,42643770,42643678,42643716,42643712,42643692
42643658,42643649,42643695,42643813,42643688,42643691,42643723,42643716,42643702,42643749
42643661,42643649,42643889,42643676,42643668,42643707,42643678,42643843,42643730,42643698
42643656,42643649,42643851,42643669,42643773,42643691,42643678,42643821,42643698,42643711
42643652,42643648,42643724,42643708,42643742,42643750,42643727,42643802,42643672,42643784
42643661,42643649,42643682,42643893,42643688,42643836,42643705,42643664,42643749,42643719
42643654,42643649,42643717,42643722,42643761,42643681,42643723,42643721,42643821,42643698
42643661,42643649,42643667,42643676,42643765,42643836,42643743,42643702,42643692,42643756
42643656,42643649,42643667,42643708,42643688,42643727,42643854,42643664,42643842,42643870
42643657,42643648,42643695,42643813,42643688,42643681,42643705,42643802,42643692,42643756
42643654,42643658,42643832,42643669,42643736,42643720,42643825,42643664,42643733,42643680
42643648,42643651,42643717,42643708,42643830,42643709,42643727,42643793,42643716,42643690
42643652,42643648,42643667,42643706,42643765,42643707,42643748,42643726,42643756,42643885
42643652,42643649,42643667,42643704,42643742,42643750,42643784,42643794,42643781,42643692
42643658,42643649,42643851,42643693,42643798,42643714,42643700,42643665,42643729,42643726
42643651,42643649,42643807,42643708,42643830,42643727,42643678,42643793,42643821,42643665
42643654,42643649,42643689,42643755,42643815,42643830,42643678,42643716,42643794,42643672
42643661,42643649,42643717,42643706,42643809,42643817,42643683,42643719,42643726,42643666
42643656,42643649,42643695,42643704,42643688,42643836,42643705,42643805,42643802,42643672
42643648,42643650,42643902,42643722,42643736,42643681,42643869,42643670,42643721,42643698
42643657,42643648,42643717,42643671,42643757,42643766,42643700,42643842,42643854,42643665
42643663,42643649,42643832,42643747,42643736,42643691,42643723,42643745,42643664,42643698
42643661,42643649,42643689,42643708,42643668,42643766,42643727,42643842,42643719,42643699
42643648,42643656,42643667,42643722,42643761,42643685,42643727,42643702,42643800,42643821
42643651,42643649,42643682,42643676,42643761,42643685,42643869,42643821,42643721,42643726
42643652,42643649,42643710,42643669,42643797,42643817,42643740,42643772,42643719,42643699
42643648,42643660,42643689,42643704,42643797,42643681,42643784,42643672,42643794,42643719
42643652,42643658,42643667,42643676,42643765,42643707,42643678,42643843,42643781,42643692
42643652,42643658,42643787,42643706,42643798,42643691,42643723,42643664,42643711,42643699
42643658,42643649,42643717,42643708,42643688,42643709,42643854,42643870,42643666,42643690
42643648,42643651,42643787,42643706,42643736,42643707,42643683,42643767,42643719,42643806
42643648,42643653,42643667,42643708,42643765,42643766,42643727,42643842,42643781,42643692
42643661,42643658,42643695,42643669,42643688,42643836,42643678,42643670,42643702,42643805
42643654,42643649,42643682,42643676,42643714,42643700,42643876,42643762,42643713,42643780
42643654,42643658,42643682,42643706,42643797,42643725,42643683,42643687,42643713,42643699
42643661,42643649,42643717,42643684,42643847,42643770,42643727,42643716,42643670,42643694
42643658,42643656,42643667,42643685,42643765,42643681,42643697,42643821,42643721,42643692
