P,P,C,1B,2B,3B,SS,OF,OF,OF
42646321,42646426,42646375,42646260,42646508,42646486,42646519,42646470,42646373,42646348
42646451,42646294,42646375,42646334,42646377,42646412,42646302,42646332,42646489,42646277
42646408,42646379,42646320,42646525,42646377,42646486,42646286,42646476,42646277,42646287
42646426,42646445,42646361,42646334,42646504,42646273,42646281,42646418,42646274,42646454
42646451,42646294,42646453,42646334,42646377,42646364,42646302,42646287,42646277,42646332
42646408,42646426,42646505,42646525,42646312,42646486,42646286,42646470,42646388,42646396
42646445,42646303,42646341,42646334,42646337,42646269,42646281,42646489,42646285,42646421
42646293,42646279,42646375,42646525,42646508,42646269,42646519,42646348,42646285,42646421
42646451,42646294,42646375,42646334,42646377,42646415,42646281,42646287,42646277,42646476
42646408,42646426,42646453,42646454,42646508,42646364,42646286,42646365,42646526,42646421
42646445,42646514,42646505,42646352,42646337,42646269,42646302,42646388,42646421,42646348
42646451,42646294,42646320,42646525,42646312,42646486,42646281,42646287,42646430,42646518
42646408,42646426,42646453,42646525,42646270,42646269,42646286,42646373,42646259,42646421
42646445,42646313,42646361,42646349,42646504,42646390,42646302,42646422,42646274,42646518
42646451,42646294,42646320,42646334,42646312,42646415,42646519,42646518,42646287,42646277
42646408,42646445,42646361,42646260,42646504,42646269,42646286,42646348,42646396,42646421
42646426,42646295,42646453,42646260,42646337,42646273,42646281,42646332,42646418,42646285
42646322,42646275,42646375,42646525,42646312,42646364,42646519,42646359,42646470,42646348
