P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42614724,42614727,42615035,42614816,42615037,42614986,42614751,42614885,42614783,42614777,,107.35,88.37074852,106.4332504,128.945755,139.9782562,157.1282516,182.7957489,129.91,49300,1,125.3,20.02186626
42614743,42614727,42615035,42614816,42614794,42614986,42614751,42614783,42614777,42614772,,106.66,86.8253994,104.6128998,126.9004002,138.2003906,157.4478973,177.5449028,136.51,49100,1,171.3,30.20689785
42614743,42614724,42615035,42614816,42614820,42614986,42614915,42614746,42614783,42614777,,106.54,85.22384453,105.7113495,125.4613533,137.8863525,159.6513527,185.0958495,100.23,49200,1,138,7.34975338
42614737,42614724,42615026,42614816,42614794,42614986,42614845,42614783,42614777,42614772,,109.11,89.02980232,108.3797989,130.6797981,142.4773026,160.9048004,180.6003094,150.58,49600,1,182.85,44.40661371
42614743,42614724,42614910,42614763,42615024,42614790,42614786,42614858,42614756,42614832,,108.06,87.58635139,105.4113541,126.2613506,136.943856,155.0388466,177.1893405,89.24,50000,1,150,30.91256917
42614743,42614724,42614910,42614763,42615024,42614790,42615150,42614746,42614858,42614756,,107.64,87.08634949,106.4613495,126.5488472,138.6438507,155.7888466,175.6533525,90.73,50000,1,141,19.43665296
42614743,42614724,42614910,42614763,42615037,42614799,42614780,42614858,42614756,42614832,,112.41,92.37485123,110.5623512,132.0998459,141.7948517,163.9423477,184.5378534,129.32,50000,1,125,54.37649488
42614743,42614724,42614910,42614900,42615024,42614790,42614780,42614756,42614832,42614791,,108.21,88.74885178,106.1613503,127.561348,138.7863464,155.2938469,182.0983495,89.84,49000,1,132,25.99864006
42614724,42614730,42615014,42614823,42614835,42615046,42614749,42614932,42614772,42614819,,96.59,81.46085167,103.3733521,127.5233517,139.573349,161.5308456,180.3348489,166.93,49200,1,97.8,7.840277255
42614743,42614725,42615014,42614823,42614835,42615046,42614749,42614756,42614772,42614819,,95.57,82.54660416,103.0590973,124.4216022,136.3090973,155.6616028,180.8706003,159,49300,1,123.1,-25.17612576
