Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,5118003496,skijmb (145/150),0,149.35,1B Ben Rice 2B Richie Palacios 3B Junior Caminero C Joey Bart OF Aaron Judge OF Marcell Ozuna OF Jake Mangum P Jacob Misiorowski P Ryan Weathers SS Nick Gonzales,,Jose Altuve,2B,11.15%,13
25,5118073790,ShipMyMoney (36/150),0,149.15,1B Ben Rice 2B Juan Brito 3B Daniel Schneemann C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Robbie Ray P Jacob Misiorowski SS Brayan Rocchio,,Rafael Devers,1B,10.99%,6
26,5118148039,Kobe108 (90/150),0,149.05,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Steven Kwan P Eury Perez P Javier Assad SS Brayan Rocchio,,Salvador Perez,C,10.92%,0
27,5118052929,giantsquid (128/150),0,149,1B Curtis Mead 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Jacob Young P Eury Perez P Ryan Weathers SS Francisco Lindor,,Heliot Ramos,OF,10.91%,5
27,5118052932,giantsquid (131/150),0,149,1B Paul Goldschmidt 2B Xavier Edwards 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Marcell Ozuna P Eury Perez P Ryan Weathers SS Konnor Griffin,,Luis Arraez,2B,10.89%,0
29,5117947429,Chritobin (2/2),0,148.95,1B Ben Rice 2B Xavier Edwards 3B Ryan McMahon C Agustin Ramirez OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Ryan Weathers P Bailey Ober SS Otto Lopez,,Matt McLain,2B,10.02%,5
30,5118211410,CoachS111 (19/50),0,148.55,1B Ben Rice 2B Brayan Rocchio 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF MJ Melendez P Jacob Misiorowski P Joey Cantillo SS Jose Caballero,,Ian Happ,OF,9.53%,8
31,5118153630,bdresch7,0,148.35,1B Rhys Hoskins 2B Nico Hoerner 3B Jose Ramirez C Victor Caratini OF Byron Buxton OF TJ Friedl OF Trevor Larnach P Jacob Misiorowski P Ryan Weathers SS Francisco Lindor,,Sal Stewart,1B,9.53%,2
32,5118052873,giantsquid (72/150),0,148,1B Paul Goldschmidt 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Jakob Marsee P Eury Perez P Ryan Weathers SS Konnor Griffin,,Junior Caminero,3B,9.42%,14
33,5118289340,mookie8736 (3/3),0,147.95,1B Ben Rice 2B Weston Wilson 3B Nick Yorke C Patrick Bailey OF Aaron Judge OF Yordan Alvarez OF Jordan Walker P Ryan Weathers P Bailey Ober SS Gunnar Henderson,,Nolan Gorman,3B,9.36%,0
34,5117708049,cantfademe (104/150),0,147.55,1B Rhys Hoskins 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Jacob Misiorowski P Joey Cantillo SS Masyn Winn,,TJ Friedl,OF,9.10%,19
35,5117574618,bkreider (108/150),0,147.2,1B Ben Rice 2B Jose Altuve 3B Nick Yorke C Joey Bart OF Aaron Judge OF Bryan Reynolds OF Jake Mangum P Eury Perez P Joey Cantillo SS Nick Gonzales,,Trevor Rogers,P,8.89%,6.45
36,5117936482,needlunchmoney (76/150),0,147,1B Curtis Mead 2B Nasim Nunez 3B Jose Ramirez C Keibert Ruiz OF James Wood OF Jacob Young OF Cedric Mullins P Eury Perez P Ryan Weathers SS Elly De La Cruz,,Cedric Mullins,OF,8.65%,5
36,5118073237,lostories (73/150),0,147,1B Paul Goldschmidt 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Trent Grisham OF David Fry P Joey Cantillo P Ryan Weathers SS Elly De La Cruz,,Victor Caratini,C,8.53%,10
38,5118337523,cavenastyy,0,146.55,1B Rhys Hoskins 2B JJ Wetherholt 3B Jose Ramirez C Victor Caratini OF Byron Buxton OF Trevor Larnach OF MJ Melendez P Jacob Misiorowski P Eury Perez SS Bobby Witt Jr.,,Marcell Ozuna,OF,8.37%,5
39,5118039870,hishboo (39/150),0,146.15,1B Alec Burleson 2B JJ Wetherholt 3B Nolan Gorman C Ivan Herrera OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Eury Perez P Bailey Ober SS Masyn Winn,,Jose Ramirez,3B,8.34%,28
40,5118295596,jmoore3903 (139/150),0,146,1B Ben Rice 2B Jeremiah Jackson 3B Coby Mayo C Sam Huff OF Aaron Judge OF Taylor Ward OF Jakob Marsee P Eury Perez P Ryan Weathers SS Gunnar Henderson,,Mike Burrows,P,8.17%,13.5
41,5117884373,jmoore3903 (38/150),0,145.2,1B Rhys Hoskins 2B Nico Hoerner 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Eury Perez P Joey Cantillo SS Jose Caballero,,Jake Bauers,1B,7.89%,0
41,5118051964,striblingg13 (26/30),0,145.2,1B Ben Rice 2B Juan Brito 3B Jose Ramirez C Austin Hedges OF Aaron Judge OF Cody Bellinger OF Angel Martinez P Eury Perez P Joey Cantillo SS Brayan Rocchio,,Christian Walker,1B,7.88%,6
43,5118052841,giantsquid (40/150),0,145,1B Sal Stewart 2B Matt McLain 3B Jose Ramirez C Ivan Herrera OF Jakob Marsee OF TJ Friedl OF Spencer Steer P Eury Perez P Ryan Weathers SS Elly De La Cruz,,Jung Hoo Lee,OF,7.80%,0
