F,F,F,F,F,F,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,MMA Default,MMA Sim Diversity 10,geomean1,Saber Score
42728122,42704866,42704858,42704857,42704859,42704865,,461.09,419.945,479.535,535.665,567.112,625.946,693.139,171.73,50000,0,0,105.1669056,74.03692618,27.78343431,65.64174891
42704868,42704866,42704858,42704857,42704859,42704865,,458.04,408.365,468.6,532.41,565.6755,628.0375,701.4513,179.73,49800,1,0,104.9485625,173.2531744,29.25739736,56.91540241
42728122,42728124,42704857,42704859,42704873,42728127,,438.03,390.8225,454.065,520.8975,560.498,626.0575,699.9138,162.665,50000,0,0,104.4374,70.38831658,26.62964572,37.30255365
42728122,42704868,42704857,42704859,42704873,42728127,,441.87,397.2975,459.79,526.6175,566.9215,632.0735,699.6395,168.795,49900,0,0,104.2208648,70.85322101,27.66369543,83.21910501
42704868,42704866,42704862,42704857,42704859,42704865,,447.26,396.13,461.72,527.2125,558.9875,627.279,696.32,172.14,50000,0,0,104.1802931,71.69666817,28.14880114,101.9024611
42704868,42704866,42704858,42704857,42704859,42704861,,457.96,407.5875,470.395,537.46,571.877,640.9615,695.1762,180.93,50000,1,0,104.1414724,173.1936189,29.55145387,69.80266571
42728122,42704862,42704858,42704857,42704859,42704873,,456.56,408.495,475.325,539.31,573.4805,631.645,699.5237,181.76,50000,1,0,104.105004,172.8364241,29.7893919,58.80438685
42704868,42704862,42704858,42704857,42704859,42704873,,453.51,398.64,464.195,531.08,569.3165,633.456,709.8219,189.76,49800,0,0,104.0959727,72.05267237,31.36977474,83.50316882
42728122,42728124,42704857,42704859,42704873,42704861,,435.71,390.255,456.34,521.2375,558.563,618.2285,696.3048,160.445,49800,0,0,104.0723677,70.0747689,26.17936013,39.25176561
42728122,42704868,42704858,42704859,42728127,42704861,,447.44,402.6075,458.085,525.1575,561.656,626.6615,691.1673,169.15,50000,1,0,103.9120188,171.8129972,27.38449863,50.92993975
42704866,42704860,42704862,42704857,42704859,42704873,,436.5,375.94,444.055,509.7525,554.73,619.341,703.5024,170.84,50000,2,0,103.7641593,269.8276706,28.09455821,41.06763005
42728122,42704868,42704857,42704859,42704873,42704861,,439.55,397.08,460.135,529.4525,565.1385,624.4225,694.6236,166.575,49700,0,0,103.7075468,70.53967333,27.19592491,42.0486778
42728124,42704868,42704875,42704857,42704859,42704865,,443,383.9625,454.32,523.8475,562.4645,623.126,698.9532,174.025,50000,2,0,103.6350352,270.8372682,28.37600627,71.88521624
42704868,42704860,42704875,42704857,42704859,42704873,,436.08,373.86,442.56,516.11,554.891,622.7165,711.582,178.855,49900,0,0,103.6053221,69.433175,29.42106445,77.45747566
42728122,42704868,42704858,42704859,42704873,42704865,,455.76,412.6975,470.535,533.86,566.9505,622.538,681.2043,170.93,49900,0,0,103.5342661,73.17990884,27.67220789,54.33363318
42728122,42704868,42704857,42704859,42704873,42704863,,439.73,394.6375,457.95,530.075,566.108,631.9635,691.858,165.8,49900,2,0,103.5299276,270.6023547,27.02270681,55.62872291
42704868,42704866,42704870,42704859,42728127,42704861,,432.14,376.02,444.245,512.6375,549.6265,616.9635,702.9108,169.705,49900,1,0,103.5106718,169.1650886,27.6766664,35.74917912
