P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42766686,42766682,42766793,42766749,42766867,42766741,42766703,42766828,42766898,42766945,,106.46,87.32024956,104.1077499,124.482748,136.6577454,158.6627541,195.5957545,148.35,49500,1,120.95,92.47155399,87.54042212,91.06624425,9.920099701,85.8967115,84.49140176,174.8053717,89.42253363,88.94573187,88.01722388,43.52025092
42766686,42766682,42766816,42766770,42766771,42766965,42766790,42766760,42766751,42766750,,99.28,79.79525375,100.0577469,119.2327499,129.6802467,150.8352547,183.4787485,87.8,49700,1,52.95,88.80303445,85.8832878,88.10704736,6.011105893,84.91003892,84.21405184,170.8794696,87.13379848,86.57927489,86.4378114,47.9694277
42766691,42766686,42766721,42766809,42766885,42766849,42766718,42766706,42766828,42766747,,100.85,81.55665016,99.23164749,119.131649,130.3541512,147.6366531,184.3816528,100.81,50000,1,76.45,89.00418929,85.59570851,88.04749513,8.161272719,84.45954825,83.50285408,171.7053065,86.91133487,86.55240267,85.9546407,27.1217227
42766685,42766686,42766787,42766833,42766786,42767001,42766703,42766864,42766759,42766706,,103.41,83.08045006,101.0679512,119.6929474,132.2804504,154.5304474,186.6029565,115.23,49700,1,76.3,89.6124529,85.44492307,88.28157526,8.75734934,84.05574647,82.72486883,173.0771392,86.89239865,86.77580071,85.56152102,42.63809025
42766686,42766682,42766793,42766840,42766771,42766849,42766703,42766828,42766898,42766756,,106.43,84.03275108,103.0077515,123.6702461,134.6802467,157.1152573,184.6842455,124.15,49700,1,109.95,89.93642733,85.6225738,88.18176759,8.016397602,84.18462262,82.42996288,175.1948844,86.74381641,87.37723353,84.98915667,79.97032404
42766686,42766687,42766911,42766713,42766722,42766849,42766845,42766828,42766791,42766702,,99.94,78.58179855,96.51929855,118.4193001,129.8242958,154.0042938,179.4533054,77.38,49800,1,73.7,88.38946056,85.90410103,87.57194781,5.150539683,85.07564786,84.25813511,171.6531982,86.74349464,86.72161377,85.9259819,32.03564882
42766690,42766686,42766793,42766749,42766867,42766741,42766703,42766931,42766702,42766945,,102.82,81.17089653,101.9084015,123.7583981,137.4708954,158.1009048,189.1393924,134.3,49900,1,128.95,89.48359178,84.79816358,88.16385746,10.53455391,83.23635418,81.91661986,172.2990843,86.60204806,86.11789789,85.28231375,37.72416413
42766698,42766682,42766748,42766713,42766786,42767001,42766733,42766958,42766702,42766791,,95.61,75.404953,94.50494766,114.2174549,124.7699512,148.8174469,185.505444,87.04,49900,1,78.75,87.89110632,84.83067519,87.58835296,6.485688122,83.81053147,83.50777811,168.0935838,86.56820925,85.13342855,86.26545589,26.56227946
42766686,42766682,42766988,42766941,42766884,42766849,42766718,42766706,42766756,42766732,,101.08,82.39524651,100.8077545,120.0202522,130.315255,150.5627541,180.4632484,94.48,49700,1,78.95,88.50108555,85.55350201,87.47660272,5.079222987,84.57097416,83.54649134,172.1812858,86.49407488,86.57798484,85.46959205,41.31274819
42766686,42766688,42766793,42766749,42766867,42766741,42766703,42766895,42766720,42766832,,103.74,83.33164978,102.9566498,123.3441505,136.3391502,158.2966469,191.9431407,151.19,50000,1,119.15,89.76683319,84.39571622,88.27752274,11.48702645,82.60534389,81.11603345,172.5168163,86.48715042,85.88502666,84.99783997,22.36271203
42766686,42766684,42766793,42766749,42766831,42766741,42766703,42766747,42766841,42766945,,103.22,83.55664825,103.3066521,124.6316509,134.7066345,158.5591408,192.1656467,151.45,50000,1,108.55,89.66630622,84.31164342,88.24153648,11.36324521,82.52675582,81.10198609,172.1463444,86.45664888,85.73641316,85.03187914,34.59164202
42766687,42766682,42766911,42766840,42766771,42766849,42766845,42766756,42766791,42766702,,97.82,77.07624626,94.71374893,114.338747,126.3962486,146.6387482,177.8692451,66.81,49500,1,95.95,87.67433909,85.60024264,87.10731602,4.56783184,84.90887715,84.34185408,170.3722663,86.41595053,86.16726571,85.84892746,42.29379892
42766696,42766682,42766911,42766713,42766771,42766826,42766729,42767015,42766742,42766791,,95.06,73.12934685,93.24185181,112.8793488,126.2118542,147.1293518,176.9718579,54.08,49600,1,62.75,87.07687815,85.5203597,86.88957309,3.08245507,85.00152022,84.81421516,168.6927447,86.37073361,85.70766476,86.18342856,29.37208116
42766687,42766682,42766793,42766840,42766885,42766849,42766703,42766828,42766706,42766905,,100.15,78.92625046,98.71374893,117.1262474,129.2287491,151.9062485,184.3397452,105.63,49800,1,115.95,88.48771638,84.89407701,87.53134497,6.98478947,83.69619722,82.73982582,171.0683886,86.33346519,85.85044841,85.37709378,28.9031297
42766686,42766682,42766981,42766770,42766903,42766785,42766790,42766760,42766708,42766747,,99.19,80.22375488,96.92375183,118.8237534,130.8537582,147.9287514,182.6752518,97.67,50000,1,92.95,88.17692538,84.9972115,87.36145544,5.396758109,83.93730688,83.12183693,170.6401394,86.30155081,85.81268145,85.48608086,45.64146101
42766689,42766686,42766793,42766749,42766874,42766741,42766703,42766760,42766751,42766957,,102.51,80.06295013,101.8879547,121.6004524,135.3529526,156.8454491,189.2534456,130.75,49500,1,105.15,89.22958995,84.41269474,87.90028909,10.48744468,82.80706301,81.47776214,171.9840419,86.29465735,85.74199561,84.96535648,32.65531659
42766686,42766682,42766911,42766809,42766722,42766772,42766796,42766738,42766923,42766747,,102.27,83.03275299,101.2577515,120.0077477,131.1802467,154.6702454,181.1587454,100.02,49700,1,124.95,88.61823809,85.27116575,87.38703596,5.62648458,84.15547498,82.92427284,172.7878739,86.27134518,86.50236788,85.04014305,52.40571499
42766690,42766682,42766793,42766840,42766885,42766849,42766703,42766706,42766756,42766945,,100.87,79.82785225,97.55284882,117.240345,129.8353508,151.0603477,183.8448503,108.05,50000,1,122.2,88.48187661,84.79965996,87.40465882,7.21269379,83.57225441,82.49503662,171.5374867,86.17725327,85.87687775,85.10003548,21.46766484
42766685,42766686,42766793,42766749,42766867,42766785,42766703,42766708,42766957,42766832,,106.95,84.78045273,104.2929535,125.1679516,136.9929504,160.5954559,190.2504504,153.75,50000,1,121.3,90.03255593,84.36716189,88.06427949,13.52876973,82.47869721,80.51042078,174.6752988,86.17581482,86.33543832,84.20753838,38.29648793
42766686,42766687,42766721,42766792,42766886,42766741,42766703,42766761,42766778,42766957,,103.44,81.65679741,101.1942978,122.3568001,133.8943024,156.9992935,184.3942993,110.88,50000,1,150.7,88.97582746,84.83071391,87.53675165,8.829985267,83.4490094,82.00993359,173.1140896,86.15504713,86.26978972,84.71597132,46.45051062
42766685,42766684,42766793,42766749,42766867,42766849,42766703,42766706,42766957,42766832,,105.14,85.28629875,103.8112946,123.7613029,134.9913033,158.2263031,190.1217976,144.45,49800,1,109.15,89.64078918,84.20905983,87.90978718,12.83377729,82.39848338,80.66748138,173.5033657,86.09921073,85.94006182,84.36820873,54.85413671
42766686,42766682,42766748,42766713,42766874,42766974,42766845,42766933,42766702,42766791,,99.65,79.05624962,97.86875153,117.7437496,129.4187492,152.6012558,181.6817621,93.05,49900,1,84.95,88.04876934,84.87497111,87.14229965,5.899083864,83.81703837,82.91056868,170.9815121,86.08436691,85.7814408,85.17789722,12.63374537
42766686,42766684,42766793,42766840,42766774,42766849,42766703,42766828,42766706,42766898,,103.79,80.80665398,101.6066513,120.6566544,132.7216507,153.2091644,186.523653,126.39,49700,1,119.55,89.13073718,84.51563605,87.61177144,8.979088411,82.977269,81.45830326,173.0575039,86.07340439,86.03460179,84.55443865,37.1260643
42766685,42766687,42766721,42766792,42766886,42766741,42766703,42766778,42766843,42766905,,97.18,76.81145287,97.07395172,116.9864521,129.6114441,150.0164528,183.6934502,90.01,49600,1,125.3,87.70395215,84.48816181,87.11281519,6.213216775,83.4162317,82.82509475,169.1416707,86.04088508,85.07929876,85.44974813,24.00208712
42766686,42766682,42766911,42766833,42766771,42766733,42766864,42766759,42766958,42766702,,101.72,81.2452507,98.58275223,120.8577499,132.0077515,153.3177544,180.3757574,103.05,50000,1,78.95,88.28559463,85.02047174,87.092109,6.496283349,83.93209745,82.73861183,172.4390592,86.00373471,86.21395736,84.81024909,11.16217226
42766685,42766686,42766911,42766840,42766771,42766849,42766718,42766706,42766828,42766750,,101.27,78.58045006,99.21794891,117.9554482,130.4729469,151.2904503,179.4449474,91.87,49400,1,85.3,88.13828558,85.10061406,87.01429031,6.164288596,84.08805688,82.96406161,172.2605999,86.00173313,86.22460933,84.87773786,49.44099784
42766686,42766685,42766816,42766757,42766715,42766965,42766790,42766760,42766751,42766730,,97.34,79.6304512,97.04295349,116.4929504,126.6154491,146.5429504,182.9479474,86.64,49900,1,54.3,87.61464577,84.45937829,86.99089782,6.398161697,83.40762246,82.7838745,169.2993858,85.93914199,85.08312625,85.31539403,34.40226614
42766686,42766684,42766710,42766840,42766915,42766849,42766783,42766756,42766706,42766828,,99.06,80.55665016,99.35665131,119.1441517,128.741642,149.9916435,182.9411559,99.7,49500,1,83.55,87.89837945,84.48434068,87.03031583,7.493789255,83.34632775,82.47826413,170.3885624,85.8923029,85.35240431,85.02423927,47.5649029
42766686,42766682,42766793,42766749,42766771,42766741,42766703,42766933,42766874,42766957,,107.62,87.51875305,106.2937469,126.6562519,140.0687561,159.6762611,190.5257379,159.17,49900,1,118.95,89.95895336,83.99072079,87.84237098,14.00531163,82.00130994,79.88472757,174.964879,85.85296013,86.10730317,83.73637776,36.39462292
