DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42716628,Shohei Ohtani,P,,LAD,SF,Confirmed,10100,24.5,19.69,,19.69,1.94950495,38.91,42.75280131,0,100,5.1374,8.3326,20.0067,12.6875,20.5,27.75,31,36.25,42.3505,35.4326,24,36,47,52,60,67,22.3229,14.3,22.9,30.7,34.6,40.2,46.2,30.439,20.375,31,41.5,46,53,61.5,10.5451,15.5174,11.6403,14.7998,2.97876,0.92332,0.06156,0.464,0,0,2.09408,0,6.32564,2.4918,24.4353,4.42764,1.9338,5.96971,0.4644,0.3904,0.02356,0.00924,97.5342
42716629,Max Fried,P,,NYY,BOS,Confirmed,9700,37,17.31,37,17.31,1.784536082,19.77,20.86588242,0,100,4.4608,8.2554,17.2305,10.3,17.9,24.5,28.15,33.6,39.3505,31.447,21,32,43,48,55,64,19.505,11.9,20.4,27.7,31.6,37.5,43.3,26.3398,16.5,27,36.5,41.5,49,57,10.2787,15.092,11.3428,14.3885,3.5697,1.134,0.1982,0.37825,0,0,2.42285,0,5.42385,1.8814,24.8088,5.28015,2.2315,6.02017,0.3763,0.3879,0.02785,0.0084,98.4586
42716636,Matthew Boyd,P,,CHC,PHI,Confirmed,7700,13.5,16.52,13.5,16.52,2.145454545,25.58,27.78355154,0,100,4.5862,8.2128,16.3571,9.85,16.85,23.35,26.75,31.75,37.151,28.8947,19,29,39,45,52,60,18.5972,11.5,19.4,26.5,30.4,35.6,41.704,24.8973,15.5,25.5,34.5,39.5,46.5,54.5,9.77061,14.2194,10.8878,13.7592,2.80933,0.8792,0.124067,0.490267,0,0,1.97667,0,5.01387,1.73607,21.9569,4.302864,1.823,5.42633,0.342867,0.246467,0.00386667,0.00266667,87.3477
42716630,Clay Holmes,P,,NYM,MIN,Confirmed,8900,14.15,15.76,14.15,15.76,1.770786517,11.2,11.02320547,0,100,4.309,8.1202,14.428,7.75,14.7,21.65,24.95,30.25,35.6005,26.7815,17,27,37,42,50,58,16.3693,8.8,16.7,24.5,27.8,33.905,39.501,22.3928,13,23,32.5,37,45,52,9.88672,14.3181,11.0152,13.9306,3.1885,0.9224,0.11465,0.4639,0,0,2.2961,0,4.7188,2.2641,22.6567,4.68945,2.12515,5.38378,0.3222,0.229,0.00275,0.00135,88.2294
42716634,Ranger Suarez,P,,BOS,NYY,Confirmed,8000,6.3,15.58,6.3,15.58,1.9475,10.74,10.49217042,0,100,3.7946,8.2554,14.2151,7.5,14.35,21.55,25.05,30.5,36.403,26.8943,17,27,38,43,52,58,16.2655,8.8,16.65,24.6,28.4,34.4,40.4,22.0801,12.5,22.5,32.5,37,45,53,10.0743,14.7054,11.2218,14.1521,3.23215,1.19685,0.1704,0.656,0,0,2.73465,0,4.91975,2.03565,23.89,5.2554,2.5232,5.68285,0.24645,0.29435,0.00665,0.0029,89.8224
42716631,Jack Leiter,P,,TEX,PIT,Confirmed,8800,11.05,15.29,11.05,15.29,1.7375,16.28,16.91648551,0,100,3.9668,8.1754,15.2234,8.6,15.65,22.65,26.15,31.65,37.35,27.9518,18,28,39,44,52,61,17.1397,9.7,17.7,25.5,29.4,35.5,41.4,23.5958,14,24,34,39,47,55,10.2736,14.8546,11.4342,14.4829,2.8932,0.954133,0.1348,0.632267,0,0,2.46113,0,5.43613,2.32527,22.5847,4.6144,2.27173,5.34429,0.255933,0.222533,0.00253333,0.00133333,89.9181
42716633,Braxton Ashcraft,P,,PIT,TEX,Confirmed,8200,18.15,14.75,18.15,14.75,1.798780488,17.6,18.53119236,0,100,4.2086,8.1754,15.1842,8.2875,15.4,22.5,25.95,31.25,36.5515,27.658,17,27,39,44,52,60,17.2198,9.6,17.6,25.5,29.3,35.105,41.2,23.3836,13.5,23.5,33.5,38.5,46,53.505,10.1499,14.7286,11.2904,14.301,2.98387,1.02847,0.1402,0.568867,0,0,2.39913,0,5.1088,1.9364,22.5137,4.721407,2.21827,5.40662,0.302733,0.237533,0.00686667,0.00153333,85.8889
42716635,Casey Mize,P,,DET,MIL,Confirmed,7900,25.9,14.49,25.9,14.49,1.834177215,20.9,22.38457203,0,100,4.2048,8.1414,15.4531,8.9,15.9,22.7,25.9,31.0525,36.6505,28.3735,18,29,39,44,52,59,17.7058,10.5,18.4,25.6,29.5,35.3,40.4,23.6836,14.5,24.5,34,38.5,45.5,53,9.86739,14.4362,10.9773,13.8283,3.32273,0.924333,0.1706,0.5052,0,0,2.42533,0,4.8132,1.87753,23.7449,4.922863,2.23807,5.78067,0.333467,0.326333,0.0109333,0.0052,90.3909
42716652,Fernando Tatis Jr.,2B/OF,2,SD,COL,Confirmed,5800,0,13.85,0,13.85,2.387931034,32.85,45.11306404,0,100,6.8776,12.2826,12.1417,5,10,17,21,29,38,15.9888,6.2,12.7,22.2,28.4,39.9,52.103,11.8973,5.2,9.7,16.8,21.3,28.6,37.603,13.0269,5,11,19,24,33.5,45.505,8.99869,12.151,8.85482,10.6428,0.8782,0.31556,0.0008,0.21944,0.2382,0.02132,0.94208,0.793,0.80712,0.53368,4.9436,1.414,0,0,0,0,0,0,0
42716632,Eduardo Rodriguez,P,,ARI,CWS,Confirmed,8400,9.85,12.94,9.85,12.94,1.54047619,7.72,7.077694098,0,100,5.1228,9.6142,13.6173,6.4,13.95,21.2,24.65,30.15,35.2015,26.3282,15,27,38,43,51,58,15.5578,7.7,15.9,23.9,27.8,33.6,39.5,21.3103,11.5,21.75,32,36.5,44.5,51.5,10.3732,15.0821,11.5493,14.5431,3.6766,1.2242,0.1555,0.4327,0,0,2.84885,0,4.6215,2.1633,24.327,5.489,2.63245,5.69512,0.34535,0.3009,0.0095,0.00395,90.6403
42716664,Jackson Merrill,OF,3,SD,COL,Confirmed,5300,12,12.74,12,12.74,2.403773585,20.58,25.51493481,0,100,6.8776,12.2826,10.276,5,9,15,19,25,34,13.5354,6,12.2,19,25.1,34.4,45.4,10.0599,4.5,9,14.2,18.7,25.1,32.902,11.162,4.5,9,16.5,21.5,29,39.5,7.85681,10.6377,7.72718,9.37358,0.8884,0.28208,0.03484,0.14108,0.0958,0.01232,0.78972,0.78108,0.77224,0.44516,4.84836,1.3464,0,0,0,0,0,0,0
42716670,Ramon Laureano,OF,1,SD,COL,Confirmed,5000,4,12.46,4,12.46,2.492,30.05,40.68757626,0,100,6.8776,12.2826,11.6067,5,10,17,21,29,38.01,15.2546,6,12.4,22.2,28.2,37.9,53.101,11.3788,4.5,9.7,16.8,21,28.4,38.3,12.4764,4,10,19,24,33.5,45.505,9.12625,12.3139,9.00376,10.9015,0.81256,0.29008,0.0486,0.23012,0.15984,0.02488,0.90484,0.78692,1.06284,0.42296,5.05296,1.38136,0,0,0,0,0,0,0
42717212,Connor Prielipp,P,,MIN,NYM,Confirmed,4000,14.6,12.12,14.6,12.12,3.03,11.32,11.1144487,0,100,3.8112,8.1202,11.5472,5.05,11.7,18.4,21.95,27.7,33.001,21.8164,12,21,31,37,45,54,13.1409,5.9,13.5,20.7,24.9,31.2,37.102,18.1486,9,18.5,27.5,33,41,48.5,9.70282,13.6745,10.8205,13.6832,2.8518,0.97105,0.0773,0.61815,0,0,2.49345,0,4.28645,1.9977,20.3251,4.5183,2.3027,4.73453,0.20855,0.10255,0.0008,0.00015,79.6422
42716668,Manny Machado,3B,4,SD,COL,Confirmed,5100,3,11.91,3,11.91,2.335294118,25.89,36.33374994,0,100,6.8776,12.2826,10.6471,4,9,16,20,27,36,14.181,6,12.2,21.6,26.35,37.4,50.6,10.5201,4.5,9,15.8,19.4,27,36.7,11.7173,4,9,17.5,23,32,43.505,8.57622,11.7108,8.48452,10.3604,0.8148,0.284,0.00064,0.19676,0.0958,0.0128,0.77832,0.87756,0.75384,0.5096,4.72068,1.2962,0,0,0,0,0,0,0
42717157,Didier Fuentes,P,,ATL,WSH,Confirmed,6800,7.95,11.77,7.95,11.77,1.730882353,5.15,4.315183926,0,100,5.2018,9.4742,11.3313,4.8,11.3,18.25,21.65,26.75,32.651,21.7775,12,21,31,36,45,53.01,12.9925,5.7,12.9,20.7,24.5,30.3,36.4,17.8613,8.5,17.5,27.5,32.5,39.525,47.505,9.62116,13.628,10.7437,13.5506,3.43693,1.0678,0.124933,0.494667,0,0,2.58773,0,3.944,1.6702,21.1769,5.12433,2.39867,4.9356,0.302533,0.129867,0.000666667,0.0002,83.2037
42716639,Tyler Mahle,P,,SF,LAD,Confirmed,7200,26.75,11.51,26.75,11.51,1.598611111,4.61,3.784733476,0,100,3.1952,8.3326,11.3592,4.8,11.1,17.75,21.25,27.0525,32.8505,22.127,13,21,31,36,45,55,12.7981,5.6,12.7,19.825,23.7,30.3,36.607,18.1115,9,18,27,32,40.5,48.5,9.56731,13.4955,10.6807,13.4831,3.05616,0.97116,0.07176,0.56616,0,0,2.66536,0,4.62472,2.509,21.1046,4.66524,2.46744,4.78936,0.14308,0.10716,0.00024,0.00008,85.1908
42716637,Chad Patrick,P,,MIL,DET,,7600,0.8,11.14,0.8,11.14,1.465789474,4.16,3.419886295,0,100,3.9366,8.1414,11.0155,5.3,11.075,17,19.9,24.3025,28.6505,20.2111,13,20,28,32,38,44,12.4644,5.8,12.6,19.4,22.4,27.3,32.2,17.2696,9,17.5,25.5,30,36,42,8.58405,11.2526,9.54468,12.0128,2.61473,0.8482,0.0724667,0.5836,0,0,2.24407,0,3.89707,1.76387,18.4158,4.1189967,2.06613,4.28489,0.3106,0,0,0,71.6689
42716686,Hunter Goodman,C,3,COL,SD,Confirmed,4600,28,11.13,28,11.13,2.419565217,17.01,22.31314492,0,100,5.405,12.2826,9.42852,3,7,14,19,25.05,34,12.4373,3,9.2,18.7,24.9,34.6,46.801,9.30904,2.6,7.1,14.2,18.7,25.1,34.1,10.2386,2.5,7.5,16,21.5,30,41,8.31373,11.2534,8.24388,10.1137,0.67224,0.2294,0.0458,0.20756,0.06312,0.01184,0.64164,0.74692,1.1044,0.36504,4.49316,1.155,0,0,0,0,0,0,0
42716693,Xander Bogaerts,SS,5,SD,COL,Confirmed,4400,6,11.03,6,11.03,2.506818182,27.48,38.66558838,0,100,6.8776,12.2826,9.92516,4,8,14,18,25,33.01,13.0511,6,10,18.7,24.7,33.235,44.715,9.65632,4.5,7.8,13.9,17.7,23.91,32.9,10.6851,4,8.5,15,20,28.5,39.505,7.78902,10.5198,7.5984,9.1518,0.90408,0.27272,0.0016,0.1158,0.161,0.01884,0.73784,0.74932,0.63096,0.4496,4.62352,1.2942,0,0,0,0,0,0,0
42716723,Mickey Moniak,OF,2,COL,SD,Confirmed,3900,14,10.65,14,10.65,2.730769231,20.62,26.95986737,0,100,5.405,12.2826,10.0819,3,8,15,19,26,35,13.2504,3.2,9.7,19,25.2,34.9,47.601,9.87752,2.6,7.8,14.2,18.7,25.8,35.2,10.8038,2.5,8.5,16.5,22,30.525,42,8.58811,11.5683,8.46338,10.2741,0.68024,0.2454,0.06908,0.18752,0.14748,0.02288,0.73696,0.71916,1.0328,0.36836,4.59468,1.18224,0,0,0,0,0,0,0
42716647,Oneil Cruz,OF,1,PIT,TEX,Confirmed,6300,18,10.47,18,10.47,1.661904762,3.17,2.696070044,0,100,4.2086,8.1754,9.20827,2,7,14,18,25,34,12.0434,3,9.2,18.7,24.5,33.9,44.908,9.07817,2.6,7.1,14.2,18,25.1,33.602,9.3723,2,7,15,20,28.5,39.5,8.39199,11.1794,8.24927,9.83196,0.542067,0.198133,0.0318,0.192867,0.2438,0.0328,0.600267,0.5218,1.39367,0.4726,4.6772,0.964867,0,0,0,0,0,0,0
42716657,Ronald Acuna Jr.,OF,1,ATL,WSH,Confirmed,5600,6,10.3,6,10.3,1.839285714,15.84,19.24583954,0,100,5.2018,9.4742,10.7878,4,9,16,20,27,37,13.998,6,12.2,21.4,25.2,36.21,50.1,10.5386,4.5,9,15.8,19.4,26.5,36.7,11.44,3.5,9,17,22,31,43,8.76057,11.6852,8.60518,10.2143,0.821,0.222933,0.0138,0.225733,0.2376,0.0319333,0.7596,0.6106,0.7542,0.457,4.747,1.283466,0,0,0,0,0,0,0
42716658,Ketel Marte,2B,1,ARI,CWS,Confirmed,5500,10,10.04,10,10.04,1.825454545,16.34,19.77250291,0,100,5.1228,9.6142,10.6206,4,9,16,19,27,36,14.0309,6,12,21.4,25.4,35.415,49.303,10.5988,4.5,9,15.8,19.4,26.5,36.002,11.5921,4,9,17,22.5,31,43.005,8.49369,11.493,8.44833,10.2108,0.72415,0.26965,0.04525,0.2119,0.093,0.01645,0.7887,0.6878,0.6911,0.60045,4.6689,1.25095,0,0,0,0,0,0,0
42716711,Tyler Freeman,OF,4,COL,SD,Confirmed,4100,5,9.95,5,9.95,2.426829268,10.32,11.48775444,0,100,5.405,12.2826,8.48472,3,7,12,16,22,29,10.9857,3,9.2,15.7,19.7,28.2,37.9,8.23432,2.6,7.1,11.6,14.9,20.6,27.7,8.8352,3,7.5,13,16.5,24,32.505,6.81362,8.99035,6.5429,7.69731,0.81336,0.24204,0.03504,0.04372,0.19916,0.03128,0.55608,0.531,0.6292,0.47348,4.40384,1.13416,0,0,0,0,0,0,0
42716648,Corbin Carroll,OF,2,ARI,CWS,Confirmed,6200,32,9.77,32,9.77,1.575806452,9.62,10.58158163,0,100,5.1228,9.6142,9.35495,3,7,14,18,25,33,12.3836,3.2,9.5,18.7,24.4,33.41,44.1,9.25791,2.6,7.1,13.9,17.7,24.105,32.303,9.58053,2.5,7.5,14.5,19.5,27.5,37.5,7.86563,10.5345,7.7001,9.14536,0.57435,0.1841,0.05785,0.13095,0.2416,0.0348,0.68155,0.5627,1.12915,0.6213,4.5191,0.94725,0,0,0,0,0,0,0
42716755,Nick Castellanos,OF,7,SD,COL,Confirmed,3500,0,9.74,0,9.74,2.782857143,23.77,31.96727445,0,100,6.8776,12.2826,9.43376,3,7,14,18,25,35,12.4026,3,9.2,18.7,25.2,34.7,47.4,9.17179,2.6,7.1,14.2,18,25.1,34.503,10.3933,2.5,7.5,16.5,21.5,30,42,8.35219,11.3805,8.25644,10.1775,0.77868,0.2498,0.02396,0.1916,0.06872,0.00988,0.65336,0.82744,0.8926,0.21792,4.3914,1.24404,0,0,0,0,0,0,0
42716649,James Wood,OF,1,WSH,ATL,Confirmed,6100,23,9.67,23,9.67,1.585245902,4.63,4.328924816,0,100,4.2724,9.4742,9.0318,3,7,14,18,25,33,11.926,3,9.2,18.6,24.7,33.805,44.9,9.03009,2.6,7.1,13.9,18,24.61,33.6,9.47283,2,6.5,15,20,28.025,39.5,8.07584,10.895,8.03519,9.71536,0.616467,0.199,0.00273333,0.2112,0.110467,0.0174,0.638533,0.562667,1.2358,0.5494,4.57287,1.02940033,0,0,0,0,0,0,0
42716701,Gavin Sheets,1B/OF,6,SD,COL,Confirmed,4300,0,9.52,0,9.52,2.213953488,23.42,31.18467695,0,100,6.8776,12.2826,9.79496,4,8,14,19,26,35.01,13.017,6,9.5,18.7,25.2,34.805,47.9,9.68285,3.8,7.1,14.2,18.7,25.5,34.8,10.8097,3,8,16,22,30.5,42.5,8.18763,11.1823,8.11053,9.96727,0.77356,0.24088,0.02996,0.17656,0.05476,0.00844,0.71864,0.8084,0.7088,0.46836,4.49996,1.22096,0,0,0,0,0,0,0
42716646,Aaron Judge,OF,2,NYY,BOS,Confirmed,6600,16,9.51,16,9.51,1.440909091,7.34,7.60607755,0,100,4.4608,8.2554,10.139,3,8,16,19,27,36,13.5695,3.2,9.5,21.7,25.4,36.91,50.1,10.2982,2.6,7.8,16.1,19.4,27,36.7,10.891,3,7.5,17.5,22.5,31.025,43.5,8.63121,11.7501,8.6423,10.5016,0.5456,0.21675,0.02165,0.25735,0.08885,0.0127,0.707,0.6669,1.133,0.73985,4.58795,1.04135,0,0,0,0,0,0,0
42716641,Zack Littell,P,,WSH,ATL,Confirmed,6500,-1.9,9.3,-1.9,9.3,1.430769231,1.13,0.655831281,0,100,4.2724,9.4742,9.20587,2.9,9.15,15.55,19.1,24.5025,29.7005,19.1021,9,18,28,34,42,49,10.9897,3.9,10.9,18.2,22.3,28.3,33.803,14.7039,6,14.5,23.5,28.5,36.5,43,9.30257,13.3507,10.44,13.0224,3.80593,1.1512,0.113533,0.908867,0,0,3.16007,0,3.3084,1.26173,22.7043,5.97953,2.9182,5.29244,0.212267,0.195133,0.00426667,0.001,81.7447
42716645,Taijuan Walker,P,,PHI,CHC,,5800,-2.4,9.18,-2.4,9.18,1.582758621,3.37,2.593345801,0,100,3.6266,8.2128,9.65429,4.05,10,15.4125,18.2575,22.85,27.3005,18.0124,11,18,26,30,36,41,10.9305,4.7,11.4,17.4,20.5,25.4,30.3,15.233,7.5,15.5,23.5,27.5,34,40,8.34669,10.9597,9.28686,11.6847,2.51713,0.790667,0.0648667,0.5308,0,0,2.19507,0,3.5742,1.65533,17.0199,3.9034637,2.03313,3.9252,0.268933,0,0,0,68.8303
42716741,Jake Cronenworth,2B,9,SD,COL,Confirmed,3600,4,9.01,4,9.01,2.502777778,13.78,16.21249212,0,100,6.8776,12.2826,8.56068,3,7,12,16,23,31,11.3478,3,9.2,15.9,21.7,31.4,43.301,8.49335,2.6,7.1,12.3,16.1,22.505,31.002,9.2579,3,7,13.5,18,26.5,37,7.35457,9.93714,7.25229,8.73685,0.666,0.2278,0.04996,0.10672,0.07736,0.0092,0.66992,0.59908,0.613,0.516,4.18252,1.05048,0,0,0,0,0,0,0
42716728,Austin Riley,3B,4,ATL,WSH,Confirmed,3800,0,9,0,9,2.368421053,15.61,19.89297664,0,100,5.2018,9.4742,8.6886,3,7,14,17,24,35,11.3952,3,9,18.4,22.2,31.9,47.9,8.53772,2.6,6.4,13.5,16.8,23.9,34.8,9.48723,2,6.5,15,20,28.5,42.5,8.16178,11.0913,8.10559,9.9552,0.705133,0.2166,0.0216667,0.195333,0.0454,0.00613333,0.5738,0.698467,0.954467,0.296,4.4522,1.1387327,0,0,0,0,0,0,0
42716680,Munetaka Murakami,1B,3,CWS,ARI,Confirmed,4700,22,8.9,22,8.9,1.893617021,4.38,4.174695482,0,100,4.4914,9.6142,8.0664,2,6,12,16,23,32,10.6992,3,9,15.7,21.9,31.2,44.1,8.02908,2.6,6.1,11.6,16.1,22.9,32.2,8.59265,2,6,13,19,26.5,38.5,7.60024,10.2886,7.5232,9.15976,0.5755,0.1999,0.0207,0.15275,0.0846,0,0.547,0.6011,1.0327,0.46405,4.5116,0.94885,0,0,0,0,0,0,0
42716650,Kyle Tucker,OF,2,LAD,SF,Confirmed,6000,0,8.87,0,8.87,1.478333333,3.82,3.427882753,0,100,5.1374,8.3326,9.10552,3,7,13,17,24,33,12.0462,3.15,9.2,18.2,22.2,31.9,44.4,9.07795,2.6,7.1,13.2,16.8,23.9,32.601,9.47068,2.5,7,14,19,27.5,38.5,7.71279,10.3694,7.58479,8.99156,0.62948,0.22292,0.02856,0.11904,0.19144,0.02424,0.64764,0.53384,0.88512,0.68172,4.70616,1,0,0,0,0,0,0,0
42716712,Miguel Vargas,3B,2,CWS,ARI,Confirmed,4100,28,8.85,28,8.85,2.158536585,5.72,5.849087927,0,100,4.4914,9.6142,8.1459,3,7,12,16,23,31,10.6783,3,9,15.525,21.7,30.9,41.7,8.03166,2.6,6.8,11.6,16.1,22.5,31,8.66938,2.5,6.5,13,17.5,26,37,7.37344,9.88353,7.25632,8.72227,0.6463,0.2402,0.0457,0.1044,0.0976,0.0157,0.5967,0.53305,0.78195,0.42445,4.6133,1.0366,0,0,0,0,0,0,0
42716688,Matt Olson,1B,3,ATL,WSH,Confirmed,4600,18,8.8,18,8.8,1.913043478,16.33,20.9698094,0,100,5.2018,9.4742,9.70733,3,7,15,19,27,37,12.9729,3,9.2,19.2,25.4,35.71,50.6,9.74743,2.6,7.1,14.6,19.4,26.5,37.4,10.7124,2.5,7,17,22.5,31.5,44.5,8.85888,12.1119,8.87304,10.8719,0.604667,0.210067,0.0038,0.272667,0.0363333,0.00506667,0.679667,0.764,0.953533,0.508467,4.55113,1.091201,0,0,0,0,0,0,0
42716731,Edouard Julien,2B,1,COL,SD,Confirmed,3800,9,8.78,9,8.78,2.310526316,11.59,13.13817668,0,100,5.405,12.2826,8.66368,3,7,13,16,22.05,30,11.4278,3,9.2,15.9,21.7,30.7,41.1,8.62068,2.6,7.1,12.3,16.1,22.2,30.003,9.01676,2.5,7,13.5,17.5,25.5,35.5,7.13294,9.57005,7.03132,8.41468,0.68904,0.22668,0.04436,0.1004,0.1042,0.01628,0.6682,0.52556,1.04768,0.59788,4.64604,1.06048,0,0,0,0,0,0,0
42716914,Juan Soto,OF,2,NYM,MIN,Confirmed,5700,5,8.74,5,8.74,1.533333333,2.92,2.470637157,0,100,4.309,8.1202,8.65405,3,7,13,17,24,33,11.4711,3,9,16.05,22.2,31.7,44.4,8.68878,2.6,7.1,12.3,16.8,23.6,32.9,9.16183,2.5,6.5,13.5,19,27.5,39,7.68468,10.3872,7.63338,9.18679,0.5863,0.1936,0.01895,0.1656,0.11585,0.01355,0.617,0.52775,0.86865,0.6254,4.38995,0.96445,0,0,0,0,0,0,0
42716655,Brice Turang,2B,1,MIL,DET,Confirmed,5700,11,8.71,11,8.71,1.528070175,1.06,0.69652198,0,100,3.9366,8.1414,7.68167,2,6,12,15,21,29,9.86608,3,6.5,15.2,18.7,27.9,38.102,7.48231,2.6,5.2,11.3,14.2,20.6,28.4,7.77503,2,6,11.5,16,23,33.005,6.87814,9.02707,6.66478,7.80949,0.7018,0.197733,0.0375333,0.0701333,0.188533,0.0268667,0.482733,0.404267,0.942067,0.434667,4.61287,1.0071996,0,0,0,0,0,0,0
42716913,Freddie Freeman,1B,4,LAD,SF,Confirmed,5800,6,8.56,6,8.56,1.475862069,1.54,1.177280108,0,100,5.1374,8.3326,8.43884,3,7,12,16,23,32,11.1831,3,9.2,15.7,21.7,31.4,43.9,8.38325,2.6,7.1,11.6,16.1,23.2,31.9,9.08678,2.5,7,13,18,27,37.005,7.35772,10.0066,7.27489,8.82213,0.70164,0.25004,0.00056,0.11804,0.08548,0.01256,0.55768,0.6496,0.7806,0.52844,4.49816,1.07028,0,0,0,0,0,0,0
