F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,423.16,50000,24.4,2.4362e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704856,Adrian Luna Martinetti,8200,54.49,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704865,Talita Alencar,7200,46.29,422.94,49800,25.0,2.4980e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42728123,Cody Durden,6700,26.07,422.69,50000,24.1,2.4113e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,422.65,50000,24.7,2.4710e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704871,Sedriques Dumas,7500,40.83,42728125,Lucas Brennan,6800,24.79,422.55,50000,24.2,2.4162e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42704869,Mayra Bueno Silva,6900,30.35,421.73,49900,24.6,2.4648e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704861,Joselyne Edwards,7400,46.21,421.68,49900,24.8,2.4828e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42704865,Talita Alencar,7200,46.29,421.48,49900,24.7,2.4652e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704871,Sedriques Dumas,7500,40.83,42704869,Mayra Bueno Silva,6900,30.35,421.22,50000,24.8,2.4813e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704870,Jackson McVey,8700,76.46,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704869,Mayra Bueno Silva,6900,30.35,420.73,49900,25.0,2.5030e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42728123,Cody Durden,6700,26.07,420.47,50000,25.0,2.4993e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42704869,Mayra Bueno Silva,6900,30.35,420.26,49800,24.7,2.4672e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,420.15,49800,25.1,2.5098e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,420.04,49900,24.0,2.3957e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704858,Youssef Zalal,8400,83.47,42704856,Adrian Luna Martinetti,8200,54.49,42704861,Joselyne Edwards,7400,46.21,42704865,Talita Alencar,7200,46.29,419.39,50000,25.1,2.5080e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704867,Eric McConico,7100,29.68,419.18,49500,24.9,2.4940e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704864,Julia Polastri,9000,76.53,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42728125,Lucas Brennan,6800,24.79,419.08,50000,23.9,2.3877e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42728125,Lucas Brennan,6800,24.79,419.03,49700,25.0,2.4952e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42728123,Cody Durden,6700,26.07,418.65,50000,24.3,2.4313e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704857,Davey Grant,8000,67.34,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,418.54,50000,25.0,2.4990e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704872,Alexander Hernandez,8500,62.95,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,418.39,50000,25.0,2.5023e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42704863,Raoni Barcelos,7600,46.39,42704861,Joselyne Edwards,7400,46.21,417.93,50000,24.8,2.4800e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704864,Julia Polastri,9000,76.53,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704869,Mayra Bueno Silva,6900,30.35,417.75,50000,24.5,2.4528e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704870,Jackson McVey,8700,76.46,42704859,Aljamain Sterling,7800,80.30,42704861,Joselyne Edwards,7400,46.21,42704867,Eric McConico,7100,29.68,417.74,49900,24.5,2.4513e+1
42728122,Jafel Filho,9500,95.99,42704864,Julia Polastri,9000,76.53,42704862,Montel Jackson,8600,72.69,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42728125,Lucas Brennan,6800,24.79,417.64,49700,25.1,2.5113e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,417.43,50000,25.1,2.5113e+1
42728122,Jafel Filho,9500,95.99,42704860,Norma Dumont,8800,71.70,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42728123,Cody Durden,6700,26.07,417.26,50000,24.5,2.4475e+1
42728124,Francis Marshall,9400,89.10,42704860,Norma Dumont,8800,71.70,42704872,Alexander Hernandez,8500,62.95,42704858,Youssef Zalal,8400,83.47,42704859,Aljamain Sterling,7800,80.30,42704867,Eric McConico,7100,29.68,417.20,50000,25.1,2.5122e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42704869,Mayra Bueno Silva,6900,30.35,417.19,49600,24.8,2.4798e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42728126,Victor Valenzuela,8600,60.39,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42704865,Talita Alencar,7200,46.29,417.06,49800,24.3,2.4302e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704860,Norma Dumont,8800,71.70,42704859,Aljamain Sterling,7800,80.30,42704865,Talita Alencar,7200,46.29,42704867,Eric McConico,7100,29.68,416.90,49700,23.4,2.3423e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42704863,Raoni Barcelos,7600,46.39,42704865,Talita Alencar,7200,46.29,416.61,49500,24.9,2.4867e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704858,Youssef Zalal,8400,83.47,42704856,Adrian Luna Martinetti,8200,54.49,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,416.47,50000,24.7,2.4693e+1
42728122,Jafel Filho,9500,95.99,42704864,Julia Polastri,9000,76.53,42704858,Youssef Zalal,8400,83.47,42704875,Marcus Buchecha,8300,67.03,42704857,Davey Grant,8000,67.34,42728123,Cody Durden,6700,26.07,416.43,49900,25.1,2.5132e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42704869,Mayra Bueno Silva,6900,30.35,416.41,49900,24.1,2.4093e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704862,Montel Jackson,8600,72.69,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704867,Eric McConico,7100,29.68,416.29,50000,24.1,2.4103e+1
42728122,Jafel Filho,9500,95.99,42704864,Julia Polastri,9000,76.53,42728126,Victor Valenzuela,8600,60.39,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704861,Joselyne Edwards,7400,46.21,416.19,50000,25.0,2.5045e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42728125,Lucas Brennan,6800,24.79,416.09,50000,24.5,2.4508e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704863,Raoni Barcelos,7600,46.39,42728123,Cody Durden,6700,26.07,416.08,50000,23.9,2.3897e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42728126,Victor Valenzuela,8600,60.39,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704867,Eric McConico,7100,29.68,416.07,50000,24.5,2.4450e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42704873,Rafa Garcia,7700,56.77,42728125,Lucas Brennan,6800,24.79,416.06,49500,25.0,2.4958e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704874,Ryan Spann,7900,42.80,42704859,Aljamain Sterling,7800,80.30,42704865,Talita Alencar,7200,46.29,416.03,50000,24.9,2.4873e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704869,Mayra Bueno Silva,6900,30.35,415.92,49700,24.2,2.4193e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42704863,Raoni Barcelos,7600,46.39,42704867,Eric McConico,7100,29.68,415.81,49900,24.9,2.4910e+1
42728122,Jafel Filho,9500,95.99,42704864,Julia Polastri,9000,76.53,42704870,Jackson McVey,8700,76.46,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704867,Eric McConico,7100,29.68,415.73,49800,25.2,2.5193e+1
