F,F,F,F,F,F
42704870,42704862,42704872,42704875,42704857,42704873
42728124,42704870,42704875,42704857,42704873,42704863
42728124,42704870,42704862,42704875,42704857,42704869
42728124,42704870,42704862,42704875,42728127,42704865
42728124,42704860,42704862,42704857,42704873,42704871
42704864,42704870,42704862,42704875,42704873,42728127
42728124,42704860,42704870,42704875,42704857,42728123
42704860,42704862,42728126,42704875,42704857,42704873
42704864,42704860,42704870,42704862,42704857,42704869
42704860,42704870,42704862,42728126,42704857,42704865
42728124,42704870,42704862,42704857,42704874,42704865
42728124,42704870,42704862,42704872,42704857,42728123
42704860,42704870,42704872,42704875,42704857,42728127
42728124,42728126,42704872,42704875,42704857,42704865
42704864,42704870,42704862,42704857,42704874,42704873
42728124,42704862,42704872,42704875,42728127,42704861
42728124,42704864,42704862,42704873,42728127,42704871
42704864,42704860,42704870,42704862,42704873,42704867
