CPT,UTIL,UTIL,UTIL,UTIL,UTIL
42961880,42961843,42961844,42961848,42961851,42961865
42961885,42961843,42961844,42961845,42961849,42961854
42961889,42961843,42961844,42961846,42961848,42961853
42961890,42961843,42961845,42961846,42961848,42961851
42961884,42961843,42961844,42961845,42961850,42961855
42961884,42961843,42961845,42961846,42961850,42961854
42961884,42961843,42961844,42961845,42961848,42961860
42961886,42961843,42961844,42961845,42961850,42961856
42961878,42961844,42961845,42961848,42961854,42961860
42961886,42961844,42961845,42961846,42961849,42961854
42961877,42961845,42961848,42961849,42961851,42961865
42961878,42961844,42961845,42961846,42961860,42961865
42961878,42961844,42961846,42961849,42961852,42961867
42961884,42961844,42961845,42961846,42961850,42961858
42961880,42961844,42961846,42961849,42961850,42961867
42961878,42961844,42961845,42961849,42961852,42961860
42961877,42961845,42961846,42961852,42961856,42961860
42961877,42961845,42961849,42961851,42961852,42961854
