P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42755626,42755645,42755714,42755675,42755673,42755753,42755682,42755719,42755904,42755665,,97.78,78.82805252,96.09054947,115.5780506,126.9230495,148.4155579,175.6200548,76.34,49700,1,112.8,0.70596314
42755628,42755626,42755902,42755658,42755781,42755953,42755649,42755661,42755964,42755728,,98.35,82.32099915,100.1460037,117.5710011,127.9360039,144.0884995,167.9314902,106.97,49100,1,83.55,-4.960978404
42755626,42755636,42755869,42755670,42755781,42755953,42755649,42755787,42755661,42755728,,90.38,77.70205498,96.82704926,116.2270546,125.7320564,147.6095505,169.8025629,83.87,49000,1,96.15,1.889273152
42755626,42755636,42755908,42755670,42755781,42755850,42755649,42755787,42755661,42755728,,94.81,75.68955612,95.62705231,114.5145454,124.5170456,144.2545456,165.3075629,84.1,49300,1,86.15,-3.442063555
42755628,42755626,42755908,42755670,42755781,42755953,42755649,42755661,42755728,42755803,,100.96,83.94100189,101.2910042,119.8410034,129.871003,146.5935036,167.6450064,113.44,49800,1,86.55,18.19311231
42755628,42755626,42755908,42755670,42755781,42755850,42755649,42755920,42755661,42755728,,98.1,81.16949654,99.30700684,117.494503,127.1044998,144.8495003,165.4420067,109.33,49500,1,89.55,-2.1167228
42755632,42755638,42755702,42755806,42755715,42755676,42755799,42755647,42755727,42755686,,100.18,79.84679604,98.22180176,118.6342964,133.0292923,153.7368019,179.2383017,107.48,50000,1,111,-19.30692345
42756140,42755627,42755876,42755704,42755715,42755857,42755799,42755647,42755727,42755793,,97.78,78.14820099,96.89820099,115.7607002,128.1781952,145.2582001,167.3482056,112.99,49300,1,96.55,-24.99543577
42756140,42755632,42755876,42755676,42755715,42755857,42755799,42755647,42755727,42755793,,106.07,85.9837532,104.871254,125.3087502,135.3687515,152.0712494,168.5172464,136.45,49100,1,131.35,-3.648524731
42756140,42755632,42755876,42755786,42755715,42755676,42755799,42755762,42755647,42755727,,107.36,86.8097496,104.4222488,126.1347523,137.5297501,154.5772644,175.9787593,137.1,50000,1,123.35,12.50039935
42755632,42755627,42755876,42755660,42755715,42755663,42755799,42755847,42755667,42755686,,100.9,79.07305145,99.44805145,119.8605518,129.4630577,153.5055466,183.4010561,96.16,50000,1,82.8,10.92545316
42755626,42755632,42755876,42755660,42755715,42755953,42755799,42755689,42756008,42755647,,106.32,85.24804688,106.6730499,126.7230511,136.9130417,157.110553,179.4995468,126.82,49400,1,153.4,20.10366768
42755632,42755627,42755876,42755660,42755715,42755911,42755742,42755689,42756008,42755647,,96.56,77.5230484,96.99805069,115.2605476,124.7480469,146.0055466,165.209059,89.64,49400,1,119.8,-21.99626267
