CPT,UTIL,UTIL,UTIL,UTIL,UTIL
42963522,42963481,42963430,42963435,42963509,42963454
42963516,42963481,42963441,42963445,42963499,42963507
42963516,42963469,42963448,42963499,42963500,42963508
42963518,42963480,42963431,42963436,42963512,42963449
42963534,42963469,42963480,42963429,42963440,42963447
42963530,42963481,42963430,42963436,42963437,42963503
42963522,42963429,42963431,42963437,42963504,42963509
42963526,42963481,42963431,42963433,42963436,42963504
42963516,42963480,42963437,42963499,42963500,42963512
42963519,42963429,42963431,42963435,42963508,42963509
42963529,42963480,42963429,42963435,42963441,42963512
42963519,42963480,42963429,42963440,42963445,42963508
42963528,42963480,42963429,42963435,42963437,42963502
42963526,42963480,42963481,42963433,42963445,42963450
42963526,42963469,42963480,42963439,42963440,42963449
42963522,42963469,42963480,42963435,42963447,42963449
42963531,42963469,42963480,42963430,42963435,42963454
42963520,42963430,42963433,42963436,42963500,42963508
