PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42691717,Jalen Brunson,8200,43.87,42691780,Anthony Edwards,8400,47.03,42691684,Josh Hart,5500,31.76,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691720,Donte DiVincenzo,5000,24.81,42691864,Dyson Daniels,6200,33.00,42691766,Naz Reid,4900,23.18,271.02,50000,36.8,3.6795e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691660,Tim Hardaway Jr.,4000,16.36,42691835,Jonathan Kuminga,4500,22.66,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691689,Aaron Gordon,5600,30.30,42691696,Nikola Jokic,12400,66.65,260.24,49900,30.8,3.0815e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691705,Cameron Johnson,4700,23.88,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691864,Dyson Daniels,6200,33.00,42691689,Aaron Gordon,5600,30.30,264.77,49400,37.1,3.7144e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691864,Dyson Daniels,6200,33.00,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691705,Cameron Johnson,4700,23.88,42691682,Rudy Gobert,6000,35.10,269.72,49700,37.0,3.7015e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691864,Dyson Daniels,6200,33.00,42691729,OG Anunoby,5800,32.27,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,264.06,49500,35.2,3.5236e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691786,Jaden McDaniels,5400,27.73,42691696,Nikola Jokic,12400,66.65,267.71,50000,35.7,3.5689e+1
42691720,Donte DiVincenzo,5000,24.81,42691684,Josh Hart,5500,31.76,42691709,Mikal Bridges,5200,25.64,42691698,Karl-Anthony Towns,8300,44.27,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691786,Jaden McDaniels,5400,27.73,42691682,Rudy Gobert,6000,35.10,268.57,49900,35.6,3.5581e+1
42691656,CJ McCollum,5900,32.52,42691780,Anthony Edwards,8400,47.03,42691684,Josh Hart,5500,31.76,42691729,OG Anunoby,5800,32.27,42691798,Onyeka Okongwu,6100,32.23,42691720,Donte DiVincenzo,5000,24.81,42691693,Julius Randle,7200,36.44,42691682,Rudy Gobert,6000,35.10,272.16,49900,37.4,3.7360e+1
42691776,Miles McBride,3700,15.29,42691684,Josh Hart,5500,31.76,42691757,Ayo Dosunmu,5100,22.08,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691717,Jalen Brunson,8200,43.87,42691693,Julius Randle,7200,36.44,42691780,Anthony Edwards,8400,47.03,263.84,49900,33.0,3.3028e+1
42691717,Jalen Brunson,8200,43.87,42691773,Christian Braun,4600,23.86,42691684,Josh Hart,5500,31.76,42691729,OG Anunoby,5800,32.27,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691786,Jaden McDaniels,5400,27.73,42691682,Rudy Gobert,6000,35.10,273.85,50000,38.7,3.8724e+1
42691717,Jalen Brunson,8200,43.87,42691776,Miles McBride,3700,15.29,42691684,Josh Hart,5500,31.76,42691698,Karl-Anthony Towns,8300,44.27,42691682,Rudy Gobert,6000,35.10,42691780,Anthony Edwards,8400,47.03,42691709,Mikal Bridges,5200,25.64,42691705,Cameron Johnson,4700,23.88,266.84,50000,35.0,3.4970e+1
42691656,CJ McCollum,5900,32.52,42691773,Christian Braun,4600,23.86,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691696,Nikola Jokic,12400,66.65,42691720,Donte DiVincenzo,5000,24.81,42691786,Jaden McDaniels,5400,27.73,42691682,Rudy Gobert,6000,35.10,266.33,50000,33.4,3.3356e+1
42691717,Jalen Brunson,8200,43.87,42691776,Miles McBride,3700,15.29,42691709,Mikal Bridges,5200,25.64,42691729,OG Anunoby,5800,32.27,42691698,Karl-Anthony Towns,8300,44.27,42691723,Jamal Murray,8600,45.42,42691684,Josh Hart,5500,31.76,42691705,Cameron Johnson,4700,23.88,262.40,50000,33.4,3.3431e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691786,Jaden McDaniels,5400,27.73,42691689,Aaron Gordon,5600,30.30,259.52,49100,34.2,3.4214e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691835,Jonathan Kuminga,4500,22.66,42691693,Julius Randle,7200,36.44,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691757,Ayo Dosunmu,5100,22.08,42691682,Rudy Gobert,6000,35.10,263.72,50000,32.0,3.1996e+1
42691717,Jalen Brunson,8200,43.87,42691780,Anthony Edwards,8400,47.03,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691720,Donte DiVincenzo,5000,24.81,42691864,Dyson Daniels,6200,33.00,42691682,Rudy Gobert,6000,35.10,269.00,50000,34.9,3.4925e+1
42691776,Miles McBride,3700,15.29,42691780,Anthony Edwards,8400,47.03,42691684,Josh Hart,5500,31.76,42691729,OG Anunoby,5800,32.27,42691766,Naz Reid,4900,23.18,42691717,Jalen Brunson,8200,43.87,42691693,Julius Randle,7200,36.44,42691682,Rudy Gobert,6000,35.10,264.94,49700,34.1,3.4086e+1
42691776,Miles McBride,3700,15.29,42691780,Anthony Edwards,8400,47.03,42691786,Jaden McDaniels,5400,27.73,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691717,Jalen Brunson,8200,43.87,42691766,Naz Reid,4900,23.18,42691693,Julius Randle,7200,36.44,260.91,49600,31.4,3.1396e+1
42691656,CJ McCollum,5900,32.52,42691732,Bruce Brown,3900,16.69,42691709,Mikal Bridges,5200,25.64,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691864,Dyson Daniels,6200,33.00,42691696,Nikola Jokic,12400,66.65,260.89,49900,30.3,3.0258e+1
42691776,Miles McBride,3700,15.29,42691773,Christian Braun,4600,23.86,42691835,Jonathan Kuminga,4500,22.66,42691705,Cameron Johnson,4700,23.88,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691689,Aaron Gordon,5600,30.30,42691696,Nikola Jokic,12400,66.65,261.90,50000,31.2,3.1172e+1
42691717,Jalen Brunson,8200,43.87,42691684,Josh Hart,5500,31.76,42691709,Mikal Bridges,5200,25.64,42691729,OG Anunoby,5800,32.27,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691689,Aaron Gordon,5600,30.30,42691705,Cameron Johnson,4700,23.88,265.37,49700,35.9,3.5850e+1
42691776,Miles McBride,3700,15.29,42691732,Bruce Brown,3900,16.69,42691709,Mikal Bridges,5200,25.64,42691729,OG Anunoby,5800,32.27,42691696,Nikola Jokic,12400,66.65,42691723,Jamal Murray,8600,45.42,42691684,Josh Hart,5500,31.76,42691705,Cameron Johnson,4700,23.88,257.60,49800,29.8,2.9774e+1
42691656,CJ McCollum,5900,32.52,42691773,Christian Braun,4600,23.86,42691835,Jonathan Kuminga,4500,22.66,42691698,Karl-Anthony Towns,8300,44.27,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691864,Dyson Daniels,6200,33.00,42691682,Rudy Gobert,6000,35.10,270.67,50000,36.4,3.6416e+1
