DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
42961911,Chucky Hepburn,PG,TOR,CLE,O,1500,0,0,,0,0,0,0,0,100,100.9695,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961901,Nae'Qwan Tomlin,PF,CLE,TOR,,1500,0,0,,0,0,0,0,0,100,109.6015,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961904,Garrett Temple,SG/SF,TOR,CLE,,1500,0,0,,0,0,0,0,0,100,100.9695,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961908,Jonathan Mogbo,PF/C,TOR,CLE,,1500,0,0,,0,0,0,0,0,100,100.9695,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961897,Tristan Enaruna,SF,CLE,TOR,,1500,0,0,,0,0,0,0,0,100,109.6015,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961896,Riley Minix,SF,CLE,TOR,,1500,0,0,,0,0,0,0,0,100,109.6015,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961909,Gradey Dick,SG/SF,TOR,CLE,,1500,0,0,,0,0,0,0,0,100,100.9695,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961898,Olivier Sarr,C,CLE,TOR,,1500,0,0,,0,0,0,0,0,100,109.6015,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961910,Immanuel Quickley,PG,TOR,CLE,O,10200,0,0,,0,0,0,0,0,100,100.9695,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961907,Larry Nance Jr.,C,CLE,TOR,,1500,0,0,,0,0,0,0,0,100,109.6015,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961903,Tyrese Proctor,PG/SG,CLE,TOR,,1500,0,0,,0,0,0,0,0,100,109.6015,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42961882,Brandon Ingram,SG,TOR,CLE,O,12000,0,0,,0,0,0,0,0,100,100.9695,210.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
