P,P,C,1B,2B,3B,SS,OF,OF,OF
42669079,42669083,42669148,42669324,42669069,42668988,42669140,42669131,42669274,42669216
42669109,42669079,42669107,42669260,42668982,42668979,42669298,42669075,42669239,42669216
42669109,42669083,42669107,42669334,42668982,42669142,42669321,42669047,42669119,42669245
42669109,42669083,42669107,42668982,42669030,42669142,42669321,42669180,42669119,42669245
42669083,42669079,42668998,42669064,42669001,42668979,42669140,42668978,42669320,42669216
42669109,42669145,42669198,42669133,42669001,42669071,42669111,42668978,42669075,42669156
42669109,42669145,42669198,42669133,42669001,42668979,42669111,42669216,42669149,42669164
42669109,42669145,42669107,42669133,42669001,42668979,42669111,42669210,42669149,42669075
42669109,42668992,42669262,42669133,42669001,42669209,42669243,42668978,42669047,42669149
42669109,42668992,42669262,42669169,42669001,42669071,42669298,42668978,42669047,42669210
42669109,42669145,42669262,42669133,42669337,42668979,42669267,42668978,42669243,42669216
42669109,42668992,42669262,42669133,42669337,42669209,42669243,42668978,42669147,42669216
42669109,42669145,42669107,42669133,42669001,42669209,42669111,42669156,42669149,42669075
42669109,42668992,42669262,42669169,42669001,42669209,42669267,42669216,42669002,42669210
42669109,42669145,42669198,42669133,42669001,42669071,42669111,42669147,42669149,42669075
42669109,42669145,42669198,42669260,42669001,42669072,42669298,42669113,42668978,42669047
42669109,42668992,42669262,42669133,42669001,42669209,42669267,42669147,42669149,42669210
42669109,42669145,42669198,42669133,42669001,42669072,42669111,42668978,42669156,42669149
42669109,42668992,42669262,42669169,42669001,42669209,42669267,42669149,42669216,42669075
42669109,42669145,42669198,42669260,42669001,42669209,42669267,42669239,42669075,42669216
42669109,42668992,42669262,42669169,42669001,42668979,42669267,42669147,42669210,42669216
42669109,42668992,42669262,42669334,42669001,42669337,42669298,42668978,42669047,42669210
42669109,42669040,42669107,42669133,42669161,42669071,42669019,42669113,42669156,42669002
42669104,42669083,42668998,42669260,42668982,42668979,42669019,42668978,42669320,42669002
42669079,42669083,42669107,42669082,42669131,42668988,42668996,42668989,42669274,42669320
42669233,42669109,42669107,42669133,42669161,42669337,42669019,42669002,42669250,42669320
42669083,42669104,42669148,42669064,42669069,42668988,42669019,42668989,42668978,42669216
42669233,42669109,42669107,42669082,42669001,42669337,42669019,42669002,42669250,42669320
42669109,42669040,42669107,42669133,42669161,42669071,42669019,42669180,42669320,42669156
42669233,42669079,42669107,42669133,42669001,42669071,42669111,42669102,42669149,42669075
42669233,42669083,42669107,42669169,42669069,42668988,42668996,42669274,42669131,42669320
42669109,42669083,42669107,42669082,42669037,42669142,42669298,42669002,42669102,42669114
42669109,42669083,42669107,42669082,42668982,42669171,42669298,42669002,42669102,42669114
42669233,42669079,42669107,42669133,42669001,42669105,42669111,42669002,42669149,42669075
42669233,42669079,42669041,42669260,42669001,42668979,42669019,42669002,42669216,42669320
42669109,42669083,42669107,42668982,42669299,42669142,42669019,42669320,42669102,42669180
42669083,42669079,42669107,42669082,42669001,42669142,42669036,42669002,42669320,42669180
42669109,42669104,42669107,42669103,42669156,42669105,42669019,42669320,42669002,42669075
42669109,42669104,42669107,42669082,42669156,42669142,42669267,42669216,42669114,42669102
42669083,42669104,42669107,42669092,42669037,42668988,42669298,42668978,42668989,42669274
42669109,42669083,42669107,42669082,42669030,42669142,42669019,42669114,42669250,42669102
42669109,42669040,42669041,42669133,42669156,42669071,42669019,42669075,42669149,42669002
42669109,42669040,42669107,42669133,42669127,42669142,42669019,42669075,42669156,42669149
42669109,42669145,42669262,42669169,42669001,42669209,42669298,42668978,42669210,42669047
42668992,42669145,42669262,42669133,42669001,42669209,42669267,42669210,42669149,42669075
42669145,42668992,42669262,42669133,42669337,42669209,42669267,42668978,42669210,42669245
42669145,42668992,42669262,42669169,42669001,42669209,42669267,42669047,42669216,42669239
42669145,42668992,42669262,42669169,42669337,42669209,42669267,42668978,42669147,42669131
42669145,42668992,42669262,42669169,42669030,42669209,42669267,42669131,42668978,42669210
42669145,42668992,42669262,42669169,42669001,42669209,42669140,42669131,42669047,42669149
42669145,42668992,42669262,42669169,42669001,42669072,42669298,42668978,42669210,42669243
42669145,42668992,42669262,42669169,42669309,42669209,42669298,42668978,42669149,42669047
42668992,42669145,42669262,42669169,42669001,42669209,42669140,42668978,42669047,42669243
42668992,42669145,42669198,42669169,42669001,42669209,42669243,42669216,42669320,42669210
42668992,42669145,42669262,42669169,42669309,42669209,42669111,42668978,42669216,42669210
42669145,42668992,42669148,42669169,42669001,42669209,42669267,42669216,42669210,42669047
42669109,42669145,42669124,42669169,42669001,42669209,42669298,42669243,42669047,42669210
42669145,42668992,42669262,42669169,42669001,42669209,42669243,42669274,42669047,42669216
42668992,42669145,42669262,42669169,42669156,42669209,42669267,42669147,42668978,42669047
42668992,42669145,42669262,42669169,42669309,42669209,42669298,42668978,42669210,42669245
42669145,42668992,42669262,42669169,42669001,42669209,42669111,42669216,42669210,42669075
42669145,42668992,42669262,42669169,42669337,42669209,42669298,42668978,42669274,42669210
42669145,42668992,42669262,42669169,42669069,42669209,42669298,42669047,42669216,42669210
42669145,42668992,42669262,42669169,42669001,42669209,42669298,42669274,42669047,42669210
42669145,42668992,42669262,42669169,42669131,42669209,42669298,42669210,42669245,42669047
42669145,42668992,42669262,42669169,42669337,42669209,42669298,42669147,42668978,42669243
42669109,42669083,42669107,42669082,42668982,42669171,42669019,42669102,42669114,42669320
42669109,42669079,42669107,42669260,42669127,42669142,42669019,42669102,42669002,42669180
42669104,42669083,42669107,42669103,42669001,42669142,42669019,42669320,42669250,42669164
42669109,42669083,42669107,42669082,42669127,42669142,42669019,42669114,42669180,42669002
42669109,42669079,42669107,42669082,42669127,42669072,42669019,42669180,42669102,42669002
42669079,42669145,42669198,42669064,42669131,42668988,42668996,42669274,42669180,42669114
42669083,42668992,42669041,42669334,42669030,42669171,42669019,42668989,42669274,42669002
42669109,42668992,42669107,42669169,42669030,42669209,42669267,42669250,42669192,42669210
42669145,42669083,42669198,42669064,42669001,42668988,42668996,42668989,42669113,42669274
42669109,42669145,42668998,42669260,42669001,42669138,42669140,42669113,42669216,42669245
42669083,42669145,42669107,42669169,42669001,42669209,42669298,42669210,42669047,42669114
42669233,42669145,42669124,42669334,42669161,42669268,42669321,42669216,42669239,42669210
42669145,42669079,42669124,42669082,42669030,42669071,42669321,42669192,42669114,42669119
42669145,42668992,42669262,42669334,42669030,42669268,42669140,42669239,42669192,42669216
42669079,42669145,42669198,42669334,42669030,42669268,42669298,42669114,42669245,42669192
42668992,42669145,42669124,42669334,42669156,42669105,42669298,42669201,42669192,42669119
42669145,42669083,42668998,42669082,42669131,42669142,42669298,42669102,42669114,42669180
42668992,42669145,42669021,42669133,42669001,42669071,42668996,42668989,42669149,42669075
42669145,42669104,42669198,42669064,42669161,42669071,42669298,42668989,42669147,42668978
42668992,42669145,42669198,42669334,42669001,42669072,42669298,42669037,42669113,42669239
42669040,42669145,42669124,42669064,42669161,42668988,42668996,42669274,42668989,42669075
42669145,42668992,42669148,42669334,42669161,42669268,42668996,42669245,42669192,42669075
42669104,42669145,42669021,42669169,42669131,42669209,42669267,42669274,42668978,42669047
42669109,42669145,42669262,42669133,42669156,42669209,42669267,42669216,42669210,42669180
42669145,42669083,42669262,42669334,42669030,42669142,42669298,42669192,42669245,42669047
42668992,42669104,42669148,42669133,42669161,42669071,42669298,42668989,42669075,42669216
42669145,42669083,42669262,42669334,42669001,42669209,42669321,42668989,42669245,42669192
42669079,42669145,42669124,42669334,42669161,42669105,42669321,42669245,42669149,42669192
42669083,42668992,42668998,42668982,42669001,42668988,42668996,42669274,42669239,42669216
42669109,42669145,42669262,42669334,42669030,42669209,42669298,42669119,42669245,42669210
42669145,42669083,42669262,42669334,42669131,42668988,42668996,42669274,42668989,42669210
42669109,42669145,42669107,42669169,42669030,42669209,42669267,42668978,42669210,42669201
42669083,42669145,42669262,42669169,42669309,42669209,42669298,42668978,42669210,42669180
42669083,42668992,42669198,42669260,42669309,42669072,42669298,42669147,42669192,42669216
42669083,42669145,42669262,42669169,42669001,42669209,42669298,42669210,42669245,42669114
42668992,42669040,42669124,42669133,42669161,42669268,42669321,42669192,42669119,42669075
