PG,SG,SF,PF,C,G,F,UTIL,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42424198,42424201,42424354,42424369,42424418,42424316,42424302,42424280,283.81,49900,33.91,359.00,641.4662,0.6197
42424396,42424430,42424258,42424302,42424331,42424201,42424354,42424198,271.11,49800,22.77,344.65,397.7219,0.4417
42424198,42424298,42424226,42424195,42424418,42424413,42424351,42424457,277.20,49700,17.71,332.10,138.8640,0.3053
42424430,42424354,42424218,42424195,42424367,42424280,42424302,42424305,270.71,49700,21.46,340.80,322.6109,0.4113
42424198,42424251,42424226,42424302,42424418,42424413,42424208,42424443,272.61,49800,20.34,341.50,244.9480,0.3660
42424198,42424430,42424369,42424195,42424230,42424354,42424351,42424420,270.80,49900,18.85,330.85,166.4188,0.3243
42424280,42424316,42424354,42424302,42424418,42424298,42424218,42424198,276.71,49500,32.71,355.40,489.2282,0.5783
42424198,42424251,42424226,42424369,42424230,42424430,42424302,42424413,274.21,50000,18.88,338.95,241.2657,0.3690
42424280,42424201,42424218,42424195,42424418,42424380,42424457,42424430,271.50,49900,20.04,334.60,180.5926,0.3323
42424201,42424287,42424369,42424195,42424331,42424396,42424302,42424430,274.11,49900,20.17,338.45,263.1875,0.3820
42424280,42424251,42424354,42424195,42424418,42424298,42424235,42424403,270.80,50000,20.03,331.00,118.7296,0.2947
42424251,42424316,42424369,42424195,42424418,42424430,42424226,42424280,281.00,49500,28.02,349.25,434.5078,0.5063
42424198,42424316,42424369,42424302,42424331,42424354,42424226,42424251,274.81,49900,30.18,351.95,463.7874,0.4970
42424251,42424333,42424413,42424195,42424235,42424284,42424302,42424418,270.61,50000,20.47,335.65,207.0738,0.3460
42424396,42424251,42424258,42424420,42424418,42424201,42424195,42424430,275.20,50000,21.21,337.80,256.2560,0.3653
42424316,42424280,42424258,42424302,42424235,42424430,42424354,42424198,266.31,50000,23.10,344.60,345.2768,0.4503
42424198,42424201,42424258,42424369,42424418,42424280,42424302,42424462,275.21,49600,22.00,341.30,224.5437,0.3817
42424198,42424280,42424354,42424369,42424418,42424333,42424302,42424201,286.31,49700,33.76,358.25,635.1996,0.5997
42424396,42424316,42424369,42424302,42424247,42424198,42424226,42424312,267.21,49900,22.78,341.40,271.5788,0.3790
42424198,42424201,42424413,42424195,42424367,42424430,42424420,42424449,270.70,49800,17.65,332.42,228.2544,0.3350
42424198,42424298,42424413,42424195,42424418,42424396,42424218,42424457,274.40,49700,18.96,332.85,190.7332,0.3230
42424316,42424201,42424208,42424302,42424443,42424198,42424430,42424418,271.71,49800,21.99,346.50,396.0098,0.4590
42424430,42424333,42424449,42424302,42424367,42424198,42424208,42424201,267.81,50000,20.12,341.97,352.1877,0.4143
42424198,42424430,42424226,42424302,42424443,42424354,42424195,42424418,291.41,49900,29.17,358.85,632.2683,0.6010
42424198,42424430,42424369,42424208,42424443,42424380,42424195,42424418,270.50,49400,20.09,336.80,252.3283,0.3607
42424251,42424430,42424369,42424302,42424235,42424198,42424226,42424420,272.31,49700,22.51,343.00,303.6753,0.4130
42424287,42424201,42424218,42424208,42424418,42424430,42424302,42424369,266.21,49600,19.44,336.55,182.8581,0.3077
42424284,42424430,42424354,42424302,42424247,42424198,42424258,42424298,262.41,49900,18.91,336.20,248.7525,0.3500
42424396,42424280,42424354,42424195,42424418,42424198,42424369,42424331,284.40,49800,31.16,350.50,463.7893,0.5290
42424198,42424251,42424369,42424302,42424418,42424413,42424195,42424457,282.41,49200,21.35,340.20,228.4597,0.3927
42424430,42424333,42424226,42424302,42424235,42424201,42424287,42424418,269.71,48800,21.00,336.90,188.9018,0.3410
42424396,42424380,42424218,42424195,42424418,42424198,42424351,42424420,271.70,49900,20.27,333.30,189.7485,0.3237
42424251,42424280,42424449,42424226,42424418,42424333,42424302,42424198,280.31,48800,31.35,352.32,400.6337,0.5063
42424316,42424218,42424258,42424195,42424418,42424305,42424302,42424430,270.11,50000,20.62,339.65,245.8583,0.3830
42424396,42424251,42424449,42424195,42424418,42424198,42424258,42424430,278.90,49900,23.17,343.27,344.7860,0.4337
42424198,42424333,42424384,42424195,42424367,42424430,42424258,42424418,273.70,49600,20.04,337.80,252.6861,0.3927
42424430,42424280,42424354,42424226,42424418,42424198,42424302,42424218,285.51,49800,30.42,359.40,628.5684,0.5890
42424251,42424333,42424326,42424195,42424418,42424280,42424226,42424430,275.30,49900,20.58,343.35,303.6020,0.4307
42424198,42424280,42424326,42424195,42424367,42424396,42424354,42424418,277.60,49900,22.96,345.25,354.9020,0.4690
42424298,42424251,42424208,42424226,42424367,42424198,42424449,42424430,264.60,50000,19.89,338.22,256.5552,0.3620
42424396,42424280,42424226,42424195,42424247,42424333,42424354,42424430,271.00,49900,20.52,337.50,242.6189,0.3733
42424201,42424298,42424232,42424195,42424418,42424333,42424420,42424430,272.60,49900,20.08,333.45,229.7846,0.3393
42424396,42424430,42424226,42424399,42424367,42424198,42424195,42424351,271.50,49900,20.74,336.75,272.3101,0.3723
42424198,42424316,42424226,42424195,42424367,42424430,42424443,42424396,276.60,49900,22.57,343.70,352.6825,0.4463
42424430,42424413,42424354,42424302,42424247,42424198,42424195,42424457,269.71,49400,14.76,329.45,156.8238,0.2953
42424280,42424201,42424413,42424302,42424331,42424430,42424195,42424369,274.61,50000,20.74,341.45,317.8276,0.4360
42424312,42424280,42424457,42424226,42424418,42424198,42424407,42424201,273.40,49800,19.96,336.85,178.6420,0.3463
42424198,42424312,42424226,42424195,42424418,42424396,42424359,42424449,270.10,49800,19.80,334.37,175.3996,0.3340
42424284,42424457,42424258,42424195,42424443,42424198,42424302,42424430,270.41,49900,18.07,334.60,220.5329,0.3313
42424251,42424312,42424369,42424226,42424418,42424298,42424302,42424198,282.71,49700,31.61,355.65,497.4748,0.5397
42424280,42424251,42424226,42424195,42424367,42424354,42424351,42424413,270.30,49900,19.77,333.35,151.6074,0.3080
42424430,42424333,42424218,42424369,42424247,42424298,42424302,42424198,268.31,49900,21.01,340.50,277.6615,0.3973
42424312,42424298,42424354,42424195,42424443,42424198,42424302,42424407,272.71,50000,22.09,343.60,293.8525,0.4293
42424198,42424218,42424354,42424226,42424367,42424312,42424302,42424418,279.41,49600,31.87,354.05,422.6112,0.5033
42424198,42424316,42424265,42424420,42424418,42424413,42424195,42424354,268.40,49500,17.65,330.60,140.9574,0.3113
42424396,42424333,42424354,42424226,42424367,42424298,42424208,42424198,267.30,50000,22.47,340.80,288.8629,0.3843
42424280,42424298,42424449,42424195,42424418,42424201,42424302,42424359,270.21,49800,21.48,338.32,221.8998,0.3837
42424430,42424287,42424258,42424195,42424418,42424251,42424218,42424443,269.20,50000,19.69,331.65,165.9524,0.2900
42424280,42424201,42424218,42424226,42424418,42424333,42424302,42424403,276.11,50000,21.94,340.10,174.8071,0.3350
42424430,42424354,42424369,42424302,42424230,42424298,42424208,42424198,266.41,50000,20.30,339.90,271.7440,0.3843
42424201,42424258,42424354,42424195,42424418,42424396,42424302,42424403,276.71,49800,19.79,335.80,144.4217,0.3123
