PG,SG,SF,PF,C,G,F,UTIL,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42424201,42424430,42424354,42424369,42424367,42424218,42424195,42424413,269.30,50000,20.14,335.35,245.1260,0.3550
42424251,42424218,42424258,42424195,42424367,42424457,42424302,42424430,268.41,49900,18.84,333.50,162.0500,0.2973
42424251,42424333,42424369,42424226,42424443,42424198,42424208,42424430,266.70,49800,20.26,338.10,244.3222,0.3530
42424430,42424280,42424354,42424226,42424331,42424298,42424195,42424302,277.81,49800,27.10,351.35,509.7263,0.5267
42424201,42424280,42424258,42424195,42424418,42424403,42424369,42424443,271.40,49700,19.66,328.00,84.3597,0.2387
42424430,42424280,42424258,42424226,42424367,42424198,42424302,42424333,278.21,49900,24.29,349.70,425.3803,0.4740
42424284,42424316,42424226,42424302,42424367,42424396,42424195,42424298,271.71,50000,24.79,344.50,361.9176,0.4423
42424430,42424280,42424354,42424302,42424331,42424333,42424208,42424198,265.81,49100,21.98,342.90,337.4380,0.4260
42424201,42424430,42424218,42424407,42424418,42424251,42424226,42424298,267.80,49400,20.06,336.85,210.2584,0.3383
42424251,42424287,42424354,42424384,42424418,42424258,42424195,42424302,268.91,49600,20.54,335.40,158.2631,0.3283
42424251,42424218,42424226,42424384,42424418,42424396,42424195,42424413,267.60,50000,18.51,331.95,134.5236,0.3073
42424251,42424201,42424258,42424195,42424367,42424430,42424443,42424418,275.30,50000,22.83,339.00,256.4682,0.3653
42424380,42424251,42424218,42424226,42424418,42424396,42424195,42424430,274.70,49800,22.48,340.90,217.4118,0.4013
42424316,42424413,42424384,42424420,42424418,42424198,42424226,42424195,271.30,49900,18.88,335.35,180.9300,0.3580
42424201,42424298,42424369,42424195,42424418,42424457,42424226,42424407,273.40,49200,20.11,332.45,151.8342,0.2960
42424430,42424380,42424369,42424407,42424418,42424198,42424195,42424280,273.90,48300,19.79,336.30,245.3039,0.3813
42424198,42424298,42424265,42424195,42424418,42424380,42424384,42424430,265.70,50000,14.97,330.45,189.7319,0.3237
42424198,42424201,42424226,42424302,42424418,42424280,42424420,42424462,278.31,49500,21.84,343.10,223.3831,0.3963
42424280,42424287,42424369,42424302,42424418,42424430,42424195,42424251,280.01,48500,24.07,343.25,309.5948,0.4163
42424198,42424430,42424354,42424195,42424367,42424251,42424407,42424369,276.80,49800,20.01,340.35,318.5043,0.4247
42424430,42424251,42424218,42424226,42424418,42424396,42424302,42424198,284.71,50000,26.39,355.00,534.3556,0.5243
42424201,42424333,42424218,42424369,42424418,42424413,42424195,42424407,270.90,50000,18.52,331.50,153.3410,0.3033
42424280,42424430,42424457,42424195,42424367,42424201,42424413,42424226,271.70,49800,16.63,330.55,146.5767,0.3043
42424198,42424333,42424218,42424195,42424367,42424396,42424457,42424407,269.10,50000,16.45,327.70,142.2344,0.2600
42424430,42424312,42424449,42424302,42424367,42424201,42424218,42424198,268.81,50000,23.67,344.82,332.8424,0.4427
42424287,42424251,42424354,42424195,42424367,42424333,42424226,42424413,270.90,50000,18.83,331.35,146.5787,0.2843
42424430,42424258,42424265,42424302,42424418,42424396,42424208,42424198,264.21,49500,15.47,333.35,197.5727,0.3007
42424198,42424201,42424413,42424195,42424331,42424457,42424443,42424418,274.40,49900,19.05,331.00,155.1235,0.3090
42424201,42424430,42424354,42424195,42424235,42424457,42424302,42424333,270.21,50000,19.70,336.70,248.9051,0.3673
42424201,42424403,42424369,42424195,42424418,42424316,42424218,42424430,272.70,50000,18.63,332.60,145.2821,0.3013
42424198,42424201,42424369,42424195,42424462,42424333,42424449,42424418,277.30,49900,21.76,337.67,198.4713,0.3880
42424251,42424430,42424208,42424195,42424367,42424326,42424302,42424418,266.31,49400,16.79,337.15,250.4548,0.3297
42424396,42424333,42424369,42424302,42424418,42424298,42424195,42424198,290.41,50000,30.29,356.40,606.4295,0.5843
42424198,42424380,42424369,42424195,42424230,42424430,42424351,42424418,274.20,49700,18.96,332.15,211.7847,0.3360
42424430,42424333,42424226,42424369,42424367,42424287,42424218,42424198,271.10,49600,21.01,337.00,192.4580,0.3483
42424280,42424201,42424226,42424351,42424331,42424198,42424462,42424418,270.90,49800,18.91,332.95,138.0710,0.3017
42424198,42424430,42424369,42424226,42424367,42424396,42424302,42424201,281.71,49800,24.76,351.35,543.4166,0.5037
42424430,42424457,42424258,42424302,42424367,42424198,42424420,42424195,271.21,48800,18.23,332.40,177.9810,0.3137
42424198,42424354,42424413,42424226,42424418,42424218,42424326,42424280,266.40,49600,19.88,338.50,170.5166,0.3567
42424312,42424430,42424354,42424208,42424230,42424418,42424195,42424302,270.11,50000,20.97,339.70,256.5161,0.3790
42424280,42424312,42424354,42424195,42424418,42424305,42424457,42424198,276.40,50000,21.77,338.05,233.1912,0.3947
42424201,42424333,42424354,42424226,42424331,42424457,42424195,42424430,270.70,49700,20.83,335.15,209.7803,0.3517
42424198,42424316,42424226,42424208,42424418,42424280,42424384,42424430,264.20,49600,19.13,339.40,263.5629,0.4010
42424198,42424457,42424226,42424195,42424443,42424430,42424232,42424418,278.40,49900,18.79,333.75,183.0195,0.3337
42424430,42424316,42424413,42424195,42424367,42424298,42424302,42424198,277.31,50000,19.94,345.25,421.0096,0.4803
42424198,42424251,42424354,42424226,42424418,42424287,42424265,42424420,270.60,49800,18.84,332.45,138.3947,0.2867
42424396,42424430,42424232,42424195,42424367,42424298,42424226,42424302,273.41,49700,20.00,338.45,297.3295,0.3710
42424396,42424312,42424208,42424195,42424367,42424251,42424302,42424430,267.41,50000,18.82,338.80,274.3165,0.3570
42424198,42424251,42424354,42424369,42424367,42424265,42424302,42424287,267.61,49500,18.94,333.80,170.2468,0.3040
42424298,42424280,42424258,42424302,42424247,42424333,42424449,42424198,263.41,50000,21.82,337.02,194.7724,0.3430
42424198,42424354,42424258,42424369,42424367,42424430,42424195,42424413,272.20,49500,19.49,335.70,243.5693,0.3597
42424280,42424251,42424232,42424351,42424418,42424287,42424354,42424198,270.50,50000,19.16,330.45,159.5900,0.2850
42424198,42424354,42424218,42424195,42424418,42424430,42424384,42424396,275.20,49900,21.77,343.10,326.5934,0.4743
42424380,42424287,42424218,42424195,42424235,42424430,42424302,42424418,268.81,50000,18.93,334.45,195.4607,0.3390
42424201,42424280,42424354,42424195,42424367,42424430,42424258,42424457,268.70,49800,19.73,332.75,178.1560,0.3247
42424198,42424333,42424384,42424302,42424418,42424298,42424195,42424462,269.91,48600,18.22,334.20,158.2406,0.3257
42424280,42424201,42424413,42424195,42424418,42424380,42424258,42424430,269.70,49800,18.02,332.85,207.9420,0.3307
42424251,42424280,42424354,42424226,42424331,42424430,42424302,42424201,272.91,49700,26.20,348.80,437.8332,0.4597
42424316,42424354,42424449,42424195,42424418,42424280,42424302,42424198,285.11,50000,33.17,358.22,643.7601,0.6213
42424201,42424430,42424413,42424195,42424443,42424218,42424354,42424302,269.91,50000,19.99,339.30,243.8627,0.3700
42424198,42424354,42424226,42424302,42424443,42424457,42424195,42424351,277.61,50000,21.39,340.40,206.3962,0.3680
42424430,42424457,42424218,42424369,42424331,42424198,42424195,42424367,272.20,50000,20.38,334.30,200.1404,0.3470
42424201,42424380,42424413,42424302,42424418,42424287,42424195,42424396,269.81,48800,17.44,329.65,140.5135,0.2733
42424280,42424201,42424218,42424369,42424418,42424430,42424457,42424195,277.70,50000,23.07,339.95,264.3892,0.4013
42424201,42424326,42424354,42424384,42424418,42424298,42424302,42424195,266.11,49900,19.81,340.80,278.5552,0.4020
42424201,42424251,42424354,42424195,42424230,42424430,42424462,42424418,271.20,50000,17.32,329.55,149.0524,0.2923
42424280,42424287,42424413,42424302,42424418,42424198,42424226,42424331,274.81,48700,21.69,339.00,188.4540,0.3650
42424280,42424298,42424208,42424302,42424418,42424333,42424195,42424430,277.01,49700,23.21,347.95,426.6367,0.4803
42424280,42424333,42424258,42424195,42424331,42424430,42424302,42424287,270.61,50000,19.78,336.80,216.7978,0.3477
42424198,42424430,42424354,42424195,42424418,42424333,42424265,42424449,270.90,48500,20.64,335.67,190.2589,0.3747
42424198,42424312,42424413,42424195,42424418,42424218,42424457,42424396,271.20,49500,18.61,330.50,142.4681,0.2870
42424298,42424251,42424369,42424302,42424247,42424430,42424195,42424331,268.91,50000,20.50,337.20,265.5801,0.3590
42424198,42424354,42424369,42424195,42424247,42424298,42424457,42424418,276.60,49900,22.39,336.60,185.1129,0.3710
42424198,42424287,42424354,42424420,42424418,42424430,42424195,42424351,272.20,48000,18.77,329.90,142.1317,0.2947
42424198,42424201,42424354,42424226,42424443,42424396,42424265,42424418,273.20,50000,22.04,339.90,221.7532,0.3737
42424198,42424280,42424354,42424369,42424462,42424316,42424195,42424333,271.80,49900,21.68,338.60,218.8775,0.4007
42424280,42424430,42424413,42424208,42424367,42424218,42424195,42424418,267.30,49800,17.70,332.70,203.2252,0.3167
42424198,42424430,42424413,42424226,42424331,42424354,42424195,42424418,283.20,49900,22.78,346.00,298.0746,0.4920
42424430,42424201,42424354,42424226,42424367,42424396,42424302,42424198,281.41,49900,25.11,353.10,589.2187,0.5123
42424280,42424430,42424258,42424226,42424247,42424418,42424195,42424443,271.60,50000,20.72,335.30,211.0631,0.3243
42424201,42424430,42424226,42424235,42424418,42424198,42424457,42424331,272.00,50000,20.40,335.95,204.6880,0.3623
42424280,42424251,42424258,42424302,42424418,42424333,42424195,42424413,278.11,49900,23.04,342.70,260.1652,0.4020
42424430,42424354,42424449,42424226,42424418,42424198,42424195,42424302,289.21,49600,29.74,358.22,634.3294,0.6063
42424198,42424201,42424218,42424369,42424443,42424430,42424407,42424302,266.51,49100,19.25,337.30,216.9366,0.3580
42424280,42424201,42424265,42424195,42424462,42424430,42424302,42424418,272.81,49800,15.28,333.55,173.7834,0.3183
42424280,42424354,42424226,42424195,42424367,42424284,42424302,42424418,283.31,49700,31.17,352.90,472.3214,0.5323
42424251,42424201,42424457,42424195,42424418,42424396,42424258,42424367,273.90,50000,21.01,332.50,154.5016,0.2980
42424316,42424201,42424354,42424226,42424418,42424198,42424449,42424302,279.51,49600,32.37,355.82,539.7060,0.5533
42424298,42424333,42424226,42424302,42424418,42424430,42424195,42424247,279.61,49700,22.84,345.40,350.3192,0.4480
42424305,42424316,42424265,42424302,42424418,42424280,42424369,42424195,268.51,49300,19.94,334.90,182.8210,0.3390
42424198,42424201,42424354,42424384,42424418,42424413,42424302,42424226,274.61,49600,21.75,344.70,266.2587,0.4340
42424198,42424380,42424232,42424195,42424418,42424333,42424369,42424430,277.70,50000,20.66,337.75,253.1447,0.3903
42424298,42424280,42424208,42424195,42424418,42424326,42424302,42424420,264.41,49800,18.62,337.55,218.6898,0.3507
42424198,42424201,42424413,42424195,42424418,42424430,42424443,42424399,273.00,49700,21.28,337.20,247.2741,0.3977
42424396,42424430,42424218,42424420,42424331,42424201,42424302,42424198,270.11,50000,21.57,341.95,324.9664,0.4087
42424280,42424333,42424369,42424195,42424367,42424251,42424302,42424298,279.11,50000,28.44,348.85,422.3980,0.4900
42424287,42424201,42424226,42424195,42424418,42424354,42424413,42424443,275.30,50000,20.65,334.95,165.4635,0.3200
42424316,42424354,42424226,42424443,42424418,42424201,42424302,42424198,281.71,49900,31.75,356.45,535.1300,0.5637
42424316,42424280,42424258,42424302,42424443,42424430,42424208,42424198,261.31,49800,19.47,339.45,286.4165,0.3777
42424198,42424251,42424449,42424195,42424235,42424430,42424420,42424418,274.50,49900,22.32,338.72,287.8030,0.4110
42424201,42424251,42424369,42424302,42424331,42424457,42424195,42424413,269.41,49900,18.63,331.00,141.7387,0.2877
42424316,42424280,42424449,42424302,42424418,42424333,42424195,42424201,279.11,49900,30.36,351.32,473.0665,0.5333
42424298,42424280,42424413,42424208,42424331,42424418,42424195,42424302,270.11,49900,20.72,339.05,243.3298,0.3710
42424430,42424312,42424226,42424302,42424443,42424298,42424208,42424198,265.61,49800,20.50,343.15,294.0647,0.3993
42424287,42424280,42424369,42424195,42424247,42424251,42424430,42424418,274.20,49900,19.18,333.00,217.9594,0.3360
42424380,42424316,42424226,42424420,42424418,42424201,42424302,42424198,277.31,50000,26.24,349.40,369.5687,0.4807
42424280,42424298,42424369,42424302,42424418,42424312,42424208,42424198,273.71,49800,26.88,349.85,413.4240,0.4747
42424280,42424258,42424226,42424399,42424418,42424354,42424302,42424195,277.01,50000,32.81,350.85,358.7584,0.4880
42424284,42424430,42424369,42424195,42424418,42424333,42424302,42424198,288.31,50000,26.70,354.15,587.1644,0.5700
42424280,42424251,42424208,42424195,42424418,42424430,42424302,42424413,275.61,50000,18.62,342.05,334.2093,0.4030
42424430,42424280,42424449,42424226,42424418,42424201,42424302,42424198,285.31,49800,28.66,357.07,626.1200,0.5820
42424198,42424430,42424413,42424235,42424418,42424287,42424195,42424443,270.70,49500,16.11,327.75,153.5561,0.3003
42424280,42424258,42424265,42424195,42424418,42424430,42424302,42424351,268.61,49100,16.97,331.80,169.5506,0.2877
42424396,42424201,42424354,42424195,42424418,42424298,42424302,42424316,280.21,49800,29.84,352.75,514.7932,0.5370
42424380,42424280,42424354,42424195,42424331,42424198,42424413,42424396,268.50,49900,19.82,334.50,193.8679,0.3507
42424280,42424201,42424354,42424195,42424230,42424396,42424462,42424418,270.20,49800,19.19,329.20,132.1340,0.2867
42424201,42424280,42424384,42424195,42424418,42424396,42424265,42424430,266.90,50000,15.83,330.90,180.8361,0.3193
42424198,42424287,42424258,42424195,42424443,42424396,42424369,42424418,278.00,50000,22.57,337.05,238.9992,0.3490
42424430,42424316,42424369,42424195,42424367,42424198,42424302,42424331,279.51,50000,25.31,349.60,522.9214,0.5270
42424201,42424280,42424258,42424226,42424418,42424251,42424351,42424430,270.60,49600,21.40,337.55,210.8177,0.3407
42424251,42424280,42424226,42424195,42424367,42424396,42424407,42424418,275.40,48800,22.16,337.00,210.0012,0.3463
42424201,42424280,42424226,42424195,42424331,42424430,42424443,42424457,269.20,49800,20.03,332.85,146.2364,0.3233
42424198,42424280,42424354,42424195,42424418,42424457,42424226,42424462,278.50,49300,20.13,335.95,134.1775,0.3343
42424316,42424333,42424226,42424302,42424418,42424198,42424369,42424280,280.61,48500,32.95,354.15,483.3175,0.5377
42424201,42424430,42424354,42424195,42424418,42424198,42424443,42424457,279.90,49300,22.53,340.65,277.5540,0.4290
42424396,42424333,42424226,42424195,42424418,42424298,42424302,42424251,286.21,50000,29.07,353.50,508.9079,0.5153
42424198,42424280,42424226,42424195,42424443,42424457,42424354,42424430,278.40,49900,22.04,342.15,270.9725,0.4343
42424251,42424287,42424226,42424195,42424367,42424333,42424420,42424430,269.10,49000,18.56,329.35,148.1754,0.2733
42424298,42424430,42424226,42424420,42424418,42424280,42424195,42424287,272.90,48200,21.67,334.65,200.0103,0.3467
42424396,42424430,42424226,42424195,42424331,42424198,42424369,42424418,287.40,50000,26.59,350.50,459.0129,0.5250
42424430,42424280,42424354,42424226,42424418,42424251,42424302,42424198,285.91,49000,30.02,358.00,617.7844,0.5770
42424198,42424201,42424369,42424302,42424418,42424380,42424208,42424430,274.21,50000,21.26,346.20,374.7646,0.4453
42424198,42424430,42424354,42424384,42424367,42424251,42424195,42424396,271.40,49800,19.37,338.55,297.6238,0.4140
