CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42961878,42961842,42961845,42961848,42961853,42961859,,218.15,203.125,219.25,235.625,245.26875,263.75625,286.265,206.525,49700,5,0,103.6504502,97.36327013,100.5272928,94.19924745,571.3953001,100.4848924,97.32086973,97.32086973,84.44142886,31.74739339,95.35334706
42961879,42961842,42961845,42961848,42961853,42961857,,217.16,201.375,217.5,234,244.26875,259.88125,280.1275,196.73,50000,5,0,103.3434981,97.29985097,100.2905378,94.30916419,571.3892508,100.1835798,97.19289304,97.19289304,84.53087821,29.86952992,72.72423506
42961885,42961842,42961843,42961844,42961848,42961859,,217.03,201.375,217.375,234.15625,243.01875,262.51875,288.25,217.15,49900,5,0,102.9471514,96.47131195,99.75121611,93.19140779,570.7644991,99.82130703,96.54140286,96.54140286,83.59596026,27.66351763,73.93331528
42961878,42961842,42961846,42961850,42961851,42961858,,213.47,197.875,215,233,242.39375,261.38125,286.7525,183.555,49900,5,0,101.8260509,96.31094934,99.10187379,93.52002488,570.4740877,99.16327626,96.3723518,96.3723518,84.07443527,26.68278668,52.29814053
42961881,42961842,42961843,42961844,42961857,42961859,,223.47,207.625,224.5,241.625,252.875,271.88125,292.3875,212.335,49600,4,0,106.2814664,99.91783409,103.1197128,96.71595538,473.2150188,102.9850456,99.78316688,99.78316688,86.62894115,32.46245027,131.1151266
42961877,42961844,42961845,42961848,42961853,42961859,,221.48,206.5,222.375,239.65625,249.0375,265,287.00375,205.065,49900,4,0,105.3101088,98.97661406,102.1124481,95.84078,472.638103,102.0492275,98.91339346,98.91339346,85.91383802,33.40631667,126.8852949
42961877,42961843,42961844,42961848,42961856,42961857,,218.29,203.5,219.25,235.5,245.625,264.75625,290.2525,185.255,49900,4,0,104.1177059,98.6350244,101.4081725,95.86187632,472.2269291,101.463532,98.69038392,98.69038392,86.19558269,28.10926065,50.04777908
42961881,42961842,42961843,42961845,42961856,42961859,,219.13,204.46875,220.25,237.28125,246.9125,265.25625,287.625,198.625,49600,4,0,104.3246626,98.373958,101.3649577,95.38295828,472.0905043,101.3132734,98.32227369,98.32227369,85.572211,29.0288693,51.31288767
42961881,42961842,42961845,42961848,42961850,42961859,,219.58,205.59375,221.8125,238,247.64375,265.375,286.25,208.69,49800,4,0,104.3464501,97.95646452,101.1548879,94.75804116,471.8359848,101.0524425,97.85401916,97.85401916,84.87649185,32.4694068,75.44803023
42961881,42961843,42961844,42961845,42961853,42961859,,218.23,202.375,217.9375,234.25,243.25,262.38125,282.2625,201.72,50000,4,0,103.6635654,97.51932035,100.6263446,94.41229612,471.5377998,100.4994709,97.39244671,97.39244671,84.56644145,31.77435539,98.33095074
42961880,42961842,42961846,42961848,42961850,42961859,,218.4,203.75,219.375,236.625,246.75,262.625,281.38625,210.025,49900,4,0,103.757814,97.24605191,100.4723908,94.01971299,471.3597387,100.3069867,97.08064775,97.08064775,84.12775676,30.95740747,76.48931146
42961877,42961843,42961846,42961850,42961852,42961857,,215.3,199.5,217.3125,234.78125,244,261.38125,284.64625,180.18,49900,4,0,102.7484972,97.25849525,100.0052376,94.51175291,471.2144515,99.99557389,97.24883155,97.24883155,84.91359718,27.99833805,70.0735569
42961877,42961843,42961846,42961849,42961853,42961858,,214.06,200.21875,216.5625,232.75,241.25,259,277.125,174.805,49900,4,0,102.1785573,96.89051072,99.54663979,94.23438165,470.953886,99.37078872,96.71465965,96.71465965,84.52526257,26.60903215,19.31619346
