P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42565970,42565968,42566033,42566042,42565993,42565981,42566036,42566073,42565975,42566003,,92.52,74.70115471,91.0136528,110.0011482,120.4611511,140.7761475,165.7451474,223.33,48000,1,98.55,-9.599529207
42565970,42565968,42566033,42565989,42565993,42565981,42566036,42566073,42565975,42566003,,95.42,76.10915184,94.52165222,114.3341541,124.6791531,144.6266434,166.7261491,236.3,49400,1,99.55,1.910844073
42565970,42565968,42566033,42565989,42565993,42565998,42566036,42566073,42565975,42566003,,94.96,76.30914879,93.7466507,114.5841541,125.8291481,145.2816521,171.3741431,235.45,48500,1,99.55,6.751655042
42565969,42565970,42565979,42565983,42566021,42566072,42565996,42565975,42566094,42566005,,94.99,76.4905014,94.62800217,114.0405006,124.3580025,142.0880028,167.032,215.7,49000,1,64.4,11.403092
42565969,42565970,42565979,42565980,42566021,42566072,42565996,42565975,42566094,42566005,,94.31,76.61550522,94.35300064,112.7654972,124.7305023,141.1805084,159.2294968,196.32,49300,1,72.4,32.15610683
42565969,42565970,42565979,42565980,42566021,42565996,42566074,42565975,42566094,42566005,,94.09,75.11250114,94.34999847,114.3624992,124.2875,142.0175003,161.327003,195.52,49300,1,80.4,36.56662107
42565969,42565971,42566017,42565995,42566018,42566034,42565976,42566016,42565992,42566005,,86.94,69.33849907,86.90100098,106.7134972,117.6009979,136.053495,161.9579889,155.7,48000,1,76.55,22.58205861
42565970,42565972,42566091,42565983,42565999,42565998,42566006,42566008,42565975,42565985,,94.88,77.09999847,95.69999695,114.2999992,126.2799995,143.914994,162.1774939,220.66,49200,1,76.00333333,39.10104632
42565970,42565972,42566091,42565983,42565999,42565998,42566036,42565977,42566008,42565975,,97.71,79.98749924,97.47499847,116.4749985,128.4224953,149.1050056,169.816003,248.66,49400,1,61.00333333,31.85496032
42565970,42565969,42566091,42565989,42565999,42565978,42566077,42566002,42566038,42565975,,92.03,74.51300049,91.1629982,111.112999,121.862999,142.0255005,166.3635065,206.15,48100,1,62.4,-3.407604247
42565970,42565969,42566009,42565989,42565999,42565978,42566077,42566046,42566038,42565975,,93.1,73.79299927,92.79299927,112.0679989,124.3430023,144.285511,172.3565022,197.38,48900,1,66.4,-5.417045951
42565970,42565969,42566009,42565989,42566021,42565978,42566006,42566002,42566008,42566005,,92.17,74.86299896,91.18799591,111.0254993,121.8204964,140.4179947,161.9969975,190.84,48900,1,78.4,14.04508799
42565970,42565969,42566009,42565989,42565999,42565978,42566077,42566002,42566038,42565975,,93.56,75.03799629,92.76300049,113.5254993,124.400499,143.115506,170.8719914,198.84,49900,1,67.4,3.154383972
42565968,42565967,42566091,42565986,42565993,42565998,42565996,42565977,42566073,42566008,,95.26,77.21225357,96.97475052,115.0497494,125.5247509,145.179744,168.5402347,254.1,48700,1,60.15,-10.48589051
42565970,42565968,42566033,42565986,42565999,42565998,42566036,42566025,42565977,42566008,,96.08,78.40114594,95.61365128,114.6511497,125.4111492,146.0561501,164.6386414,237.37,48500,1,60.55,34.22157466
42565970,42565967,42566091,42565986,42565993,42565998,42565996,42565977,42566073,42566008,,97.74,80.769104,98.894104,116.5066013,126.506601,146.5691071,167.6390948,249.75,48300,1,66.3,17.66393185
