P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42957638,42957641,42957705,42957684,42957719,42957671,42957674,42957665,42957733,42957764,,97.09,77.22915268,95.14164734,113.8541508,125.5991512,147.5166534,174.3551443,109.5,49900,1,125,87.19365652,85.17592409,86.30729086,84.28955843,169.93656,84.68592187,82.66818943,83.79955621,81.78182377,6.29458888,23.2146129
42957638,42957641,42957654,42957725,42957666,42957673,42957669,42957791,42957816,42957695,,104.87,85.91665077,104.8416481,126.5791531,138.5066521,156.6491478,185.9426505,192.39,49600,1,147,89.42276009,85.11788893,87.33926926,83.0343981,173.5419949,84.84210993,80.53723877,82.7586191,78.45374794,16.15592519,45.73195577
42957638,42957641,42957654,42957655,42957744,42957671,42957674,42957821,42957733,42957735,,99.94,81.09165192,100.4666481,119.0041523,128.6991508,148.2941559,175.7021504,126.86,50000,1,119,87.78008594,85.1175787,86.47468134,83.81217411,171.6044413,85.01418261,82.35167537,83.70877802,81.04627078,7.745039927,11.55800894
42957638,42957646,42957694,42957656,42957803,42957673,42957741,42957653,42957695,42957693,,99.29,76.01610184,97.00360107,119.0911026,131.2361053,152.6860901,184.1321011,159.9,49200,1,135.65,88.25555243,85.11565114,86.96575783,83.82585654,170.135072,83.99502699,80.85512571,82.70523239,79.5653311,12.27877033,29.23873365
42957638,42957641,42957694,42957678,42957752,42957720,42957648,42957728,42957727,42957735,,99.29,82.67914963,100.0416489,118.0416489,127.3791454,148.9816505,175.6931503,126.5,48700,1,84,87.61397528,85.05063019,86.38812258,83.82477748,171.1603006,84.8273508,82.26400571,83.6014981,81.038153,8.221017385,41.5150106
42957646,42957641,42957778,42957655,42957666,42957671,42957674,42957695,42957653,42957824,,97.72,73.60775375,93.34524918,114.9577503,127.4777458,151.0827515,179.0752515,127.26,48800,1,83.35,87.56137944,85.04991885,86.52434576,84.01288517,169.7189283,84.17513236,81.66367177,83.13809869,80.6266381,7.22012279,35.88672578
42957644,42957641,42957654,42957725,42957666,42957720,42957669,42957785,42957695,42957653,,100.97,77.11750412,99.70500183,120.5800018,130.5374992,152.5274956,186.9964958,179.51,49900,1,88.75,88.70406431,85.01534873,87.13792654,83.44921097,170.8394326,83.90246864,80.21375307,82.33633088,78.64761531,15.61941217,35.37043035
42957647,42957637,42957694,42957678,42957679,42957682,42957648,42957738,42957722,42957782,,89.93,69,87.79999924,108.8624992,120.4450008,140.927494,169.2545,56.16,48500,1,43.5,85.3928791,85.01378194,85.5230141,85.14391694,165.8564195,83.73504761,83.35595044,83.86518261,83.48608545,5.427309878,32.61217177
42957643,42957641,42957654,42957656,42957803,42957679,42957741,42957695,42957653,42957722,,103.33,80.58335304,102.1083488,123.9208488,134.8083496,155.5383614,184.0833496,175.27,50000,1,104.55,88.92030472,84.99136004,87.04692519,83.11798052,172.728431,84.6269888,80.69804412,82.75360927,78.8246646,14.23352593,30.55118918
42957643,42957646,42957710,42957678,42957666,42957682,42957648,42957695,42957653,42957781,,95.41,72.29529953,92.79529953,113.3703022,125.7678005,151.5628029,179.0598033,120.31,49900,1,86.2,87.09014056,84.98887497,86.36515568,84.26389009,168.1974293,83.68628329,81.5850177,82.96129841,80.86003282,9.263130505,9.957291186
42957643,42957641,42957667,42957656,42957679,42957758,42957741,42957722,42957695,42957653,,102.65,80.24585342,101.9083519,122.2333508,131.8883522,153.003344,180.1118526,153.87,49800,1,77.55,88.48668661,84.95286313,86.73689609,83.20307261,172.7658251,84.88437826,81.35055479,83.13458774,79.60076427,10.52065243,41.81195498
42957638,42957641,42957768,42957656,42957803,42957673,42957741,42957728,42957653,42957688,,104.07,83.22915268,102.7416534,122.9916515,135.849147,157.0066536,182.5606413,177.49,49300,1,129,88.91106377,84.93305574,86.93828076,82.96027274,173.3793994,84.86817172,80.8901637,82.89538872,78.9173807,14.33258501,22.78012037
42957638,42957641,42957706,42957656,42957803,42957673,42957739,42957755,42957653,42957695,,106.16,85.51664925,105.5166512,124.8666458,135.9991539,154.7016502,182.9931534,185.14,49700,1,120,89.30369562,84.89319083,87.02902487,82.61852008,174.6723736,85.17086427,80.76035949,82.89619352,78.48568873,14.17535696,26.26982033
42957646,42957641,42957694,42957656,42957666,42957673,42957739,42957695,42957653,42957727,,102.43,80.04524994,100.5702477,119.4327507,132.127755,153.4027542,181.9307574,162.34,49900,1,119.35,88.48285473,84.81505415,86.72465332,83.05685274,172.3510935,84.51225862,80.84445804,82.75405721,79.08625663,12.54957105,33.46856236
42957643,42957638,42957659,42957678,42957752,42957696,42957648,42957695,42957782,42957727,,98.87,78.61669922,97.39170074,116.9041996,130.4392014,150.6917023,174.7187053,121.04,49900,1,80.85,87.26995792,84.75534261,86.06208638,83.54747108,170.9094721,84.55759814,82.04298283,83.3497266,80.8351113,8.329968751,21.20517343
42957638,42957641,42957778,42957656,42957666,42957720,42957741,42957785,42957653,42957695,,107.12,84.49965096,105.5246544,126.487154,138.7746452,160.1346489,187.6306491,210.97,49500,1,114,89.70635561,84.73635104,87.23059751,82.26059295,174.669436,84.69937428,79.72936972,82.22361619,77.25361162,16.69143189,46.14935815
42957647,42957641,42957706,42957660,42957769,42957671,42957745,42957681,42957649,42957661,,94.46,73.39614677,91.73365021,111.1711445,121.5886467,141.808651,177.3151547,116.87,49200,1,43.25,86.61258783,84.72297992,85.99120625,84.10159834,167.707087,83.42929041,81.5396825,82.80790883,80.91830092,8.881726254,8.391031623
42957638,42957641,42957659,42957707,42957752,42957671,42957674,42957733,42957688,42957735,,99.19,80.29165077,98.9666481,117.6041508,128.3491447,147.8991478,173.2936565,119.37,49700,1,91,87.19857888,84.71056884,85.95125465,83.46324462,171.2795505,84.72384568,82.23583564,83.47652145,80.98851141,7.458037797,33.70947838
42957641,42957637,42957710,42957678,42957713,42957682,42957648,42957695,42957749,42957782,,95.09,75.01664925,93.01665115,115.4916534,128.6991508,149.5416565,174.3496443,103,50000,1,73.95,86.49057612,84.67961281,85.80040289,83.98943958,168.4704481,83.8183791,82.00741579,83.12820587,81.31724256,6.135567473,55.22839427
42957647,42957637,42957694,42957678,42957679,42957682,42957648,42957738,42957722,42957781,,88.68,68.28750229,86.27500153,107.4250011,119.9300011,141.4174942,169.113006,55.27,48500,1,47.5,84.92151959,84.67036605,85.1699613,84.91880777,164.9461525,83.17429209,82.92313855,83.42273381,83.17158027,5.290892501,14.17843401
42957638,42957641,42957654,42957725,42957791,42957720,42957669,42957785,42957718,42957653,,104.36,83.6746521,104.9246521,125.3871555,137.2821564,155.4996552,183.936152,189.3,49200,1,120,88.88683912,84.66958559,86.8175208,82.60026728,173.3096325,84.51235181,80.29509829,82.4430335,78.22577997,16.71140446,45.51680386
42957643,42957646,42957768,42957660,42957791,42957676,42957669,42957657,42957649,42957681,,87.39,69.54530334,87.47029877,107.5578022,119.1978016,136.7052971,176.2032973,87.35,49600,1,79.2,85.17626051,84.6582729,85.53972478,85.02173717,163.2231531,82.16844059,81.65045298,82.53190486,82.01391725,8.015674883,-16.14863127
42957641,42957637,42957710,42957678,42957752,42957713,42957658,42957651,42957782,42957727,,89.12,69.94165039,87.96665192,108.4666481,119.7141506,140.9016472,172.0426564,71.75,49800,1,81.95,85.19122539,84.64070483,85.34741383,84.79689327,164.8591234,82.91490993,82.36438937,83.07109837,82.52057781,4.143668998,13.70079368
42957638,42957641,42957654,42957678,42957666,42957673,42957741,42957718,42957782,42957727,,104.36,84.57915306,104.3166542,125.46665,138.6916504,153.7516533,181.1541624,174.54,49900,1,146,88.66442993,84.63179103,86.61346412,82.58082522,173.6421567,84.77037646,80.73773756,82.71941066,78.68677175,13.14613473,49.30765331
42957643,42957641,42957778,42957656,42957666,42957673,42957739,42957695,42957653,42957721,,102.55,78.25835037,100.7083473,121.9708481,133.8333466,154.2208435,182.6663556,169.93,49800,1,99.55,88.41909768,84.60773624,86.60309331,82.79173187,172.2688136,84.24903082,80.43766938,82.43302645,78.62166501,12.81582984,5.447886139
42957638,42957641,42957710,42957678,42957670,42957686,42957648,42957755,42957727,42957782,,99.66,83.5916481,100.8166504,119.4916534,128.1641487,148.1916504,173.4241473,122.7,50000,1,82,87.2240598,84.60384939,85.89226008,83.27204967,171.5336081,84.69062749,82.07041708,83.35882776,80.73861735,8.067016681,53.3136487
42957638,42957641,42957659,42957678,42957803,42957682,42957648,42957688,42957782,42957781,,100.6,81.42914963,99.96665192,118.8541489,130.3491447,150.0741562,172.1261444,121.75,49700,1,96,87.27017631,84.54891509,85.8096574,83.08839617,172.2879595,84.94846829,82.22720707,83.48794938,80.76668816,8.198123708,57.89197087
42957643,42957641,42957767,42957655,42957666,42957758,42957689,42957695,42957722,42957653,,99.84,77.9958477,98.03334808,120.8333492,131.3233505,150.265847,177.8173495,136.34,49400,1,61.55,87.53207541,84.54853221,86.12702977,83.14348657,171.0872882,84.20162838,81.21808518,82.79658274,79.81303953,7.515525778,19.5313409
42957638,42957641,42957694,42957678,42957752,42957713,42957648,42957718,42957688,42957781,,97.61,79.07915115,97.01665115,118.9541473,127.6491478,146.7441536,174.4931534,120.34,49400,1,98,86.86750514,84.52701364,85.79926064,83.45876914,170.0414885,84.11900865,81.77851715,83.05076415,80.71027265,6.658654913,8.868669719
42957638,42957641,42957710,42957656,42957666,42957673,42957741,42957816,42957695,42957685,,103.53,82.92914963,102.9666519,125.0166512,136.5066391,157.2141502,184.3931473,186.34,50000,1,137,88.64534212,84.49020178,86.65780484,82.50266449,172.6530817,84.13007023,79.97492988,82.14253294,77.9873926,13.29225985,41.91953242
