Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5136546064,dannios,0,171.85,1B Matt Olson 2B Brandon Lowe 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Marcell Ozuna OF Eli White P Spencer Strider P Braxton Ashcraft SS Mauricio Dubon,,Braxton Ashcraft,P,31.65%,26.15
2,5136852963,kendle15,0,170.9,1B Spencer Horwitz 2B Brandon Lowe 3B Manny Machado C Joey Bart OF Oneil Cruz OF Fernando Tatis Jr. OF MJ Melendez P Michael Wacha P Braxton Ashcraft SS Konnor Griffin,,Julio Rodriguez,OF,27.44%,8
3,5136888069,mb725016 (65/150),0,170.3,1B Paul Goldschmidt 2B Nick Gonzales 3B Amed Rosario C Joey Bart OF Aaron Judge OF Oneil Cruz OF Bryan Reynolds P Braxton Ashcraft P Merrill Kelly SS Colson Montgomery,,Kyle Harrison,P,26.97%,12.2
4,5136678521,Hurliss (134/150),0,166.45,1B Spencer Horwitz 2B Brandon Lowe 3B Josh Jung C Carter Jensen OF Oneil Cruz OF Ezequiel Duran OF Joc Pederson P Cam Schlittler P Braxton Ashcraft SS Konnor Griffin,,Edward Cabrera,P,26.52%,8.45
5,5136643579,Tontini (7/7),0,159.45,1B Gavin Sheets 2B Brandon Lowe 3B Zach McKinstry C Joey Bart OF Oneil Cruz OF Ryan O'Hearn OF Nathan Church P Cam Schlittler P Braxton Ashcraft SS Konnor Griffin,,Cam Schlittler,P,25.51%,24.3
6,5136871520,NickC114,0,158.85,1B Paul Goldschmidt 2B Brandon Lowe 3B Colt Keith C Adrian Del Castillo OF Oneil Cruz OF Ryan O'Hearn OF MJ Melendez P Spencer Strider P Braxton Ashcraft SS Konnor Griffin,,Landen Roupp,P,21.39%,19.4
7,5136881360,mbwalden23,0,155.85,1B Bryce Eldridge 2B Brandon Lowe 3B Austin Riley C Sean Murphy OF Oneil Cruz OF Ryan O'Hearn OF Bryan Reynolds P Spencer Strider P Braxton Ashcraft SS Konnor Griffin,,Randy Arozarena,OF,20.75%,3
8,5136249523,jmoore3903 (135/150),0,153.8,1B Spencer Horwitz 2B Nick Gonzales 3B Nolan Arenado C Joey Bart OF Oneil Cruz OF Corbin Carroll OF Bryan Reynolds P Braxton Ashcraft P Randy Vasquez SS Bobby Witt Jr.,,Cal Raleigh,C,20.57%,0
9,5136116917,zroth2 (65/150),0,153.3,1B Spencer Horwitz 2B Brandon Lowe 3B Max Muncy C Joey Bart OF Shohei Ohtani OF Oneil Cruz OF Teoscar Hernandez P Braxton Ashcraft P Merrill Kelly SS Konnor Griffin,,Juan Soto,OF,20.38%,2
10,5136414886,sickums (12/14),0,152.85,1B Spencer Horwitz 2B Brandon Lowe 3B Brett Baty C Edgar Quero OF Oneil Cruz OF Ryan O'Hearn OF Bryan Reynolds P Jack Leiter P Braxton Ashcraft SS Colson Montgomery,,Bobby Witt Jr.,SS,19.09%,16
