CPT_ID,CPT_Name,CPT_Salary,CPT_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42961877,Scottie Barnes,16500,76.26,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961855,Sandro Mamukelashvili,3600,13.10,42961859,Jaylon Tyson,2000,12.86,217.27,48700,33.0,3.2972e+1
42961881,RJ Barrett,13800,61.52,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961848,Collin Murray-Boyles,7400,31.56,42961851,Jamal Shead,5800,23.02,42961859,Jaylon Tyson,2000,12.86,214.49,49200,33.6,3.3592e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961848,Collin Murray-Boyles,7400,31.56,42961852,Max Strus,5200,18.10,42961857,Dennis Schroder,2600,12.72,217.22,50000,32.0,3.1995e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961855,Sandro Mamukelashvili,3600,13.10,42961857,Dennis Schroder,2600,12.72,217.70,49500,31.4,3.1405e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961848,Collin Murray-Boyles,7400,31.56,42961853,Jakob Poeltl,4600,19.68,42961857,Dennis Schroder,2600,12.72,219.37,49600,33.8,3.3848e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961846,RJ Barrett,9200,41.01,42961850,Ja'Kobe Walter,6200,24.16,42961851,Jamal Shead,5800,23.02,42961857,Dennis Schroder,2600,12.72,215.47,49800,32.0,3.1995e+1
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961853,Jakob Poeltl,4600,19.68,42961858,Jamison Battle,2400,9.87,217.53,49900,32.6,3.2563e+1
42961877,Scottie Barnes,16500,76.26,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961850,Ja'Kobe Walter,6200,24.16,42961851,Jamal Shead,5800,23.02,42961857,Dennis Schroder,2600,12.72,215.81,49700,31.0,3.1013e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961850,Ja'Kobe Walter,6200,24.16,42961851,Jamal Shead,5800,23.02,42961857,Dennis Schroder,2600,12.72,215.31,49600,31.9,3.1875e+1
42961902,Thomas Bryant,1500,6.52,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,215.46,49300,38.1,3.8077e+1
42961893,Jamison Battle,3600,14.80,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961851,Jamal Shead,5800,23.02,212.83,50000,34.9,3.4917e+1
42961885,Ja'Kobe Walter,9300,36.24,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961867,Thomas Bryant,1000,4.34,213.55,49900,32.2,3.2213e+1
42961894,Jaylon Tyson,3000,19.29,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961849,Jarrett Allen,7000,24.19,217.02,49800,34.3,3.4337e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961855,Sandro Mamukelashvili,3600,13.10,42961867,Thomas Bryant,1000,4.34,216.06,50000,29.6,2.9640e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961860,AJ Lawson,1800,6.14,42961867,Thomas Bryant,1000,4.34,213.28,48700,28.2,2.8222e+1
42961880,Evan Mobley,14100,57.97,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961853,Jakob Poeltl,4600,19.68,42961865,Keon Ellis,1000,1.05,213.03,49900,30.6,3.0570e+1
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961856,Sam Merrill,3200,12.22,42961860,AJ Lawson,1800,6.14,213.42,49900,28.9,2.8920e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961856,Sam Merrill,3200,12.22,42961865,Keon Ellis,1000,1.05,212.23,49500,27.9,2.7905e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961854,Dean Wade,4000,13.39,42961860,AJ Lawson,1800,6.14,213.01,50000,28.3,2.8257e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961858,Jamison Battle,2400,9.87,42961860,AJ Lawson,1800,6.14,212.26,49800,28.7,2.8723e+1
42961892,Dennis Schroder,3900,19.08,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961850,Ja'Kobe Walter,6200,24.16,208.42,48900,33.6,3.3600e+1
42961880,Evan Mobley,14100,57.97,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961848,Collin Murray-Boyles,7400,31.56,42961850,Ja'Kobe Walter,6200,24.16,42961867,Thomas Bryant,1000,4.34,211.92,49900,30.2,3.0167e+1
42961883,Collin Murray-Boyles,11100,47.33,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961852,Max Strus,5200,18.10,42961856,Sam Merrill,3200,12.22,211.98,49700,30.1,3.0102e+1
42961877,Scottie Barnes,16500,76.26,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961849,Jarrett Allen,7000,24.19,42961850,Ja'Kobe Walter,6200,24.16,42961865,Keon Ellis,1000,1.05,209.15,49900,27.0,2.7010e+1
42961886,Jamal Shead,8700,34.53,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961848,Collin Murray-Boyles,7400,31.56,42961856,Sam Merrill,3200,12.22,210.84,49900,32.2,3.2180e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961854,Dean Wade,4000,13.39,42961865,Keon Ellis,1000,1.05,208.65,49600,27.6,2.7638e+1
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961846,RJ Barrett,9200,41.01,42961849,Jarrett Allen,7000,24.19,42961850,Ja'Kobe Walter,6200,24.16,42961867,Thomas Bryant,1000,4.34,209.11,49700,28.0,2.7965e+1
42961877,Scottie Barnes,16500,76.26,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961848,Collin Murray-Boyles,7400,31.56,42961852,Max Strus,5200,18.10,42961867,Thomas Bryant,1000,4.34,211.38,49500,27.9,2.7938e+1
42961889,Dean Wade,6000,20.09,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961848,Collin Murray-Boyles,7400,31.56,42961850,Ja'Kobe Walter,6200,24.16,207.77,50000,34.2,3.4197e+1
42961888,Jakob Poeltl,6900,29.52,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961850,Ja'Kobe Walter,6200,24.16,42961852,Max Strus,5200,18.10,208.15,49500,31.4,3.1363e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961849,Jarrett Allen,7000,24.19,42961851,Jamal Shead,5800,23.02,42961867,Thomas Bryant,1000,4.34,209.50,49900,26.5,2.6537e+1
42961877,Scottie Barnes,16500,76.26,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961851,Jamal Shead,5800,23.02,42961853,Jakob Poeltl,4600,19.68,42961856,Sam Merrill,3200,12.22,214.67,49300,30.1,3.0053e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961851,Jamal Shead,5800,23.02,42961853,Jakob Poeltl,4600,19.68,42961856,Sam Merrill,3200,12.22,212.53,49800,29.9,2.9932e+1
42961880,Evan Mobley,14100,57.97,42961842,Scottie Barnes,11000,50.84,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961851,Jamal Shead,5800,23.02,42961860,AJ Lawson,1800,6.14,210.54,49300,30.7,3.0667e+1
42961878,Donovan Mitchell,15300,64.57,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961850,Ja'Kobe Walter,6200,24.16,42961860,AJ Lawson,1800,6.14,209.92,49900,29.5,2.9457e+1
42961881,RJ Barrett,13800,61.52,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961853,Jakob Poeltl,4600,19.68,42961867,Thomas Bryant,1000,4.34,209.71,49000,29.2,2.9192e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961850,Ja'Kobe Walter,6200,24.16,42961854,Dean Wade,4000,13.39,42961858,Jamison Battle,2400,9.87,209.21,49300,27.0,2.6987e+1
42961886,Jamal Shead,8700,34.53,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961850,Ja'Kobe Walter,6200,24.16,42961854,Dean Wade,4000,13.39,206.98,49300,30.9,3.0897e+1
42961885,Ja'Kobe Walter,9300,36.24,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961852,Max Strus,5200,18.10,42961853,Jakob Poeltl,4600,19.68,208.92,49500,32.1,3.2050e+1
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961848,Collin Murray-Boyles,7400,31.56,42961854,Dean Wade,4000,13.39,42961867,Thomas Bryant,1000,4.34,207.18,48700,27.8,2.7778e+1
42961886,Jamal Shead,8700,34.53,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961849,Jarrett Allen,7000,24.19,42961855,Sandro Mamukelashvili,3600,13.10,206.15,49500,30.1,3.0093e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961849,Jarrett Allen,7000,24.19,42961854,Dean Wade,4000,13.39,42961857,Dennis Schroder,2600,12.72,207.91,49800,27.4,2.7387e+1
42961880,Evan Mobley,14100,57.97,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961855,Sandro Mamukelashvili,3600,13.10,42961858,Jamison Battle,2400,9.87,207.48,49500,28.5,2.8457e+1
42961888,Jakob Poeltl,6900,29.52,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961849,Jarrett Allen,7000,24.19,207.40,49900,31.7,3.1710e+1
42961879,James Harden,15000,63.72,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961851,Jamal Shead,5800,23.02,42961856,Sam Merrill,3200,12.22,210.17,50000,29.8,2.9783e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961850,Ja'Kobe Walter,6200,24.16,42961853,Jakob Poeltl,4600,19.68,42961855,Sandro Mamukelashvili,3600,13.10,210.14,49800,29.3,2.9287e+1
42961877,Scottie Barnes,16500,76.26,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961849,Jarrett Allen,7000,24.19,42961851,Jamal Shead,5800,23.02,42961854,Dean Wade,4000,13.39,209.43,49900,27.6,2.7622e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961850,Ja'Kobe Walter,6200,24.16,42961852,Max Strus,5200,18.10,42961860,AJ Lawson,1800,6.14,206.35,49300,26.2,2.6168e+1
42961880,Evan Mobley,14100,57.97,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961850,Ja'Kobe Walter,6200,24.16,42961851,Jamal Shead,5800,23.02,42961858,Jamison Battle,2400,9.87,208.34,49500,29.4,2.9450e+1
42961877,Scottie Barnes,16500,76.26,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961849,Jarrett Allen,7000,24.19,42961853,Jakob Poeltl,4600,19.68,42961860,AJ Lawson,1800,6.14,207.39,49300,26.6,2.6587e+1
