P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42976953,42976887,42976937,42977065,42977129,42976885,42976856,42977010,42976933,42976978,,95.16,75.24635315,93.09634781,111.758852,121.8538509,144.4113472,166.119344,168.7,48200,1,0,86.8696574,82.95552759,84.7492268,80.83509699,173.2164757,83.60899039,79.69486058,81.48855979,77.57442998,10.85955499,48.19746017
42976830,42976817,42976937,42976841,42976896,42976885,42976856,42977103,42976978,42976956,,88.73,68.76110077,87.38609695,103.8360977,114.9186016,135.3785995,160.9191023,125.15,48000,1,0,84.6805874,82.19866429,83.45546052,80.9735374,169.1006125,82.13532559,79.65340247,80.91019871,78.42827559,10.13299058,60.7404232
42976953,42976887,42976937,42976881,42977129,42976901,42976862,42976977,42977010,42976933,,95.5,74.61785507,92.90535355,110.4678516,122.8603523,146.1828583,172.8898407,194.92,48200,1,0,88.04933736,83.86620456,85.96623868,81.78310588,172.8782207,83.83233366,79.64920086,81.74923499,77.56610218,15.60791126,30.67165315
42976817,42977067,42977139,42976841,42976896,42976914,42976856,42988357,42976807,42977050,,88.47,67.10835266,85.73334885,106.2708473,119.1733479,136.515847,170.0183466,155.67,49500,1,0,86.13016388,83.43577549,85.06590628,82.37151789,168.1440968,82.30402913,79.60964073,81.23977152,78.54538313,12.94417492,6.286903471
42976817,42976953,42976937,42976912,42976956,42976885,42976856,42977010,42976962,42976978,,92.58,73.69999695,92.19999695,109.9124985,121.8499985,143.2574997,167.0055,161.52,48200,1,0,86.44749236,83.00421089,84.71736641,81.27408494,171.2952386,83.03815176,79.59487028,81.3080258,77.86474433,11.70362576,32.03564882
42976887,42976849,42976937,42976841,42976896,42977039,42977170,42976809,42976889,42976908,,92.28,71.84635162,90.54634857,110.7088509,120.3538509,138.9638504,169.673347,171.96,49600,1,0,86.79793175,83.32279937,85.14148092,81.66634854,170.8420558,82.99833792,79.52320554,81.34188709,77.86675472,15.22199682,13.2189557
42976817,42976887,42976937,42976841,42976896,42976914,42976869,42976977,42977010,42977050,,93.66,73.09635162,90.89634705,111.3713512,123.3188488,142.646347,171.0198531,182.55,49900,1,0,87.2972773,83.50380247,85.44962758,81.65615275,171.7015701,83.30745171,79.51397689,81.45980199,77.66632717,15.49419188,43.71382594
42976830,42976887,42977139,42976841,42976896,42977039,42977170,42976889,42976809,42976908,,92.43,71.69495201,89.8824501,111.5699501,122.3074493,142.7174576,167.6629555,166.75,49900,1,0,86.48627624,83.0343802,84.77776109,81.32586506,171.1137225,82.96464871,79.51275268,81.25613357,77.80423754,14.79090115,35.46511531
42977093,42976953,42976937,42976881,42976956,42976885,42976856,42977103,42976962,42976978,,89.68,70.87500191,88.70000076,106.5125008,116.5174965,136.6025055,160.0905031,126.89,48400,1,0,84.6261393,81.92197636,83.21884217,80.51467923,169.7872208,82.14283902,79.43867609,80.73554189,78.03137896,9.134735471,58.30068588
42976830,42976887,42976969,42976841,42976896,42977039,42976963,42976943,42976889,42976908,,91.21,72.35745239,90.30744934,111.2324505,121.3224491,142.2099411,168.4934584,165.79,49200,1,0,86.30201218,83.03450645,84.77041551,81.50290979,170.1440011,82.62588164,79.35837591,81.09428498,77.82677925,14.56159339,36.38593853
