P,P,C,1B,2B,3B,SS,OF,OF,OF
42646426,42646295,42646453,42646454,42646504,42646390,42646281,42646489,42646422,42646285
42646408,42646378,42646453,42646454,42646270,42646364,42646302,42646277,42646518,42646388
42646275,42646294,42646375,42646352,42646270,42646273,42646519,42646430,42646489,42646285
42646408,42646313,42646361,42646454,42646504,42646390,42646286,42646418,42646396,42646526
42646293,42646294,42646341,42646525,42646270,42646364,42646286,42646332,42646388,42646259
42646322,42646408,42646341,42646260,42646508,42646269,42646281,42646259,42646454,42646421
42646514,42646426,42646505,42646454,42646337,42646269,42646286,42646259,42646388,42646348
42646275,42646295,42646375,42646454,42646312,42646486,42646302,42646287,42646470,42646421
42646321,42646437,42646361,42646260,42646504,42646269,42646302,42646365,42646285,42646348
42646451,42646296,42646453,42646454,42646386,42646364,42646519,42646388,42646526,42646348
42646322,42646445,42646367,42646260,42646337,42646273,42646286,42646332,42646489,42646388
42646321,42646294,42646453,42646454,42646270,42646364,42646519,42646476,42646287,42646526
42646445,42646366,42646320,42646334,42646504,42646273,42646302,42646476,42646518,42646287
42646408,42646314,42646375,42646260,42646337,42646415,42646339,42646422,42646365,42646430
42646321,42646314,42646361,42646525,42646312,42646486,42646519,42646373,42646287,42646518
42646275,42646294,42646367,42646454,42646270,42646273,42646281,42646332,42646489,42646422
42646343,42646314,42646505,42646349,42646504,42646273,42646281,42646440,42646421,42646285
42646426,42646275,42646453,42646260,42646508,42646364,42646386,42646526,42646388,42646348
42646514,42646408,42646453,42646260,42646270,42646486,42646286,42646526,42646396,42646348
42646426,42646295,42646453,42646352,42646504,42646269,42646281,42646489,42646422,42646348
42646514,42646295,42646375,42646525,42646312,42646364,42646302,42646430,42646470,42646388
42646296,42646445,42646361,42646334,42646270,42646390,42646286,42646418,42646388,42646454
42646417,42646426,42646375,42646454,42646337,42646273,42646286,42646526,42646259,42646388
42646296,42646294,42646320,42646349,42646377,42646390,42646339,42646476,42646365,42646422
42646408,42646268,42646453,42646349,42646504,42646364,42646339,42646422,42646421,42646388
42646426,42646295,42646361,42646349,42646270,42646486,42646286,42646422,42646526,42646285
42646343,42646294,42646453,42646349,42646504,42646364,42646302,42646359,42646526,42646454
42646514,42646294,42646375,42646454,42646312,42646486,42646519,42646489,42646470,42646259
42646514,42646294,42646361,42646352,42646270,42646339,42646281,42646359,42646287,42646388
42646313,42646303,42646375,42646525,42646504,42646273,42646339,42646332,42646359,42646422
42646408,42646279,42646375,42646352,42646504,42646486,42646281,42646359,42646274,42646388
42646275,42646514,42646320,42646260,42646377,42646269,42646302,42646285,42646348,42646388
42646451,42646366,42646375,42646525,42646270,42646486,42646286,42646259,42646526,42646396
42646451,42646313,42646367,42646454,42646337,42646364,42646302,42646518,42646526,42646388
42646284,42646426,42646367,42646525,42646270,42646269,42646519,42646470,42646421,42646285
42646475,42646294,42646453,42646454,42646270,42646412,42646286,42646476,42646518,42646388
42646445,42646408,42646453,42646454,42646504,42646412,42646386,42646285,42646388,42646526
42646451,42646296,42646453,42646454,42646270,42646364,42646519,42646489,42646388,42646348
42646426,42646366,42646367,42646334,42646270,42646390,42646386,42646332,42646489,42646285
42646294,42646279,42646367,42646525,42646508,42646364,42646286,42646365,42646359,42646285
42646322,42646451,42646375,42646334,42646508,42646273,42646281,42646430,42646259,42646421
42646451,42646294,42646453,42646334,42646270,42646364,42646281,42646274,42646526,42646396
42646445,42646322,42646367,42646260,42646337,42646273,42646281,42646332,42646359,42646388
42646321,42646408,42646453,42646454,42646377,42646415,42646302,42646422,42646287,42646526
42646451,42646313,42646320,42646454,42646270,42646415,42646281,42646277,42646470,42646476
42646426,42646268,42646361,42646260,42646504,42646390,42646281,42646418,42646365,42646470
42646294,42646279,42646453,42646334,42646337,42646273,42646519,42646287,42646365,42646418
42646514,42646437,42646361,42646260,42646508,42646273,42646302,42646332,42646422,42646421
42646408,42646426,42646341,42646454,42646270,42646364,42646519,42646373,42646259,42646526
42646275,42646408,42646375,42646454,42646508,42646269,42646286,42646418,42646518,42646526
42646275,42646451,42646341,42646260,42646270,42646486,42646519,42646470,42646259,42646285
42646408,42646284,42646505,42646525,42646504,42646364,42646286,42646476,42646277,42646388
42646428,42646451,42646367,42646352,42646337,42646269,42646286,42646489,42646332,42646421
42646322,42646314,42646367,42646352,42646337,42646273,42646281,42646422,42646359,42646388
42646382,42646314,42646367,42646260,42646504,42646412,42646302,42646373,42646287,42646348
42646314,42646313,42646341,42646454,42646504,42646364,42646339,42646274,42646365,42646418
42646279,42646294,42646453,42646352,42646504,42646364,42646302,42646422,42646489,42646359
42646408,42646322,42646361,42646349,42646270,42646364,42646286,42646422,42646259,42646388
42646296,42646426,42646367,42646454,42646504,42646273,42646281,42646274,42646332,42646388
42646275,42646314,42646375,42646525,42646312,42646412,42646519,42646518,42646476,42646470
42646426,42646428,42646453,42646260,42646270,42646390,42646286,42646422,42646259,42646396
42646279,42646294,42646367,42646334,42646504,42646273,42646281,42646518,42646422,42646388
42646445,42646436,42646505,42646349,42646270,42646390,42646302,42646359,42646287,42646526
42646426,42646378,42646375,42646525,42646312,42646273,42646281,42646430,42646489,42646422
42646408,42646437,42646453,42646260,42646504,42646364,42646386,42646518,42646348,42646526
42646408,42646378,42646453,42646260,42646270,42646364,42646302,42646470,42646388,42646396
42646514,42646426,42646341,42646454,42646270,42646364,42646281,42646489,42646348,42646259
42646279,42646295,42646375,42646525,42646270,42646364,42646302,42646412,42646359,42646348
42646294,42646268,42646367,42646525,42646337,42646273,42646286,42646332,42646526,42646454
42646275,42646426,42646375,42646352,42646270,42646364,42646286,42646274,42646348,42646388
42646514,42646445,42646341,42646454,42646504,42646390,42646281,42646422,42646489,42646388
42646426,42646295,42646453,42646349,42646504,42646364,42646281,42646470,42646422,42646359
42646451,42646330,42646453,42646454,42646270,42646364,42646302,42646518,42646476,42646526
42646514,42646437,42646361,42646260,42646386,42646273,42646281,42646422,42646332,42646348
42646322,42646294,42646361,42646454,42646312,42646364,42646286,42646470,42646526,42646388
42646514,42646445,42646453,42646454,42646508,42646364,42646286,42646332,42646489,42646388
42646408,42646514,42646375,42646352,42646508,42646364,42646281,42646422,42646365,42646359
42646480,42646294,42646453,42646349,42646337,42646364,42646286,42646422,42646518,42646274
42646445,42646294,42646453,42646334,42646270,42646364,42646281,42646489,42646526,42646396
42646322,42646294,42646375,42646352,42646337,42646486,42646281,42646418,42646332,42646489
42646275,42646294,42646453,42646454,42646377,42646364,42646281,42646287,42646388,42646526
42646322,42646451,42646375,42646454,42646270,42646273,42646286,42646476,42646396,42646388
42646382,42646330,42646320,42646260,42646377,42646415,42646386,42646476,42646348,42646285
42646278,42646445,42646453,42646260,42646270,42646364,42646286,42646259,42646421,42646348
42646424,42646408,42646341,42646454,42646270,42646390,42646286,42646285,42646259,42646348
42646426,42646487,42646341,42646525,42646270,42646364,42646519,42646332,42646422,42646388
42646451,42646296,42646453,42646454,42646270,42646364,42646386,42646489,42646388,42646348
42646514,42646279,42646341,42646260,42646337,42646486,42646281,42646470,42646285,42646348
42646514,42646313,42646375,42646334,42646377,42646412,42646302,42646518,42646287,42646388
42646294,42646295,42646453,42646525,42646270,42646486,42646302,42646470,42646430,42646396
42646426,42646322,42646361,42646260,42646504,42646269,42646281,42646418,42646526,42646388
42646295,42646294,42646375,42646525,42646337,42646364,42646519,42646274,42646373,42646388
42646294,42646295,42646320,42646454,42646270,42646412,42646286,42646287,42646476,42646422
42646408,42646284,42646375,42646334,42646270,42646486,42646386,42646373,42646470,42646285
42646426,42646294,42646453,42646454,42646337,42646364,42646339,42646359,42646388,42646259
42646408,42646343,42646375,42646525,42646270,42646339,42646286,42646418,42646388,42646526
42646275,42646451,42646375,42646260,42646270,42646486,42646519,42646470,42646259,42646454
42646514,42646294,42646375,42646334,42646504,42646364,42646339,42646359,42646470,42646421
42646294,42646295,42646361,42646349,42646270,42646390,42646339,42646359,42646430,42646388
42646408,42646279,42646367,42646352,42646504,42646486,42646519,42646470,42646348,42646388
42646296,42646294,42646367,42646352,42646377,42646273,42646281,42646277,42646489,42646476
42646426,42646480,42646505,42646525,42646270,42646269,42646386,42646365,42646421,42646348
42646451,42646294,42646453,42646454,42646270,42646273,42646519,42646430,42646259,42646526
42646322,42646294,42646367,42646260,42646337,42646364,42646519,42646470,42646359,42646489
42646293,42646408,42646453,42646454,42646377,42646415,42646302,42646476,42646359,42646422
42646408,42646296,42646505,42646260,42646270,42646269,42646519,42646285,42646259,42646421
42646426,42646295,42646341,42646334,42646312,42646273,42646286,42646418,42646388,42646454
42646445,42646318,42646361,42646454,42646270,42646364,42646302,42646277,42646518,42646388
42646284,42646294,42646375,42646349,42646504,42646486,42646519,42646365,42646277,42646422
42646445,42646294,42646367,42646352,42646504,42646390,42646286,42646359,42646388,42646526
42646514,42646451,42646453,42646525,42646337,42646273,42646281,42646277,42646348,42646259
42646408,42646294,42646453,42646454,42646508,42646364,42646386,42646476,42646396,42646526
42646451,42646284,42646320,42646454,42646312,42646412,42646302,42646470,42646388,42646285
42646408,42646318,42646361,42646454,42646312,42646486,42646519,42646430,42646287,42646373
42646408,42646514,42646320,42646260,42646508,42646269,42646286,42646365,42646388,42646526
42646296,42646451,42646505,42646260,42646377,42646486,42646386,42646287,42646412,42646421
42646408,42646322,42646341,42646525,42646508,42646269,42646519,42646287,42646518,42646277
42646321,42646314,42646453,42646352,42646504,42646273,42646281,42646518,42646359,42646422
42646296,42646314,42646367,42646334,42646337,42646273,42646386,42646274,42646348,42646421
42646284,42646314,42646367,42646334,42646312,42646364,42646281,42646470,42646418,42646489
42646278,42646314,42646375,42646352,42646337,42646486,42646302,42646430,42646470,42646440
42646523,42646426,42646361,42646349,42646504,42646390,42646286,42646422,42646388,42646454
42646294,42646279,42646367,42646454,42646337,42646273,42646281,42646489,42646359,42646422
42646343,42646294,42646453,42646454,42646377,42646364,42646302,42646518,42646388,42646259
42646426,42646278,42646453,42646260,42646508,42646364,42646386,42646526,42646388,42646348
42646296,42646314,42646361,42646525,42646337,42646390,42646339,42646365,42646422,42646259
42646514,42646426,42646375,42646454,42646337,42646486,42646281,42646489,42646470,42646259
42646426,42646279,42646453,42646525,42646270,42646364,42646286,42646359,42646422,42646526
42646426,42646322,42646375,42646454,42646270,42646364,42646286,42646274,42646348,42646396
42646426,42646295,42646453,42646352,42646337,42646390,42646281,42646489,42646422,42646348
42646313,42646294,42646453,42646525,42646312,42646486,42646286,42646430,42646259,42646526
42646408,42646322,42646453,42646349,42646312,42646364,42646339,42646422,42646359,42646388
42646428,42646295,42646375,42646525,42646270,42646364,42646519,42646373,42646470,42646489
42646343,42646294,42646453,42646349,42646270,42646364,42646286,42646332,42646359,42646526
42646294,42646279,42646453,42646454,42646504,42646390,42646286,42646418,42646359,42646489
42646275,42646514,42646375,42646260,42646312,42646486,42646302,42646518,42646526,42646348
42646445,42646295,42646453,42646454,42646504,42646364,42646286,42646332,42646489,42646388
42646426,42646313,42646361,42646352,42646504,42646273,42646281,42646274,42646332,42646526
42646417,42646451,42646375,42646525,42646270,42646364,42646302,42646396,42646388,42646526
42646296,42646294,42646367,42646454,42646504,42646273,42646281,42646274,42646332,42646388
42646445,42646322,42646375,42646260,42646270,42646364,42646286,42646476,42646396,42646388
42646408,42646279,42646320,42646260,42646270,42646364,42646302,42646412,42646388,42646526
42646514,42646279,42646361,42646260,42646508,42646412,42646302,42646388,42646421,42646348
42646408,42646428,42646361,42646260,42646270,42646390,42646286,42646259,42646526,42646396
42646296,42646408,42646341,42646454,42646270,42646364,42646286,42646285,42646259,42646348
42646514,42646451,42646453,42646334,42646270,42646269,42646286,42646470,42646396,42646348
42646514,42646437,42646375,42646525,42646312,42646273,42646281,42646489,42646430,42646421
42646275,42646426,42646367,42646260,42646504,42646273,42646281,42646470,42646348,42646259
42646284,42646445,42646453,42646454,42646270,42646364,42646302,42646287,42646285,42646526
42646275,42646437,42646341,42646525,42646504,42646390,42646302,42646489,42646359,42646348
42646294,42646279,42646361,42646525,42646504,42646273,42646519,42646422,42646526,42646259
42646408,42646330,42646505,42646349,42646270,42646364,42646286,42646359,42646396,42646421
42646278,42646445,42646453,42646454,42646508,42646273,42646286,42646287,42646365,42646388
42646279,42646294,42646375,42646352,42646504,42646364,42646281,42646489,42646470,42646274
42646275,42646295,42646375,42646525,42646504,42646486,42646281,42646422,42646470,42646287
42646408,42646343,42646375,42646454,42646270,42646364,42646286,42646373,42646422,42646396
42646296,42646275,42646341,42646260,42646508,42646415,42646386,42646470,42646287,42646348
42646445,42646279,42646453,42646352,42646504,42646273,42646281,42646489,42646348,42646285
42646321,42646408,42646361,42646454,42646504,42646364,42646519,42646259,42646388,42646421
42646445,42646318,42646361,42646454,42646270,42646364,42646302,42646518,42646422,42646388
42646451,42646295,42646453,42646454,42646337,42646273,42646281,42646470,42646332,42646489
42646445,42646295,42646367,42646260,42646270,42646269,42646386,42646489,42646388,42646348
42646480,42646294,42646453,42646525,42646270,42646364,42646281,42646422,42646518,42646274
42646451,42646294,42646367,42646352,42646337,42646273,42646286,42646396,42646388,42646259
42646279,42646294,42646453,42646349,42646504,42646269,42646281,42646365,42646422,42646454
42646322,42646294,42646453,42646349,42646312,42646486,42646519,42646422,42646418,42646388
42646294,42646437,42646367,42646454,42646504,42646415,42646302,42646287,42646489,42646421
42646426,42646294,42646453,42646334,42646270,42646390,42646281,42646259,42646396,42646388
42646278,42646426,42646367,42646334,42646337,42646273,42646286,42646332,42646348,42646388
42646275,42646294,42646453,42646454,42646377,42646486,42646519,42646470,42646287,42646526
42646428,42646294,42646453,42646352,42646504,42646364,42646286,42646287,42646430,42646422
42646408,42646437,42646453,42646525,42646504,42646364,42646386,42646518,42646348,42646526
42646408,42646322,42646453,42646260,42646504,42646415,42646519,42646422,42646418,42646388
42646426,42646378,42646361,42646260,42646337,42646273,42646339,42646422,42646489,42646418
42646514,42646294,42646361,42646454,42646504,42646339,42646281,42646359,42646287,42646388
42646408,42646366,42646361,42646454,42646504,42646390,42646339,42646476,42646518,42646422
42646445,42646294,42646367,42646352,42646270,42646364,42646281,42646422,42646388,42646259
42646475,42646294,42646453,42646260,42646312,42646364,42646286,42646373,42646388,42646454
42646428,42646314,42646320,42646352,42646377,42646415,42646519,42646332,42646287,42646476
42646343,42646445,42646453,42646349,42646337,42646364,42646286,42646274,42646359,42646348
42646295,42646437,42646375,42646334,42646270,42646273,42646302,42646332,42646287,42646421
42646426,42646451,42646453,42646334,42646270,42646364,42646281,42646489,42646454,42646259
42646451,42646514,42646505,42646260,42646508,42646364,42646286,42646526,42646348,42646454
42646294,42646295,42646453,42646525,42646270,42646486,42646302,42646470,42646359,42646396
