Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
21,5130278895,ABFCS,0,115,1B Josh Naylor 2B Oswald Peraza 3B Leo Rivas C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Isaac Collins,OF,20.34%,3
21,5130297894,bootcampfan,0,115,1B Josh Naylor 2B Oswald Peraza 3B Bo Bichette C Mitch Garver OF Mike Trout OF Jorge Soler OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Carter Jensen,C,19.52%,0
26,5130299655,cgw3 (3/8),0,114.25,1B Mark Vientos 2B Oswald Peraza 3B Maikel Garcia C Francisco Alvarez OF Jorge Soler OF Jo Adell OF Isaac Collins P Seth Lugo P Emerson Hancock SS Bobby Witt Jr.,,Luke Raley,OF,18.05%,3
26,5130300642,marty777 (2/4),0,114.25,1B Vaughn Grissom 2B Oswald Peraza 3B Ronny Mauricio C Salvador Perez OF Jorge Soler OF Juan Soto OF Jo Adell P Seth Lugo P Emerson Hancock SS Zach Neto,,Jo Adell,OF,14.41%,13
28,5129527886,marniblitz (35/47),0,114,1B Vaughn Grissom 2B Oswald Peraza 3B Leo Rivas C Travis d'Arnaud OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Tyrone Taylor,OF,14.29%,5
28,5129636656,Thuong8186 (2/2),0,114,1B Vaughn Grissom 2B Oswald Peraza 3B Bo Bichette C Salvador Perez OF Mike Trout OF Juan Soto OF Jac Caglianone P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Kyle Isbel,OF,13.58%,7
28,5129737214,Buster-1,0,114,1B Nolan Schanuel 2B Marcus Semien 3B Oswald Peraza C Cal Raleigh OF Mike Trout OF Julio Rodriguez OF Jac Caglianone P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Vaughn Grissom,2B,11.80%,7
28,5129756738,cantfademe (20/47),0,114,1B Josh Naylor 2B Oswald Peraza 3B Bo Bichette C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Nolan Schanuel,1B,11.73%,5
28,5129996364,12PackAbs (5/9),0,114,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Mitch Garver OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Michael Massey,2B,11.54%,7
28,5130281300,Kathy843,0,114,1B Josh Naylor 2B Oswald Peraza 3B Bo Bichette C Carter Jensen OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Josh Lowe,OF,11.42%,0
