P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score,MLB $7.5K Solo Shot ROI,MLB $7.5K Solo Shot Sim Dupes,MLB $7.5K Solo Shot Win Rate,MLB $7.5K Solo Shot Cash Rate,MLB $7.5K Solo Shot ROI StDev,MLB $200K Knuckleball [$50K to 1st] ROI,MLB $200K Knuckleball [$50K to 1st] Sim Dupes,MLB $200K Knuckleball [$50K to 1st] Win Rate,MLB $200K Knuckleball [$50K to 1st] Cash Rate,MLB $200K Knuckleball [$50K to 1st] ROI StDev,MLB $5K Hot Corner [5 Entry Max] ROI,MLB $5K Hot Corner [5 Entry Max] Sim Dupes,MLB $5K Hot Corner [5 Entry Max] Win Rate,MLB $5K Hot Corner [5 Entry Max] Cash Rate,MLB $5K Hot Corner [5 Entry Max] ROI StDev,MLB $1 Winner Take All [$100 to 1st] ROI,MLB $1 Winner Take All [$100 to 1st] Sim Dupes,MLB $1 Winner Take All [$100 to 1st] Win Rate,MLB $1 Winner Take All [$100 to 1st] Cash Rate,MLB $1 Winner Take All [$100 to 1st] ROI StDev,MLB $1 Winner Take All [$100 to 1st] ROI,MLB $1 Winner Take All [$100 to 1st] Sim Dupes,MLB $1 Winner Take All [$100 to 1st] Win Rate,MLB $1 Winner Take All [$100 to 1st] Cash Rate,MLB $1 Winner Take All [$100 to 1st] ROI StDev,MLB $20K Moonshot ROI,MLB $20K Moonshot Sim Dupes,MLB $20K Moonshot Win Rate,MLB $20K Moonshot Cash Rate,MLB $20K Moonshot ROI StDev
42538345,42538343,42538516,42538358,42538437,42538469,42538397,42538568,42538507,42538357,,106.6,89.26364708,105.5261497,124.9386463,136.0961479,152.5611481,177.2631444,165.44,49900,1,92.65,85.80491766,82.54369173,84.09492415,80.83369822,171.2674663,82.86121391,79.59998798,81.1512204,77.88999447,6.843379469,97.55636454,1.840214252,0,0.001571429,0.379428571,31.33698422,2.569442868,0,0.000571429,0.355857143,98.29056685,0.909380972,0,0.003142857,0.374714286,10.21251456,1.228571415,0,0.022285714,0.022285714,14.76111826,1.257142901,0,0.022571429,0.022571429,14.85326873,1.558523834,0,0.001285714,0.377142857,26.57367787
42538344,42538351,42538366,42538416,42538437,42538426,42538364,42538507,42538383,42538442,,89.81,71.40439796,90.20439911,109.5544014,119.5868984,141.2018974,160.4909006,66.42,49700,1,109.1,78.34051866,77.46883415,78.12511266,77.25342815,161.3437611,76.58708915,75.71540464,76.37168315,75.49999864,3.517892492,50.64139366,0.967214257,0,0.001,0.226285714,25.50004473,5.261242986,0,0.001285714,0.209428571,150.2617459,0.343095236,0,0.001857143,0.221857143,8.244180527,0.857142866,0,0.018571429,0.018571429,13.50056688,1.057142854,0,0.020571429,0.020571429,14.19445134,0.810809523,0,0.000857143,0.223571429,21.89759497
42538345,42538343,42538556,42538358,42538437,42538469,42538397,42538568,42538507,42538357,,107.05,88.68864822,105.576149,123.7386475,135.3661362,152.9536423,176.4716415,171.51,49400,1,118.65,85.5372831,82.10611082,83.70229488,80.27112259,171.4915073,82.58371915,79.15254686,80.74873092,77.31755864,7.191684102,55.24997115,1.444857121,0,0.001142857,0.377,27.56321234,3.067942854,0,0.000714286,0.346714286,82.28309883,0.791333348,0,0.002714286,0.368,9.526631187,1.200000048,0,0.022,0.022,14.66833324,1.142857194,0,0.021428571,0.021428571,14.48081067,1.497809529,0,0.001571429,0.367428571,27.84343307
42538345,42538343,42538389,42538358,42538437,42538469,42538372,42538568,42538507,42538466,,109.49,91.16365433,107.8511467,125.9011459,137.5736465,158.9636414,183.3136626,184.74,49200,1,86.65,87.79976632,84.1561033,85.92848517,82.28482215,172.8413878,84.35390185,80.71023884,82.48262071,78.83895769,8.315869503,62.06156611,1.881357133,0,0.001857143,0.408285714,33.6943965,3.182314277,0,0.000714286,0.381142857,113.1826483,0.829952359,0,0.002857143,0.401428571,9.700630525,0.714285731,0,0.017142857,0.017142857,12.98036193,1,0,0.02,0.02,14,1.497476161,0,0.001571429,0.403285714,27.27968818
42538344,42538351,42538556,42538358,42538437,42538426,42538397,42538363,42538383,42538507,,97.01,79.749403,96.22440338,115.7743988,129.3993988,148.4544022,174.6053958,114.81,49800,1,162.1,83.7467799,82.23942463,83.26337796,81.75602268,165.6315213,81.15832185,79.65096658,80.67491991,79.16756463,5.541433048,84.35057998,1.042928606,0,0.000857143,0.279,23.84600817,3.677114308,0,0.000857143,0.264428571,116.6073827,0.611380935,0,0.003,0.276142857,9.986685951,1.314285755,0,0.023142857,0.023142857,15.03571259,1.45714283,0,0.024571429,0.024571429,15.48149653,0.96299997,0,0.001,0.274,23.13762604
42538345,42538351,42538411,42538546,42538365,42538505,42538381,42538357,42538466,42538419,,106.73,85.38799667,104.725502,125.0629978,139.8230057,159.2805031,186.6804944,172.08,49000,1,142.25,87.60953755,84.24572833,86.0853046,82.72149539,170.7814736,83.61504169,80.25123248,82.09080874,78.72699953,12.49726667,74.9745965,1.34857142,0,0.001285714,0.37,27.92141215,3.642028451,0,0.000857143,0.342,124.5038527,0.686666667,0,0.001571429,0.364857143,8.089190409,0.942857146,0,0.019428571,0.019428571,13.80257296,1.114285707,0,0.021142857,0.021142857,14.38604766,1.253761888,0,0.001142857,0.364428571,24.50319604
42538350,42538351,42538496,42538416,42538437,42538426,42538397,42538358,42538363,42538383,,91.77,74.02515221,92.30014801,112.6251526,124.5901493,144.2176407,163.4866435,83.64,49800,1,113.95,79.50649857,78.39618182,79.16352541,78.05320867,162.4890331,77.54744094,76.4371242,77.20446779,76.09415105,4.51294794,54.56138253,1.430142879,0,0.001428571,0.247142857,30.31962462,3.694128394,0,0.000857143,0.236714286,123.0014017,0.493571416,0,0.002857143,0.243714286,9.747529122,0.942857146,0,0.019428571,0.019428571,13.80257296,1.08571434,0,0.020857143,0.020857143,14.29059916,1.312999994,0,0.001428571,0.241,27.19307038
42538345,42538343,42538389,42538373,42538461,42538505,42538364,42538441,42538466,42538444,,112.31,93.36164665,111.8491516,131.9366493,142.6766464,161.3841461,188.8821455,177.53,49900,1,104.65,90.32086685,86.62590158,88.44449385,84.74952858,174.7163517,86.74146302,83.04649774,84.86509002,81.17012475,13.53160491,87.53493428,1.622642815,0,0.001142857,0.445142857,27.39634295,2.530357122,0,0.000571429,0.414285714,98.24912409,0.994952351,0,0.002714286,0.437428571,9.654667515,1.228571415,0,0.022285714,0.022285714,14.76111826,1.114285707,0,0.021142857,0.021142857,14.38604766,1.404428601,0,0.000857143,0.44,22.5470055
42538345,42538343,42538389,42538546,42538461,42538381,42538372,42538383,42538466,42538444,,112.39,92.0991478,110.1741486,130.536644,140.9041451,163.5741577,190.8681577,191.72,49600,1,88.65,90.56414402,86.76513959,88.6834502,84.88444578,174.5727274,86.68990601,82.89090159,84.8092122,81.01020777,12.72344847,73.51170182,1.588142872,0,0.001142857,0.444428571,27.50787303,3.128528595,0,0.000714286,0.410857143,113.0998991,0.918285698,0,0.002142857,0.435,8.754919714,1.057142854,0,0.020571429,0.020571429,14.19445134,1.028571486,0,0.020285714,0.020285714,14.09758989,1.142523855,0,0.000714286,0.439285714,20.24085924
42538344,42538351,42538366,42538442,42538387,42538511,42538385,42538380,42538375,42538480,,89.53,72.24090195,89.40339661,109.8909016,121.8534012,142.9683998,163.3054057,57.26,49900,1,104.1,79.64161147,79.20356538,79.72777404,79.28972795,161.4125576,77.98282291,77.54477682,78.06898548,77.63093939,3.223272526,41.14914238,1.152642846,0,0.001142857,0.226428571,27.82714077,4.106585741,0,0.001,0.211285714,134.1657448,0.484285697,0,0.003285714,0.22,10.34601473,1,0,0.02,0.02,14,1,0,0.02,0.02,14,0.994380921,0,0.001,0.221571429,23.84420465
