PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971806,42971744,42971779,42971750,42971723,42971747,42971767,42971787,,244.81,227,243.75,260.0625,268,282.0375,301.5175,269.24,49200,1,0,100.3828634,94.05541745,97.20807823,90.90275668,169.0527145,97.16954237,94.0168816,94.0168816,81.44446631,30.33780581,-19.77167577
42971735,42971787,42971784,42971728,42971820,42971747,42971776,42971744,,246.9,232.5,245.75,261.25,267.25,282.75,294.255,265.44,49000,1,0,100.9671423,94.3018128,97.64824868,90.95537693,169.3085134,97.36272046,94.01628458,94.01628458,81.16967555,34.69892015,-0.550462538
42971747,42971763,42971767,42971728,42971820,42971828,42971738,42971744,,244.03,228.75,244.25,260,269.5,283.25,297.5075,253.5,49600,1,0,100.2750976,94.21562896,97.22819342,91.20306449,169.0928056,97.0262253,94.01366084,94.01366084,81.61135456,29.61730939,-22.41367251
42971796,42971767,42971757,42971800,42971723,42971747,42971772,42971761,,245.05,227,245.25,260.0625,269.5,286.5,302.5025,288.62,49200,1,0,100.485227,94.16841919,97.36332792,90.97351045,169.042096,97.20770045,94.01279171,94.01279171,81.38889379,25.99876757,-27.08667815
42971844,42971779,42971784,42971750,42971723,42971735,42971738,42971772,,243.43,226.9375,242.75,259.5,268.75,285.775,301.7575,238.6,49800,1,0,100.0505283,94.16545435,97.14558877,91.18531994,168.9729722,96.99098572,94.01085131,94.01085131,81.66406177,26.05981611,-31.8328023
42971732,42971828,42971779,42971750,42971728,42971747,42971800,42971761,,243.05,225.5,242.75,259,267.7875,282.5125,300.0025,241.24,50000,1,0,99.93732315,94.11111785,97.02470513,91.19753056,168.9890938,96.9238651,94.01027781,94.01027781,81.74465697,28.5845024,-20.20196915
42971735,42971763,42971784,42971757,42971761,42971787,42971776,42971744,,245.01,227.25,244,259.8125,268.5375,286.0125,302.75,254.5,49200,1,0,100.4376642,94.1410203,97.33456416,90.94747645,169.0325129,97.20265435,94.00911049,94.00911049,81.38811657,32.62306053,-18.48079115
42971763,42971779,42971767,42971750,42971728,42971787,42971772,42971744,,245.93,229.4375,245,262,270.7875,284.7625,303.255,298.22,49800,1,0,100.7466734,94.08357625,97.40050403,90.76664847,169.0689418,97.32542063,94.00849285,94.00849285,81.2287154,33.81069262,-24.57802743
42971735,42971779,42971767,42971772,42971723,42971787,42971800,42971761,,247.44,230.5,246.375,264,272.25,289.2625,302.0075,314.68,48900,1,0,101.1977034,94.27039904,97.76827007,90.772528,169.1718673,97.50616516,94.00829412,94.00829412,80.98947192,36.20305385,-17.63308942
42971787,42971779,42971784,42971750,42971761,42971767,42971772,42971721,,245.4,230,245.25,260.3125,270,282.025,297,257.02,50000,1,0,100.647172,94.18483284,97.36989057,90.99977511,169.1695359,97.19276973,94.007712,94.007712,81.38019785,31.95926649,6.407362223
42971735,42971822,42971767,42971772,42971761,42971744,42971800,42971725,,244.97,228.25,245.625,262.0625,270.75,285.0125,300.2625,277.14,49800,1,0,100.5295196,94.18306653,97.34645441,91.01967864,169.0805119,97.17103787,94.00764999,94.00764999,81.41835114,29.06270434,-8.355990052
42971735,42971828,42971767,42971772,42971721,42971813,42971738,42971800,,244.36,230.5,245.25,260.25,268.75,285.75,299.5025,271.98,49800,1,0,100.3106809,94.22939895,97.30722448,91.15157343,169.0638649,97.08406365,94.00623812,94.00623812,81.5259731,29.84316332,-13.25702965
42971763,42971767,42971779,42971757,42971723,42971813,42971772,42971744,,247.28,230.25,247.25,263,273.75,290.25,304.505,320.74,49000,1,0,101.1826139,94.22408269,97.72774356,90.72042182,169.111036,97.50986594,94.00620508,94.00620508,80.98774949,36.34174198,-22.10383713
42971796,42971744,42971779,42971738,42971723,42971747,42971776,42971787,,243.87,227.9375,243.5,258.75,268,281.775,299.5,250.9,49700,1,0,100.1581313,94.09593361,97.111635,91.08023223,169.0372801,97.0196937,94.00399231,94.00399231,81.60470556,24.57643284,-36.90164685
42971763,42971822,42971757,42971750,42971728,42971787,42971800,42971723,,243.23,226,242.25,257.8125,267.7875,283.775,302.5025,272.56,49800,1,0,99.95554888,94.06897595,97.03359758,91.10435432,168.9424332,96.96797837,94.00335673,94.00335673,81.67977554,29.95366845,-7.899923623
42971735,42971763,42971813,42971728,42971761,42971747,42971772,42971806,,242.29,226.25,241.375,257.0625,264.7875,282.0125,297.7525,233.6,49900,1,0,99.65856846,94.15679018,96.95217113,91.36140924,168.9915614,96.79861666,94.00323572,94.00323572,81.88506436,26.33669302,-28.05484235
42971806,42971787,42971779,42971728,42971820,42971744,42971767,42971721,,243.68,227.75,242.5,257,265.7875,279.25,295.5025,259.16,49800,1,0,100.0723137,94.13256604,97.08388662,91.18124546,169.1075555,96.95234935,94.00102877,94.00102877,81.67343362,27.62524125,-12.82673627
42971747,42971828,42971767,42971750,42971820,42971744,42971784,42971721,,244.68,230,244.125,258.5,267.2875,281,296.755,232.84,49400,1,0,100.3681627,94.15156565,97.24408024,91.05905105,169.13299,97.09327737,94.00076278,94.00076278,81.4934958,30.53349069,41.98396206
42971732,42971763,42971779,42971728,42971761,42971747,42971813,42971800,,243.84,228.5,243,260,268,283,300.5,263.1,50000,1,0,100.1383189,94.10004556,97.12401599,91.07607513,169.0115074,97.02238102,93.99841059,93.99841059,81.59200913,30.69415523,-23.87235612
42971747,42971767,42971784,42971757,42971772,42971744,42971800,42971738,,247.42,231,246.75,264.25,273.2875,287.75,309.26,312.96,48900,1,0,101.1508525,93.98682925,97.56000545,90.41365304,169.0151005,97.57100966,93.99783346,93.99783346,80.90447564,37.27892836,-13.26991618
