Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5132078820,bafoon13 (3/94),0,194.7,1B Munetaka Murakami 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Randy Arozarena OF Julio Rodriguez OF Sam Antonacci P Davis Martin P Trevor McDonald SS J.P. Crawford,,Jose Soriano,P,65.59%,2.4
2,5132156752,Awalker3081 (1/2),0,181.7,1B Munetaka Murakami 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Andrew Benintendi OF Julio Rodriguez OF Sam Antonacci P Davis Martin P Trevor McDonald SS Colson Montgomery,,Logan Gilbert,P,45.29%,12.7
2,5132217636,Los_bravos88 (2/3),0,181.7,1B Munetaka Murakami 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Andrew Benintendi OF Julio Rodriguez OF Sam Antonacci P Davis Martin P Trevor McDonald SS Colson Montgomery,,Julio Rodriguez,OF,38.32%,5
4,5131470955,ShaidyAdvice (53/94),0,176.7,1B Munetaka Murakami 2B Luis Arraez 3B Miguel Vargas C Drake Baldwin OF Andrew Benintendi OF Jung Hoo Lee OF Sam Antonacci P Davis Martin P Trevor McDonald SS Colson Montgomery,,Davis Martin,P,38.05%,36.75
5,5131639448,goodtimes32 (1/10),0,173.7,1B Munetaka Murakami 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Eli White OF Randy Arozarena OF Julio Rodriguez P Davis Martin P Trevor McDonald SS Jorge Mateo,,Manny Machado,3B,35.72%,0
6,5132078819,bafoon13 (2/94),0,172.7,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Andrew Benintendi OF Randy Arozarena OF Dominic Canzone P Davis Martin P Trevor McDonald SS Jorge Mateo,,Drake Baldwin,C,34.10%,16
7,5131470933,ShaidyAdvice (31/94),0,169.7,1B Munetaka Murakami 2B Chase Meidroth 3B Austin Riley C Drake Baldwin OF Dominic Canzone OF Jarred Kelenic OF Sam Antonacci P Davis Martin P Trevor McDonald SS Colson Montgomery,,Mike Trout,OF,32.12%,0
8,5131673875,lozingitall (1/25),0,169.45,1B Munetaka Murakami 2B Cole Young 3B Miguel Vargas C Drake Baldwin OF Luke Raley OF Julio Rodriguez OF Sam Antonacci P Davis Martin P Logan Gilbert SS J.P. Crawford,,Fernando Tatis Jr.,2B,31.46%,0
9,5131470948,ShaidyAdvice (46/94),0,168.7,1B Munetaka Murakami 2B Chase Meidroth 3B Miguel Vargas C Sean Murphy OF Andrew Benintendi OF Julio Rodriguez OF Jarred Kelenic P Davis Martin P Trevor McDonald SS J.P. Crawford,,Ozzie Albies,2B,28.00%,14
10,5132017392,nerdytenor (54/94),0,167.65,1B Munetaka Murakami 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Mike Trout OF Andrew Benintendi OF Sam Antonacci P Logan Gilbert P Trevor McDonald SS J.P. Crawford,,Jackson Merrill,OF,27.20%,17
10,5132017413,nerdytenor (75/94),0,167.65,1B Munetaka Murakami 2B Luis Arraez 3B Miguel Vargas C Drake Baldwin OF Mike Trout OF Andrew Benintendi OF Sam Antonacci P Logan Gilbert P Trevor McDonald SS J.P. Crawford,,Ramon Laureano,OF,25.50%,14
12,5132198842,Los_bravos88 (1/3),0,165.7,1B Matt Olson 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Mike Yastrzemski OF Andrew Benintendi OF Sam Antonacci P Davis Martin P Trevor McDonald SS Colson Montgomery,,Matt Olson,1B,24.36%,16
13,5132078851,bafoon13 (34/94),0,164.45,1B Munetaka Murakami 2B Cole Young 3B Miguel Vargas C Drew Romo OF Andrew Benintendi OF Luke Raley OF Sam Antonacci P Davis Martin P Logan Gilbert SS J.P. Crawford,,Josh Naylor,1B,23.60%,8
14,5132278334,OneDropKing (64/94),0,163.7,1B Matt Olson 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Randy Arozarena OF Dominic Canzone OF Julio Rodriguez P Davis Martin P Trevor McDonald SS Jorge Mateo,,Xander Bogaerts,SS,22.73%,0
15,5132257058,SuperGuido,0,163.45,1B Munetaka Murakami 2B Ozzie Albies 3B Miguel Vargas C Drew Romo OF Andrew Benintendi OF Randy Arozarena OF Luke Raley P Davis Martin P Logan Gilbert SS Colson Montgomery,,Randy Arozarena,OF,22.25%,12
16,5131816858,builtforspeed6315,0,162.7,1B Munetaka Murakami 2B Cole Young 3B Miguel Vargas C Drake Baldwin OF Mike Trout OF Ramon Laureano OF Randy Arozarena P Davis Martin P Trevor McDonald SS Colson Montgomery,,Zach Neto,SS,21.17%,0
17,5132017361,nerdytenor (23/94),0,159.4,1B Munetaka Murakami 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Andrew Benintendi OF Jarred Kelenic OF Sam Antonacci P Davis Martin P JR Ritchie SS Willy Adames,,Randy Vasquez,P,20.82%,6.55
17,5132223550,Beirnej1 (1/2),0,159.4,1B Munetaka Murakami 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Jarred Kelenic OF Jackson Merrill OF Sam Antonacci P Davis Martin P JR Ritchie SS Colson Montgomery,,JR Ritchie,P,20.62%,2.65
19,5131887194,ledmonds1011,0,159.15,1B Munetaka Murakami 2B Chase Meidroth 3B Austin Riley C Drake Baldwin OF Mauricio Dubon OF Randy Arozarena OF Luke Raley P Davis Martin P Jose Soriano SS J.P. Crawford,,J.P. Crawford,SS,17.53%,20
20,5132228680,cnasho (2/4),0,158.7,1B Matt Olson 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Fernando Tatis Jr. OF Julio Rodriguez OF Jackson Merrill P Davis Martin P Trevor McDonald SS Colson Montgomery,,Austin Riley,3B,16.81%,17
21,5131470987,ShaidyAdvice (85/94),0,157.7,1B Munetaka Murakami 2B Chase Meidroth 3B Miguel Vargas C Sean Murphy OF Heliot Ramos OF Jarred Kelenic OF Sam Antonacci P Davis Martin P Trevor McDonald SS Jorge Mateo,,Yoan Moncada,3B,16.77%,0
21,5132078897,bafoon13 (80/94),0,157.7,1B Josh Naylor 2B Cole Young 3B Miguel Vargas C Drake Baldwin OF Eli White OF Luke Raley OF Julio Rodriguez P Davis Martin P Trevor McDonald SS J.P. Crawford,,Jorge Soler,OF,16.39%,0
23,5132282471,hoop2410 (39/94),0,157.45,1B Munetaka Murakami 2B Cole Young 3B Miguel Vargas C Drew Romo OF Randy Arozarena OF Luke Raley OF Dominic Canzone P Davis Martin P Logan Gilbert SS J.P. Crawford,,Fernando Tatis Jr.,OF,16.29%,0
24,5131860269,rpetit82,0,157.3,1B Matt Olson 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Ramon Laureano OF Julio Rodriguez OF Sam Antonacci P Davis Martin P Randy Vasquez SS J.P. Crawford,,Drew Romo,C,16.22%,2
24,5132151283,MY-BAD-BRO,0,157.3,1B Matt Olson 2B Ozzie Albies 3B Miguel Vargas C Drake Baldwin OF Ramon Laureano OF Julio Rodriguez OF Sam Antonacci P Davis Martin P Randy Vasquez SS J.P. Crawford,,Colson Montgomery,SS,15.28%,5
26,5132268264,colbyhornet (3/5),0,157.15,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Eli White OF Randy Arozarena OF Luke Raley P Davis Martin P Jose Soriano SS J.P. Crawford,,Miguel Vargas,3B,15.07%,17
26,5132270908,Tuomi1 (2/6),0,157.15,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Mike Yastrzemski OF Randy Arozarena OF Luke Raley P Davis Martin P Jose Soriano SS J.P. Crawford,,Munetaka Murakami,1B,14.80%,30
