PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971735,42971763,42971779,42971800,42971772,42971732,42971776,42971747,,251.7,233,252.25,270.3125,280,299.025,314.02,301.47,49800,1,0,103.0892456,96.03264388,99.59942053,92.46586723,170.3453801,99.45941928,95.89264263,95.89264263,82.64099931,37.15859338,95.97721696
42971763,42971767,42971776,42971757,42971723,42971744,42971750,42971847,,249.19,232.5,247.875,265.75,274.7875,290.25,308.52,273.99,49900,1,0,102.3194545,95.91252172,99.10072179,92.72432164,170.3298987,99.08010957,95.8919095,95.8919095,83.11542208,29.05745579,25.18539727
42971735,42971779,42971767,42971772,42971723,42971763,42971784,42971776,,252.32,235,252,269.5,277.0375,294.5,311.005,307.89,49600,1,0,103.1754626,95.97589145,99.59124826,92.36053464,170.4390698,99.50726344,95.89190663,95.89190663,82.5678269,37.62998373,42.55208671
42971735,42971763,42971784,42971772,42971723,42971744,42971776,42971806,,249.59,233.6875,249.5,266.3125,275.75,293,305.0025,273.46,49800,1,0,102.4920526,96.11225667,99.31548271,92.90903063,170.4229758,99.09481792,95.89159188,95.89159188,83.08468736,30.47278962,24.04943109
42971735,42971796,42971776,42971772,42971723,42971747,42971800,42971761,,249.52,232.5,250,267.25,274,291.025,305.7575,272.92,49900,1,0,102.4048399,96.02309146,99.22529979,92.82088314,170.4034636,99.09334715,95.89113882,95.89113882,83.08794546,26.12014384,20.16389519
42971844,42971767,42971813,42971728,42971723,42971747,42971772,42971744,,249.17,234,247.75,263.8125,272.25,287.5125,303.0125,270.67,49900,1,0,102.282145,95.99213338,99.12106825,92.86319851,170.4422726,99.02004204,95.89110718,95.89110718,83.17465451,27.55547388,15.92118293
42971787,42971767,42971779,42971738,42971723,42971747,42971776,42971772,,252.09,235.5,251.5,267.25,275.5,292.25,310.2525,303.97,49700,1,0,103.069144,95.9211183,99.50044182,92.34179477,170.4403371,99.46748031,95.88815678,95.88815678,82.60896023,37.07647526,30.21558225
42971732,42971779,42971767,42971757,42971772,42971744,42971784,42971761,,251.45,234.1875,251.25,267.8125,278,291.5125,311.2675,296.94,49800,1,0,102.9819565,95.86499664,99.37281533,92.35717795,170.3863404,99.39572827,95.88790958,95.88790958,82.70484368,36.36369798,45.20696402
42971763,42971767,42971800,42971750,42971820,42971732,42971776,42971723,,251.49,235.25,250.5,267.5,277,293.7625,311.5075,296.73,49700,1,0,102.9535936,95.92857864,99.44512504,92.41203224,170.3811979,99.40111137,95.88456497,95.88456497,82.69123224,36.39896921,45.57703733
42971747,42971779,42971784,42971728,42971761,42971744,42971767,42971776,,251.7,236.1875,250.25,266.25,274.5,289.275,302.51,293.2,49900,1,0,103.0125867,96.05831319,99.50910426,92.60752211,170.5773512,99.33422541,95.88343434,95.88343434,82.74777659,35.67200667,63.90320063
42971735,42971787,42971828,42971757,42971761,42971732,42971776,42971747,,248.29,232,248.125,266,275.25,290.2625,304.75,257.97,49900,1,0,102.1405968,96.02036342,99.05732054,92.98340631,170.3553443,98.91930885,95.88235173,95.88235173,83.2917373,29.97845706,16.72154218
42971735,42971796,42971757,42971800,42971820,42971732,42971776,42971723,,249.15,232.4375,248,269.3125,279,291.75,309.755,271.12,49800,1,0,102.4407735,95.91419908,99.11323722,92.71516095,170.2959096,99.08136542,95.88232728,95.88232728,83.09654091,26.20591215,17.62947291
42971735,42971822,42971800,42971750,42971723,42971744,42971776,42971772,,251.91,234.75,251.5,267.75,278.2875,294.5,311.7525,304.51,49400,1,0,103.1031174,95.94302536,99.51675118,92.36929954,170.3961245,99.45596191,95.88223609,95.88223609,82.61556325,37.35432908,26.71299875
42971735,42971763,42971757,42971800,42971761,42971744,42971776,42971772,,251.38,233.5,251.375,269.75,279.0375,295.7625,311.5025,295.78,49600,1,0,102.9958252,95.99193685,99.49529206,92.48858164,170.3737198,99.38501299,95.88165778,95.88165778,82.7057488,36.12758128,52.10456252
42971732,42971822,42971776,42971757,42971820,42971744,42971800,42971721,,250.62,235,251.75,266.5,274.25,288.775,306.255,279.51,49800,1,0,102.6873102,95.92334681,99.27509735,92.57159627,170.442984,99.23295657,95.88120603,95.88120603,82.88614486,34.17637218,18.6449796
42971732,42971822,42971767,42971757,42971761,42971763,42971800,42971735,,249.46,232.1875,249.5,268.8125,277,293.0125,308.02,272.24,50000,1,0,102.4673978,96.00739929,99.22904179,92.78575678,170.3461259,99.10159939,95.87995688,95.87995688,83.05963801,32.99298944,23.28352928
42971732,42971763,42971767,42971772,42971820,42971744,42971738,42971776,,252.26,235.9375,253.25,269.75,278.2875,292.5,306.255,301.63,49900,1,0,103.2489478,96.04506178,99.60762951,92.48249406,170.5261786,99.44235841,95.87979069,95.87979069,82.61080871,36.74282681,52.95226574
42971732,42971767,42971779,42971757,42971820,42971747,42971772,42971738,,251.94,235.4375,252.5,270,276.0375,293.5125,310.76,301.34,49800,1,0,103.0412022,95.9379787,99.50635388,92.36960352,170.4160604,99.44740843,95.87903325,95.87903325,82.61655672,37.1657845,53.28787565
42971763,42971822,42971757,42971750,42971772,42971735,42971767,42971744,,251.15,234.75,251,267.0625,276.0375,291.75,306.7525,293.22,49900,1,0,102.8798581,96.00363617,99.42938072,92.57789161,170.4581419,99.30433881,95.87859425,95.87859425,82.78914582,35.5349174,30.5038482
42971763,42971767,42971784,42971728,42971772,42971747,42971757,42971776,,251.15,233.75,250,266.5,275.5,293.25,311.5025,292.64,49900,1,0,102.8117351,95.90532965,99.38037061,92.4302887,170.3595491,99.35314253,95.87810157,95.87810157,82.73935674,35.56375898,58.14157128
42971747,42971767,42971776,42971728,42971820,42971744,42971772,42971761,,252.52,236.25,251.5,267.5,275.7875,289.2625,307.25,306.92,49400,1,0,103.2166418,95.90374025,99.51109061,92.2963899,170.5166472,99.48371115,95.8763608,95.8763608,82.55259196,37.44006899,60.65022349
42971732,42971767,42971784,42971757,42971772,42971735,42971779,42971776,,252.94,235.5,253.75,270.75,281.5375,296.7625,311.01,314.3,49600,1,0,103.4863861,96.03346947,99.7340835,92.33285544,170.4594053,99.57546662,95.87485259,95.87485259,82.4416594,38.80475928,82.26382732
42971822,42971767,42971776,42971728,42971723,42971779,42971772,42971744,,252.53,235.4375,251,267.3125,277.0375,291.775,306.255,306.48,49600,1,0,103.2723529,96.01488048,99.61415035,92.41561061,170.5358864,99.47284422,95.87357434,95.87357434,82.55750121,37.26552917,35.43934524
42971735,42971779,42971776,42971800,42971723,42971763,42971772,42971761,,251.15,233.75,251.5,269.5625,278.25,295,312.0275,292.51,49700,1,0,102.9011014,95.94230821,99.42430513,92.46031129,170.3456372,99.35552179,95.87352487,95.87352487,82.72782407,35.77345967,66.33005142
42971787,42971767,42971784,42971757,42971721,42971744,42971779,42971776,,251.01,234.75,250.375,265.0625,273.5,290,307.015,287.47,50000,1,0,102.7504476,95.93193352,99.34434049,92.51952655,170.4417219,99.28529063,95.87288366,95.87288366,82.80215971,34.86611549,32.65531957
42971732,42971822,42971767,42971738,42971761,42971747,42971776,42971772,,250.53,233.75,250.875,267.5,276.325,294.0125,311.5075,286.88,49900,1,0,102.6793218,95.92372909,99.32151759,92.5259406,170.323204,99.26924013,95.87145164,95.87145164,82.83381552,34.66232099,43.27064753
42971732,42971787,42971779,42971847,42971723,42971735,42971784,42971744,,246.93,230.5,246.75,265.25,273.7875,291.0125,313.7575,253.91,50000,1,0,101.643648,95.75458294,98.71396455,92.79520132,170.0918566,98.83067186,95.87129024,95.87129024,83.41058114,27.26501294,30.91256917
42971747,42971744,42971757,42971728,42971772,42971787,42971767,42971800,,251.83,235.25,252.625,266.0625,276.5,292.25,307.265,299.6,49700,1,0,103.0625678,95.99639563,99.51727927,92.47551198,170.477183,99.39161311,95.87072946,95.87072946,82.65997703,36.56581139,39.43245411
42971735,42971767,42971784,42971738,42971761,42971744,42971776,42971800,,251.13,234,251,267.5,277.0375,292.5125,311.7575,295.97,49700,1,0,102.8553263,95.86555747,99.34316458,92.38795036,170.3482603,99.34822752,95.87062041,95.87062041,82.73007898,35.99143692,33.89885724
42971735,42971822,42971767,42971728,42971820,42971747,42971738,42971776,,250.85,236.5,251.5,265.5625,272.75,287.7625,305.5175,286.95,49800,1,0,102.6977868,95.90192857,99.27916208,92.52469506,170.4628172,99.24760436,95.87037086,95.87037086,82.84097682,34.76520388,27.96942592
42971735,42971779,42971757,42971728,42971772,42971747,42971776,42971806,,249.38,232.25,249.5,267.5,275.5,292.25,312.5125,275.67,49900,1,0,102.3439511,95.83103716,99.09280478,92.56926953,170.2412499,99.12997297,95.86820535,95.86820535,83.01083959,30.96043572,30.99437058
