Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,5137592392,EGrizzly123,0,152.3,1B Alec Burleson 2B Brandon Lowe 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Jorge Mateo,,Michael Harris II,OF,15.53%,5
24,5137346241,trout10 (1/2),0,151.3,1B Matt Olson 2B Casey Schmitt 3B Nolan Arenado C Dalton Rushing OF Oneil Cruz OF Jordan Walker OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Kyle Tucker,OF,15.26%,8
25,5137798666,ezpoints (2/2),0,150.85,1B Rafael Devers 2B Luis Arraez 3B Nolan Arenado C Drake Baldwin OF Oneil Cruz OF Jordan Walker OF Jung Hoo Lee P Bryce Elder P Justin Wrobleski SS Willy Adames,,Matt Olson,1B,15.26%,14
26,5137845831,conradical907 (6/20),0,150.3,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Jesus Rodriguez OF Corbin Carroll OF Fernando Tatis Jr. OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Brandon Lowe,2B,15.05%,2
26,5137853216,tpolak25 (61/100),0,150.3,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Xander Bogaerts,,JJ Wetherholt,2B,15.00%,3
28,5137834498,Vikings_Nate (85/117),0,149.45,1B Rafael Devers 2B Brandon Lowe 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Marcell Ozuna OF Heliot Ramos P Bryce Elder P Walker Buehler SS Willy Adames,,Freddie Freeman,1B,14.33%,2
29,5137785045,trout10 (2/2),0,149.3,1B Ildemaro Vargas 2B Casey Schmitt 3B Nolan Arenado C Dalton Rushing OF Oneil Cruz OF Jordan Walker OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Konnor Griffin,,Bo Bichette,SS,14.20%,2
30,5137743921,bfarrjr1,0,148.3,1B Alec Burleson 2B Luis Arraez 3B Nolan Arenado C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Bo Bichette,,Jung Hoo Lee,OF,13.01%,10
30,5137855651,49erCOUNTRY,0,148.3,1B Matt Olson 2B Fernando Tatis Jr. 3B Manny Machado C Drake Baldwin OF Jung Hoo Lee OF Marcell Ozuna OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Xander Bogaerts,,Rafael Devers,1B,12.69%,14
32,5137856704,lostories (59/117),0,147.85,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C James McCann OF Fernando Tatis Jr. OF Marcell Ozuna OF Heliot Ramos P Bryce Elder P Justin Wrobleski SS Willy Adames,,Manny Machado,3B,12.56%,2
33,5137818641,HammerSZN (4/13),0,147.65,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Henry Davis OF Shohei Ohtani OF Oneil Cruz OF Heliot Ramos P Justin Wrobleski P Eduardo Rodriguez SS Willy Adames,,Adrian Del Castillo,C,12.24%,0
34,5137692517,jrice54,0,147.3,1B Spencer Horwitz 2B Brandon Lowe 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Ryan O'Hearn OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Konnor Griffin,,Konnor Griffin,SS,12.11%,16
34,5137834423,Vikings_Nate (10/117),0,147.3,1B Rafael Devers 2B Brandon Lowe 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Jung Hoo Lee OF Marcell Ozuna P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Dalton Rushing,C,12.00%,0
36,5137856653,lostories (8/117),0,147.1,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Kyle Tucker OF Jung Hoo Lee OF Heliot Ramos P Eduardo Rodriguez P Tyler Mahle SS Xander Bogaerts,,Willy Adames,SS,11.90%,15
