P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42502385,42502386,42502448,42502437,42502586,42502482,42502430,42502403,42502669,42502504,111.73,50000,17.74,202.25,5.0910,0.0373
42502385,42502395,42502448,42502422,42502603,42502482,42502430,42502412,42502525,42502462,113.23,49800,23.45,204.81,9.7127,0.0480
42502385,42502395,42502539,42502417,42502510,42502441,42502430,42502447,42502659,42502445,103.08,48300,9.43,189.81,8.3395,0.0470
42502386,42502395,42502480,42502437,42502494,42502510,42502419,42502524,42502491,42502413,104.57,49300,13.67,190.96,19.2041,0.0713
42502383,42502399,42502539,42502433,42502472,42502451,42502430,42502504,42502452,42502445,102.88,49500,8.32,191.65,20.5652,0.0580
42502395,42502386,42502509,42502437,42502510,42502491,42502415,42502413,42502435,42502524,103.65,49900,10.58,190.96,24.1581,0.0843
42502395,42502386,42502480,42502403,42502510,42502451,42502553,42502524,42502412,42502491,105.85,49900,12.90,193.96,15.8936,0.0640
42502384,42502385,42502471,42502632,42502494,42502459,42502488,42502474,42502586,42502406,105.10,49200,11.85,191.55,7.0052,0.0340
42502395,42502386,42502471,42502632,42502586,42502451,42502488,42502406,42502424,42502579,102.59,47600,8.60,189.96,11.3952,0.0440
42502385,42502395,42502448,42502422,42502494,42502423,42502500,42502616,42502414,42502479,106.74,49700,11.98,196.81,8.2037,0.0413
42502386,42502383,42502480,42502428,42502510,42502438,42502436,42502525,42502524,42502504,104.27,49900,7.67,188.15,16.6333,0.0747
42502386,42502383,42502509,42502422,42502494,42502451,42502436,42502659,42502462,42502504,110.09,49500,16.32,200.15,5.2871,0.0410
42502386,42502383,42502509,42502476,42502494,42502451,42502436,42502669,42502453,42502440,106.35,49400,11.79,195.15,15.3283,0.0557
42502386,42502383,42502509,42502422,42502537,42502482,42502513,42502610,42502525,42502406,111.67,50000,13.57,203.15,8.9923,0.0543
42502386,42502383,42502529,42502422,42502510,42502491,42502553,42502524,42502424,42502434,105.29,50000,7.16,194.15,27.7623,0.0903
