pro,n_slates_passing,n_lineups_total,coup12_mean,coup13_mean,coup23_mean,coup123_mean,top1pct_rate,top10pct_rate
b_heals152,22,3300,1.1164993424870764,1.0845448716676755,0.9603105900673607,0.7687418076052196,0.008787878787878787,0.08606060606060606
bgreseth,16,2400,0.7944062597352072,0.9328141233766234,0.97318933254953,0.7723654409187304,0.01125,0.11583333333333333
needlunchmoney,19,2850,1.0098704686864266,1.06234335839599,1.0969554817854557,1.0821413520334977,0.009824561403508772,0.09052631578947369
nerdytenor,22,3300,1.022292737648775,1.1562049062049062,1.0336332946461075,1.1987127067437526,0.012424242424242424,0.11181818181818182
shaidyadvice,22,3300,0.9700098195674837,1.2126078782328782,1.0017634450313773,1.054048902336523,0.009696969696969697,0.10515151515151515
shipmymoney,22,3200,1.0012626832469804,0.850730437862791,1.027610732125204,0.5736089702239935,0.009375,0.098125
youdacao,16,2400,1.3546589950082597,0.9472632018442857,1.1063675075524606,1.0499097157859443,0.0125,0.125
zroth2,23,3450,0.9306123006770564,1.2502782140524196,1.0277402300569778,1.2934016863523305,0.010144927536231883,0.08753623188405797
v1,24,3600,0.9030156735064496,0.6973073375211533,0.9644304654414952,0.7441842352266669,0.00937233740414655,0.09713149673388242
